name,onset,offset,duration
saccade,40,100,60
saccade,1880,1900,20
saccade,2120,2180,60
saccade,2240,2280,40
saccade,2480,2500,20
saccade,3020,3060,40
saccade,3380,3420,40
saccade,3560,3580,20
saccade,3620,3640,20
saccade,3840,3860,20
saccade,3920,3980,60
saccade,4020,4060,40
saccade,4160,4220,60
saccade,4540,4560,20
saccade,4600,4620,20
saccade,6060,6180,120
saccade,6360,6480,120
saccade,7040,7400,360
saccade,7720,7780,60
saccade,8080,8180,100
saccade,9980,10020,40
saccade,10460,10500,40
saccade,10660,10680,20
saccade,10820,10860,40
saccade,11400,11420,20
saccade,11460,11480,20
saccade,11700,11720,20
saccade,11760,11780,20
saccade,11860,11880,20
saccade,11920,11940,20
saccade,12300,12320,20
saccade,12720,12780,60
saccade,12820,12900,80
saccade,13060,13080,20
saccade,13280,13300,20
saccade,13480,13660,180
saccade,13700,13720,20
saccade,13940,13960,20
saccade,15660,15680,20
saccade,15860,15920,60
saccade,16600,16660,60
saccade,16780,16820,40
saccade,17260,17280,20
saccade,17940,17960,20
saccade,18260,18280,20
saccade,21120,21160,40
saccade,21300,21320,20
saccade,21680,21700,20
saccade,21800,21880,80
saccade,22020,22060,40
saccade,22760,22780,20
saccade,24840,24860,20
saccade,24900,24960,60
saccade,25000,25020,20
saccade,25380,25400,20
saccade,28260,28300,40
saccade,28380,28440,60
saccade,28500,28520,20
saccade,28600,28660,60
saccade,29020,29100,80
saccade,29720,29760,40
saccade,30060,30120,60
saccade,31300,31320,20
saccade,31360,31380,20
saccade,34540,34580,40
saccade,34840,34860,20
saccade,35300,35480,180
saccade,36520,36600,80
saccade,37580,37720,140
saccade,38640,38660,20
fixation.ivt,120,1860,1740
fixation.ivt,1920,2100,180
fixation.ivt,2300,2460,160
fixation.ivt,2520,2720,200
fixation.ivt,2760,3000,240
fixation.ivt,3080,3320,240
fixation.ivt,3440,3540,100
fixation.ivt,3660,3820,160
fixation.ivt,4240,4520,280
fixation.ivt,4640,6020,1380
fixation.ivt,6200,6340,140
fixation.ivt,6540,7020,480
fixation.ivt,7440,7680,240
fixation.ivt,7800,8040,240
fixation.ivt,8280,9660,1380
fixation.ivt,9700,9940,240
fixation.ivt,10040,10440,400
fixation.ivt,10520,10640,120
fixation.ivt,10700,10800,100
fixation.ivt,10880,11380,500
fixation.ivt,11500,11680,180
fixation.ivt,12040,12280,240
fixation.ivt,12340,12680,340
fixation.ivt,13120,13260,140
fixation.ivt,13340,13460,120
fixation.ivt,13740,13920,180
fixation.ivt,13980,15640,1660
fixation.ivt,15700,15840,140
fixation.ivt,15980,16580,600
fixation.ivt,16840,17240,400
fixation.ivt,17300,17920,620
fixation.ivt,17980,18140,160
fixation.ivt,18300,19020,720
fixation.ivt,19080,19260,180
fixation.ivt,19300,21100,1800
fixation.ivt,21180,21280,100
fixation.ivt,21360,21660,300
fixation.ivt,22080,22600,520
fixation.ivt,22640,22740,100
fixation.ivt,22800,24820,2020
fixation.ivt,25040,25360,320
fixation.ivt,25420,25860,440
fixation.ivt,25920,27540,1620
fixation.ivt,27760,27960,200
fixation.ivt,28040,28240,200
fixation.ivt,28700,28960,260
fixation.ivt,29140,29700,560
fixation.ivt,29860,30040,180
fixation.ivt,30140,31280,1140
fixation.ivt,31400,32620,1220
fixation.ivt,32660,33960,1300
fixation.ivt,34000,34520,520
fixation.ivt,34600,34820,220
fixation.ivt,34880,35060,180
fixation.ivt,35100,35280,180
fixation.ivt,35520,36500,980
fixation.ivt,36620,37560,940
fixation.ivt,37740,38620,880
fixation.ivt,38680,39940,1260
fixation.ivt,120,1860,1740
fixation.ivt,1920,2100,180
fixation.ivt,2300,2460,160
fixation.ivt,2520,2720,200
fixation.ivt,2760,3000,240
fixation.ivt,3080,3320,240
fixation.ivt,3440,3540,100
fixation.ivt,3660,3820,160
fixation.ivt,4240,4520,280
fixation.ivt,4640,6020,1380
fixation.ivt,6200,6340,140
fixation.ivt,6540,7020,480
fixation.ivt,7440,7680,240
fixation.ivt,7800,8040,240
fixation.ivt,8280,9660,1380
fixation.ivt,9700,9940,240
fixation.ivt,10040,10440,400
fixation.ivt,10520,10640,120
fixation.ivt,10700,10800,100
fixation.ivt,10880,11380,500
fixation.ivt,11500,11680,180
fixation.ivt,12040,12280,240
fixation.ivt,12340,12680,340
fixation.ivt,13120,13260,140
fixation.ivt,13340,13460,120
fixation.ivt,13740,13920,180
fixation.ivt,13980,15640,1660
fixation.ivt,15700,15840,140
fixation.ivt,15980,16580,600
fixation.ivt,16840,17240,400
fixation.ivt,17300,17920,620
fixation.ivt,17980,18140,160
fixation.ivt,18300,19020,720
fixation.ivt,19080,19260,180
fixation.ivt,19300,21100,1800
fixation.ivt,21180,21280,100
fixation.ivt,21360,21660,300
fixation.ivt,22080,22600,520
fixation.ivt,22640,22740,100
fixation.ivt,22800,24820,2020
fixation.ivt,25040,25360,320
fixation.ivt,25420,25860,440
fixation.ivt,25920,27540,1620
fixation.ivt,27760,27960,200
fixation.ivt,28040,28240,200
fixation.ivt,28700,28960,260
fixation.ivt,29140,29700,560
fixation.ivt,29860,30040,180
fixation.ivt,30140,31280,1140
fixation.ivt,31400,32620,1220
fixation.ivt,32660,33960,1300
fixation.ivt,34000,34520,520
fixation.ivt,34600,34820,220
fixation.ivt,34880,35060,180
fixation.ivt,35100,35280,180
fixation.ivt,35520,36500,980
fixation.ivt,36620,37560,940
fixation.ivt,37740,38620,880
fixation.ivt,38680,39940,1260
fixation.ivt,120,1860,1740
fixation.ivt,1920,2100,180
fixation.ivt,2300,2460,160
fixation.ivt,2520,2720,200
fixation.ivt,2760,3000,240
fixation.ivt,3080,3320,240
fixation.ivt,3440,3540,100
fixation.ivt,3660,3820,160
fixation.ivt,4240,4520,280
fixation.ivt,4640,6020,1380
fixation.ivt,6200,6340,140
fixation.ivt,6540,7020,480
fixation.ivt,7440,7680,240
fixation.ivt,7800,8040,240
fixation.ivt,8280,9660,1380
fixation.ivt,9700,9940,240
fixation.ivt,10040,10440,400
fixation.ivt,10520,10640,120
fixation.ivt,10700,10800,100
fixation.ivt,10880,11380,500
fixation.ivt,11500,11680,180
fixation.ivt,12040,12280,240
fixation.ivt,12340,12680,340
fixation.ivt,13120,13260,140
fixation.ivt,13340,13460,120
fixation.ivt,13740,13920,180
fixation.ivt,13980,15640,1660
fixation.ivt,15700,15840,140
fixation.ivt,15980,16580,600
fixation.ivt,16840,17240,400
fixation.ivt,17300,17920,620
fixation.ivt,17980,18140,160
fixation.ivt,18300,19020,720
fixation.ivt,19080,19260,180
fixation.ivt,19300,21100,1800
fixation.ivt,21180,21280,100
fixation.ivt,21360,21660,300
fixation.ivt,22080,22600,520
fixation.ivt,22640,22740,100
fixation.ivt,22800,24820,2020
fixation.ivt,25040,25360,320
fixation.ivt,25420,25860,440
fixation.ivt,25920,27540,1620
fixation.ivt,27760,27960,200
fixation.ivt,28040,28240,200
fixation.ivt,28700,28960,260
fixation.ivt,29140,29700,560
fixation.ivt,29860,30040,180
fixation.ivt,30140,31280,1140
fixation.ivt,31400,32620,1220
fixation.ivt,32660,33960,1300
fixation.ivt,34000,34520,520
fixation.ivt,34600,34820,220
fixation.ivt,34880,35060,180
fixation.ivt,35100,35280,180
fixation.ivt,35520,36500,980
fixation.ivt,36620,37560,940
fixation.ivt,37740,38620,880
fixation.ivt,38680,39940,1260
fixation.ivt,120,1860,1740
fixation.ivt,1920,2100,180
fixation.ivt,2300,2460,160
fixation.ivt,2520,2720,200
fixation.ivt,2760,3000,240
fixation.ivt,3080,3320,240
fixation.ivt,3440,3540,100
fixation.ivt,3660,3820,160
fixation.ivt,4240,4520,280
fixation.ivt,4640,6020,1380
fixation.ivt,6200,6340,140
fixation.ivt,6540,7020,480
fixation.ivt,7440,7680,240
fixation.ivt,7800,8040,240
fixation.ivt,8280,9660,1380
fixation.ivt,9700,9940,240
fixation.ivt,10040,10440,400
fixation.ivt,10520,10640,120
fixation.ivt,10700,10800,100
fixation.ivt,10880,11380,500
fixation.ivt,11500,11680,180
fixation.ivt,12040,12280,240
fixation.ivt,12340,12680,340
fixation.ivt,13120,13260,140
fixation.ivt,13340,13460,120
fixation.ivt,13740,13920,180
fixation.ivt,13980,15640,1660
fixation.ivt,15700,15840,140
fixation.ivt,15980,16580,600
fixation.ivt,16840,17240,400
fixation.ivt,17300,17920,620
fixation.ivt,17980,18140,160
fixation.ivt,18300,19020,720
fixation.ivt,19080,19260,180
fixation.ivt,19300,21100,1800
fixation.ivt,21180,21280,100
fixation.ivt,21360,21660,300
fixation.ivt,22080,22600,520
fixation.ivt,22640,22740,100
fixation.ivt,22800,24820,2020
fixation.ivt,25040,25360,320
fixation.ivt,25420,25860,440
fixation.ivt,25920,27540,1620
fixation.ivt,27760,27960,200
fixation.ivt,28040,28240,200
fixation.ivt,28700,28960,260
fixation.ivt,29140,29700,560
fixation.ivt,29860,30040,180
fixation.ivt,30140,31280,1140
fixation.ivt,31400,32620,1220
fixation.ivt,32660,33960,1300
fixation.ivt,34000,34520,520
fixation.ivt,34600,34820,220
fixation.ivt,34880,35060,180
fixation.ivt,35100,35280,180
fixation.ivt,35520,36500,980
fixation.ivt,36620,37560,940
fixation.ivt,37740,38620,880
fixation.ivt,38680,39940,1260
fixation.ivt,120,1860,1740
fixation.ivt,1920,2100,180
fixation.ivt,2300,2460,160
fixation.ivt,2520,2720,200
fixation.ivt,2760,3000,240
fixation.ivt,3080,3320,240
fixation.ivt,3440,3540,100
fixation.ivt,3660,3820,160
fixation.ivt,4240,4520,280
fixation.ivt,4640,6020,1380
fixation.ivt,6200,6340,140
fixation.ivt,6540,7020,480
fixation.ivt,7440,7680,240
fixation.ivt,7800,8040,240
fixation.ivt,8280,9660,1380
fixation.ivt,9700,9940,240
fixation.ivt,10040,10440,400
fixation.ivt,10520,10640,120
fixation.ivt,10700,10800,100
fixation.ivt,10880,11380,500
fixation.ivt,11500,11680,180
fixation.ivt,12040,12280,240
fixation.ivt,12340,12680,340
fixation.ivt,13120,13260,140
fixation.ivt,13340,13460,120
fixation.ivt,13740,13920,180
fixation.ivt,13980,15640,1660
fixation.ivt,15700,15840,140
fixation.ivt,15980,16580,600
fixation.ivt,16840,17240,400
fixation.ivt,17300,17920,620
fixation.ivt,17980,18140,160
fixation.ivt,18300,19020,720
fixation.ivt,19080,19260,180
fixation.ivt,19300,21100,1800
fixation.ivt,21180,21280,100
fixation.ivt,21360,21660,300
fixation.ivt,22080,22600,520
fixation.ivt,22640,22740,100
fixation.ivt,22800,24820,2020
fixation.ivt,25040,25360,320
fixation.ivt,25420,25860,440
fixation.ivt,25920,27540,1620
fixation.ivt,27760,27960,200
fixation.ivt,28040,28240,200
fixation.ivt,28700,28960,260
fixation.ivt,29140,29700,560
fixation.ivt,29860,30040,180
fixation.ivt,30140,31280,1140
fixation.ivt,31400,32620,1220
fixation.ivt,32660,33960,1300
fixation.ivt,34000,34520,520
fixation.ivt,34600,34820,220
fixation.ivt,34880,35060,180
fixation.ivt,35100,35280,180
fixation.ivt,35520,36500,980
fixation.ivt,36620,37560,940
fixation.ivt,37740,38620,880
fixation.ivt,38680,39940,1260
fixation.ivt,120,1860,1740
fixation.ivt,1920,2100,180
fixation.ivt,2300,2460,160
fixation.ivt,2520,2720,200
fixation.ivt,2760,3000,240
fixation.ivt,3080,3320,240
fixation.ivt,3440,3540,100
fixation.ivt,3660,3820,160
fixation.ivt,4240,4520,280
fixation.ivt,4640,6020,1380
fixation.ivt,6200,6340,140
fixation.ivt,6540,7020,480
fixation.ivt,7440,7680,240
fixation.ivt,7800,8040,240
fixation.ivt,8280,9660,1380
fixation.ivt,9700,9940,240
fixation.ivt,10040,10440,400
fixation.ivt,10520,10640,120
fixation.ivt,10700,10800,100
fixation.ivt,10880,11380,500
fixation.ivt,11500,11680,180
fixation.ivt,12040,12280,240
fixation.ivt,12340,12680,340
fixation.ivt,13120,13260,140
fixation.ivt,13340,13460,120
fixation.ivt,13740,13920,180
fixation.ivt,13980,15640,1660
fixation.ivt,15700,15840,140
fixation.ivt,15980,16580,600
fixation.ivt,16840,17240,400
fixation.ivt,17300,17920,620
fixation.ivt,17980,18140,160
fixation.ivt,18300,19020,720
fixation.ivt,19080,19260,180
fixation.ivt,19300,21100,1800
fixation.ivt,21180,21280,100
fixation.ivt,21360,21660,300
fixation.ivt,22080,22600,520
fixation.ivt,22640,22740,100
fixation.ivt,22800,24820,2020
fixation.ivt,25040,25360,320
fixation.ivt,25420,25860,440
fixation.ivt,25920,27540,1620
fixation.ivt,27760,27960,200
fixation.ivt,28040,28240,200
fixation.ivt,28700,28960,260
fixation.ivt,29140,29700,560
fixation.ivt,29860,30040,180
fixation.ivt,30140,31280,1140
fixation.ivt,31400,32620,1220
fixation.ivt,32660,33960,1300
fixation.ivt,34000,34520,520
fixation.ivt,34600,34820,220
fixation.ivt,34880,35060,180
fixation.ivt,35100,35280,180
fixation.ivt,35520,36500,980
fixation.ivt,36620,37560,940
fixation.ivt,37740,38620,880
fixation.ivt,38680,39940,1260
fixation.ivt,120,1860,1740
fixation.ivt,1920,2100,180
fixation.ivt,2300,2460,160
fixation.ivt,2520,2720,200
fixation.ivt,2760,3000,240
fixation.ivt,3080,3320,240
fixation.ivt,3440,3540,100
fixation.ivt,3660,3820,160
fixation.ivt,4240,4520,280
fixation.ivt,4640,6020,1380
fixation.ivt,6200,6340,140
fixation.ivt,6540,7020,480
fixation.ivt,7440,7680,240
fixation.ivt,7800,8040,240
fixation.ivt,8280,9660,1380
fixation.ivt,9700,9940,240
fixation.ivt,10040,10440,400
fixation.ivt,10520,10640,120
fixation.ivt,10700,10800,100
fixation.ivt,10880,11380,500
fixation.ivt,11500,11680,180
fixation.ivt,12040,12280,240
fixation.ivt,12340,12680,340
fixation.ivt,13120,13260,140
fixation.ivt,13340,13460,120
fixation.ivt,13740,13920,180
fixation.ivt,13980,15640,1660
fixation.ivt,15700,15840,140
fixation.ivt,15980,16580,600
fixation.ivt,16840,17240,400
fixation.ivt,17300,17920,620
fixation.ivt,17980,18140,160
fixation.ivt,18300,19020,720
fixation.ivt,19080,19260,180
fixation.ivt,19300,21100,1800
fixation.ivt,21180,21280,100
fixation.ivt,21360,21660,300
fixation.ivt,22080,22600,520
fixation.ivt,22640,22740,100
fixation.ivt,22800,24820,2020
fixation.ivt,25040,25360,320
fixation.ivt,25420,25860,440
fixation.ivt,25920,27540,1620
fixation.ivt,27760,27960,200
fixation.ivt,28040,28240,200
fixation.ivt,28700,28960,260
fixation.ivt,29140,29700,560
fixation.ivt,29860,30040,180
fixation.ivt,30140,31280,1140
fixation.ivt,31400,32620,1220
fixation.ivt,32660,33960,1300
fixation.ivt,34000,34520,520
fixation.ivt,34600,34820,220
fixation.ivt,34880,35060,180
fixation.ivt,35100,35280,180
fixation.ivt,35520,36500,980
fixation.ivt,36620,37560,940
fixation.ivt,37740,38620,880
fixation.ivt,38680,39940,1260
fixation.ivt,120,1860,1740
fixation.ivt,1920,2100,180
fixation.ivt,2300,2460,160
fixation.ivt,2520,2720,200
fixation.ivt,2760,3000,240
fixation.ivt,3080,3320,240
fixation.ivt,3440,3540,100
fixation.ivt,3660,3820,160
fixation.ivt,4240,4520,280
fixation.ivt,4640,6020,1380
fixation.ivt,6200,6340,140
fixation.ivt,6540,7020,480
fixation.ivt,7440,7680,240
fixation.ivt,7800,8040,240
fixation.ivt,8280,9660,1380
fixation.ivt,9700,9940,240
fixation.ivt,10040,10440,400
fixation.ivt,10520,10640,120
fixation.ivt,10700,10800,100
fixation.ivt,10880,11380,500
fixation.ivt,11500,11680,180
fixation.ivt,12040,12280,240
fixation.ivt,12340,12680,340
fixation.ivt,13120,13260,140
fixation.ivt,13340,13460,120
fixation.ivt,13740,13920,180
fixation.ivt,13980,15640,1660
fixation.ivt,15700,15840,140
fixation.ivt,15980,16580,600
fixation.ivt,16840,17240,400
fixation.ivt,17300,17920,620
fixation.ivt,17980,18140,160
fixation.ivt,18300,19020,720
fixation.ivt,19080,19260,180
fixation.ivt,19300,21100,1800
fixation.ivt,21180,21280,100
fixation.ivt,21360,21660,300
fixation.ivt,22080,22600,520
fixation.ivt,22640,22740,100
fixation.ivt,22800,24820,2020
fixation.ivt,25040,25360,320
fixation.ivt,25420,25860,440
fixation.ivt,25920,27540,1620
fixation.ivt,27760,27960,200
fixation.ivt,28040,28240,200
fixation.ivt,28700,28960,260
fixation.ivt,29140,29700,560
fixation.ivt,29860,30040,180
fixation.ivt,30140,31280,1140
fixation.ivt,31400,32620,1220
fixation.ivt,32660,33960,1300
fixation.ivt,34000,34520,520
fixation.ivt,34600,34820,220
fixation.ivt,34880,35060,180
fixation.ivt,35100,35280,180
fixation.ivt,35520,36500,980
fixation.ivt,36620,37560,940
fixation.ivt,37740,38620,880
fixation.ivt,38680,39940,1260
fixation.ivt,120,1860,1740
fixation.ivt,1920,2100,180
fixation.ivt,2300,2460,160
fixation.ivt,2520,2720,200
fixation.ivt,2760,3000,240
fixation.ivt,3080,3320,240
fixation.ivt,3440,3540,100
fixation.ivt,3660,3820,160
fixation.ivt,4240,4520,280
fixation.ivt,4640,6020,1380
fixation.ivt,6200,6340,140
fixation.ivt,6540,7020,480
fixation.ivt,7440,7680,240
fixation.ivt,7800,8040,240
fixation.ivt,8280,9660,1380
fixation.ivt,9700,9940,240
fixation.ivt,10040,10440,400
fixation.ivt,10520,10640,120
fixation.ivt,10700,10800,100
fixation.ivt,10880,11380,500
fixation.ivt,11500,11680,180
fixation.ivt,12040,12280,240
fixation.ivt,12340,12680,340
fixation.ivt,13120,13260,140
fixation.ivt,13340,13460,120
fixation.ivt,13740,13920,180
fixation.ivt,13980,15640,1660
fixation.ivt,15700,15840,140
fixation.ivt,15980,16580,600
fixation.ivt,16840,17240,400
fixation.ivt,17300,17920,620
fixation.ivt,17980,18140,160
fixation.ivt,18300,19020,720
fixation.ivt,19080,19260,180
fixation.ivt,19300,21100,1800
fixation.ivt,21180,21280,100
fixation.ivt,21360,21660,300
fixation.ivt,22080,22600,520
fixation.ivt,22640,22740,100
fixation.ivt,22800,24820,2020
fixation.ivt,25040,25360,320
fixation.ivt,25420,25860,440
fixation.ivt,25920,27540,1620
fixation.ivt,27760,27960,200
fixation.ivt,28040,28240,200
fixation.ivt,28700,28960,260
fixation.ivt,29140,29700,560
fixation.ivt,29860,30040,180
fixation.ivt,30140,31280,1140
fixation.ivt,31400,32620,1220
fixation.ivt,32660,33960,1300
fixation.ivt,34000,34520,520
fixation.ivt,34600,34820,220
fixation.ivt,34880,35060,180
fixation.ivt,35100,35280,180
fixation.ivt,35520,36500,980
fixation.ivt,36620,37560,940
fixation.ivt,37740,38620,880
