name,onset,offset,duration
saccade,600,640,40
saccade,860,900,40
saccade,1360,1380,20
saccade,1420,1480,60
saccade,1660,1680,20
saccade,1900,1940,40
saccade,2040,2080,40
saccade,2340,2420,80
saccade,2620,2680,60
saccade,2820,2880,60
saccade,3120,3180,60
saccade,3400,3440,40
saccade,3540,3620,80
saccade,3820,3880,60
saccade,4040,4080,40
saccade,4360,4420,60
saccade,4460,4580,120
saccade,4800,4880,80
saccade,5340,5400,60
saccade,5540,5620,80
saccade,5880,5940,60
saccade,6220,6320,100
saccade,6460,6480,20
saccade,6700,6760,60
saccade,7000,7060,60
saccade,7440,7520,80
saccade,7660,7720,60
saccade,7880,7900,20
saccade,8080,8140,60
saccade,8300,8320,20
saccade,8620,8680,60
saccade,8800,8860,60
saccade,9160,9200,40
saccade,9340,9380,40
saccade,9580,9620,40
saccade,9840,9900,60
saccade,10140,10180,40
saccade,10340,10380,40
saccade,10540,10620,80
saccade,10760,10800,40
saccade,10960,11020,60
saccade,11240,11280,40
saccade,11380,11500,120
saccade,11660,11680,20
saccade,11820,11860,40
saccade,12020,12100,80
saccade,12240,12300,60
saccade,12440,12500,60
saccade,12760,12820,60
saccade,13000,13140,140
saccade,13420,13940,520
saccade,14040,14100,60
saccade,14400,14420,20
saccade,14840,14920,80
saccade,15120,15140,20
saccade,15180,15200,20
saccade,15240,15260,20
saccade,15320,15760,440
saccade,15840,15920,80
saccade,15980,16000,20
saccade,16140,16500,360
saccade,16600,16680,80
saccade,16900,17000,100
saccade,17120,17160,40
saccade,17600,17760,160
saccade,17800,17820,20
saccade,17880,17940,60
saccade,18140,18440,300
saccade,18800,18940,140
saccade,19020,19120,100
saccade,19240,19300,60
saccade,19580,19620,40
saccade,22400,22420,20
fixation.ivt,40,300,260
fixation.ivt,360,580,220
fixation.ivt,680,840,160
fixation.ivt,940,1080,140
fixation.ivt,1140,1340,200
fixation.ivt,1500,1620,120
fixation.ivt,1720,1880,160
fixation.ivt,2100,2320,220
fixation.ivt,2440,2580,140
fixation.ivt,2700,2800,100
fixation.ivt,2900,3100,200
fixation.ivt,3220,3360,140
fixation.ivt,3640,3800,160
fixation.ivt,4120,4340,220
fixation.ivt,4620,4780,160
fixation.ivt,4900,5320,420
fixation.ivt,5640,5780,140
fixation.ivt,5980,6200,220
fixation.ivt,6520,6660,140
fixation.ivt,6780,6960,180
fixation.ivt,7100,7200,100
fixation.ivt,7260,7420,160
fixation.ivt,7940,8040,100
fixation.ivt,8340,8600,260
fixation.ivt,8880,9120,240
fixation.ivt,9400,9540,140
fixation.ivt,9660,9820,160
fixation.ivt,9920,10120,200
fixation.ivt,10200,10320,120
fixation.ivt,10400,10520,120
fixation.ivt,10640,10740,100
fixation.ivt,10820,10940,120
fixation.ivt,11040,11200,160
fixation.ivt,11880,12000,120
fixation.ivt,12120,12220,100
fixation.ivt,12520,12740,220
fixation.ivt,12840,12980,140
fixation.ivt,13180,13400,220
fixation.ivt,14120,14360,240
fixation.ivt,14700,14800,100
fixation.ivt,14940,15100,160
fixation.ivt,16700,16880,180
fixation.ivt,17180,17580,400
fixation.ivt,17960,18100,140
fixation.ivt,18460,18780,320
fixation.ivt,19320,19540,220
fixation.ivt,19640,20080,440
fixation.ivt,20160,22360,2200
fixation.ivt,22440,23340,900
fixation.ivt,23420,24940,1520
fixation.ivt,40,300,260
fixation.ivt,360,580,220
fixation.ivt,680,840,160
fixation.ivt,940,1080,140
fixation.ivt,1140,1340,200
fixation.ivt,1500,1620,120
fixation.ivt,1720,1880,160
fixation.ivt,2100,2320,220
fixation.ivt,2440,2580,140
fixation.ivt,2700,2800,100
fixation.ivt,2900,3100,200
fixation.ivt,3220,3360,140
fixation.ivt,3640,3800,160
fixation.ivt,4120,4340,220
fixation.ivt,4620,4780,160
fixation.ivt,4900,5320,420
fixation.ivt,5640,5780,140
fixation.ivt,5980,6200,220
fixation.ivt,6520,6660,140
fixation.ivt,6780,6960,180
fixation.ivt,7100,7200,100
fixation.ivt,7260,7420,160
fixation.ivt,7940,8040,100
fixation.ivt,8340,8600,260
fixation.ivt,8880,9120,240
fixation.ivt,9400,9540,140
fixation.ivt,9660,9820,160
fixation.ivt,9920,10120,200
fixation.ivt,10200,10320,120
fixation.ivt,10400,10520,120
fixation.ivt,10640,10740,100
fixation.ivt,10820,10940,120
fixation.ivt,11040,11200,160
fixation.ivt,11880,12000,120
fixation.ivt,12120,12220,100
fixation.ivt,12520,12740,220
fixation.ivt,12840,12980,140
fixation.ivt,13180,13400,220
fixation.ivt,14120,14360,240
fixation.ivt,14700,14800,100
fixation.ivt,14940,15100,160
fixation.ivt,16700,16880,180
fixation.ivt,17180,17580,400
fixation.ivt,17960,18100,140
fixation.ivt,18460,18780,320
fixation.ivt,19320,19540,220
fixation.ivt,19640,20080,440
fixation.ivt,20160,22360,2200
fixation.ivt,22440,23340,900
fixation.ivt,23420,24940,1520
fixation.ivt,40,300,260
fixation.ivt,360,580,220
fixation.ivt,680,840,160
fixation.ivt,940,1080,140
fixation.ivt,1140,1340,200
fixation.ivt,1500,1620,120
fixation.ivt,1720,1880,160
fixation.ivt,2100,2320,220
fixation.ivt,2440,2580,140
fixation.ivt,2700,2800,100
fixation.ivt,2900,3100,200
fixation.ivt,3220,3360,140
fixation.ivt,3640,3800,160
fixation.ivt,4120,4340,220
fixation.ivt,4620,4780,160
fixation.ivt,4900,5320,420
fixation.ivt,5640,5780,140
fixation.ivt,5980,6200,220
fixation.ivt,6520,6660,140
fixation.ivt,6780,6960,180
fixation.ivt,7100,7200,100
fixation.ivt,7260,7420,160
fixation.ivt,7940,8040,100
fixation.ivt,8340,8600,260
fixation.ivt,8880,9120,240
fixation.ivt,9400,9540,140
fixation.ivt,9660,9820,160
fixation.ivt,9920,10120,200
fixation.ivt,10200,10320,120
fixation.ivt,10400,10520,120
fixation.ivt,10640,10740,100
fixation.ivt,10820,10940,120
fixation.ivt,11040,11200,160
fixation.ivt,11880,12000,120
fixation.ivt,12120,12220,100
fixation.ivt,12520,12740,220
fixation.ivt,12840,12980,140
fixation.ivt,13180,13400,220
fixation.ivt,14120,14360,240
fixation.ivt,14700,14800,100
fixation.ivt,14940,15100,160
fixation.ivt,16700,16880,180
fixation.ivt,17180,17580,400
fixation.ivt,17960,18100,140
fixation.ivt,18460,18780,320
fixation.ivt,19320,19540,220
fixation.ivt,19640,20080,440
fixation.ivt,20160,22360,2200
fixation.ivt,22440,23340,900
fixation.ivt,23420,24940,1520
fixation.ivt,40,300,260
fixation.ivt,360,580,220
fixation.ivt,680,840,160
fixation.ivt,940,1080,140
fixation.ivt,1140,1340,200
fixation.ivt,1500,1620,120
fixation.ivt,1720,1880,160
fixation.ivt,2100,2320,220
fixation.ivt,2440,2580,140
fixation.ivt,2700,2800,100
fixation.ivt,2900,3100,200
fixation.ivt,3220,3360,140
fixation.ivt,3640,3800,160
fixation.ivt,4120,4340,220
fixation.ivt,4620,4780,160
fixation.ivt,4900,5320,420
fixation.ivt,5640,5780,140
fixation.ivt,5980,6200,220
fixation.ivt,6520,6660,140
fixation.ivt,6780,6960,180
fixation.ivt,7100,7200,100
fixation.ivt,7260,7420,160
fixation.ivt,7940,8040,100
fixation.ivt,8340,8600,260
fixation.ivt,8880,9120,240
fixation.ivt,9400,9540,140
fixation.ivt,9660,9820,160
fixation.ivt,9920,10120,200
fixation.ivt,10200,10320,120
fixation.ivt,10400,10520,120
fixation.ivt,10640,10740,100
fixation.ivt,10820,10940,120
fixation.ivt,11040,11200,160
fixation.ivt,11880,12000,120
fixation.ivt,12120,12220,100
fixation.ivt,12520,12740,220
fixation.ivt,12840,12980,140
fixation.ivt,13180,13400,220
fixation.ivt,14120,14360,240
fixation.ivt,14700,14800,100
fixation.ivt,14940,15100,160
fixation.ivt,16700,16880,180
fixation.ivt,17180,17580,400
fixation.ivt,17960,18100,140
fixation.ivt,18460,18780,320
fixation.ivt,19320,19540,220
fixation.ivt,19640,20080,440
fixation.ivt,20160,22360,2200
fixation.ivt,22440,23340,900
fixation.ivt,23420,24940,1520
fixation.ivt,40,300,260
fixation.ivt,360,580,220
fixation.ivt,680,840,160
fixation.ivt,940,1080,140
fixation.ivt,1140,1340,200
fixation.ivt,1500,1620,120
fixation.ivt,1720,1880,160
fixation.ivt,2100,2320,220
fixation.ivt,2440,2580,140
fixation.ivt,2700,2800,100
fixation.ivt,2900,3100,200
fixation.ivt,3220,3360,140
fixation.ivt,3640,3800,160
fixation.ivt,4120,4340,220
fixation.ivt,4620,4780,160
fixation.ivt,4900,5320,420
fixation.ivt,5640,5780,140
fixation.ivt,5980,6200,220
fixation.ivt,6520,6660,140
fixation.ivt,6780,6960,180
fixation.ivt,7100,7200,100
fixation.ivt,7260,7420,160
fixation.ivt,7940,8040,100
fixation.ivt,8340,8600,260
fixation.ivt,8880,9120,240
fixation.ivt,9400,9540,140
fixation.ivt,9660,9820,160
fixation.ivt,9920,10120,200
fixation.ivt,10200,10320,120
fixation.ivt,10400,10520,120
fixation.ivt,10640,10740,100
fixation.ivt,10820,10940,120
fixation.ivt,11040,11200,160
fixation.ivt,11880,12000,120
fixation.ivt,12120,12220,100
fixation.ivt,12520,12740,220
fixation.ivt,12840,12980,140
fixation.ivt,13180,13400,220
fixation.ivt,14120,14360,240
fixation.ivt,14700,14800,100
fixation.ivt,14940,15100,160
fixation.ivt,16700,16880,180
fixation.ivt,17180,17580,400
fixation.ivt,17960,18100,140
fixation.ivt,18460,18780,320
fixation.ivt,19320,19540,220
fixation.ivt,19640,20080,440
fixation.ivt,20160,22360,2200
fixation.ivt,22440,23340,900
fixation.ivt,23420,24940,1520
fixation.ivt,40,300,260
fixation.ivt,360,580,220
fixation.ivt,680,840,160
fixation.ivt,940,1080,140
fixation.ivt,1140,1340,200
fixation.ivt,1500,1620,120
fixation.ivt,1720,1880,160
fixation.ivt,2100,2320,220
fixation.ivt,2440,2580,140
fixation.ivt,2700,2800,100
fixation.ivt,2900,3100,200
fixation.ivt,3220,3360,140
fixation.ivt,3640,3800,160
fixation.ivt,4120,4340,220
fixation.ivt,4620,4780,160
fixation.ivt,4900,5320,420
fixation.ivt,5640,5780,140
fixation.ivt,5980,6200,220
fixation.ivt,6520,6660,140
fixation.ivt,6780,6960,180
fixation.ivt,7100,7200,100
fixation.ivt,7260,7420,160
fixation.ivt,7940,8040,100
fixation.ivt,8340,8600,260
fixation.ivt,8880,9120,240
fixation.ivt,9400,9540,140
fixation.ivt,9660,9820,160
fixation.ivt,9920,10120,200
fixation.ivt,10200,10320,120
fixation.ivt,10400,10520,120
fixation.ivt,10640,10740,100
fixation.ivt,10820,10940,120
fixation.ivt,11040,11200,160
fixation.ivt,11880,12000,120
fixation.ivt,12120,12220,100
fixation.ivt,12520,12740,220
fixation.ivt,12840,12980,140
fixation.ivt,13180,13400,220
fixation.ivt,14120,14360,240
fixation.ivt,14700,14800,100
fixation.ivt,14940,15100,160
fixation.ivt,16700,16880,180
fixation.ivt,17180,17580,400
fixation.ivt,17960,18100,140
fixation.ivt,18460,18780,320
fixation.ivt,19320,19540,220
fixation.ivt,19640,20080,440
fixation.ivt,20160,22360,2200
fixation.ivt,22440,23340,900
fixation.ivt,23420,24940,1520
fixation.ivt,40,300,260
fixation.ivt,360,580,220
fixation.ivt,680,840,160
fixation.ivt,940,1080,140
fixation.ivt,1140,1340,200
fixation.ivt,1500,1620,120
fixation.ivt,1720,1880,160
fixation.ivt,2100,2320,220
fixation.ivt,2440,2580,140
fixation.ivt,2700,2800,100
fixation.ivt,2900,3100,200
fixation.ivt,3220,3360,140
fixation.ivt,3640,3800,160
fixation.ivt,4120,4340,220
fixation.ivt,4620,4780,160
fixation.ivt,4900,5320,420
fixation.ivt,5640,5780,140
fixation.ivt,5980,6200,220
fixation.ivt,6520,6660,140
fixation.ivt,6780,6960,180
fixation.ivt,7100,7200,100
fixation.ivt,7260,7420,160
fixation.ivt,7940,8040,100
fixation.ivt,8340,8600,260
fixation.ivt,8880,9120,240
fixation.ivt,9400,9540,140
fixation.ivt,9660,9820,160
fixation.ivt,9920,10120,200
fixation.ivt,10200,10320,120
fixation.ivt,10400,10520,120
fixation.ivt,10640,10740,100
fixation.ivt,10820,10940,120
fixation.ivt,11040,11200,160
fixation.ivt,11880,12000,120
fixation.ivt,12120,12220,100
fixation.ivt,12520,12740,220
fixation.ivt,12840,12980,140
fixation.ivt,13180,13400,220
fixation.ivt,14120,14360,240
fixation.ivt,14700,14800,100
fixation.ivt,14940,15100,160
fixation.ivt,16700,16880,180
fixation.ivt,17180,17580,400
fixation.ivt,17960,18100,140
fixation.ivt,18460,18780,320
fixation.ivt,19320,19540,220
fixation.ivt,19640,20080,440
fixation.ivt,20160,22360,2200
fixation.ivt,22440,23340,900
fixation.ivt,23420,24940,1520
fixation.ivt,40,300,260
fixation.ivt,360,580,220
fixation.ivt,680,840,160
fixation.ivt,940,1080,140
fixation.ivt,1140,1340,200
fixation.ivt,1500,1620,120
fixation.ivt,1720,1880,160
fixation.ivt,2100,2320,220
fixation.ivt,2440,2580,140
fixation.ivt,2700,2800,100
fixation.ivt,2900,3100,200
fixation.ivt,3220,3360,140
fixation.ivt,3640,3800,160
fixation.ivt,4120,4340,220
fixation.ivt,4620,4780,160
fixation.ivt,4900,5320,420
fixation.ivt,5640,5780,140
fixation.ivt,5980,6200,220
fixation.ivt,6520,6660,140
fixation.ivt,6780,6960,180
fixation.ivt,7100,7200,100
fixation.ivt,7260,7420,160
fixation.ivt,7940,8040,100
fixation.ivt,8340,8600,260
fixation.ivt,8880,9120,240
fixation.ivt,9400,9540,140
fixation.ivt,9660,9820,160
fixation.ivt,9920,10120,200
fixation.ivt,10200,10320,120
fixation.ivt,10400,10520,120
fixation.ivt,10640,10740,100
fixation.ivt,10820,10940,120
fixation.ivt,11040,11200,160
fixation.ivt,11880,12000,120
fixation.ivt,12120,12220,100
fixation.ivt,12520,12740,220
fixation.ivt,12840,12980,140
fixation.ivt,13180,13400,220
fixation.ivt,14120,14360,240
fixation.ivt,14700,14800,100
fixation.ivt,14940,15100,160
fixation.ivt,16700,16880,180
fixation.ivt,17180,17580,400
fixation.ivt,17960,18100,140
fixation.ivt,18460,18780,320
fixation.ivt,19320,19540,220
fixation.ivt,19640,20080,440
fixation.ivt,20160,22360,2200
fixation.ivt,22440,23340,900
fixation.ivt,23420,24940,1520
fixation.ivt,40,300,260
fixation.ivt,360,580,220
fixation.ivt,680,840,160
fixation.ivt,940,1080,140
fixation.ivt,1140,1340,200
fixation.ivt,1500,1620,120
fixation.ivt,1720,1880,160
fixation.ivt,2100,2320,220
fixation.ivt,2440,2580,140
fixation.ivt,2700,2800,100
fixation.ivt,2900,3100,200
fixation.ivt,3220,3360,140
fixation.ivt,3640,3800,160
fixation.ivt,4120,4340,220
fixation.ivt,4620,4780,160
fixation.ivt,4900,5320,420
fixation.ivt,5640,5780,140
fixation.ivt,5980,6200,220
fixation.ivt,6520,6660,140
fixation.ivt,6780,6960,180
fixation.ivt,7100,7200,100
fixation.ivt,7260,7420,160
fixation.ivt,7940,8040,100
fixation.ivt,8340,8600,260
fixation.ivt,8880,9120,240
fixation.ivt,9400,9540,140
fixation.ivt,9660,9820,160
fixation.ivt,9920,10120,200
fixation.ivt,10200,10320,120
fixation.ivt,10400,10520,120
fixation.ivt,10640,10740,100
fixation.ivt,10820,10940,120
fixation.ivt,11040,11200,160
fixation.ivt,11880,12000,120
fixation.ivt,12120,12220,100
fixation.ivt,12520,12740,220
fixation.ivt,12840,12980,140
fixation.ivt,13180,13400,220
fixation.ivt,14120,14360,240
fixation.ivt,14700,14800,100
fixation.ivt,14940,15100,160
fixation.ivt,16700,16880,180
fixation.ivt,17180,17580,400
fixation.ivt,17960,18100,140
fixation.ivt,18460,18780,320
fixation.ivt,19320,19540,220
fixation.ivt,19640,20080,440
fixation.ivt,20160,22360,2200
fixation.ivt,22440,23340,900
