name,onset,offset,duration
saccade,40,60,20
saccade,280,460,180
saccade,1280,1420,140
saccade,1500,1760,260
saccade,1960,1980,20
saccade,2220,2260,40
saccade,2420,2640,220
saccade,2700,2800,100
saccade,3020,3080,60
saccade,3520,3540,20
saccade,3900,4140,240
saccade,4180,4480,300
saccade,4520,4540,20
saccade,4580,4600,20
saccade,4980,5020,40
saccade,5220,5240,20
saccade,5860,5920,60
saccade,6360,6440,80
saccade,6540,6580,40
saccade,6680,6700,20
saccade,6740,6760,20
saccade,7660,7700,40
saccade,8120,8180,60
saccade,8380,8420,40
saccade,9120,9140,20
saccade,9180,9200,20
saccade,9320,9400,80
saccade,9940,9980,40
saccade,10160,10200,40
saccade,10320,10340,20
saccade,10380,10400,20
saccade,10740,11080,340
saccade,11140,11160,20
saccade,11720,11740,20
saccade,12160,12220,60
saccade,12560,12600,40
saccade,13060,13080,20
saccade,13240,13300,60
saccade,14000,14040,40
saccade,14200,14220,20
saccade,14480,14520,40
saccade,14680,14760,80
saccade,14860,14900,40
saccade,16320,16400,80
saccade,16480,16560,80
saccade,16940,17200,260
saccade,17280,17320,40
saccade,18360,18700,340
saccade,18760,18820,60
saccade,18880,19100,220
saccade,19160,19220,60
saccade,19420,19460,40
saccade,19580,19600,20
saccade,19740,19820,80
saccade,20320,20360,40
saccade,20800,20920,120
saccade,21020,21060,40
saccade,21720,21780,60
saccade,22180,22220,40
saccade,22380,22420,40
saccade,23540,23600,60
saccade,23740,23800,60
saccade,25060,25320,260
saccade,26000,26040,40
saccade,26380,26420,40
saccade,26780,27000,220
saccade,27400,27460,60
saccade,27560,27640,80
saccade,27700,27740,40
saccade,28100,28120,20
saccade,28560,28580,20
saccade,29160,29180,20
saccade,29380,29400,20
saccade,29940,29980,40
saccade,30220,30240,20
saccade,30580,30600,20
saccade,31140,31200,60
saccade,31240,31620,380
saccade,31880,32220,340
saccade,32260,32280,20
saccade,32320,32480,160
saccade,32880,32940,60
saccade,33080,33140,60
saccade,33300,33340,40
saccade,33860,33940,80
saccade,34020,34060,40
saccade,34260,34280,20
saccade,34880,34920,40
saccade,35380,35620,240
saccade,35740,35820,80
saccade,35920,35940,20
saccade,35980,36000,20
saccade,36580,36620,40
saccade,36860,36940,80
saccade,37900,38140,240
saccade,38180,38300,120
saccade,39080,39120,40
saccade,39460,39500,40
saccade,39620,39940,320
fixation.ivt,100,240,140
fixation.ivt,480,1240,760
fixation.ivt,2080,2200,120
fixation.ivt,3120,3220,100
fixation.ivt,3360,3480,120
fixation.ivt,3560,3860,300
fixation.ivt,4780,4940,160
fixation.ivt,5080,5200,120
fixation.ivt,5260,5840,580
fixation.ivt,5940,6200,260
fixation.ivt,6780,7120,340
fixation.ivt,7320,7440,120
fixation.ivt,7520,7640,120
fixation.ivt,7760,8100,340
fixation.ivt,8240,8360,120
fixation.ivt,8440,8900,460
fixation.ivt,8940,9100,160
fixation.ivt,9480,9580,100
fixation.ivt,9780,9900,120
fixation.ivt,10040,10140,100
fixation.ivt,10420,10720,300
fixation.ivt,11180,11680,500
fixation.ivt,11760,12000,240
fixation.ivt,12040,12140,100
fixation.ivt,12280,12540,260
fixation.ivt,12620,12860,240
fixation.ivt,12920,13020,100
fixation.ivt,13100,13220,120
fixation.ivt,13320,13520,200
fixation.ivt,13560,13980,420
fixation.ivt,14060,14180,120
fixation.ivt,14260,14460,200
fixation.ivt,14560,14660,100
fixation.ivt,14920,16060,1140
fixation.ivt,16140,16280,140
fixation.ivt,16600,16900,300
fixation.ivt,17380,18340,960
fixation.ivt,19840,20120,280
fixation.ivt,20160,20300,140
fixation.ivt,20400,20780,380
fixation.ivt,21120,21700,580
fixation.ivt,21800,22160,360
fixation.ivt,22240,22360,120
fixation.ivt,22460,22740,280
fixation.ivt,22800,23520,720
fixation.ivt,23620,23720,100
fixation.ivt,23820,24680,860
fixation.ivt,24740,24880,140
fixation.ivt,25440,25980,540
fixation.ivt,26080,26360,280
fixation.ivt,26460,26760,300
fixation.ivt,27100,27360,260
fixation.ivt,27900,28060,160
fixation.ivt,28160,28340,180
fixation.ivt,28420,28540,120
fixation.ivt,28620,28880,260
fixation.ivt,28960,29120,160
fixation.ivt,29440,29920,480
fixation.ivt,30000,30180,180
fixation.ivt,30260,30560,300
fixation.ivt,30640,31120,480
fixation.ivt,31720,31840,120
fixation.ivt,32540,32840,300
fixation.ivt,32960,33060,100
fixation.ivt,33380,33560,180
fixation.ivt,33600,33840,240
fixation.ivt,34080,34220,140
fixation.ivt,34300,34840,540
fixation.ivt,34940,35360,420
fixation.ivt,36140,36520,380
fixation.ivt,37140,37860,720
fixation.ivt,38460,38620,160
fixation.ivt,38700,39060,360
fixation.ivt,39140,39420,280
fixation.ivt,100,240,140
fixation.ivt,480,1240,760
fixation.ivt,2080,2200,120
fixation.ivt,3120,3220,100
fixation.ivt,3360,3480,120
fixation.ivt,3560,3860,300
fixation.ivt,4780,4940,160
fixation.ivt,5080,5200,120
fixation.ivt,5260,5840,580
fixation.ivt,5940,6200,260
fixation.ivt,6780,7120,340
fixation.ivt,7320,7440,120
fixation.ivt,7520,7640,120
fixation.ivt,7760,8100,340
fixation.ivt,8240,8360,120
fixation.ivt,8440,8900,460
fixation.ivt,8940,9100,160
fixation.ivt,9480,9580,100
fixation.ivt,9780,9900,120
fixation.ivt,10040,10140,100
fixation.ivt,10420,10720,300
fixation.ivt,11180,11680,500
fixation.ivt,11760,12000,240
fixation.ivt,12040,12140,100
fixation.ivt,12280,12540,260
fixation.ivt,12620,12860,240
fixation.ivt,12920,13020,100
fixation.ivt,13100,13220,120
fixation.ivt,13320,13520,200
fixation.ivt,13560,13980,420
fixation.ivt,14060,14180,120
fixation.ivt,14260,14460,200
fixation.ivt,14560,14660,100
fixation.ivt,14920,16060,1140
fixation.ivt,16140,16280,140
fixation.ivt,16600,16900,300
fixation.ivt,17380,18340,960
fixation.ivt,19840,20120,280
fixation.ivt,20160,20300,140
fixation.ivt,20400,20780,380
fixation.ivt,21120,21700,580
fixation.ivt,21800,22160,360
fixation.ivt,22240,22360,120
fixation.ivt,22460,22740,280
fixation.ivt,22800,23520,720
fixation.ivt,23620,23720,100
fixation.ivt,23820,24680,860
fixation.ivt,24740,24880,140
fixation.ivt,25440,25980,540
fixation.ivt,26080,26360,280
fixation.ivt,26460,26760,300
fixation.ivt,27100,27360,260
fixation.ivt,27900,28060,160
fixation.ivt,28160,28340,180
fixation.ivt,28420,28540,120
fixation.ivt,28620,28880,260
fixation.ivt,28960,29120,160
fixation.ivt,29440,29920,480
fixation.ivt,30000,30180,180
fixation.ivt,30260,30560,300
fixation.ivt,30640,31120,480
fixation.ivt,31720,31840,120
fixation.ivt,32540,32840,300
fixation.ivt,32960,33060,100
fixation.ivt,33380,33560,180
fixation.ivt,33600,33840,240
fixation.ivt,34080,34220,140
fixation.ivt,34300,34840,540
fixation.ivt,34940,35360,420
fixation.ivt,36140,36520,380
fixation.ivt,37140,37860,720
fixation.ivt,38460,38620,160
fixation.ivt,38700,39060,360
fixation.ivt,39140,39420,280
fixation.ivt,100,240,140
fixation.ivt,480,1240,760
fixation.ivt,2080,2200,120
fixation.ivt,3120,3220,100
fixation.ivt,3360,3480,120
fixation.ivt,3560,3860,300
fixation.ivt,4780,4940,160
fixation.ivt,5080,5200,120
fixation.ivt,5260,5840,580
fixation.ivt,5940,6200,260
fixation.ivt,6780,7120,340
fixation.ivt,7320,7440,120
fixation.ivt,7520,7640,120
fixation.ivt,7760,8100,340
fixation.ivt,8240,8360,120
fixation.ivt,8440,8900,460
fixation.ivt,8940,9100,160
fixation.ivt,9480,9580,100
fixation.ivt,9780,9900,120
fixation.ivt,10040,10140,100
fixation.ivt,10420,10720,300
fixation.ivt,11180,11680,500
fixation.ivt,11760,12000,240
fixation.ivt,12040,12140,100
fixation.ivt,12280,12540,260
fixation.ivt,12620,12860,240
fixation.ivt,12920,13020,100
fixation.ivt,13100,13220,120
fixation.ivt,13320,13520,200
fixation.ivt,13560,13980,420
fixation.ivt,14060,14180,120
fixation.ivt,14260,14460,200
fixation.ivt,14560,14660,100
fixation.ivt,14920,16060,1140
fixation.ivt,16140,16280,140
fixation.ivt,16600,16900,300
fixation.ivt,17380,18340,960
fixation.ivt,19840,20120,280
fixation.ivt,20160,20300,140
fixation.ivt,20400,20780,380
fixation.ivt,21120,21700,580
fixation.ivt,21800,22160,360
fixation.ivt,22240,22360,120
fixation.ivt,22460,22740,280
fixation.ivt,22800,23520,720
fixation.ivt,23620,23720,100
fixation.ivt,23820,24680,860
fixation.ivt,24740,24880,140
fixation.ivt,25440,25980,540
fixation.ivt,26080,26360,280
fixation.ivt,26460,26760,300
fixation.ivt,27100,27360,260
fixation.ivt,27900,28060,160
fixation.ivt,28160,28340,180
fixation.ivt,28420,28540,120
fixation.ivt,28620,28880,260
fixation.ivt,28960,29120,160
fixation.ivt,29440,29920,480
fixation.ivt,30000,30180,180
fixation.ivt,30260,30560,300
fixation.ivt,30640,31120,480
fixation.ivt,31720,31840,120
fixation.ivt,32540,32840,300
fixation.ivt,32960,33060,100
fixation.ivt,33380,33560,180
fixation.ivt,33600,33840,240
fixation.ivt,34080,34220,140
fixation.ivt,34300,34840,540
fixation.ivt,34940,35360,420
fixation.ivt,36140,36520,380
fixation.ivt,37140,37860,720
fixation.ivt,38460,38620,160
fixation.ivt,38700,39060,360
fixation.ivt,39140,39420,280
fixation.ivt,100,240,140
fixation.ivt,480,1240,760
fixation.ivt,2080,2200,120
fixation.ivt,3120,3220,100
fixation.ivt,3360,3480,120
fixation.ivt,3560,3860,300
fixation.ivt,4780,4940,160
fixation.ivt,5080,5200,120
fixation.ivt,5260,5840,580
fixation.ivt,5940,6200,260
fixation.ivt,6780,7120,340
fixation.ivt,7320,7440,120
fixation.ivt,7520,7640,120
fixation.ivt,7760,8100,340
fixation.ivt,8240,8360,120
fixation.ivt,8440,8900,460
fixation.ivt,8940,9100,160
fixation.ivt,9480,9580,100
fixation.ivt,9780,9900,120
fixation.ivt,10040,10140,100
fixation.ivt,10420,10720,300
fixation.ivt,11180,11680,500
fixation.ivt,11760,12000,240
fixation.ivt,12040,12140,100
fixation.ivt,12280,12540,260
fixation.ivt,12620,12860,240
fixation.ivt,12920,13020,100
fixation.ivt,13100,13220,120
fixation.ivt,13320,13520,200
fixation.ivt,13560,13980,420
fixation.ivt,14060,14180,120
fixation.ivt,14260,14460,200
fixation.ivt,14560,14660,100
fixation.ivt,14920,16060,1140
fixation.ivt,16140,16280,140
fixation.ivt,16600,16900,300
fixation.ivt,17380,18340,960
fixation.ivt,19840,20120,280
fixation.ivt,20160,20300,140
fixation.ivt,20400,20780,380
fixation.ivt,21120,21700,580
fixation.ivt,21800,22160,360
fixation.ivt,22240,22360,120
fixation.ivt,22460,22740,280
fixation.ivt,22800,23520,720
fixation.ivt,23620,23720,100
fixation.ivt,23820,24680,860
fixation.ivt,24740,24880,140
fixation.ivt,25440,25980,540
fixation.ivt,26080,26360,280
fixation.ivt,26460,26760,300
fixation.ivt,27100,27360,260
fixation.ivt,27900,28060,160
fixation.ivt,28160,28340,180
fixation.ivt,28420,28540,120
fixation.ivt,28620,28880,260
fixation.ivt,28960,29120,160
fixation.ivt,29440,29920,480
fixation.ivt,30000,30180,180
fixation.ivt,30260,30560,300
fixation.ivt,30640,31120,480
fixation.ivt,31720,31840,120
fixation.ivt,32540,32840,300
fixation.ivt,32960,33060,100
fixation.ivt,33380,33560,180
fixation.ivt,33600,33840,240
fixation.ivt,34080,34220,140
fixation.ivt,34300,34840,540
fixation.ivt,34940,35360,420
fixation.ivt,36140,36520,380
fixation.ivt,37140,37860,720
fixation.ivt,38460,38620,160
fixation.ivt,38700,39060,360
fixation.ivt,39140,39420,280
fixation.ivt,100,240,140
fixation.ivt,480,1240,760
fixation.ivt,2080,2200,120
fixation.ivt,3120,3220,100
fixation.ivt,3360,3480,120
fixation.ivt,3560,3860,300
fixation.ivt,4780,4940,160
fixation.ivt,5080,5200,120
fixation.ivt,5260,5840,580
fixation.ivt,5940,6200,260
fixation.ivt,6780,7120,340
fixation.ivt,7320,7440,120
fixation.ivt,7520,7640,120
fixation.ivt,7760,8100,340
fixation.ivt,8240,8360,120
fixation.ivt,8440,8900,460
fixation.ivt,8940,9100,160
fixation.ivt,9480,9580,100
fixation.ivt,9780,9900,120
fixation.ivt,10040,10140,100
fixation.ivt,10420,10720,300
fixation.ivt,11180,11680,500
fixation.ivt,11760,12000,240
fixation.ivt,12040,12140,100
fixation.ivt,12280,12540,260
fixation.ivt,12620,12860,240
fixation.ivt,12920,13020,100
fixation.ivt,13100,13220,120
fixation.ivt,13320,13520,200
fixation.ivt,13560,13980,420
fixation.ivt,14060,14180,120
fixation.ivt,14260,14460,200
fixation.ivt,14560,14660,100
fixation.ivt,14920,16060,1140
fixation.ivt,16140,16280,140
fixation.ivt,16600,16900,300
fixation.ivt,17380,18340,960
fixation.ivt,19840,20120,280
fixation.ivt,20160,20300,140
fixation.ivt,20400,20780,380
fixation.ivt,21120,21700,580
fixation.ivt,21800,22160,360
fixation.ivt,22240,22360,120
fixation.ivt,22460,22740,280
fixation.ivt,22800,23520,720
fixation.ivt,23620,23720,100
fixation.ivt,23820,24680,860
fixation.ivt,24740,24880,140
fixation.ivt,25440,25980,540
fixation.ivt,26080,26360,280
fixation.ivt,26460,26760,300
fixation.ivt,27100,27360,260
fixation.ivt,27900,28060,160
fixation.ivt,28160,28340,180
fixation.ivt,28420,28540,120
fixation.ivt,28620,28880,260
fixation.ivt,28960,29120,160
fixation.ivt,29440,29920,480
fixation.ivt,30000,30180,180
fixation.ivt,30260,30560,300
fixation.ivt,30640,31120,480
fixation.ivt,31720,31840,120
fixation.ivt,32540,32840,300
fixation.ivt,32960,33060,100
fixation.ivt,33380,33560,180
fixation.ivt,33600,33840,240
fixation.ivt,34080,34220,140
fixation.ivt,34300,34840,540
fixation.ivt,34940,35360,420
fixation.ivt,36140,36520,380
fixation.ivt,37140,37860,720
fixation.ivt,38460,38620,160
fixation.ivt,38700,39060,360
fixation.ivt,39140,39420,280
fixation.ivt,100,240,140
fixation.ivt,480,1240,760
fixation.ivt,2080,2200,120
fixation.ivt,3120,3220,100
fixation.ivt,3360,3480,120
fixation.ivt,3560,3860,300
fixation.ivt,4780,4940,160
fixation.ivt,5080,5200,120
fixation.ivt,5260,5840,580
fixation.ivt,5940,6200,260
fixation.ivt,6780,7120,340
fixation.ivt,7320,7440,120
fixation.ivt,7520,7640,120
fixation.ivt,7760,8100,340
fixation.ivt,8240,8360,120
fixation.ivt,8440,8900,460
fixation.ivt,8940,9100,160
fixation.ivt,9480,9580,100
fixation.ivt,9780,9900,120
fixation.ivt,10040,10140,100
fixation.ivt,10420,10720,300
fixation.ivt,11180,11680,500
fixation.ivt,11760,12000,240
fixation.ivt,12040,12140,100
fixation.ivt,12280,12540,260
fixation.ivt,12620,12860,240
fixation.ivt,12920,13020,100
fixation.ivt,13100,13220,120
fixation.ivt,13320,13520,200
fixation.ivt,13560,13980,420
fixation.ivt,14060,14180,120
fixation.ivt,14260,14460,200
fixation.ivt,14560,14660,100
fixation.ivt,14920,16060,1140
fixation.ivt,16140,16280,140
fixation.ivt,16600,16900,300
fixation.ivt,17380,18340,960
fixation.ivt,19840,20120,280
fixation.ivt,20160,20300,140
fixation.ivt,20400,20780,380
fixation.ivt,21120,21700,580
fixation.ivt,21800,22160,360
fixation.ivt,22240,22360,120
fixation.ivt,22460,22740,280
fixation.ivt,22800,23520,720
fixation.ivt,23620,23720,100
fixation.ivt,23820,24680,860
fixation.ivt,24740,24880,140
fixation.ivt,25440,25980,540
fixation.ivt,26080,26360,280
fixation.ivt,26460,26760,300
fixation.ivt,27100,27360,260
fixation.ivt,27900,28060,160
fixation.ivt,28160,28340,180
fixation.ivt,28420,28540,120
fixation.ivt,28620,28880,260
fixation.ivt,28960,29120,160
fixation.ivt,29440,29920,480
fixation.ivt,30000,30180,180
fixation.ivt,30260,30560,300
fixation.ivt,30640,31120,480
fixation.ivt,31720,31840,120
fixation.ivt,32540,32840,300
fixation.ivt,32960,33060,100
fixation.ivt,33380,33560,180
fixation.ivt,33600,33840,240
fixation.ivt,34080,34220,140
fixation.ivt,34300,34840,540
fixation.ivt,34940,35360,420
fixation.ivt,36140,36520,380
fixation.ivt,37140,37860,720
fixation.ivt,38460,38620,160
fixation.ivt,38700,39060,360
fixation.ivt,39140,39420,280
fixation.ivt,100,240,140
fixation.ivt,480,1240,760
fixation.ivt,2080,2200,120
fixation.ivt,3120,3220,100
fixation.ivt,3360,3480,120
fixation.ivt,3560,3860,300
fixation.ivt,4780,4940,160
fixation.ivt,5080,5200,120
fixation.ivt,5260,5840,580
fixation.ivt,5940,6200,260
fixation.ivt,6780,7120,340
fixation.ivt,7320,7440,120
fixation.ivt,7520,7640,120
fixation.ivt,7760,8100,340
fixation.ivt,8240,8360,120
fixation.ivt,8440,8900,460
fixation.ivt,8940,9100,160
fixation.ivt,9480,9580,100
fixation.ivt,9780,9900,120
fixation.ivt,10040,10140,100
fixation.ivt,10420,10720,300
fixation.ivt,11180,11680,500
fixation.ivt,11760,12000,240
fixation.ivt,12040,12140,100
fixation.ivt,12280,12540,260
fixation.ivt,12620,12860,240
fixation.ivt,12920,13020,100
fixation.ivt,13100,13220,120
fixation.ivt,13320,13520,200
fixation.ivt,13560,13980,420
fixation.ivt,14060,14180,120
fixation.ivt,14260,14460,200
fixation.ivt,14560,14660,100
fixation.ivt,14920,16060,1140
fixation.ivt,16140,16280,140
fixation.ivt,16600,16900,300
fixation.ivt,17380,18340,960
fixation.ivt,19840,20120,280
fixation.ivt,20160,20300,140
fixation.ivt,20400,20780,380
fixation.ivt,21120,21700,580
fixation.ivt,21800,22160,360
fixation.ivt,22240,22360,120
fixation.ivt,22460,22740,280
fixation.ivt,22800,23520,720
fixation.ivt,23620,23720,100
fixation.ivt,23820,24680,860
fixation.ivt,24740,24880,140
fixation.ivt,25440,25980,540
fixation.ivt,26080,26360,280
fixation.ivt,26460,26760,300
fixation.ivt,27100,27360,260
fixation.ivt,27900,28060,160
fixation.ivt,28160,28340,180
fixation.ivt,28420,28540,120
fixation.ivt,28620,28880,260
fixation.ivt,28960,29120,160
fixation.ivt,29440,29920,480
fixation.ivt,30000,30180,180
fixation.ivt,30260,30560,300
fixation.ivt,30640,31120,480
fixation.ivt,31720,31840,120
fixation.ivt,32540,32840,300
fixation.ivt,32960,33060,100
fixation.ivt,33380,33560,180
fixation.ivt,33600,33840,240
fixation.ivt,34080,34220,140
fixation.ivt,34300,34840,540
fixation.ivt,34940,35360,420
fixation.ivt,36140,36520,380
fixation.ivt,37140,37860,720
fixation.ivt,38460,38620,160
fixation.ivt,38700,39060,360
fixation.ivt,39140,39420,280
fixation.ivt,100,240,140
fixation.ivt,480,1240,760
fixation.ivt,2080,2200,120
fixation.ivt,3120,3220,100
fixation.ivt,3360,3480,120
fixation.ivt,3560,3860,300
fixation.ivt,4780,4940,160
fixation.ivt,5080,5200,120
fixation.ivt,5260,5840,580
fixation.ivt,5940,6200,260
fixation.ivt,6780,7120,340
fixation.ivt,7320,7440,120
fixation.ivt,7520,7640,120
fixation.ivt,7760,8100,340
fixation.ivt,8240,8360,120
fixation.ivt,8440,8900,460
fixation.ivt,8940,9100,160
fixation.ivt,9480,9580,100
fixation.ivt,9780,9900,120
fixation.ivt,10040,10140,100
fixation.ivt,10420,10720,300
fixation.ivt,11180,11680,500
fixation.ivt,11760,12000,240
fixation.ivt,12040,12140,100
fixation.ivt,12280,12540,260
fixation.ivt,12620,12860,240
fixation.ivt,12920,13020,100
fixation.ivt,13100,13220,120
fixation.ivt,13320,13520,200
fixation.ivt,13560,13980,420
fixation.ivt,14060,14180,120
fixation.ivt,14260,14460,200
fixation.ivt,14560,14660,100
fixation.ivt,14920,16060,1140
fixation.ivt,16140,16280,140
fixation.ivt,16600,16900,300
fixation.ivt,17380,18340,960
fixation.ivt,19840,20120,280
fixation.ivt,20160,20300,140
fixation.ivt,20400,20780,380
fixation.ivt,21120,21700,580
fixation.ivt,21800,22160,360
fixation.ivt,22240,22360,120
fixation.ivt,22460,22740,280
fixation.ivt,22800,23520,720
fixation.ivt,23620,23720,100
fixation.ivt,23820,24680,860
fixation.ivt,24740,24880,140
fixation.ivt,25440,25980,540
fixation.ivt,26080,26360,280
fixation.ivt,26460,26760,300
fixation.ivt,27100,27360,260
fixation.ivt,27900,28060,160
fixation.ivt,28160,28340,180
fixation.ivt,28420,28540,120
fixation.ivt,28620,28880,260
fixation.ivt,28960,29120,160
fixation.ivt,29440,29920,480
fixation.ivt,30000,30180,180
fixation.ivt,30260,30560,300
fixation.ivt,30640,31120,480
fixation.ivt,31720,31840,120
fixation.ivt,32540,32840,300
fixation.ivt,32960,33060,100
fixation.ivt,33380,33560,180
fixation.ivt,33600,33840,240
fixation.ivt,34080,34220,140
fixation.ivt,34300,34840,540
fixation.ivt,34940,35360,420
fixation.ivt,36140,36520,380
fixation.ivt,37140,37860,720
fixation.ivt,38460,38620,160
fixation.ivt,38700,39060,360
fixation.ivt,39140,39420,280
fixation.ivt,100,240,140
fixation.ivt,480,1240,760
fixation.ivt,2080,2200,120
fixation.ivt,3120,3220,100
fixation.ivt,3360,3480,120
fixation.ivt,3560,3860,300
fixation.ivt,4780,4940,160
fixation.ivt,5080,5200,120
fixation.ivt,5260,5840,580
fixation.ivt,5940,6200,260
fixation.ivt,6780,7120,340
fixation.ivt,7320,7440,120
fixation.ivt,7520,7640,120
fixation.ivt,7760,8100,340
fixation.ivt,8240,8360,120
fixation.ivt,8440,8900,460
fixation.ivt,8940,9100,160
fixation.ivt,9480,9580,100
fixation.ivt,9780,9900,120
fixation.ivt,10040,10140,100
fixation.ivt,10420,10720,300
fixation.ivt,11180,11680,500
fixation.ivt,11760,12000,240
fixation.ivt,12040,12140,100
fixation.ivt,12280,12540,260
fixation.ivt,12620,12860,240
fixation.ivt,12920,13020,100
fixation.ivt,13100,13220,120
fixation.ivt,13320,13520,200
fixation.ivt,13560,13980,420
fixation.ivt,14060,14180,120
fixation.ivt,14260,14460,200
fixation.ivt,14560,14660,100
fixation.ivt,14920,16060,1140
fixation.ivt,16140,16280,140
fixation.ivt,16600,16900,300
fixation.ivt,17380,18340,960
fixation.ivt,19840,20120,280
fixation.ivt,20160,20300,140
fixation.ivt,20400,20780,380
fixation.ivt,21120,21700,580
fixation.ivt,21800,22160,360
fixation.ivt,22240,22360,120
fixation.ivt,22460,22740,280
fixation.ivt,22800,23520,720
fixation.ivt,23620,23720,100
fixation.ivt,23820,24680,860
fixation.ivt,24740,24880,140
fixation.ivt,25440,25980,540
fixation.ivt,26080,26360,280
fixation.ivt,26460,26760,300
fixation.ivt,27100,27360,260
fixation.ivt,27900,28060,160
fixation.ivt,28160,28340,180
fixation.ivt,28420,28540,120
fixation.ivt,28620,28880,260
fixation.ivt,28960,29120,160
fixation.ivt,29440,29920,480
fixation.ivt,30000,30180,180
fixation.ivt,30260,30560,300
fixation.ivt,30640,31120,480
fixation.ivt,31720,31840,120
fixation.ivt,32540,32840,300
fixation.ivt,32960,33060,100
fixation.ivt,33380,33560,180
fixation.ivt,33600,33840,240
fixation.ivt,34080,34220,140
fixation.ivt,34300,34840,540
fixation.ivt,34940,35360,420
fixation.ivt,36140,36520,380
fixation.ivt,37140,37860,720
fixation.ivt,38460,38620,160
fixation.ivt,38700,39060,360
