name,onset,offset,duration
saccade,660,740,80
saccade,980,1000,20
saccade,1040,1140,100
saccade,1320,1360,40
saccade,1640,1760,120
saccade,1880,1900,20
saccade,2040,2140,100
saccade,2600,2660,60
saccade,2780,2840,60
saccade,3160,3240,80
saccade,3420,3480,60
saccade,3660,3720,60
saccade,3920,4200,280
saccade,4460,4580,120
saccade,4620,4700,80
saccade,4920,4980,60
saccade,5220,5240,20
saccade,5280,5380,100
saccade,5860,5940,80
saccade,6060,6100,40
saccade,6420,6480,60
saccade,6640,6700,60
saccade,6860,6920,60
saccade,7080,7140,60
saccade,7340,7400,60
saccade,7620,7660,40
saccade,7820,7900,80
saccade,7980,8060,80
saccade,8400,8480,80
saccade,8560,8580,20
saccade,8620,8640,20
saccade,8700,8760,60
saccade,9040,9100,60
saccade,9300,9340,40
saccade,9680,9720,40
saccade,9920,9980,60
saccade,10300,10400,100
saccade,10600,10680,80
saccade,10940,11020,80
saccade,11200,11260,60
saccade,11380,11440,60
saccade,11600,11660,60
saccade,12260,12340,80
saccade,12580,12640,60
saccade,12860,12920,60
saccade,13160,13220,60
saccade,13400,13520,120
saccade,13840,13920,80
saccade,14020,14080,60
saccade,14340,14400,60
saccade,14560,14640,80
saccade,14860,14920,60
saccade,15100,15140,40
saccade,15260,15320,60
saccade,15740,15840,100
saccade,16100,16160,60
saccade,16400,16460,60
saccade,16500,16520,20
saccade,16600,16660,60
saccade,17340,17460,120
saccade,17780,17800,20
saccade,17840,17860,20
saccade,17960,18340,380
saccade,18500,18560,60
saccade,18660,18720,60
saccade,18860,18880,20
saccade,19040,19080,40
saccade,20140,20260,120
saccade,20420,20500,80
saccade,20620,20720,100
saccade,20960,21000,40
saccade,21460,21540,80
saccade,22180,22320,140
saccade,22360,22520,160
saccade,22700,22800,100
saccade,22840,22960,120
saccade,23120,23140,20
saccade,24100,24300,200
saccade,24360,24440,80
saccade,24560,24660,100
saccade,24820,24860,40
saccade,25380,25460,80
saccade,25660,25740,80
saccade,26120,26140,20
saccade,26180,26200,20
saccade,26520,26840,320
saccade,26980,27000,20
saccade,27220,27280,60
saccade,27760,27820,60
saccade,28400,28460,60
saccade,28600,28760,160
saccade,28800,28940,140
saccade,29480,29560,80
saccade,29780,29800,20
fixation.ivt,40,640,600
fixation.ivt,760,940,180
fixation.ivt,1160,1280,120
fixation.ivt,1380,1620,240
fixation.ivt,1920,2020,100
fixation.ivt,2160,2580,420
fixation.ivt,2860,3140,280
fixation.ivt,3260,3400,140
fixation.ivt,3500,3640,140
fixation.ivt,3740,3900,160
fixation.ivt,4220,4440,220
fixation.ivt,4720,4900,180
fixation.ivt,5020,5200,180
fixation.ivt,5400,5840,440
fixation.ivt,6120,6400,280
fixation.ivt,6500,6600,100
fixation.ivt,6720,6840,120
fixation.ivt,6940,7060,120
fixation.ivt,7160,7320,160
fixation.ivt,7420,7600,180
fixation.ivt,7680,7800,120
fixation.ivt,8080,8380,300
fixation.ivt,8780,9020,240
fixation.ivt,9120,9280,160
fixation.ivt,9360,9660,300
fixation.ivt,9740,9900,160
fixation.ivt,10000,10280,280
fixation.ivt,10420,10580,160
fixation.ivt,10700,10920,220
fixation.ivt,11040,11180,140
fixation.ivt,11460,11580,120
fixation.ivt,11680,12240,560
fixation.ivt,12360,12560,200
fixation.ivt,12680,12820,140
fixation.ivt,12940,13140,200
fixation.ivt,13240,13380,140
fixation.ivt,13540,13820,280
fixation.ivt,14100,14320,220
fixation.ivt,14420,14540,120
fixation.ivt,14660,14840,180
fixation.ivt,14940,15080,140
fixation.ivt,15340,15720,380
fixation.ivt,15860,16080,220
fixation.ivt,16180,16380,200
fixation.ivt,16680,17320,640
fixation.ivt,17480,17760,280
fixation.ivt,18380,18480,100
fixation.ivt,18740,18840,100
fixation.ivt,18900,19020,120
fixation.ivt,19100,19400,300
fixation.ivt,19440,20100,660
fixation.ivt,20280,20400,120
fixation.ivt,20740,20940,200
fixation.ivt,21020,21440,420
fixation.ivt,21560,22140,580
fixation.ivt,22560,22680,120
fixation.ivt,23000,23100,100
fixation.ivt,23160,24060,900
fixation.ivt,24680,24800,120
fixation.ivt,24880,25360,480
fixation.ivt,25500,25640,140
fixation.ivt,25760,26100,340
fixation.ivt,26220,26500,280
fixation.ivt,27020,27200,180
fixation.ivt,27300,27400,100
fixation.ivt,27460,27740,280
fixation.ivt,27840,28120,280
fixation.ivt,28160,28360,200
fixation.ivt,28480,28580,100
fixation.ivt,28960,29260,300
fixation.ivt,29320,29460,140
fixation.ivt,29580,29740,160
fixation.ivt,29840,29940,100
fixation.ivt,40,640,600
fixation.ivt,760,940,180
fixation.ivt,1160,1280,120
fixation.ivt,1380,1620,240
fixation.ivt,1920,2020,100
fixation.ivt,2160,2580,420
fixation.ivt,2860,3140,280
fixation.ivt,3260,3400,140
fixation.ivt,3500,3640,140
fixation.ivt,3740,3900,160
fixation.ivt,4220,4440,220
fixation.ivt,4720,4900,180
fixation.ivt,5020,5200,180
fixation.ivt,5400,5840,440
fixation.ivt,6120,6400,280
fixation.ivt,6500,6600,100
fixation.ivt,6720,6840,120
fixation.ivt,6940,7060,120
fixation.ivt,7160,7320,160
fixation.ivt,7420,7600,180
fixation.ivt,7680,7800,120
fixation.ivt,8080,8380,300
fixation.ivt,8780,9020,240
fixation.ivt,9120,9280,160
fixation.ivt,9360,9660,300
fixation.ivt,9740,9900,160
fixation.ivt,10000,10280,280
fixation.ivt,10420,10580,160
fixation.ivt,10700,10920,220
fixation.ivt,11040,11180,140
fixation.ivt,11460,11580,120
fixation.ivt,11680,12240,560
fixation.ivt,12360,12560,200
fixation.ivt,12680,12820,140
fixation.ivt,12940,13140,200
fixation.ivt,13240,13380,140
fixation.ivt,13540,13820,280
fixation.ivt,14100,14320,220
fixation.ivt,14420,14540,120
fixation.ivt,14660,14840,180
fixation.ivt,14940,15080,140
fixation.ivt,15340,15720,380
fixation.ivt,15860,16080,220
fixation.ivt,16180,16380,200
fixation.ivt,16680,17320,640
fixation.ivt,17480,17760,280
fixation.ivt,18380,18480,100
fixation.ivt,18740,18840,100
fixation.ivt,18900,19020,120
fixation.ivt,19100,19400,300
fixation.ivt,19440,20100,660
fixation.ivt,20280,20400,120
fixation.ivt,20740,20940,200
fixation.ivt,21020,21440,420
fixation.ivt,21560,22140,580
fixation.ivt,22560,22680,120
fixation.ivt,23000,23100,100
fixation.ivt,23160,24060,900
fixation.ivt,24680,24800,120
fixation.ivt,24880,25360,480
fixation.ivt,25500,25640,140
fixation.ivt,25760,26100,340
fixation.ivt,26220,26500,280
fixation.ivt,27020,27200,180
fixation.ivt,27300,27400,100
fixation.ivt,27460,27740,280
fixation.ivt,27840,28120,280
fixation.ivt,28160,28360,200
fixation.ivt,28480,28580,100
fixation.ivt,28960,29260,300
fixation.ivt,29320,29460,140
fixation.ivt,29580,29740,160
fixation.ivt,29840,29940,100
fixation.ivt,40,640,600
fixation.ivt,760,940,180
fixation.ivt,1160,1280,120
fixation.ivt,1380,1620,240
fixation.ivt,1920,2020,100
fixation.ivt,2160,2580,420
fixation.ivt,2860,3140,280
fixation.ivt,3260,3400,140
fixation.ivt,3500,3640,140
fixation.ivt,3740,3900,160
fixation.ivt,4220,4440,220
fixation.ivt,4720,4900,180
fixation.ivt,5020,5200,180
fixation.ivt,5400,5840,440
fixation.ivt,6120,6400,280
fixation.ivt,6500,6600,100
fixation.ivt,6720,6840,120
fixation.ivt,6940,7060,120
fixation.ivt,7160,7320,160
fixation.ivt,7420,7600,180
fixation.ivt,7680,7800,120
fixation.ivt,8080,8380,300
fixation.ivt,8780,9020,240
fixation.ivt,9120,9280,160
fixation.ivt,9360,9660,300
fixation.ivt,9740,9900,160
fixation.ivt,10000,10280,280
fixation.ivt,10420,10580,160
fixation.ivt,10700,10920,220
fixation.ivt,11040,11180,140
fixation.ivt,11460,11580,120
fixation.ivt,11680,12240,560
fixation.ivt,12360,12560,200
fixation.ivt,12680,12820,140
fixation.ivt,12940,13140,200
fixation.ivt,13240,13380,140
fixation.ivt,13540,13820,280
fixation.ivt,14100,14320,220
fixation.ivt,14420,14540,120
fixation.ivt,14660,14840,180
fixation.ivt,14940,15080,140
fixation.ivt,15340,15720,380
fixation.ivt,15860,16080,220
fixation.ivt,16180,16380,200
fixation.ivt,16680,17320,640
fixation.ivt,17480,17760,280
fixation.ivt,18380,18480,100
fixation.ivt,18740,18840,100
fixation.ivt,18900,19020,120
fixation.ivt,19100,19400,300
fixation.ivt,19440,20100,660
fixation.ivt,20280,20400,120
fixation.ivt,20740,20940,200
fixation.ivt,21020,21440,420
fixation.ivt,21560,22140,580
fixation.ivt,22560,22680,120
fixation.ivt,23000,23100,100
fixation.ivt,23160,24060,900
fixation.ivt,24680,24800,120
fixation.ivt,24880,25360,480
fixation.ivt,25500,25640,140
fixation.ivt,25760,26100,340
fixation.ivt,26220,26500,280
fixation.ivt,27020,27200,180
fixation.ivt,27300,27400,100
fixation.ivt,27460,27740,280
fixation.ivt,27840,28120,280
fixation.ivt,28160,28360,200
fixation.ivt,28480,28580,100
fixation.ivt,28960,29260,300
fixation.ivt,29320,29460,140
fixation.ivt,29580,29740,160
fixation.ivt,29840,29940,100
fixation.ivt,40,640,600
fixation.ivt,760,940,180
fixation.ivt,1160,1280,120
fixation.ivt,1380,1620,240
fixation.ivt,1920,2020,100
fixation.ivt,2160,2580,420
fixation.ivt,2860,3140,280
fixation.ivt,3260,3400,140
fixation.ivt,3500,3640,140
fixation.ivt,3740,3900,160
fixation.ivt,4220,4440,220
fixation.ivt,4720,4900,180
fixation.ivt,5020,5200,180
fixation.ivt,5400,5840,440
fixation.ivt,6120,6400,280
fixation.ivt,6500,6600,100
fixation.ivt,6720,6840,120
fixation.ivt,6940,7060,120
fixation.ivt,7160,7320,160
fixation.ivt,7420,7600,180
fixation.ivt,7680,7800,120
fixation.ivt,8080,8380,300
fixation.ivt,8780,9020,240
fixation.ivt,9120,9280,160
fixation.ivt,9360,9660,300
fixation.ivt,9740,9900,160
fixation.ivt,10000,10280,280
fixation.ivt,10420,10580,160
fixation.ivt,10700,10920,220
fixation.ivt,11040,11180,140
fixation.ivt,11460,11580,120
fixation.ivt,11680,12240,560
fixation.ivt,12360,12560,200
fixation.ivt,12680,12820,140
fixation.ivt,12940,13140,200
fixation.ivt,13240,13380,140
fixation.ivt,13540,13820,280
fixation.ivt,14100,14320,220
fixation.ivt,14420,14540,120
fixation.ivt,14660,14840,180
fixation.ivt,14940,15080,140
fixation.ivt,15340,15720,380
fixation.ivt,15860,16080,220
fixation.ivt,16180,16380,200
fixation.ivt,16680,17320,640
fixation.ivt,17480,17760,280
fixation.ivt,18380,18480,100
fixation.ivt,18740,18840,100
fixation.ivt,18900,19020,120
fixation.ivt,19100,19400,300
fixation.ivt,19440,20100,660
fixation.ivt,20280,20400,120
fixation.ivt,20740,20940,200
fixation.ivt,21020,21440,420
fixation.ivt,21560,22140,580
fixation.ivt,22560,22680,120
fixation.ivt,23000,23100,100
fixation.ivt,23160,24060,900
fixation.ivt,24680,24800,120
fixation.ivt,24880,25360,480
fixation.ivt,25500,25640,140
fixation.ivt,25760,26100,340
fixation.ivt,26220,26500,280
fixation.ivt,27020,27200,180
fixation.ivt,27300,27400,100
fixation.ivt,27460,27740,280
fixation.ivt,27840,28120,280
fixation.ivt,28160,28360,200
fixation.ivt,28480,28580,100
fixation.ivt,28960,29260,300
fixation.ivt,29320,29460,140
fixation.ivt,29580,29740,160
fixation.ivt,29840,29940,100
fixation.ivt,40,640,600
fixation.ivt,760,940,180
fixation.ivt,1160,1280,120
fixation.ivt,1380,1620,240
fixation.ivt,1920,2020,100
fixation.ivt,2160,2580,420
fixation.ivt,2860,3140,280
fixation.ivt,3260,3400,140
fixation.ivt,3500,3640,140
fixation.ivt,3740,3900,160
fixation.ivt,4220,4440,220
fixation.ivt,4720,4900,180
fixation.ivt,5020,5200,180
fixation.ivt,5400,5840,440
fixation.ivt,6120,6400,280
fixation.ivt,6500,6600,100
fixation.ivt,6720,6840,120
fixation.ivt,6940,7060,120
fixation.ivt,7160,7320,160
fixation.ivt,7420,7600,180
fixation.ivt,7680,7800,120
fixation.ivt,8080,8380,300
fixation.ivt,8780,9020,240
fixation.ivt,9120,9280,160
fixation.ivt,9360,9660,300
fixation.ivt,9740,9900,160
fixation.ivt,10000,10280,280
fixation.ivt,10420,10580,160
fixation.ivt,10700,10920,220
fixation.ivt,11040,11180,140
fixation.ivt,11460,11580,120
fixation.ivt,11680,12240,560
fixation.ivt,12360,12560,200
fixation.ivt,12680,12820,140
fixation.ivt,12940,13140,200
fixation.ivt,13240,13380,140
fixation.ivt,13540,13820,280
fixation.ivt,14100,14320,220
fixation.ivt,14420,14540,120
fixation.ivt,14660,14840,180
fixation.ivt,14940,15080,140
fixation.ivt,15340,15720,380
fixation.ivt,15860,16080,220
fixation.ivt,16180,16380,200
fixation.ivt,16680,17320,640
fixation.ivt,17480,17760,280
fixation.ivt,18380,18480,100
fixation.ivt,18740,18840,100
fixation.ivt,18900,19020,120
fixation.ivt,19100,19400,300
fixation.ivt,19440,20100,660
fixation.ivt,20280,20400,120
fixation.ivt,20740,20940,200
fixation.ivt,21020,21440,420
fixation.ivt,21560,22140,580
fixation.ivt,22560,22680,120
fixation.ivt,23000,23100,100
fixation.ivt,23160,24060,900
fixation.ivt,24680,24800,120
fixation.ivt,24880,25360,480
fixation.ivt,25500,25640,140
fixation.ivt,25760,26100,340
fixation.ivt,26220,26500,280
fixation.ivt,27020,27200,180
fixation.ivt,27300,27400,100
fixation.ivt,27460,27740,280
fixation.ivt,27840,28120,280
fixation.ivt,28160,28360,200
fixation.ivt,28480,28580,100
fixation.ivt,28960,29260,300
fixation.ivt,29320,29460,140
fixation.ivt,29580,29740,160
fixation.ivt,29840,29940,100
fixation.ivt,40,640,600
fixation.ivt,760,940,180
fixation.ivt,1160,1280,120
fixation.ivt,1380,1620,240
fixation.ivt,1920,2020,100
fixation.ivt,2160,2580,420
fixation.ivt,2860,3140,280
fixation.ivt,3260,3400,140
fixation.ivt,3500,3640,140
fixation.ivt,3740,3900,160
fixation.ivt,4220,4440,220
fixation.ivt,4720,4900,180
fixation.ivt,5020,5200,180
fixation.ivt,5400,5840,440
fixation.ivt,6120,6400,280
fixation.ivt,6500,6600,100
fixation.ivt,6720,6840,120
fixation.ivt,6940,7060,120
fixation.ivt,7160,7320,160
fixation.ivt,7420,7600,180
fixation.ivt,7680,7800,120
fixation.ivt,8080,8380,300
fixation.ivt,8780,9020,240
fixation.ivt,9120,9280,160
fixation.ivt,9360,9660,300
fixation.ivt,9740,9900,160
fixation.ivt,10000,10280,280
fixation.ivt,10420,10580,160
fixation.ivt,10700,10920,220
fixation.ivt,11040,11180,140
fixation.ivt,11460,11580,120
fixation.ivt,11680,12240,560
fixation.ivt,12360,12560,200
fixation.ivt,12680,12820,140
fixation.ivt,12940,13140,200
fixation.ivt,13240,13380,140
fixation.ivt,13540,13820,280
fixation.ivt,14100,14320,220
fixation.ivt,14420,14540,120
fixation.ivt,14660,14840,180
fixation.ivt,14940,15080,140
fixation.ivt,15340,15720,380
fixation.ivt,15860,16080,220
fixation.ivt,16180,16380,200
fixation.ivt,16680,17320,640
fixation.ivt,17480,17760,280
fixation.ivt,18380,18480,100
fixation.ivt,18740,18840,100
fixation.ivt,18900,19020,120
fixation.ivt,19100,19400,300
fixation.ivt,19440,20100,660
fixation.ivt,20280,20400,120
fixation.ivt,20740,20940,200
fixation.ivt,21020,21440,420
fixation.ivt,21560,22140,580
fixation.ivt,22560,22680,120
fixation.ivt,23000,23100,100
fixation.ivt,23160,24060,900
fixation.ivt,24680,24800,120
fixation.ivt,24880,25360,480
fixation.ivt,25500,25640,140
fixation.ivt,25760,26100,340
fixation.ivt,26220,26500,280
fixation.ivt,27020,27200,180
fixation.ivt,27300,27400,100
fixation.ivt,27460,27740,280
fixation.ivt,27840,28120,280
fixation.ivt,28160,28360,200
fixation.ivt,28480,28580,100
fixation.ivt,28960,29260,300
fixation.ivt,29320,29460,140
fixation.ivt,29580,29740,160
fixation.ivt,29840,29940,100
fixation.ivt,40,640,600
fixation.ivt,760,940,180
fixation.ivt,1160,1280,120
fixation.ivt,1380,1620,240
fixation.ivt,1920,2020,100
fixation.ivt,2160,2580,420
fixation.ivt,2860,3140,280
fixation.ivt,3260,3400,140
fixation.ivt,3500,3640,140
fixation.ivt,3740,3900,160
fixation.ivt,4220,4440,220
fixation.ivt,4720,4900,180
fixation.ivt,5020,5200,180
fixation.ivt,5400,5840,440
fixation.ivt,6120,6400,280
fixation.ivt,6500,6600,100
fixation.ivt,6720,6840,120
fixation.ivt,6940,7060,120
fixation.ivt,7160,7320,160
fixation.ivt,7420,7600,180
fixation.ivt,7680,7800,120
fixation.ivt,8080,8380,300
fixation.ivt,8780,9020,240
fixation.ivt,9120,9280,160
fixation.ivt,9360,9660,300
fixation.ivt,9740,9900,160
fixation.ivt,10000,10280,280
fixation.ivt,10420,10580,160
fixation.ivt,10700,10920,220
fixation.ivt,11040,11180,140
fixation.ivt,11460,11580,120
fixation.ivt,11680,12240,560
fixation.ivt,12360,12560,200
fixation.ivt,12680,12820,140
fixation.ivt,12940,13140,200
fixation.ivt,13240,13380,140
fixation.ivt,13540,13820,280
fixation.ivt,14100,14320,220
fixation.ivt,14420,14540,120
fixation.ivt,14660,14840,180
fixation.ivt,14940,15080,140
fixation.ivt,15340,15720,380
fixation.ivt,15860,16080,220
fixation.ivt,16180,16380,200
fixation.ivt,16680,17320,640
fixation.ivt,17480,17760,280
fixation.ivt,18380,18480,100
fixation.ivt,18740,18840,100
fixation.ivt,18900,19020,120
fixation.ivt,19100,19400,300
fixation.ivt,19440,20100,660
fixation.ivt,20280,20400,120
fixation.ivt,20740,20940,200
fixation.ivt,21020,21440,420
fixation.ivt,21560,22140,580
fixation.ivt,22560,22680,120
fixation.ivt,23000,23100,100
fixation.ivt,23160,24060,900
fixation.ivt,24680,24800,120
fixation.ivt,24880,25360,480
fixation.ivt,25500,25640,140
fixation.ivt,25760,26100,340
fixation.ivt,26220,26500,280
fixation.ivt,27020,27200,180
fixation.ivt,27300,27400,100
fixation.ivt,27460,27740,280
fixation.ivt,27840,28120,280
fixation.ivt,28160,28360,200
fixation.ivt,28480,28580,100
fixation.ivt,28960,29260,300
fixation.ivt,29320,29460,140
fixation.ivt,29580,29740,160
fixation.ivt,29840,29940,100
fixation.ivt,40,640,600
fixation.ivt,760,940,180
fixation.ivt,1160,1280,120
fixation.ivt,1380,1620,240
fixation.ivt,1920,2020,100
fixation.ivt,2160,2580,420
fixation.ivt,2860,3140,280
fixation.ivt,3260,3400,140
fixation.ivt,3500,3640,140
fixation.ivt,3740,3900,160
fixation.ivt,4220,4440,220
fixation.ivt,4720,4900,180
fixation.ivt,5020,5200,180
fixation.ivt,5400,5840,440
fixation.ivt,6120,6400,280
fixation.ivt,6500,6600,100
fixation.ivt,6720,6840,120
fixation.ivt,6940,7060,120
fixation.ivt,7160,7320,160
fixation.ivt,7420,7600,180
fixation.ivt,7680,7800,120
fixation.ivt,8080,8380,300
fixation.ivt,8780,9020,240
fixation.ivt,9120,9280,160
fixation.ivt,9360,9660,300
fixation.ivt,9740,9900,160
fixation.ivt,10000,10280,280
fixation.ivt,10420,10580,160
fixation.ivt,10700,10920,220
fixation.ivt,11040,11180,140
fixation.ivt,11460,11580,120
fixation.ivt,11680,12240,560
fixation.ivt,12360,12560,200
fixation.ivt,12680,12820,140
fixation.ivt,12940,13140,200
fixation.ivt,13240,13380,140
fixation.ivt,13540,13820,280
fixation.ivt,14100,14320,220
fixation.ivt,14420,14540,120
fixation.ivt,14660,14840,180
fixation.ivt,14940,15080,140
fixation.ivt,15340,15720,380
fixation.ivt,15860,16080,220
fixation.ivt,16180,16380,200
fixation.ivt,16680,17320,640
fixation.ivt,17480,17760,280
fixation.ivt,18380,18480,100
fixation.ivt,18740,18840,100
fixation.ivt,18900,19020,120
fixation.ivt,19100,19400,300
fixation.ivt,19440,20100,660
fixation.ivt,20280,20400,120
fixation.ivt,20740,20940,200
fixation.ivt,21020,21440,420
fixation.ivt,21560,22140,580
fixation.ivt,22560,22680,120
fixation.ivt,23000,23100,100
fixation.ivt,23160,24060,900
fixation.ivt,24680,24800,120
fixation.ivt,24880,25360,480
fixation.ivt,25500,25640,140
fixation.ivt,25760,26100,340
fixation.ivt,26220,26500,280
fixation.ivt,27020,27200,180
fixation.ivt,27300,27400,100
fixation.ivt,27460,27740,280
fixation.ivt,27840,28120,280
fixation.ivt,28160,28360,200
fixation.ivt,28480,28580,100
fixation.ivt,28960,29260,300
fixation.ivt,29320,29460,140
fixation.ivt,29580,29740,160
fixation.ivt,29840,29940,100
fixation.ivt,40,640,600
fixation.ivt,760,940,180
fixation.ivt,1160,1280,120
fixation.ivt,1380,1620,240
fixation.ivt,1920,2020,100
fixation.ivt,2160,2580,420
fixation.ivt,2860,3140,280
fixation.ivt,3260,3400,140
fixation.ivt,3500,3640,140
fixation.ivt,3740,3900,160
fixation.ivt,4220,4440,220
fixation.ivt,4720,4900,180
fixation.ivt,5020,5200,180
fixation.ivt,5400,5840,440
fixation.ivt,6120,6400,280
fixation.ivt,6500,6600,100
fixation.ivt,6720,6840,120
fixation.ivt,6940,7060,120
fixation.ivt,7160,7320,160
fixation.ivt,7420,7600,180
fixation.ivt,7680,7800,120
fixation.ivt,8080,8380,300
fixation.ivt,8780,9020,240
fixation.ivt,9120,9280,160
fixation.ivt,9360,9660,300
fixation.ivt,9740,9900,160
fixation.ivt,10000,10280,280
fixation.ivt,10420,10580,160
fixation.ivt,10700,10920,220
fixation.ivt,11040,11180,140
fixation.ivt,11460,11580,120
fixation.ivt,11680,12240,560
fixation.ivt,12360,12560,200
fixation.ivt,12680,12820,140
fixation.ivt,12940,13140,200
fixation.ivt,13240,13380,140
fixation.ivt,13540,13820,280
fixation.ivt,14100,14320,220
fixation.ivt,14420,14540,120
fixation.ivt,14660,14840,180
fixation.ivt,14940,15080,140
fixation.ivt,15340,15720,380
fixation.ivt,15860,16080,220
fixation.ivt,16180,16380,200
fixation.ivt,16680,17320,640
fixation.ivt,17480,17760,280
fixation.ivt,18380,18480,100
fixation.ivt,18740,18840,100
fixation.ivt,18900,19020,120
fixation.ivt,19100,19400,300
fixation.ivt,19440,20100,660
fixation.ivt,20280,20400,120
fixation.ivt,20740,20940,200
fixation.ivt,21020,21440,420
fixation.ivt,21560,22140,580
fixation.ivt,22560,22680,120
fixation.ivt,23000,23100,100
fixation.ivt,23160,24060,900
fixation.ivt,24680,24800,120
fixation.ivt,24880,25360,480
fixation.ivt,25500,25640,140
fixation.ivt,25760,26100,340
fixation.ivt,26220,26500,280
fixation.ivt,27020,27200,180
fixation.ivt,27300,27400,100
fixation.ivt,27460,27740,280
fixation.ivt,27840,28120,280
fixation.ivt,28160,28360,200
fixation.ivt,28480,28580,100
fixation.ivt,28960,29260,300
fixation.ivt,29320,29460,140
fixation.ivt,29580,29740,160
