name,onset,offset,duration
fixation.ivt,39680,39820,140
fixation.ivt,40,300,260
fixation.ivt,480,580,100
fixation.ivt,760,1140,380
fixation.ivt,1240,1560,320
fixation.ivt,1660,1800,140
fixation.ivt,1960,2420,460
fixation.ivt,2480,3040,560
fixation.ivt,3080,3560,480
fixation.ivt,3660,4060,400
fixation.ivt,4160,4480,320
fixation.ivt,4520,4760,240
fixation.ivt,5020,5480,460
fixation.ivt,5560,6040,480
fixation.ivt,6140,6920,780
fixation.ivt,7020,7400,380
fixation.ivt,7780,9140,1360
fixation.ivt,9220,9560,340
fixation.ivt,9860,10180,320
fixation.ivt,10280,10660,380
fixation.ivt,10760,11220,460
fixation.ivt,11320,11720,400
fixation.ivt,12020,12320,300
fixation.ivt,12420,13540,1120
fixation.ivt,13820,14300,480
fixation.ivt,14660,14760,100
fixation.ivt,15320,15740,420
fixation.ivt,15840,16820,980
fixation.ivt,16920,17080,160
fixation.ivt,17160,17440,280
fixation.ivt,17520,17760,240
fixation.ivt,17860,18180,320
fixation.ivt,18280,18400,120
fixation.ivt,18540,18780,240
fixation.ivt,18940,19080,140
fixation.ivt,19540,19700,160
fixation.ivt,19780,20000,220
fixation.ivt,20100,20520,420
fixation.ivt,20580,20780,200
fixation.ivt,20880,22160,1280
fixation.ivt,22240,22340,100
fixation.ivt,22380,22680,300
fixation.ivt,22800,22920,120
fixation.ivt,23020,23120,100
fixation.ivt,23200,23900,700
fixation.ivt,24000,24220,220
fixation.ivt,24300,24700,400
fixation.ivt,24800,25500,700
fixation.ivt,25620,26120,500
fixation.ivt,26220,26340,120
fixation.ivt,26440,26580,140
fixation.ivt,26780,26960,180
fixation.ivt,27040,27180,140
fixation.ivt,27540,28160,620
fixation.ivt,28260,28760,500
fixation.ivt,29080,29320,240
fixation.ivt,29920,30020,100
fixation.ivt,30280,31580,1300
fixation.ivt,31860,32740,880
fixation.ivt,32780,33000,220
fixation.ivt,33060,33760,700
fixation.ivt,33820,34320,500
fixation.ivt,34480,34700,220
fixation.ivt,35000,35100,100
fixation.ivt,35160,35420,260
fixation.ivt,35560,35720,160
fixation.ivt,35840,36000,160
fixation.ivt,36060,36420,360
fixation.ivt,36500,36760,260
fixation.ivt,36900,37100,200
fixation.ivt,37140,38280,1140
fixation.ivt,38360,38600,240
fixation.ivt,38680,39000,320
fixation.ivt,39100,39340,240
fixation.ivt,39400,39640,240
fixation.ivt,39680,39820,140
fixation.ivt,40,300,260
fixation.ivt,480,580,100
fixation.ivt,760,1140,380
fixation.ivt,1240,1560,320
fixation.ivt,1660,1800,140
fixation.ivt,1960,2420,460
fixation.ivt,2480,3040,560
fixation.ivt,3080,3560,480
fixation.ivt,3660,4060,400
fixation.ivt,4160,4480,320
fixation.ivt,4520,4760,240
fixation.ivt,5020,5480,460
fixation.ivt,5560,6040,480
fixation.ivt,6140,6920,780
fixation.ivt,7020,7400,380
fixation.ivt,7780,9140,1360
fixation.ivt,9220,9560,340
fixation.ivt,9860,10180,320
fixation.ivt,10280,10660,380
fixation.ivt,10760,11220,460
fixation.ivt,11320,11720,400
fixation.ivt,12020,12320,300
fixation.ivt,12420,13540,1120
fixation.ivt,13820,14300,480
fixation.ivt,14660,14760,100
fixation.ivt,15320,15740,420
fixation.ivt,15840,16820,980
fixation.ivt,16920,17080,160
fixation.ivt,17160,17440,280
fixation.ivt,17520,17760,240
fixation.ivt,17860,18180,320
fixation.ivt,18280,18400,120
fixation.ivt,18540,18780,240
fixation.ivt,18940,19080,140
fixation.ivt,19540,19700,160
fixation.ivt,19780,20000,220
fixation.ivt,20100,20520,420
fixation.ivt,20580,20780,200
fixation.ivt,20880,22160,1280
fixation.ivt,22240,22340,100
fixation.ivt,22380,22680,300
fixation.ivt,22800,22920,120
fixation.ivt,23020,23120,100
fixation.ivt,23200,23900,700
fixation.ivt,24000,24220,220
fixation.ivt,24300,24700,400
fixation.ivt,24800,25500,700
fixation.ivt,25620,26120,500
fixation.ivt,26220,26340,120
fixation.ivt,26440,26580,140
fixation.ivt,26780,26960,180
fixation.ivt,27040,27180,140
fixation.ivt,27540,28160,620
fixation.ivt,28260,28760,500
fixation.ivt,29080,29320,240
fixation.ivt,29920,30020,100
fixation.ivt,30280,31580,1300
fixation.ivt,31860,32740,880
fixation.ivt,32780,33000,220
fixation.ivt,33060,33760,700
fixation.ivt,33820,34320,500
fixation.ivt,34480,34700,220
fixation.ivt,35000,35100,100
fixation.ivt,35160,35420,260
fixation.ivt,35560,35720,160
fixation.ivt,35840,36000,160
fixation.ivt,36060,36420,360
fixation.ivt,36500,36760,260
fixation.ivt,36900,37100,200
fixation.ivt,37140,38280,1140
fixation.ivt,38360,38600,240
fixation.ivt,38680,39000,320
fixation.ivt,39100,39340,240
fixation.ivt,39400,39640,240
fixation.ivt,39680,39820,140
fixation.ivt,40,300,260
fixation.ivt,480,580,100
fixation.ivt,760,1140,380
fixation.ivt,1240,1560,320
fixation.ivt,1660,1800,140
fixation.ivt,1960,2420,460
fixation.ivt,2480,3040,560
fixation.ivt,3080,3560,480
fixation.ivt,3660,4060,400
fixation.ivt,4160,4480,320
fixation.ivt,4520,4760,240
fixation.ivt,5020,5480,460
fixation.ivt,5560,6040,480
fixation.ivt,6140,6920,780
fixation.ivt,7020,7400,380
fixation.ivt,7780,9140,1360
fixation.ivt,9220,9560,340
fixation.ivt,9860,10180,320
fixation.ivt,10280,10660,380
fixation.ivt,10760,11220,460
fixation.ivt,11320,11720,400
fixation.ivt,12020,12320,300
fixation.ivt,12420,13540,1120
fixation.ivt,13820,14300,480
fixation.ivt,14660,14760,100
fixation.ivt,15320,15740,420
fixation.ivt,15840,16820,980
fixation.ivt,16920,17080,160
fixation.ivt,17160,17440,280
fixation.ivt,17520,17760,240
fixation.ivt,17860,18180,320
fixation.ivt,18280,18400,120
fixation.ivt,18540,18780,240
fixation.ivt,18940,19080,140
fixation.ivt,19540,19700,160
fixation.ivt,19780,20000,220
fixation.ivt,20100,20520,420
fixation.ivt,20580,20780,200
fixation.ivt,20880,22160,1280
fixation.ivt,22240,22340,100
fixation.ivt,22380,22680,300
fixation.ivt,22800,22920,120
fixation.ivt,23020,23120,100
fixation.ivt,23200,23900,700
fixation.ivt,24000,24220,220
fixation.ivt,24300,24700,400
fixation.ivt,24800,25500,700
fixation.ivt,25620,26120,500
fixation.ivt,26220,26340,120
fixation.ivt,26440,26580,140
fixation.ivt,26780,26960,180
fixation.ivt,27040,27180,140
fixation.ivt,27540,28160,620
fixation.ivt,28260,28760,500
fixation.ivt,29080,29320,240
fixation.ivt,29920,30020,100
fixation.ivt,30280,31580,1300
fixation.ivt,31860,32740,880
fixation.ivt,32780,33000,220
fixation.ivt,33060,33760,700
fixation.ivt,33820,34320,500
fixation.ivt,34480,34700,220
fixation.ivt,35000,35100,100
fixation.ivt,35160,35420,260
fixation.ivt,35560,35720,160
fixation.ivt,35840,36000,160
fixation.ivt,36060,36420,360
fixation.ivt,36500,36760,260
fixation.ivt,36900,37100,200
fixation.ivt,37140,38280,1140
fixation.ivt,38360,38600,240
fixation.ivt,38680,39000,320
fixation.ivt,39100,39340,240
fixation.ivt,39400,39640,240
fixation.ivt,39680,39820,140
fixation.ivt,40,300,260
fixation.ivt,480,580,100
fixation.ivt,760,1140,380
fixation.ivt,1240,1560,320
fixation.ivt,1660,1800,140
fixation.ivt,1960,2420,460
fixation.ivt,2480,3040,560
fixation.ivt,3080,3560,480
fixation.ivt,3660,4060,400
fixation.ivt,4160,4480,320
fixation.ivt,4520,4760,240
fixation.ivt,5020,5480,460
fixation.ivt,5560,6040,480
fixation.ivt,6140,6920,780
fixation.ivt,7020,7400,380
fixation.ivt,7780,9140,1360
fixation.ivt,9220,9560,340
fixation.ivt,9860,10180,320
fixation.ivt,10280,10660,380
fixation.ivt,10760,11220,460
fixation.ivt,11320,11720,400
fixation.ivt,12020,12320,300
fixation.ivt,12420,13540,1120
fixation.ivt,13820,14300,480
fixation.ivt,14660,14760,100
fixation.ivt,15320,15740,420
fixation.ivt,15840,16820,980
fixation.ivt,16920,17080,160
fixation.ivt,17160,17440,280
fixation.ivt,17520,17760,240
fixation.ivt,17860,18180,320
fixation.ivt,18280,18400,120
fixation.ivt,18540,18780,240
fixation.ivt,18940,19080,140
fixation.ivt,19540,19700,160
fixation.ivt,19780,20000,220
fixation.ivt,20100,20520,420
fixation.ivt,20580,20780,200
fixation.ivt,20880,22160,1280
fixation.ivt,22240,22340,100
fixation.ivt,22380,22680,300
fixation.ivt,22800,22920,120
fixation.ivt,23020,23120,100
fixation.ivt,23200,23900,700
fixation.ivt,24000,24220,220
fixation.ivt,24300,24700,400
fixation.ivt,24800,25500,700
fixation.ivt,25620,26120,500
fixation.ivt,26220,26340,120
fixation.ivt,26440,26580,140
fixation.ivt,26780,26960,180
fixation.ivt,27040,27180,140
fixation.ivt,27540,28160,620
fixation.ivt,28260,28760,500
fixation.ivt,29080,29320,240
fixation.ivt,29920,30020,100
fixation.ivt,30280,31580,1300
fixation.ivt,31860,32740,880
fixation.ivt,32780,33000,220
fixation.ivt,33060,33760,700
fixation.ivt,33820,34320,500
fixation.ivt,34480,34700,220
fixation.ivt,35000,35100,100
fixation.ivt,35160,35420,260
fixation.ivt,35560,35720,160
fixation.ivt,35840,36000,160
fixation.ivt,36060,36420,360
fixation.ivt,36500,36760,260
fixation.ivt,36900,37100,200
fixation.ivt,37140,38280,1140
fixation.ivt,38360,38600,240
fixation.ivt,38680,39000,320
fixation.ivt,39100,39340,240
fixation.ivt,39400,39640,240
fixation.ivt,39680,39820,140
fixation.ivt,40,300,260
fixation.ivt,480,580,100
fixation.ivt,760,1140,380
fixation.ivt,1240,1560,320
fixation.ivt,1660,1800,140
fixation.ivt,1960,2420,460
fixation.ivt,2480,3040,560
fixation.ivt,3080,3560,480
fixation.ivt,3660,4060,400
fixation.ivt,4160,4480,320
fixation.ivt,4520,4760,240
fixation.ivt,5020,5480,460
fixation.ivt,5560,6040,480
fixation.ivt,6140,6920,780
fixation.ivt,7020,7400,380
fixation.ivt,7780,9140,1360
fixation.ivt,9220,9560,340
fixation.ivt,9860,10180,320
fixation.ivt,10280,10660,380
fixation.ivt,10760,11220,460
fixation.ivt,11320,11720,400
fixation.ivt,12020,12320,300
fixation.ivt,12420,13540,1120
fixation.ivt,13820,14300,480
fixation.ivt,14660,14760,100
fixation.ivt,15320,15740,420
fixation.ivt,15840,16820,980
fixation.ivt,16920,17080,160
fixation.ivt,17160,17440,280
fixation.ivt,17520,17760,240
fixation.ivt,17860,18180,320
fixation.ivt,18280,18400,120
fixation.ivt,18540,18780,240
fixation.ivt,18940,19080,140
fixation.ivt,19540,19700,160
fixation.ivt,19780,20000,220
fixation.ivt,20100,20520,420
fixation.ivt,20580,20780,200
fixation.ivt,20880,22160,1280
fixation.ivt,22240,22340,100
fixation.ivt,22380,22680,300
fixation.ivt,22800,22920,120
fixation.ivt,23020,23120,100
fixation.ivt,23200,23900,700
fixation.ivt,24000,24220,220
fixation.ivt,24300,24700,400
fixation.ivt,24800,25500,700
fixation.ivt,25620,26120,500
fixation.ivt,26220,26340,120
fixation.ivt,26440,26580,140
fixation.ivt,26780,26960,180
fixation.ivt,27040,27180,140
fixation.ivt,27540,28160,620
fixation.ivt,28260,28760,500
fixation.ivt,29080,29320,240
fixation.ivt,29920,30020,100
fixation.ivt,30280,31580,1300
fixation.ivt,31860,32740,880
fixation.ivt,32780,33000,220
fixation.ivt,33060,33760,700
fixation.ivt,33820,34320,500
fixation.ivt,34480,34700,220
fixation.ivt,35000,35100,100
fixation.ivt,35160,35420,260
fixation.ivt,35560,35720,160
fixation.ivt,35840,36000,160
fixation.ivt,36060,36420,360
fixation.ivt,36500,36760,260
fixation.ivt,36900,37100,200
fixation.ivt,37140,38280,1140
fixation.ivt,38360,38600,240
fixation.ivt,38680,39000,320
fixation.ivt,39100,39340,240
fixation.ivt,39400,39640,240
fixation.ivt,39680,39820,140
fixation.ivt,40,300,260
fixation.ivt,480,580,100
fixation.ivt,760,1140,380
fixation.ivt,1240,1560,320
fixation.ivt,1660,1800,140
fixation.ivt,1960,2420,460
fixation.ivt,2480,3040,560
fixation.ivt,3080,3560,480
fixation.ivt,3660,4060,400
fixation.ivt,4160,4480,320
fixation.ivt,4520,4760,240
fixation.ivt,5020,5480,460
fixation.ivt,5560,6040,480
fixation.ivt,6140,6920,780
fixation.ivt,7020,7400,380
fixation.ivt,7780,9140,1360
fixation.ivt,9220,9560,340
fixation.ivt,9860,10180,320
fixation.ivt,10280,10660,380
fixation.ivt,10760,11220,460
fixation.ivt,11320,11720,400
fixation.ivt,12020,12320,300
fixation.ivt,12420,13540,1120
fixation.ivt,13820,14300,480
fixation.ivt,14660,14760,100
fixation.ivt,15320,15740,420
fixation.ivt,15840,16820,980
fixation.ivt,16920,17080,160
fixation.ivt,17160,17440,280
fixation.ivt,17520,17760,240
fixation.ivt,17860,18180,320
fixation.ivt,18280,18400,120
fixation.ivt,18540,18780,240
fixation.ivt,18940,19080,140
fixation.ivt,19540,19700,160
fixation.ivt,19780,20000,220
fixation.ivt,20100,20520,420
fixation.ivt,20580,20780,200
fixation.ivt,20880,22160,1280
fixation.ivt,22240,22340,100
fixation.ivt,22380,22680,300
fixation.ivt,22800,22920,120
fixation.ivt,23020,23120,100
fixation.ivt,23200,23900,700
fixation.ivt,24000,24220,220
fixation.ivt,24300,24700,400
fixation.ivt,24800,25500,700
fixation.ivt,25620,26120,500
fixation.ivt,26220,26340,120
fixation.ivt,26440,26580,140
fixation.ivt,26780,26960,180
fixation.ivt,27040,27180,140
fixation.ivt,27540,28160,620
fixation.ivt,28260,28760,500
fixation.ivt,29080,29320,240
fixation.ivt,29920,30020,100
fixation.ivt,30280,31580,1300
fixation.ivt,31860,32740,880
fixation.ivt,32780,33000,220
fixation.ivt,33060,33760,700
fixation.ivt,33820,34320,500
fixation.ivt,34480,34700,220
fixation.ivt,35000,35100,100
fixation.ivt,35160,35420,260
fixation.ivt,35560,35720,160
fixation.ivt,35840,36000,160
fixation.ivt,36060,36420,360
fixation.ivt,36500,36760,260
fixation.ivt,36900,37100,200
fixation.ivt,37140,38280,1140
fixation.ivt,38360,38600,240
fixation.ivt,38680,39000,320
fixation.ivt,39100,39340,240
fixation.ivt,39400,39640,240
fixation.ivt,39680,39820,140
fixation.ivt,40,300,260
fixation.ivt,480,580,100
fixation.ivt,760,1140,380
fixation.ivt,1240,1560,320
fixation.ivt,1660,1800,140
fixation.ivt,1960,2420,460
fixation.ivt,2480,3040,560
fixation.ivt,3080,3560,480
fixation.ivt,3660,4060,400
fixation.ivt,4160,4480,320
fixation.ivt,4520,4760,240
fixation.ivt,5020,5480,460
fixation.ivt,5560,6040,480
fixation.ivt,6140,6920,780
fixation.ivt,7020,7400,380
fixation.ivt,7780,9140,1360
fixation.ivt,9220,9560,340
fixation.ivt,9860,10180,320
fixation.ivt,10280,10660,380
fixation.ivt,10760,11220,460
fixation.ivt,11320,11720,400
fixation.ivt,12020,12320,300
fixation.ivt,12420,13540,1120
fixation.ivt,13820,14300,480
fixation.ivt,14660,14760,100
fixation.ivt,15320,15740,420
fixation.ivt,15840,16820,980
fixation.ivt,16920,17080,160
fixation.ivt,17160,17440,280
fixation.ivt,17520,17760,240
fixation.ivt,17860,18180,320
fixation.ivt,18280,18400,120
fixation.ivt,18540,18780,240
fixation.ivt,18940,19080,140
fixation.ivt,19540,19700,160
fixation.ivt,19780,20000,220
fixation.ivt,20100,20520,420
fixation.ivt,20580,20780,200
fixation.ivt,20880,22160,1280
fixation.ivt,22240,22340,100
fixation.ivt,22380,22680,300
fixation.ivt,22800,22920,120
fixation.ivt,23020,23120,100
fixation.ivt,23200,23900,700
fixation.ivt,24000,24220,220
fixation.ivt,24300,24700,400
fixation.ivt,24800,25500,700
fixation.ivt,25620,26120,500
fixation.ivt,26220,26340,120
fixation.ivt,26440,26580,140
fixation.ivt,26780,26960,180
fixation.ivt,27040,27180,140
fixation.ivt,27540,28160,620
fixation.ivt,28260,28760,500
fixation.ivt,29080,29320,240
fixation.ivt,29920,30020,100
fixation.ivt,30280,31580,1300
fixation.ivt,31860,32740,880
fixation.ivt,32780,33000,220
fixation.ivt,33060,33760,700
fixation.ivt,33820,34320,500
fixation.ivt,34480,34700,220
fixation.ivt,35000,35100,100
fixation.ivt,35160,35420,260
fixation.ivt,35560,35720,160
fixation.ivt,35840,36000,160
fixation.ivt,36060,36420,360
fixation.ivt,36500,36760,260
fixation.ivt,36900,37100,200
fixation.ivt,37140,38280,1140
fixation.ivt,38360,38600,240
fixation.ivt,38680,39000,320
fixation.ivt,39100,39340,240
fixation.ivt,39400,39640,240
fixation.ivt,39680,39820,140
fixation.ivt,40,300,260
fixation.ivt,480,580,100
fixation.ivt,760,1140,380
fixation.ivt,1240,1560,320
fixation.ivt,1660,1800,140
fixation.ivt,1960,2420,460
fixation.ivt,2480,3040,560
fixation.ivt,3080,3560,480
fixation.ivt,3660,4060,400
fixation.ivt,4160,4480,320
fixation.ivt,4520,4760,240
fixation.ivt,5020,5480,460
fixation.ivt,5560,6040,480
fixation.ivt,6140,6920,780
fixation.ivt,7020,7400,380
fixation.ivt,7780,9140,1360
fixation.ivt,9220,9560,340
fixation.ivt,9860,10180,320
fixation.ivt,10280,10660,380
fixation.ivt,10760,11220,460
fixation.ivt,11320,11720,400
fixation.ivt,12020,12320,300
fixation.ivt,12420,13540,1120
fixation.ivt,13820,14300,480
fixation.ivt,14660,14760,100
fixation.ivt,15320,15740,420
fixation.ivt,15840,16820,980
fixation.ivt,16920,17080,160
fixation.ivt,17160,17440,280
fixation.ivt,17520,17760,240
fixation.ivt,17860,18180,320
fixation.ivt,18280,18400,120
fixation.ivt,18540,18780,240
fixation.ivt,18940,19080,140
fixation.ivt,19540,19700,160
fixation.ivt,19780,20000,220
fixation.ivt,20100,20520,420
fixation.ivt,20580,20780,200
fixation.ivt,20880,22160,1280
fixation.ivt,22240,22340,100
fixation.ivt,22380,22680,300
fixation.ivt,22800,22920,120
fixation.ivt,23020,23120,100
fixation.ivt,23200,23900,700
fixation.ivt,24000,24220,220
fixation.ivt,24300,24700,400
fixation.ivt,24800,25500,700
fixation.ivt,25620,26120,500
fixation.ivt,26220,26340,120
fixation.ivt,26440,26580,140
fixation.ivt,26780,26960,180
fixation.ivt,27040,27180,140
fixation.ivt,27540,28160,620
fixation.ivt,28260,28760,500
fixation.ivt,29080,29320,240
fixation.ivt,29920,30020,100
fixation.ivt,30280,31580,1300
fixation.ivt,31860,32740,880
fixation.ivt,32780,33000,220
fixation.ivt,33060,33760,700
fixation.ivt,33820,34320,500
fixation.ivt,34480,34700,220
fixation.ivt,35000,35100,100
fixation.ivt,35160,35420,260
fixation.ivt,35560,35720,160
fixation.ivt,35840,36000,160
fixation.ivt,36060,36420,360
fixation.ivt,36500,36760,260
fixation.ivt,36900,37100,200
fixation.ivt,37140,38280,1140
fixation.ivt,38360,38600,240
fixation.ivt,38680,39000,320
fixation.ivt,39100,39340,240
fixation.ivt,39400,39640,240
fixation.ivt,39680,39820,140
fixation.ivt,40,300,260
fixation.ivt,480,580,100
fixation.ivt,760,1140,380
fixation.ivt,1240,1560,320
fixation.ivt,1660,1800,140
fixation.ivt,1960,2420,460
fixation.ivt,2480,3040,560
fixation.ivt,3080,3560,480
fixation.ivt,3660,4060,400
fixation.ivt,4160,4480,320
fixation.ivt,4520,4760,240
fixation.ivt,5020,5480,460
fixation.ivt,5560,6040,480
fixation.ivt,6140,6920,780
fixation.ivt,7020,7400,380
fixation.ivt,7780,9140,1360
fixation.ivt,9220,9560,340
fixation.ivt,9860,10180,320
fixation.ivt,10280,10660,380
fixation.ivt,10760,11220,460
fixation.ivt,11320,11720,400
fixation.ivt,12020,12320,300
fixation.ivt,12420,13540,1120
fixation.ivt,13820,14300,480
fixation.ivt,14660,14760,100
fixation.ivt,15320,15740,420
fixation.ivt,15840,16820,980
fixation.ivt,16920,17080,160
fixation.ivt,17160,17440,280
fixation.ivt,17520,17760,240
fixation.ivt,17860,18180,320
fixation.ivt,18280,18400,120
fixation.ivt,18540,18780,240
fixation.ivt,18940,19080,140
fixation.ivt,19540,19700,160
fixation.ivt,19780,20000,220
fixation.ivt,20100,20520,420
fixation.ivt,20580,20780,200
fixation.ivt,20880,22160,1280
fixation.ivt,22240,22340,100
fixation.ivt,22380,22680,300
fixation.ivt,22800,22920,120
fixation.ivt,23020,23120,100
fixation.ivt,23200,23900,700
fixation.ivt,24000,24220,220
fixation.ivt,24300,24700,400
fixation.ivt,24800,25500,700
fixation.ivt,25620,26120,500
fixation.ivt,26220,26340,120
fixation.ivt,26440,26580,140
fixation.ivt,26780,26960,180
fixation.ivt,27040,27180,140
fixation.ivt,27540,28160,620
fixation.ivt,28260,28760,500
fixation.ivt,29080,29320,240
fixation.ivt,29920,30020,100
fixation.ivt,30280,31580,1300
fixation.ivt,31860,32740,880
fixation.ivt,32780,33000,220
fixation.ivt,33060,33760,700
fixation.ivt,33820,34320,500
fixation.ivt,34480,34700,220
fixation.ivt,35000,35100,100
fixation.ivt,35160,35420,260
fixation.ivt,35560,35720,160
fixation.ivt,35840,36000,160
fixation.ivt,36060,36420,360
fixation.ivt,36500,36760,260
fixation.ivt,36900,37100,200
fixation.ivt,37140,38280,1140
fixation.ivt,38360,38600,240
fixation.ivt,38680,39000,320
fixation.ivt,39100,39340,240
fixation.ivt,39400,39640,240
fixation.ivt,39680,39820,140
