name,onset,offset,duration
fixation.ivt,40,480,440
fixation.ivt,680,860,180
fixation.ivt,940,1180,240
fixation.ivt,1480,1580,100
fixation.ivt,1700,1940,240
fixation.ivt,2280,2600,320
fixation.ivt,2720,2920,200
fixation.ivt,3300,3400,100
fixation.ivt,3500,3660,160
fixation.ivt,4020,4180,160
fixation.ivt,4480,4580,100
fixation.ivt,4700,4820,120
fixation.ivt,4920,5040,120
fixation.ivt,5160,5320,160
fixation.ivt,5440,5580,140
fixation.ivt,6000,6180,180
fixation.ivt,6340,6440,100
fixation.ivt,6540,6680,140
fixation.ivt,6780,6940,160
fixation.ivt,7020,7200,180
fixation.ivt,7580,7740,160
fixation.ivt,7880,8220,340
fixation.ivt,8320,8480,160
fixation.ivt,8580,8700,120
fixation.ivt,8800,9000,200
fixation.ivt,9460,9660,200
fixation.ivt,9900,10320,420
fixation.ivt,10460,10740,280
fixation.ivt,10800,11000,200
fixation.ivt,11100,11200,100
fixation.ivt,11320,11420,100
fixation.ivt,11780,12000,220
fixation.ivt,12300,12440,140
fixation.ivt,12540,12660,120
fixation.ivt,13100,13280,180
fixation.ivt,13600,13700,100
fixation.ivt,14060,14160,100
fixation.ivt,14300,14420,120
fixation.ivt,14540,14740,200
fixation.ivt,15200,15300,100
fixation.ivt,15460,16320,860
fixation.ivt,16720,16880,160
fixation.ivt,17020,17300,280
fixation.ivt,17540,17680,140
fixation.ivt,18280,18420,140
fixation.ivt,19680,19780,100
fixation.ivt,19980,20080,100
fixation.ivt,20440,20560,120
fixation.ivt,21080,21180,100
fixation.ivt,21460,21700,240
fixation.ivt,22140,22340,200
fixation.ivt,22440,22560,120
fixation.ivt,22680,22840,160
fixation.ivt,22980,23380,400
fixation.ivt,23560,23680,120
fixation.ivt,25100,25360,260
fixation.ivt,25440,25820,380
fixation.ivt,27180,27440,260
fixation.ivt,28140,28260,120
fixation.ivt,28440,28560,120
fixation.ivt,29040,29160,120
fixation.ivt,29320,29940,620
fixation.ivt,40,480,440
fixation.ivt,680,860,180
fixation.ivt,940,1180,240
fixation.ivt,1480,1580,100
fixation.ivt,1700,1940,240
fixation.ivt,2280,2600,320
fixation.ivt,2720,2920,200
fixation.ivt,3300,3400,100
fixation.ivt,3500,3660,160
fixation.ivt,4020,4180,160
fixation.ivt,4480,4580,100
fixation.ivt,4700,4820,120
fixation.ivt,4920,5040,120
fixation.ivt,5160,5320,160
fixation.ivt,5440,5580,140
fixation.ivt,6000,6180,180
fixation.ivt,6340,6440,100
fixation.ivt,6540,6680,140
fixation.ivt,6780,6940,160
fixation.ivt,7020,7200,180
fixation.ivt,7580,7740,160
fixation.ivt,7880,8220,340
fixation.ivt,8320,8480,160
fixation.ivt,8580,8700,120
fixation.ivt,8800,9000,200
fixation.ivt,9460,9660,200
fixation.ivt,9900,10320,420
fixation.ivt,10460,10740,280
fixation.ivt,10800,11000,200
fixation.ivt,11100,11200,100
fixation.ivt,11320,11420,100
fixation.ivt,11780,12000,220
fixation.ivt,12300,12440,140
fixation.ivt,12540,12660,120
fixation.ivt,13100,13280,180
fixation.ivt,13600,13700,100
fixation.ivt,14060,14160,100
fixation.ivt,14300,14420,120
fixation.ivt,14540,14740,200
fixation.ivt,15200,15300,100
fixation.ivt,15460,16320,860
fixation.ivt,16720,16880,160
fixation.ivt,17020,17300,280
fixation.ivt,17540,17680,140
fixation.ivt,18280,18420,140
fixation.ivt,19680,19780,100
fixation.ivt,19980,20080,100
fixation.ivt,20440,20560,120
fixation.ivt,21080,21180,100
fixation.ivt,21460,21700,240
fixation.ivt,22140,22340,200
fixation.ivt,22440,22560,120
fixation.ivt,22680,22840,160
fixation.ivt,22980,23380,400
fixation.ivt,23560,23680,120
fixation.ivt,25100,25360,260
fixation.ivt,25440,25820,380
fixation.ivt,27180,27440,260
fixation.ivt,28140,28260,120
fixation.ivt,28440,28560,120
fixation.ivt,29040,29160,120
fixation.ivt,29320,29940,620
fixation.ivt,40,480,440
fixation.ivt,680,860,180
fixation.ivt,940,1180,240
fixation.ivt,1480,1580,100
fixation.ivt,1700,1940,240
fixation.ivt,2280,2600,320
fixation.ivt,2720,2920,200
fixation.ivt,3300,3400,100
fixation.ivt,3500,3660,160
fixation.ivt,4020,4180,160
fixation.ivt,4480,4580,100
fixation.ivt,4700,4820,120
fixation.ivt,4920,5040,120
fixation.ivt,5160,5320,160
fixation.ivt,5440,5580,140
fixation.ivt,6000,6180,180
fixation.ivt,6340,6440,100
fixation.ivt,6540,6680,140
fixation.ivt,6780,6940,160
fixation.ivt,7020,7200,180
fixation.ivt,7580,7740,160
fixation.ivt,7880,8220,340
fixation.ivt,8320,8480,160
fixation.ivt,8580,8700,120
fixation.ivt,8800,9000,200
fixation.ivt,9460,9660,200
fixation.ivt,9900,10320,420
fixation.ivt,10460,10740,280
fixation.ivt,10800,11000,200
fixation.ivt,11100,11200,100
fixation.ivt,11320,11420,100
fixation.ivt,11780,12000,220
fixation.ivt,12300,12440,140
fixation.ivt,12540,12660,120
fixation.ivt,13100,13280,180
fixation.ivt,13600,13700,100
fixation.ivt,14060,14160,100
fixation.ivt,14300,14420,120
fixation.ivt,14540,14740,200
fixation.ivt,15200,15300,100
fixation.ivt,15460,16320,860
fixation.ivt,16720,16880,160
fixation.ivt,17020,17300,280
fixation.ivt,17540,17680,140
fixation.ivt,18280,18420,140
fixation.ivt,19680,19780,100
fixation.ivt,19980,20080,100
fixation.ivt,20440,20560,120
fixation.ivt,21080,21180,100
fixation.ivt,21460,21700,240
fixation.ivt,22140,22340,200
fixation.ivt,22440,22560,120
fixation.ivt,22680,22840,160
fixation.ivt,22980,23380,400
fixation.ivt,23560,23680,120
fixation.ivt,25100,25360,260
fixation.ivt,25440,25820,380
fixation.ivt,27180,27440,260
fixation.ivt,28140,28260,120
fixation.ivt,28440,28560,120
fixation.ivt,29040,29160,120
fixation.ivt,29320,29940,620
fixation.ivt,40,480,440
fixation.ivt,680,860,180
fixation.ivt,940,1180,240
fixation.ivt,1480,1580,100
fixation.ivt,1700,1940,240
fixation.ivt,2280,2600,320
fixation.ivt,2720,2920,200
fixation.ivt,3300,3400,100
fixation.ivt,3500,3660,160
fixation.ivt,4020,4180,160
fixation.ivt,4480,4580,100
fixation.ivt,4700,4820,120
fixation.ivt,4920,5040,120
fixation.ivt,5160,5320,160
fixation.ivt,5440,5580,140
fixation.ivt,6000,6180,180
fixation.ivt,6340,6440,100
fixation.ivt,6540,6680,140
fixation.ivt,6780,6940,160
fixation.ivt,7020,7200,180
fixation.ivt,7580,7740,160
fixation.ivt,7880,8220,340
fixation.ivt,8320,8480,160
fixation.ivt,8580,8700,120
fixation.ivt,8800,9000,200
fixation.ivt,9460,9660,200
fixation.ivt,9900,10320,420
fixation.ivt,10460,10740,280
fixation.ivt,10800,11000,200
fixation.ivt,11100,11200,100
fixation.ivt,11320,11420,100
fixation.ivt,11780,12000,220
fixation.ivt,12300,12440,140
fixation.ivt,12540,12660,120
fixation.ivt,13100,13280,180
fixation.ivt,13600,13700,100
fixation.ivt,14060,14160,100
fixation.ivt,14300,14420,120
fixation.ivt,14540,14740,200
fixation.ivt,15200,15300,100
fixation.ivt,15460,16320,860
fixation.ivt,16720,16880,160
fixation.ivt,17020,17300,280
fixation.ivt,17540,17680,140
fixation.ivt,18280,18420,140
fixation.ivt,19680,19780,100
fixation.ivt,19980,20080,100
fixation.ivt,20440,20560,120
fixation.ivt,21080,21180,100
fixation.ivt,21460,21700,240
fixation.ivt,22140,22340,200
fixation.ivt,22440,22560,120
fixation.ivt,22680,22840,160
fixation.ivt,22980,23380,400
fixation.ivt,23560,23680,120
fixation.ivt,25100,25360,260
fixation.ivt,25440,25820,380
fixation.ivt,27180,27440,260
fixation.ivt,28140,28260,120
fixation.ivt,28440,28560,120
fixation.ivt,29040,29160,120
fixation.ivt,29320,29940,620
fixation.ivt,40,480,440
fixation.ivt,680,860,180
fixation.ivt,940,1180,240
fixation.ivt,1480,1580,100
fixation.ivt,1700,1940,240
fixation.ivt,2280,2600,320
fixation.ivt,2720,2920,200
fixation.ivt,3300,3400,100
fixation.ivt,3500,3660,160
fixation.ivt,4020,4180,160
fixation.ivt,4480,4580,100
fixation.ivt,4700,4820,120
fixation.ivt,4920,5040,120
fixation.ivt,5160,5320,160
fixation.ivt,5440,5580,140
fixation.ivt,6000,6180,180
fixation.ivt,6340,6440,100
fixation.ivt,6540,6680,140
fixation.ivt,6780,6940,160
fixation.ivt,7020,7200,180
fixation.ivt,7580,7740,160
fixation.ivt,7880,8220,340
fixation.ivt,8320,8480,160
fixation.ivt,8580,8700,120
fixation.ivt,8800,9000,200
fixation.ivt,9460,9660,200
fixation.ivt,9900,10320,420
fixation.ivt,10460,10740,280
fixation.ivt,10800,11000,200
fixation.ivt,11100,11200,100
fixation.ivt,11320,11420,100
fixation.ivt,11780,12000,220
fixation.ivt,12300,12440,140
fixation.ivt,12540,12660,120
fixation.ivt,13100,13280,180
fixation.ivt,13600,13700,100
fixation.ivt,14060,14160,100
fixation.ivt,14300,14420,120
fixation.ivt,14540,14740,200
fixation.ivt,15200,15300,100
fixation.ivt,15460,16320,860
fixation.ivt,16720,16880,160
fixation.ivt,17020,17300,280
fixation.ivt,17540,17680,140
fixation.ivt,18280,18420,140
fixation.ivt,19680,19780,100
fixation.ivt,19980,20080,100
fixation.ivt,20440,20560,120
fixation.ivt,21080,21180,100
fixation.ivt,21460,21700,240
fixation.ivt,22140,22340,200
fixation.ivt,22440,22560,120
fixation.ivt,22680,22840,160
fixation.ivt,22980,23380,400
fixation.ivt,23560,23680,120
fixation.ivt,25100,25360,260
fixation.ivt,25440,25820,380
fixation.ivt,27180,27440,260
fixation.ivt,28140,28260,120
fixation.ivt,28440,28560,120
fixation.ivt,29040,29160,120
fixation.ivt,29320,29940,620
fixation.ivt,40,480,440
fixation.ivt,680,860,180
fixation.ivt,940,1180,240
fixation.ivt,1480,1580,100
fixation.ivt,1700,1940,240
fixation.ivt,2280,2600,320
fixation.ivt,2720,2920,200
fixation.ivt,3300,3400,100
fixation.ivt,3500,3660,160
fixation.ivt,4020,4180,160
fixation.ivt,4480,4580,100
fixation.ivt,4700,4820,120
fixation.ivt,4920,5040,120
fixation.ivt,5160,5320,160
fixation.ivt,5440,5580,140
fixation.ivt,6000,6180,180
fixation.ivt,6340,6440,100
fixation.ivt,6540,6680,140
fixation.ivt,6780,6940,160
fixation.ivt,7020,7200,180
fixation.ivt,7580,7740,160
fixation.ivt,7880,8220,340
fixation.ivt,8320,8480,160
fixation.ivt,8580,8700,120
fixation.ivt,8800,9000,200
fixation.ivt,9460,9660,200
fixation.ivt,9900,10320,420
fixation.ivt,10460,10740,280
fixation.ivt,10800,11000,200
fixation.ivt,11100,11200,100
fixation.ivt,11320,11420,100
fixation.ivt,11780,12000,220
fixation.ivt,12300,12440,140
fixation.ivt,12540,12660,120
fixation.ivt,13100,13280,180
fixation.ivt,13600,13700,100
fixation.ivt,14060,14160,100
fixation.ivt,14300,14420,120
fixation.ivt,14540,14740,200
fixation.ivt,15200,15300,100
fixation.ivt,15460,16320,860
fixation.ivt,16720,16880,160
fixation.ivt,17020,17300,280
fixation.ivt,17540,17680,140
fixation.ivt,18280,18420,140
fixation.ivt,19680,19780,100
fixation.ivt,19980,20080,100
fixation.ivt,20440,20560,120
fixation.ivt,21080,21180,100
fixation.ivt,21460,21700,240
fixation.ivt,22140,22340,200
fixation.ivt,22440,22560,120
fixation.ivt,22680,22840,160
fixation.ivt,22980,23380,400
fixation.ivt,23560,23680,120
fixation.ivt,25100,25360,260
fixation.ivt,25440,25820,380
fixation.ivt,27180,27440,260
fixation.ivt,28140,28260,120
fixation.ivt,28440,28560,120
fixation.ivt,29040,29160,120
fixation.ivt,29320,29940,620
fixation.ivt,40,480,440
fixation.ivt,680,860,180
fixation.ivt,940,1180,240
fixation.ivt,1480,1580,100
fixation.ivt,1700,1940,240
fixation.ivt,2280,2600,320
fixation.ivt,2720,2920,200
fixation.ivt,3300,3400,100
fixation.ivt,3500,3660,160
fixation.ivt,4020,4180,160
fixation.ivt,4480,4580,100
fixation.ivt,4700,4820,120
fixation.ivt,4920,5040,120
fixation.ivt,5160,5320,160
fixation.ivt,5440,5580,140
fixation.ivt,6000,6180,180
fixation.ivt,6340,6440,100
fixation.ivt,6540,6680,140
fixation.ivt,6780,6940,160
fixation.ivt,7020,7200,180
fixation.ivt,7580,7740,160
fixation.ivt,7880,8220,340
fixation.ivt,8320,8480,160
fixation.ivt,8580,8700,120
fixation.ivt,8800,9000,200
fixation.ivt,9460,9660,200
fixation.ivt,9900,10320,420
fixation.ivt,10460,10740,280
fixation.ivt,10800,11000,200
fixation.ivt,11100,11200,100
fixation.ivt,11320,11420,100
fixation.ivt,11780,12000,220
fixation.ivt,12300,12440,140
fixation.ivt,12540,12660,120
fixation.ivt,13100,13280,180
fixation.ivt,13600,13700,100
fixation.ivt,14060,14160,100
fixation.ivt,14300,14420,120
fixation.ivt,14540,14740,200
fixation.ivt,15200,15300,100
fixation.ivt,15460,16320,860
fixation.ivt,16720,16880,160
fixation.ivt,17020,17300,280
fixation.ivt,17540,17680,140
fixation.ivt,18280,18420,140
fixation.ivt,19680,19780,100
fixation.ivt,19980,20080,100
fixation.ivt,20440,20560,120
fixation.ivt,21080,21180,100
fixation.ivt,21460,21700,240
fixation.ivt,22140,22340,200
fixation.ivt,22440,22560,120
fixation.ivt,22680,22840,160
fixation.ivt,22980,23380,400
fixation.ivt,23560,23680,120
fixation.ivt,25100,25360,260
fixation.ivt,25440,25820,380
fixation.ivt,27180,27440,260
fixation.ivt,28140,28260,120
fixation.ivt,28440,28560,120
fixation.ivt,29040,29160,120
fixation.ivt,29320,29940,620
fixation.ivt,40,480,440
fixation.ivt,680,860,180
fixation.ivt,940,1180,240
fixation.ivt,1480,1580,100
fixation.ivt,1700,1940,240
fixation.ivt,2280,2600,320
fixation.ivt,2720,2920,200
fixation.ivt,3300,3400,100
fixation.ivt,3500,3660,160
fixation.ivt,4020,4180,160
fixation.ivt,4480,4580,100
fixation.ivt,4700,4820,120
fixation.ivt,4920,5040,120
fixation.ivt,5160,5320,160
fixation.ivt,5440,5580,140
fixation.ivt,6000,6180,180
fixation.ivt,6340,6440,100
fixation.ivt,6540,6680,140
fixation.ivt,6780,6940,160
fixation.ivt,7020,7200,180
fixation.ivt,7580,7740,160
fixation.ivt,7880,8220,340
fixation.ivt,8320,8480,160
fixation.ivt,8580,8700,120
fixation.ivt,8800,9000,200
fixation.ivt,9460,9660,200
fixation.ivt,9900,10320,420
fixation.ivt,10460,10740,280
fixation.ivt,10800,11000,200
fixation.ivt,11100,11200,100
fixation.ivt,11320,11420,100
fixation.ivt,11780,12000,220
fixation.ivt,12300,12440,140
fixation.ivt,12540,12660,120
fixation.ivt,13100,13280,180
fixation.ivt,13600,13700,100
fixation.ivt,14060,14160,100
fixation.ivt,14300,14420,120
fixation.ivt,14540,14740,200
fixation.ivt,15200,15300,100
fixation.ivt,15460,16320,860
fixation.ivt,16720,16880,160
fixation.ivt,17020,17300,280
fixation.ivt,17540,17680,140
fixation.ivt,18280,18420,140
fixation.ivt,19680,19780,100
fixation.ivt,19980,20080,100
fixation.ivt,20440,20560,120
fixation.ivt,21080,21180,100
fixation.ivt,21460,21700,240
fixation.ivt,22140,22340,200
fixation.ivt,22440,22560,120
fixation.ivt,22680,22840,160
fixation.ivt,22980,23380,400
fixation.ivt,23560,23680,120
fixation.ivt,25100,25360,260
fixation.ivt,25440,25820,380
fixation.ivt,27180,27440,260
fixation.ivt,28140,28260,120
fixation.ivt,28440,28560,120
fixation.ivt,29040,29160,120
fixation.ivt,29320,29940,620
fixation.ivt,40,480,440
fixation.ivt,680,860,180
fixation.ivt,940,1180,240
fixation.ivt,1480,1580,100
fixation.ivt,1700,1940,240
fixation.ivt,2280,2600,320
fixation.ivt,2720,2920,200
fixation.ivt,3300,3400,100
fixation.ivt,3500,3660,160
fixation.ivt,4020,4180,160
fixation.ivt,4480,4580,100
fixation.ivt,4700,4820,120
fixation.ivt,4920,5040,120
fixation.ivt,5160,5320,160
fixation.ivt,5440,5580,140
fixation.ivt,6000,6180,180
fixation.ivt,6340,6440,100
fixation.ivt,6540,6680,140
fixation.ivt,6780,6940,160
fixation.ivt,7020,7200,180
fixation.ivt,7580,7740,160
fixation.ivt,7880,8220,340
fixation.ivt,8320,8480,160
fixation.ivt,8580,8700,120
fixation.ivt,8800,9000,200
fixation.ivt,9460,9660,200
fixation.ivt,9900,10320,420
fixation.ivt,10460,10740,280
fixation.ivt,10800,11000,200
fixation.ivt,11100,11200,100
fixation.ivt,11320,11420,100
fixation.ivt,11780,12000,220
fixation.ivt,12300,12440,140
fixation.ivt,12540,12660,120
fixation.ivt,13100,13280,180
fixation.ivt,13600,13700,100
fixation.ivt,14060,14160,100
fixation.ivt,14300,14420,120
fixation.ivt,14540,14740,200
fixation.ivt,15200,15300,100
fixation.ivt,15460,16320,860
fixation.ivt,16720,16880,160
fixation.ivt,17020,17300,280
fixation.ivt,17540,17680,140
fixation.ivt,18280,18420,140
fixation.ivt,19680,19780,100
fixation.ivt,19980,20080,100
fixation.ivt,20440,20560,120
fixation.ivt,21080,21180,100
fixation.ivt,21460,21700,240
fixation.ivt,22140,22340,200
fixation.ivt,22440,22560,120
fixation.ivt,22680,22840,160
fixation.ivt,22980,23380,400
fixation.ivt,23560,23680,120
fixation.ivt,25100,25360,260
fixation.ivt,25440,25820,380
fixation.ivt,27180,27440,260
fixation.ivt,28140,28260,120
fixation.ivt,28440,28560,120
fixation.ivt,29040,29160,120
