name,onset,offset,duration
fixation.ivt,40,660,620
fixation.ivt,960,1160,200
fixation.ivt,1280,1400,120
fixation.ivt,1480,1600,120
fixation.ivt,2060,2160,100
fixation.ivt,2280,2380,100
fixation.ivt,2480,2580,100
fixation.ivt,2880,2980,100
fixation.ivt,3080,3200,120
fixation.ivt,3640,3780,140
fixation.ivt,3840,3940,100
fixation.ivt,4060,4180,120
fixation.ivt,4280,4560,280
fixation.ivt,4660,4780,120
fixation.ivt,5120,5260,140
fixation.ivt,5580,5680,100
fixation.ivt,6940,7100,160
fixation.ivt,7180,7360,180
fixation.ivt,7480,7600,120
fixation.ivt,8060,8180,120
fixation.ivt,8260,8460,200
fixation.ivt,8580,8820,240
fixation.ivt,8920,9160,240
fixation.ivt,9260,9440,180
fixation.ivt,9900,10040,140
fixation.ivt,10160,10320,160
fixation.ivt,10440,10560,120
fixation.ivt,11060,11200,140
fixation.ivt,11300,11500,200
fixation.ivt,11620,11860,240
fixation.ivt,12520,13340,820
fixation.ivt,13700,13840,140
fixation.ivt,13960,14180,220
fixation.ivt,14740,14860,120
fixation.ivt,15500,15640,140
fixation.ivt,16040,16280,240
fixation.ivt,16620,16820,200
fixation.ivt,17400,17840,440
fixation.ivt,17940,18120,180
fixation.ivt,18240,18700,460
fixation.ivt,18800,19520,720
fixation.ivt,19620,19940,320
fixation.ivt,40,660,620
fixation.ivt,960,1160,200
fixation.ivt,1280,1400,120
fixation.ivt,1480,1600,120
fixation.ivt,2060,2160,100
fixation.ivt,2280,2380,100
fixation.ivt,2480,2580,100
fixation.ivt,2880,2980,100
fixation.ivt,3080,3200,120
fixation.ivt,3640,3780,140
fixation.ivt,3840,3940,100
fixation.ivt,4060,4180,120
fixation.ivt,4280,4560,280
fixation.ivt,4660,4780,120
fixation.ivt,5120,5260,140
fixation.ivt,5580,5680,100
fixation.ivt,6940,7100,160
fixation.ivt,7180,7360,180
fixation.ivt,7480,7600,120
fixation.ivt,8060,8180,120
fixation.ivt,8260,8460,200
fixation.ivt,8580,8820,240
fixation.ivt,8920,9160,240
fixation.ivt,9260,9440,180
fixation.ivt,9900,10040,140
fixation.ivt,10160,10320,160
fixation.ivt,10440,10560,120
fixation.ivt,11060,11200,140
fixation.ivt,11300,11500,200
fixation.ivt,11620,11860,240
fixation.ivt,12520,13340,820
fixation.ivt,13700,13840,140
fixation.ivt,13960,14180,220
fixation.ivt,14740,14860,120
fixation.ivt,15500,15640,140
fixation.ivt,16040,16280,240
fixation.ivt,16620,16820,200
fixation.ivt,17400,17840,440
fixation.ivt,17940,18120,180
fixation.ivt,18240,18700,460
fixation.ivt,18800,19520,720
fixation.ivt,19620,19940,320
fixation.ivt,40,660,620
fixation.ivt,960,1160,200
fixation.ivt,1280,1400,120
fixation.ivt,1480,1600,120
fixation.ivt,2060,2160,100
fixation.ivt,2280,2380,100
fixation.ivt,2480,2580,100
fixation.ivt,2880,2980,100
fixation.ivt,3080,3200,120
fixation.ivt,3640,3780,140
fixation.ivt,3840,3940,100
fixation.ivt,4060,4180,120
fixation.ivt,4280,4560,280
fixation.ivt,4660,4780,120
fixation.ivt,5120,5260,140
fixation.ivt,5580,5680,100
fixation.ivt,6940,7100,160
fixation.ivt,7180,7360,180
fixation.ivt,7480,7600,120
fixation.ivt,8060,8180,120
fixation.ivt,8260,8460,200
fixation.ivt,8580,8820,240
fixation.ivt,8920,9160,240
fixation.ivt,9260,9440,180
fixation.ivt,9900,10040,140
fixation.ivt,10160,10320,160
fixation.ivt,10440,10560,120
fixation.ivt,11060,11200,140
fixation.ivt,11300,11500,200
fixation.ivt,11620,11860,240
fixation.ivt,12520,13340,820
fixation.ivt,13700,13840,140
fixation.ivt,13960,14180,220
fixation.ivt,14740,14860,120
fixation.ivt,15500,15640,140
fixation.ivt,16040,16280,240
fixation.ivt,16620,16820,200
fixation.ivt,17400,17840,440
fixation.ivt,17940,18120,180
fixation.ivt,18240,18700,460
fixation.ivt,18800,19520,720
fixation.ivt,19620,19940,320
fixation.ivt,40,660,620
fixation.ivt,960,1160,200
fixation.ivt,1280,1400,120
fixation.ivt,1480,1600,120
fixation.ivt,2060,2160,100
fixation.ivt,2280,2380,100
fixation.ivt,2480,2580,100
fixation.ivt,2880,2980,100
fixation.ivt,3080,3200,120
fixation.ivt,3640,3780,140
fixation.ivt,3840,3940,100
fixation.ivt,4060,4180,120
fixation.ivt,4280,4560,280
fixation.ivt,4660,4780,120
fixation.ivt,5120,5260,140
fixation.ivt,5580,5680,100
fixation.ivt,6940,7100,160
fixation.ivt,7180,7360,180
fixation.ivt,7480,7600,120
fixation.ivt,8060,8180,120
fixation.ivt,8260,8460,200
fixation.ivt,8580,8820,240
fixation.ivt,8920,9160,240
fixation.ivt,9260,9440,180
fixation.ivt,9900,10040,140
fixation.ivt,10160,10320,160
fixation.ivt,10440,10560,120
fixation.ivt,11060,11200,140
fixation.ivt,11300,11500,200
fixation.ivt,11620,11860,240
fixation.ivt,12520,13340,820
fixation.ivt,13700,13840,140
fixation.ivt,13960,14180,220
fixation.ivt,14740,14860,120
fixation.ivt,15500,15640,140
fixation.ivt,16040,16280,240
fixation.ivt,16620,16820,200
fixation.ivt,17400,17840,440
fixation.ivt,17940,18120,180
fixation.ivt,18240,18700,460
fixation.ivt,18800,19520,720
fixation.ivt,19620,19940,320
fixation.ivt,40,660,620
fixation.ivt,960,1160,200
fixation.ivt,1280,1400,120
fixation.ivt,1480,1600,120
fixation.ivt,2060,2160,100
fixation.ivt,2280,2380,100
fixation.ivt,2480,2580,100
fixation.ivt,2880,2980,100
fixation.ivt,3080,3200,120
fixation.ivt,3640,3780,140
fixation.ivt,3840,3940,100
fixation.ivt,4060,4180,120
fixation.ivt,4280,4560,280
fixation.ivt,4660,4780,120
fixation.ivt,5120,5260,140
fixation.ivt,5580,5680,100
fixation.ivt,6940,7100,160
fixation.ivt,7180,7360,180
fixation.ivt,7480,7600,120
fixation.ivt,8060,8180,120
fixation.ivt,8260,8460,200
fixation.ivt,8580,8820,240
fixation.ivt,8920,9160,240
fixation.ivt,9260,9440,180
fixation.ivt,9900,10040,140
fixation.ivt,10160,10320,160
fixation.ivt,10440,10560,120
fixation.ivt,11060,11200,140
fixation.ivt,11300,11500,200
fixation.ivt,11620,11860,240
fixation.ivt,12520,13340,820
fixation.ivt,13700,13840,140
fixation.ivt,13960,14180,220
fixation.ivt,14740,14860,120
fixation.ivt,15500,15640,140
fixation.ivt,16040,16280,240
fixation.ivt,16620,16820,200
fixation.ivt,17400,17840,440
fixation.ivt,17940,18120,180
fixation.ivt,18240,18700,460
fixation.ivt,18800,19520,720
fixation.ivt,19620,19940,320
fixation.ivt,40,660,620
fixation.ivt,960,1160,200
fixation.ivt,1280,1400,120
fixation.ivt,1480,1600,120
fixation.ivt,2060,2160,100
fixation.ivt,2280,2380,100
fixation.ivt,2480,2580,100
fixation.ivt,2880,2980,100
fixation.ivt,3080,3200,120
fixation.ivt,3640,3780,140
fixation.ivt,3840,3940,100
fixation.ivt,4060,4180,120
fixation.ivt,4280,4560,280
fixation.ivt,4660,4780,120
fixation.ivt,5120,5260,140
fixation.ivt,5580,5680,100
fixation.ivt,6940,7100,160
fixation.ivt,7180,7360,180
fixation.ivt,7480,7600,120
fixation.ivt,8060,8180,120
fixation.ivt,8260,8460,200
fixation.ivt,8580,8820,240
fixation.ivt,8920,9160,240
fixation.ivt,9260,9440,180
fixation.ivt,9900,10040,140
fixation.ivt,10160,10320,160
fixation.ivt,10440,10560,120
fixation.ivt,11060,11200,140
fixation.ivt,11300,11500,200
fixation.ivt,11620,11860,240
fixation.ivt,12520,13340,820
fixation.ivt,13700,13840,140
fixation.ivt,13960,14180,220
fixation.ivt,14740,14860,120
fixation.ivt,15500,15640,140
fixation.ivt,16040,16280,240
fixation.ivt,16620,16820,200
fixation.ivt,17400,17840,440
fixation.ivt,17940,18120,180
fixation.ivt,18240,18700,460
fixation.ivt,18800,19520,720
fixation.ivt,19620,19940,320
fixation.ivt,40,660,620
fixation.ivt,960,1160,200
fixation.ivt,1280,1400,120
fixation.ivt,1480,1600,120
fixation.ivt,2060,2160,100
fixation.ivt,2280,2380,100
fixation.ivt,2480,2580,100
fixation.ivt,2880,2980,100
fixation.ivt,3080,3200,120
fixation.ivt,3640,3780,140
fixation.ivt,3840,3940,100
fixation.ivt,4060,4180,120
fixation.ivt,4280,4560,280
fixation.ivt,4660,4780,120
fixation.ivt,5120,5260,140
fixation.ivt,5580,5680,100
fixation.ivt,6940,7100,160
fixation.ivt,7180,7360,180
fixation.ivt,7480,7600,120
fixation.ivt,8060,8180,120
fixation.ivt,8260,8460,200
fixation.ivt,8580,8820,240
fixation.ivt,8920,9160,240
fixation.ivt,9260,9440,180
fixation.ivt,9900,10040,140
fixation.ivt,10160,10320,160
fixation.ivt,10440,10560,120
fixation.ivt,11060,11200,140
fixation.ivt,11300,11500,200
fixation.ivt,11620,11860,240
fixation.ivt,12520,13340,820
fixation.ivt,13700,13840,140
fixation.ivt,13960,14180,220
fixation.ivt,14740,14860,120
fixation.ivt,15500,15640,140
fixation.ivt,16040,16280,240
fixation.ivt,16620,16820,200
fixation.ivt,17400,17840,440
fixation.ivt,17940,18120,180
fixation.ivt,18240,18700,460
fixation.ivt,18800,19520,720
fixation.ivt,19620,19940,320
fixation.ivt,40,660,620
fixation.ivt,960,1160,200
fixation.ivt,1280,1400,120
fixation.ivt,1480,1600,120
fixation.ivt,2060,2160,100
fixation.ivt,2280,2380,100
fixation.ivt,2480,2580,100
fixation.ivt,2880,2980,100
fixation.ivt,3080,3200,120
fixation.ivt,3640,3780,140
fixation.ivt,3840,3940,100
fixation.ivt,4060,4180,120
fixation.ivt,4280,4560,280
fixation.ivt,4660,4780,120
fixation.ivt,5120,5260,140
fixation.ivt,5580,5680,100
fixation.ivt,6940,7100,160
fixation.ivt,7180,7360,180
fixation.ivt,7480,7600,120
fixation.ivt,8060,8180,120
fixation.ivt,8260,8460,200
fixation.ivt,8580,8820,240
fixation.ivt,8920,9160,240
fixation.ivt,9260,9440,180
fixation.ivt,9900,10040,140
fixation.ivt,10160,10320,160
fixation.ivt,10440,10560,120
fixation.ivt,11060,11200,140
fixation.ivt,11300,11500,200
fixation.ivt,11620,11860,240
fixation.ivt,12520,13340,820
fixation.ivt,13700,13840,140
fixation.ivt,13960,14180,220
fixation.ivt,14740,14860,120
fixation.ivt,15500,15640,140
fixation.ivt,16040,16280,240
fixation.ivt,16620,16820,200
fixation.ivt,17400,17840,440
fixation.ivt,17940,18120,180
fixation.ivt,18240,18700,460
fixation.ivt,18800,19520,720
fixation.ivt,19620,19940,320
fixation.ivt,40,660,620
fixation.ivt,960,1160,200
fixation.ivt,1280,1400,120
fixation.ivt,1480,1600,120
fixation.ivt,2060,2160,100
fixation.ivt,2280,2380,100
fixation.ivt,2480,2580,100
fixation.ivt,2880,2980,100
fixation.ivt,3080,3200,120
fixation.ivt,3640,3780,140
fixation.ivt,3840,3940,100
fixation.ivt,4060,4180,120
fixation.ivt,4280,4560,280
fixation.ivt,4660,4780,120
fixation.ivt,5120,5260,140
fixation.ivt,5580,5680,100
fixation.ivt,6940,7100,160
fixation.ivt,7180,7360,180
fixation.ivt,7480,7600,120
fixation.ivt,8060,8180,120
fixation.ivt,8260,8460,200
fixation.ivt,8580,8820,240
fixation.ivt,8920,9160,240
fixation.ivt,9260,9440,180
fixation.ivt,9900,10040,140
fixation.ivt,10160,10320,160
fixation.ivt,10440,10560,120
fixation.ivt,11060,11200,140
fixation.ivt,11300,11500,200
fixation.ivt,11620,11860,240
fixation.ivt,12520,13340,820
fixation.ivt,13700,13840,140
fixation.ivt,13960,14180,220
fixation.ivt,14740,14860,120
fixation.ivt,15500,15640,140
fixation.ivt,16040,16280,240
fixation.ivt,16620,16820,200
fixation.ivt,17400,17840,440
fixation.ivt,17940,18120,180
fixation.ivt,18240,18700,460
fixation.ivt,18800,19520,720
fixation.ivt,19620,19940,320
fixation.ivt,40,660,620
fixation.ivt,960,1160,200
fixation.ivt,1280,1400,120
fixation.ivt,1480,1600,120
fixation.ivt,2060,2160,100
fixation.ivt,2280,2380,100
fixation.ivt,2480,2580,100
fixation.ivt,2880,2980,100
fixation.ivt,3080,3200,120
fixation.ivt,3640,3780,140
fixation.ivt,3840,3940,100
fixation.ivt,4060,4180,120
fixation.ivt,4280,4560,280
fixation.ivt,4660,4780,120
fixation.ivt,5120,5260,140
fixation.ivt,5580,5680,100
fixation.ivt,6940,7100,160
fixation.ivt,7180,7360,180
fixation.ivt,7480,7600,120
fixation.ivt,8060,8180,120
fixation.ivt,8260,8460,200
fixation.ivt,8580,8820,240
fixation.ivt,8920,9160,240
fixation.ivt,9260,9440,180
fixation.ivt,9900,10040,140
fixation.ivt,10160,10320,160
fixation.ivt,10440,10560,120
fixation.ivt,11060,11200,140
fixation.ivt,11300,11500,200
fixation.ivt,11620,11860,240
fixation.ivt,12520,13340,820
fixation.ivt,13700,13840,140
fixation.ivt,13960,14180,220
fixation.ivt,14740,14860,120
fixation.ivt,15500,15640,140
fixation.ivt,16040,16280,240
fixation.ivt,16620,16820,200
fixation.ivt,17400,17840,440
fixation.ivt,17940,18120,180
fixation.ivt,18240,18700,460
fixation.ivt,18800,19520,720
fixation.ivt,19620,19940,320
fixation.ivt,40,660,620
fixation.ivt,960,1160,200
fixation.ivt,1280,1400,120
fixation.ivt,1480,1600,120
fixation.ivt,2060,2160,100
fixation.ivt,2280,2380,100
fixation.ivt,2480,2580,100
fixation.ivt,2880,2980,100
fixation.ivt,3080,3200,120
fixation.ivt,3640,3780,140
fixation.ivt,3840,3940,100
fixation.ivt,4060,4180,120
fixation.ivt,4280,4560,280
fixation.ivt,4660,4780,120
fixation.ivt,5120,5260,140
fixation.ivt,5580,5680,100
fixation.ivt,6940,7100,160
fixation.ivt,7180,7360,180
fixation.ivt,7480,7600,120
fixation.ivt,8060,8180,120
fixation.ivt,8260,8460,200
fixation.ivt,8580,8820,240
fixation.ivt,8920,9160,240
fixation.ivt,9260,9440,180
fixation.ivt,9900,10040,140
fixation.ivt,10160,10320,160
fixation.ivt,10440,10560,120
fixation.ivt,11060,11200,140
fixation.ivt,11300,11500,200
fixation.ivt,11620,11860,240
fixation.ivt,12520,13340,820
fixation.ivt,13700,13840,140
fixation.ivt,13960,14180,220
fixation.ivt,14740,14860,120
fixation.ivt,15500,15640,140
fixation.ivt,16040,16280,240
fixation.ivt,16620,16820,200
fixation.ivt,17400,17840,440
fixation.ivt,17940,18120,180
fixation.ivt,18240,18700,460
fixation.ivt,18800,19520,720
fixation.ivt,19620,19940,320
fixation.ivt,40,660,620
fixation.ivt,960,1160,200
fixation.ivt,1280,1400,120
fixation.ivt,1480,1600,120
fixation.ivt,2060,2160,100
fixation.ivt,2280,2380,100
fixation.ivt,2480,2580,100
fixation.ivt,2880,2980,100
fixation.ivt,3080,3200,120
fixation.ivt,3640,3780,140
fixation.ivt,3840,3940,100
fixation.ivt,4060,4180,120
fixation.ivt,4280,4560,280
fixation.ivt,4660,4780,120
fixation.ivt,5120,5260,140
fixation.ivt,5580,5680,100
fixation.ivt,6940,7100,160
fixation.ivt,7180,7360,180
fixation.ivt,7480,7600,120
fixation.ivt,8060,8180,120
fixation.ivt,8260,8460,200
fixation.ivt,8580,8820,240
fixation.ivt,8920,9160,240
fixation.ivt,9260,9440,180
fixation.ivt,9900,10040,140
fixation.ivt,10160,10320,160
fixation.ivt,10440,10560,120
fixation.ivt,11060,11200,140
fixation.ivt,11300,11500,200
fixation.ivt,11620,11860,240
fixation.ivt,12520,13340,820
fixation.ivt,13700,13840,140
fixation.ivt,13960,14180,220
fixation.ivt,14740,14860,120
fixation.ivt,15500,15640,140
fixation.ivt,16040,16280,240
fixation.ivt,16620,16820,200
fixation.ivt,17400,17840,440
fixation.ivt,17940,18120,180
fixation.ivt,18240,18700,460
fixation.ivt,18800,19520,720
fixation.ivt,19620,19940,320
fixation.ivt,40,660,620
fixation.ivt,960,1160,200
fixation.ivt,1280,1400,120
fixation.ivt,1480,1600,120
fixation.ivt,2060,2160,100
fixation.ivt,2280,2380,100
fixation.ivt,2480,2580,100
fixation.ivt,2880,2980,100
fixation.ivt,3080,3200,120
fixation.ivt,3640,3780,140
fixation.ivt,3840,3940,100
fixation.ivt,4060,4180,120
fixation.ivt,4280,4560,280
fixation.ivt,4660,4780,120
fixation.ivt,5120,5260,140
fixation.ivt,5580,5680,100
fixation.ivt,6940,7100,160
fixation.ivt,7180,7360,180
fixation.ivt,7480,7600,120
fixation.ivt,8060,8180,120
fixation.ivt,8260,8460,200
fixation.ivt,8580,8820,240
fixation.ivt,8920,9160,240
fixation.ivt,9260,9440,180
fixation.ivt,9900,10040,140
fixation.ivt,10160,10320,160
fixation.ivt,10440,10560,120
fixation.ivt,11060,11200,140
fixation.ivt,11300,11500,200
fixation.ivt,11620,11860,240
fixation.ivt,12520,13340,820
fixation.ivt,13700,13840,140
fixation.ivt,13960,14180,220
fixation.ivt,14740,14860,120
fixation.ivt,15500,15640,140
fixation.ivt,16040,16280,240
fixation.ivt,16620,16820,200
fixation.ivt,17400,17840,440
fixation.ivt,17940,18120,180
fixation.ivt,18240,18700,460
fixation.ivt,18800,19520,720
fixation.ivt,19620,19940,320
fixation.ivt,40,660,620
fixation.ivt,960,1160,200
fixation.ivt,1280,1400,120
fixation.ivt,1480,1600,120
fixation.ivt,2060,2160,100
fixation.ivt,2280,2380,100
fixation.ivt,2480,2580,100
fixation.ivt,2880,2980,100
fixation.ivt,3080,3200,120
fixation.ivt,3640,3780,140
fixation.ivt,3840,3940,100
fixation.ivt,4060,4180,120
fixation.ivt,4280,4560,280
fixation.ivt,4660,4780,120
fixation.ivt,5120,5260,140
fixation.ivt,5580,5680,100
fixation.ivt,6940,7100,160
fixation.ivt,7180,7360,180
fixation.ivt,7480,7600,120
fixation.ivt,8060,8180,120
fixation.ivt,8260,8460,200
fixation.ivt,8580,8820,240
fixation.ivt,8920,9160,240
fixation.ivt,9260,9440,180
fixation.ivt,9900,10040,140
fixation.ivt,10160,10320,160
fixation.ivt,10440,10560,120
fixation.ivt,11060,11200,140
fixation.ivt,11300,11500,200
fixation.ivt,11620,11860,240
fixation.ivt,12520,13340,820
fixation.ivt,13700,13840,140
fixation.ivt,13960,14180,220
fixation.ivt,14740,14860,120
fixation.ivt,15500,15640,140
fixation.ivt,16040,16280,240
fixation.ivt,16620,16820,200
fixation.ivt,17400,17840,440
fixation.ivt,17940,18120,180
fixation.ivt,18240,18700,460
fixation.ivt,18800,19520,720
fixation.ivt,19620,19940,320
fixation.ivt,40,660,620
fixation.ivt,960,1160,200
fixation.ivt,1280,1400,120
fixation.ivt,1480,1600,120
fixation.ivt,2060,2160,100
fixation.ivt,2280,2380,100
fixation.ivt,2480,2580,100
fixation.ivt,2880,2980,100
fixation.ivt,3080,3200,120
fixation.ivt,3640,3780,140
fixation.ivt,3840,3940,100
fixation.ivt,4060,4180,120
fixation.ivt,4280,4560,280
fixation.ivt,4660,4780,120
fixation.ivt,5120,5260,140
fixation.ivt,5580,5680,100
fixation.ivt,6940,7100,160
fixation.ivt,7180,7360,180
fixation.ivt,7480,7600,120
fixation.ivt,8060,8180,120
fixation.ivt,8260,8460,200
fixation.ivt,8580,8820,240
fixation.ivt,8920,9160,240
fixation.ivt,9260,9440,180
fixation.ivt,9900,10040,140
fixation.ivt,10160,10320,160
fixation.ivt,10440,10560,120
fixation.ivt,11060,11200,140
fixation.ivt,11300,11500,200
fixation.ivt,11620,11860,240
fixation.ivt,12520,13340,820
fixation.ivt,13700,13840,140
fixation.ivt,13960,14180,220
fixation.ivt,14740,14860,120
fixation.ivt,15500,15640,140
fixation.ivt,16040,16280,240
fixation.ivt,16620,16820,200
fixation.ivt,17400,17840,440
fixation.ivt,17940,18120,180
fixation.ivt,18240,18700,460
fixation.ivt,18800,19520,720
fixation.ivt,19620,19940,320
fixation.ivt,40,660,620
fixation.ivt,960,1160,200
fixation.ivt,1280,1400,120
fixation.ivt,1480,1600,120
fixation.ivt,2060,2160,100
fixation.ivt,2280,2380,100
fixation.ivt,2480,2580,100
fixation.ivt,2880,2980,100
fixation.ivt,3080,3200,120
fixation.ivt,3640,3780,140
fixation.ivt,3840,3940,100
fixation.ivt,4060,4180,120
fixation.ivt,4280,4560,280
fixation.ivt,4660,4780,120
fixation.ivt,5120,5260,140
fixation.ivt,5580,5680,100
fixation.ivt,6940,7100,160
fixation.ivt,7180,7360,180
fixation.ivt,7480,7600,120
fixation.ivt,8060,8180,120
fixation.ivt,8260,8460,200
fixation.ivt,8580,8820,240
fixation.ivt,8920,9160,240
fixation.ivt,9260,9440,180
fixation.ivt,9900,10040,140
fixation.ivt,10160,10320,160
fixation.ivt,10440,10560,120
fixation.ivt,11060,11200,140
fixation.ivt,11300,11500,200
fixation.ivt,11620,11860,240
fixation.ivt,12520,13340,820
fixation.ivt,13700,13840,140
fixation.ivt,13960,14180,220
fixation.ivt,14740,14860,120
fixation.ivt,15500,15640,140
fixation.ivt,16040,16280,240
fixation.ivt,16620,16820,200
fixation.ivt,17400,17840,440
fixation.ivt,17940,18120,180
fixation.ivt,18240,18700,460
fixation.ivt,18800,19520,720
fixation.ivt,19620,19940,320
fixation.ivt,40,660,620
fixation.ivt,960,1160,200
fixation.ivt,1280,1400,120
fixation.ivt,1480,1600,120
fixation.ivt,2060,2160,100
fixation.ivt,2280,2380,100
fixation.ivt,2480,2580,100
fixation.ivt,2880,2980,100
fixation.ivt,3080,3200,120
fixation.ivt,3640,3780,140
fixation.ivt,3840,3940,100
fixation.ivt,4060,4180,120
fixation.ivt,4280,4560,280
fixation.ivt,4660,4780,120
fixation.ivt,5120,5260,140
fixation.ivt,5580,5680,100
fixation.ivt,6940,7100,160
fixation.ivt,7180,7360,180
fixation.ivt,7480,7600,120
fixation.ivt,8060,8180,120
fixation.ivt,8260,8460,200
fixation.ivt,8580,8820,240
fixation.ivt,8920,9160,240
fixation.ivt,9260,9440,180
fixation.ivt,9900,10040,140
fixation.ivt,10160,10320,160
fixation.ivt,10440,10560,120
fixation.ivt,11060,11200,140
fixation.ivt,11300,11500,200
fixation.ivt,11620,11860,240
fixation.ivt,12520,13340,820
fixation.ivt,13700,13840,140
fixation.ivt,13960,14180,220
fixation.ivt,14740,14860,120
fixation.ivt,15500,15640,140
fixation.ivt,16040,16280,240
fixation.ivt,16620,16820,200
fixation.ivt,17400,17840,440
fixation.ivt,17940,18120,180
fixation.ivt,18240,18700,460
fixation.ivt,18800,19520,720
fixation.ivt,19620,19940,320
fixation.ivt,40,660,620
fixation.ivt,960,1160,200
fixation.ivt,1280,1400,120
fixation.ivt,1480,1600,120
fixation.ivt,2060,2160,100
fixation.ivt,2280,2380,100
fixation.ivt,2480,2580,100
fixation.ivt,2880,2980,100
fixation.ivt,3080,3200,120
fixation.ivt,3640,3780,140
fixation.ivt,3840,3940,100
fixation.ivt,4060,4180,120
fixation.ivt,4280,4560,280
fixation.ivt,4660,4780,120
fixation.ivt,5120,5260,140
fixation.ivt,5580,5680,100
fixation.ivt,6940,7100,160
fixation.ivt,7180,7360,180
fixation.ivt,7480,7600,120
fixation.ivt,8060,8180,120
fixation.ivt,8260,8460,200
fixation.ivt,8580,8820,240
fixation.ivt,8920,9160,240
fixation.ivt,9260,9440,180
fixation.ivt,9900,10040,140
fixation.ivt,10160,10320,160
fixation.ivt,10440,10560,120
fixation.ivt,11060,11200,140
fixation.ivt,11300,11500,200
fixation.ivt,11620,11860,240
fixation.ivt,12520,13340,820
fixation.ivt,13700,13840,140
fixation.ivt,13960,14180,220
fixation.ivt,14740,14860,120
fixation.ivt,15500,15640,140
fixation.ivt,16040,16280,240
fixation.ivt,16620,16820,200
fixation.ivt,17400,17840,440
fixation.ivt,17940,18120,180
fixation.ivt,18240,18700,460
fixation.ivt,18800,19520,720
fixation.ivt,19620,19940,320
