name,onset,offset,duration
fixation.ivt,39400,39940,540
fixation.ivt,80,560,480
fixation.ivt,680,880,200
fixation.ivt,960,1880,920
fixation.ivt,1940,2100,160
fixation.ivt,2160,2640,480
fixation.ivt,2720,2880,160
fixation.ivt,2920,6380,3460
fixation.ivt,6680,6800,120
fixation.ivt,6840,6940,100
fixation.ivt,7060,7280,220
fixation.ivt,7360,7920,560
fixation.ivt,8020,8500,480
fixation.ivt,8600,8960,360
fixation.ivt,9060,10060,1000
fixation.ivt,10160,10720,560
fixation.ivt,11240,11500,260
fixation.ivt,11560,11760,200
fixation.ivt,11840,14360,2520
fixation.ivt,14440,14640,200
fixation.ivt,14700,14800,100
fixation.ivt,15120,15920,800
fixation.ivt,16000,16180,180
fixation.ivt,16440,16640,200
fixation.ivt,16700,17100,400
fixation.ivt,17220,19240,2020
fixation.ivt,19340,19760,420
fixation.ivt,19860,20140,280
fixation.ivt,20240,20780,540
fixation.ivt,20860,20980,120
fixation.ivt,21080,21680,600
fixation.ivt,21800,22160,360
fixation.ivt,22260,22820,560
fixation.ivt,22920,23040,120
fixation.ivt,23200,24960,1760
fixation.ivt,25000,25580,580
fixation.ivt,25680,27580,1900
fixation.ivt,27820,30760,2940
fixation.ivt,30980,31380,400
fixation.ivt,31760,33640,1880
fixation.ivt,33780,33940,160
fixation.ivt,34000,34460,460
fixation.ivt,34540,35340,800
fixation.ivt,35420,35620,200
fixation.ivt,35720,37320,1600
fixation.ivt,37400,37560,160
fixation.ivt,37620,37880,260
fixation.ivt,37980,38220,240
fixation.ivt,38320,38500,180
fixation.ivt,38580,39140,560
fixation.ivt,39220,39340,120
fixation.ivt,39400,39940,540
fixation.ivt,80,560,480
fixation.ivt,680,880,200
fixation.ivt,960,1880,920
fixation.ivt,1940,2100,160
fixation.ivt,2160,2640,480
fixation.ivt,2720,2880,160
fixation.ivt,2920,6380,3460
fixation.ivt,6680,6800,120
fixation.ivt,6840,6940,100
fixation.ivt,7060,7280,220
fixation.ivt,7360,7920,560
fixation.ivt,8020,8500,480
fixation.ivt,8600,8960,360
fixation.ivt,9060,10060,1000
fixation.ivt,10160,10720,560
fixation.ivt,11240,11500,260
fixation.ivt,11560,11760,200
fixation.ivt,11840,14360,2520
fixation.ivt,14440,14640,200
fixation.ivt,14700,14800,100
fixation.ivt,15120,15920,800
fixation.ivt,16000,16180,180
fixation.ivt,16440,16640,200
fixation.ivt,16700,17100,400
fixation.ivt,17220,19240,2020
fixation.ivt,19340,19760,420
fixation.ivt,19860,20140,280
fixation.ivt,20240,20780,540
fixation.ivt,20860,20980,120
fixation.ivt,21080,21680,600
fixation.ivt,21800,22160,360
fixation.ivt,22260,22820,560
fixation.ivt,22920,23040,120
fixation.ivt,23200,24960,1760
fixation.ivt,25000,25580,580
fixation.ivt,25680,27580,1900
fixation.ivt,27820,30760,2940
fixation.ivt,30980,31380,400
fixation.ivt,31760,33640,1880
fixation.ivt,33780,33940,160
fixation.ivt,34000,34460,460
fixation.ivt,34540,35340,800
fixation.ivt,35420,35620,200
fixation.ivt,35720,37320,1600
fixation.ivt,37400,37560,160
fixation.ivt,37620,37880,260
fixation.ivt,37980,38220,240
fixation.ivt,38320,38500,180
fixation.ivt,38580,39140,560
fixation.ivt,39220,39340,120
fixation.ivt,39400,39940,540
fixation.ivt,80,560,480
fixation.ivt,680,880,200
fixation.ivt,960,1880,920
fixation.ivt,1940,2100,160
fixation.ivt,2160,2640,480
fixation.ivt,2720,2880,160
fixation.ivt,2920,6380,3460
fixation.ivt,6680,6800,120
fixation.ivt,6840,6940,100
fixation.ivt,7060,7280,220
fixation.ivt,7360,7920,560
fixation.ivt,8020,8500,480
fixation.ivt,8600,8960,360
fixation.ivt,9060,10060,1000
fixation.ivt,10160,10720,560
fixation.ivt,11240,11500,260
fixation.ivt,11560,11760,200
fixation.ivt,11840,14360,2520
fixation.ivt,14440,14640,200
fixation.ivt,14700,14800,100
fixation.ivt,15120,15920,800
fixation.ivt,16000,16180,180
fixation.ivt,16440,16640,200
fixation.ivt,16700,17100,400
fixation.ivt,17220,19240,2020
fixation.ivt,19340,19760,420
fixation.ivt,19860,20140,280
fixation.ivt,20240,20780,540
fixation.ivt,20860,20980,120
fixation.ivt,21080,21680,600
fixation.ivt,21800,22160,360
fixation.ivt,22260,22820,560
fixation.ivt,22920,23040,120
fixation.ivt,23200,24960,1760
fixation.ivt,25000,25580,580
fixation.ivt,25680,27580,1900
fixation.ivt,27820,30760,2940
fixation.ivt,30980,31380,400
fixation.ivt,31760,33640,1880
fixation.ivt,33780,33940,160
fixation.ivt,34000,34460,460
fixation.ivt,34540,35340,800
fixation.ivt,35420,35620,200
fixation.ivt,35720,37320,1600
fixation.ivt,37400,37560,160
fixation.ivt,37620,37880,260
fixation.ivt,37980,38220,240
fixation.ivt,38320,38500,180
fixation.ivt,38580,39140,560
fixation.ivt,39220,39340,120
fixation.ivt,39400,39940,540
fixation.ivt,80,560,480
fixation.ivt,680,880,200
fixation.ivt,960,1880,920
fixation.ivt,1940,2100,160
fixation.ivt,2160,2640,480
fixation.ivt,2720,2880,160
fixation.ivt,2920,6380,3460
fixation.ivt,6680,6800,120
fixation.ivt,6840,6940,100
fixation.ivt,7060,7280,220
fixation.ivt,7360,7920,560
fixation.ivt,8020,8500,480
fixation.ivt,8600,8960,360
fixation.ivt,9060,10060,1000
fixation.ivt,10160,10720,560
fixation.ivt,11240,11500,260
fixation.ivt,11560,11760,200
fixation.ivt,11840,14360,2520
fixation.ivt,14440,14640,200
fixation.ivt,14700,14800,100
fixation.ivt,15120,15920,800
fixation.ivt,16000,16180,180
fixation.ivt,16440,16640,200
fixation.ivt,16700,17100,400
fixation.ivt,17220,19240,2020
fixation.ivt,19340,19760,420
fixation.ivt,19860,20140,280
fixation.ivt,20240,20780,540
fixation.ivt,20860,20980,120
fixation.ivt,21080,21680,600
fixation.ivt,21800,22160,360
fixation.ivt,22260,22820,560
fixation.ivt,22920,23040,120
fixation.ivt,23200,24960,1760
fixation.ivt,25000,25580,580
fixation.ivt,25680,27580,1900
fixation.ivt,27820,30760,2940
fixation.ivt,30980,31380,400
fixation.ivt,31760,33640,1880
fixation.ivt,33780,33940,160
fixation.ivt,34000,34460,460
fixation.ivt,34540,35340,800
fixation.ivt,35420,35620,200
fixation.ivt,35720,37320,1600
fixation.ivt,37400,37560,160
fixation.ivt,37620,37880,260
fixation.ivt,37980,38220,240
fixation.ivt,38320,38500,180
fixation.ivt,38580,39140,560
fixation.ivt,39220,39340,120
fixation.ivt,39400,39940,540
fixation.ivt,80,560,480
fixation.ivt,680,880,200
fixation.ivt,960,1880,920
fixation.ivt,1940,2100,160
fixation.ivt,2160,2640,480
fixation.ivt,2720,2880,160
fixation.ivt,2920,6380,3460
fixation.ivt,6680,6800,120
fixation.ivt,6840,6940,100
fixation.ivt,7060,7280,220
fixation.ivt,7360,7920,560
fixation.ivt,8020,8500,480
fixation.ivt,8600,8960,360
fixation.ivt,9060,10060,1000
fixation.ivt,10160,10720,560
fixation.ivt,11240,11500,260
fixation.ivt,11560,11760,200
fixation.ivt,11840,14360,2520
fixation.ivt,14440,14640,200
fixation.ivt,14700,14800,100
fixation.ivt,15120,15920,800
fixation.ivt,16000,16180,180
fixation.ivt,16440,16640,200
fixation.ivt,16700,17100,400
fixation.ivt,17220,19240,2020
fixation.ivt,19340,19760,420
fixation.ivt,19860,20140,280
fixation.ivt,20240,20780,540
fixation.ivt,20860,20980,120
fixation.ivt,21080,21680,600
fixation.ivt,21800,22160,360
fixation.ivt,22260,22820,560
fixation.ivt,22920,23040,120
fixation.ivt,23200,24960,1760
fixation.ivt,25000,25580,580
fixation.ivt,25680,27580,1900
fixation.ivt,27820,30760,2940
fixation.ivt,30980,31380,400
fixation.ivt,31760,33640,1880
fixation.ivt,33780,33940,160
fixation.ivt,34000,34460,460
fixation.ivt,34540,35340,800
fixation.ivt,35420,35620,200
fixation.ivt,35720,37320,1600
fixation.ivt,37400,37560,160
fixation.ivt,37620,37880,260
fixation.ivt,37980,38220,240
fixation.ivt,38320,38500,180
fixation.ivt,38580,39140,560
fixation.ivt,39220,39340,120
fixation.ivt,39400,39940,540
fixation.ivt,80,560,480
fixation.ivt,680,880,200
fixation.ivt,960,1880,920
fixation.ivt,1940,2100,160
fixation.ivt,2160,2640,480
fixation.ivt,2720,2880,160
fixation.ivt,2920,6380,3460
fixation.ivt,6680,6800,120
fixation.ivt,6840,6940,100
fixation.ivt,7060,7280,220
fixation.ivt,7360,7920,560
fixation.ivt,8020,8500,480
fixation.ivt,8600,8960,360
fixation.ivt,9060,10060,1000
fixation.ivt,10160,10720,560
fixation.ivt,11240,11500,260
fixation.ivt,11560,11760,200
fixation.ivt,11840,14360,2520
fixation.ivt,14440,14640,200
fixation.ivt,14700,14800,100
fixation.ivt,15120,15920,800
fixation.ivt,16000,16180,180
fixation.ivt,16440,16640,200
fixation.ivt,16700,17100,400
fixation.ivt,17220,19240,2020
fixation.ivt,19340,19760,420
fixation.ivt,19860,20140,280
fixation.ivt,20240,20780,540
fixation.ivt,20860,20980,120
fixation.ivt,21080,21680,600
fixation.ivt,21800,22160,360
fixation.ivt,22260,22820,560
fixation.ivt,22920,23040,120
fixation.ivt,23200,24960,1760
fixation.ivt,25000,25580,580
fixation.ivt,25680,27580,1900
fixation.ivt,27820,30760,2940
fixation.ivt,30980,31380,400
fixation.ivt,31760,33640,1880
fixation.ivt,33780,33940,160
fixation.ivt,34000,34460,460
fixation.ivt,34540,35340,800
fixation.ivt,35420,35620,200
fixation.ivt,35720,37320,1600
fixation.ivt,37400,37560,160
fixation.ivt,37620,37880,260
fixation.ivt,37980,38220,240
fixation.ivt,38320,38500,180
fixation.ivt,38580,39140,560
fixation.ivt,39220,39340,120
fixation.ivt,39400,39940,540
fixation.ivt,80,560,480
fixation.ivt,680,880,200
fixation.ivt,960,1880,920
fixation.ivt,1940,2100,160
fixation.ivt,2160,2640,480
fixation.ivt,2720,2880,160
fixation.ivt,2920,6380,3460
fixation.ivt,6680,6800,120
fixation.ivt,6840,6940,100
fixation.ivt,7060,7280,220
fixation.ivt,7360,7920,560
fixation.ivt,8020,8500,480
fixation.ivt,8600,8960,360
fixation.ivt,9060,10060,1000
fixation.ivt,10160,10720,560
fixation.ivt,11240,11500,260
fixation.ivt,11560,11760,200
fixation.ivt,11840,14360,2520
fixation.ivt,14440,14640,200
fixation.ivt,14700,14800,100
fixation.ivt,15120,15920,800
fixation.ivt,16000,16180,180
fixation.ivt,16440,16640,200
fixation.ivt,16700,17100,400
fixation.ivt,17220,19240,2020
fixation.ivt,19340,19760,420
fixation.ivt,19860,20140,280
fixation.ivt,20240,20780,540
fixation.ivt,20860,20980,120
fixation.ivt,21080,21680,600
fixation.ivt,21800,22160,360
fixation.ivt,22260,22820,560
fixation.ivt,22920,23040,120
fixation.ivt,23200,24960,1760
fixation.ivt,25000,25580,580
fixation.ivt,25680,27580,1900
fixation.ivt,27820,30760,2940
fixation.ivt,30980,31380,400
fixation.ivt,31760,33640,1880
fixation.ivt,33780,33940,160
fixation.ivt,34000,34460,460
fixation.ivt,34540,35340,800
fixation.ivt,35420,35620,200
fixation.ivt,35720,37320,1600
fixation.ivt,37400,37560,160
fixation.ivt,37620,37880,260
fixation.ivt,37980,38220,240
fixation.ivt,38320,38500,180
fixation.ivt,38580,39140,560
fixation.ivt,39220,39340,120
fixation.ivt,39400,39940,540
fixation.ivt,80,560,480
fixation.ivt,680,880,200
fixation.ivt,960,1880,920
fixation.ivt,1940,2100,160
fixation.ivt,2160,2640,480
fixation.ivt,2720,2880,160
fixation.ivt,2920,6380,3460
fixation.ivt,6680,6800,120
fixation.ivt,6840,6940,100
fixation.ivt,7060,7280,220
fixation.ivt,7360,7920,560
fixation.ivt,8020,8500,480
fixation.ivt,8600,8960,360
fixation.ivt,9060,10060,1000
fixation.ivt,10160,10720,560
fixation.ivt,11240,11500,260
fixation.ivt,11560,11760,200
fixation.ivt,11840,14360,2520
fixation.ivt,14440,14640,200
fixation.ivt,14700,14800,100
fixation.ivt,15120,15920,800
fixation.ivt,16000,16180,180
fixation.ivt,16440,16640,200
fixation.ivt,16700,17100,400
fixation.ivt,17220,19240,2020
fixation.ivt,19340,19760,420
fixation.ivt,19860,20140,280
fixation.ivt,20240,20780,540
fixation.ivt,20860,20980,120
fixation.ivt,21080,21680,600
fixation.ivt,21800,22160,360
fixation.ivt,22260,22820,560
fixation.ivt,22920,23040,120
fixation.ivt,23200,24960,1760
fixation.ivt,25000,25580,580
fixation.ivt,25680,27580,1900
fixation.ivt,27820,30760,2940
fixation.ivt,30980,31380,400
fixation.ivt,31760,33640,1880
fixation.ivt,33780,33940,160
fixation.ivt,34000,34460,460
fixation.ivt,34540,35340,800
fixation.ivt,35420,35620,200
fixation.ivt,35720,37320,1600
fixation.ivt,37400,37560,160
fixation.ivt,37620,37880,260
fixation.ivt,37980,38220,240
fixation.ivt,38320,38500,180
fixation.ivt,38580,39140,560
fixation.ivt,39220,39340,120
fixation.ivt,39400,39940,540
fixation.ivt,80,560,480
fixation.ivt,680,880,200
fixation.ivt,960,1880,920
fixation.ivt,1940,2100,160
fixation.ivt,2160,2640,480
fixation.ivt,2720,2880,160
fixation.ivt,2920,6380,3460
fixation.ivt,6680,6800,120
fixation.ivt,6840,6940,100
fixation.ivt,7060,7280,220
fixation.ivt,7360,7920,560
fixation.ivt,8020,8500,480
fixation.ivt,8600,8960,360
fixation.ivt,9060,10060,1000
fixation.ivt,10160,10720,560
fixation.ivt,11240,11500,260
fixation.ivt,11560,11760,200
fixation.ivt,11840,14360,2520
fixation.ivt,14440,14640,200
fixation.ivt,14700,14800,100
fixation.ivt,15120,15920,800
fixation.ivt,16000,16180,180
fixation.ivt,16440,16640,200
fixation.ivt,16700,17100,400
fixation.ivt,17220,19240,2020
fixation.ivt,19340,19760,420
fixation.ivt,19860,20140,280
fixation.ivt,20240,20780,540
fixation.ivt,20860,20980,120
fixation.ivt,21080,21680,600
fixation.ivt,21800,22160,360
fixation.ivt,22260,22820,560
fixation.ivt,22920,23040,120
fixation.ivt,23200,24960,1760
fixation.ivt,25000,25580,580
fixation.ivt,25680,27580,1900
fixation.ivt,27820,30760,2940
fixation.ivt,30980,31380,400
fixation.ivt,31760,33640,1880
fixation.ivt,33780,33940,160
fixation.ivt,34000,34460,460
fixation.ivt,34540,35340,800
fixation.ivt,35420,35620,200
fixation.ivt,35720,37320,1600
fixation.ivt,37400,37560,160
fixation.ivt,37620,37880,260
fixation.ivt,37980,38220,240
fixation.ivt,38320,38500,180
fixation.ivt,38580,39140,560
fixation.ivt,39220,39340,120
fixation.ivt,39400,39940,540
