name,onset,offset,duration
fixation.ivt,40,760,720
fixation.ivt,900,1020,120
fixation.ivt,1300,1400,100
fixation.ivt,1700,1800,100
fixation.ivt,2060,2160,100
fixation.ivt,2680,2780,100
fixation.ivt,2900,3000,100
fixation.ivt,3520,3640,120
fixation.ivt,4060,4160,100
fixation.ivt,4240,4380,140
fixation.ivt,4660,4780,120
fixation.ivt,4880,4980,100
fixation.ivt,5080,5200,120
fixation.ivt,5320,5480,160
fixation.ivt,5780,5920,140
fixation.ivt,6020,6120,100
fixation.ivt,6820,6920,100
fixation.ivt,7020,7200,180
fixation.ivt,7300,7540,240
fixation.ivt,7620,7720,100
fixation.ivt,7840,7960,120
fixation.ivt,8080,8180,100
fixation.ivt,8260,8360,100
fixation.ivt,8460,8660,200
fixation.ivt,9360,9600,240
fixation.ivt,9660,10060,400
fixation.ivt,10160,10300,140
fixation.ivt,10440,10640,200
fixation.ivt,11280,11500,220
fixation.ivt,12420,12840,420
fixation.ivt,13280,13400,120
fixation.ivt,13840,14020,180
fixation.ivt,14600,14880,280
fixation.ivt,15280,15620,340
fixation.ivt,16120,16860,740
fixation.ivt,16960,17120,160
fixation.ivt,17340,17560,220
fixation.ivt,17640,17840,200
fixation.ivt,17940,18580,640
fixation.ivt,19100,19220,120
fixation.ivt,19620,19900,280
fixation.ivt,20000,20660,660
fixation.ivt,20820,20960,140
fixation.ivt,21100,21420,320
fixation.ivt,21920,22200,280
fixation.ivt,22680,22940,260
fixation.ivt,23300,23560,260
fixation.ivt,24360,24560,200
fixation.ivt,25000,25220,220
fixation.ivt,25620,25960,340
fixation.ivt,26840,27420,580
fixation.ivt,27500,28160,660
fixation.ivt,28560,28840,280
fixation.ivt,29260,29420,160
fixation.ivt,29560,29700,140
fixation.ivt,29860,30060,200
fixation.ivt,30220,30360,140
fixation.ivt,30520,30680,160
fixation.ivt,30820,31140,320
fixation.ivt,31300,31440,140
fixation.ivt,31580,31820,240
fixation.ivt,32280,32380,100
fixation.ivt,32540,32960,420
fixation.ivt,33180,33300,120
fixation.ivt,33460,33900,440
fixation.ivt,34040,34140,100
fixation.ivt,34240,34440,200
fixation.ivt,34920,35040,120
fixation.ivt,35140,35620,480
fixation.ivt,35740,35940,200
fixation.ivt,36340,36500,160
fixation.ivt,36560,36760,200
fixation.ivt,36820,37800,980
fixation.ivt,37860,39080,1220
fixation.ivt,39200,39940,740
fixation.ivt,40,760,720
fixation.ivt,900,1020,120
fixation.ivt,1300,1400,100
fixation.ivt,1700,1800,100
fixation.ivt,2060,2160,100
fixation.ivt,2680,2780,100
fixation.ivt,2900,3000,100
fixation.ivt,3520,3640,120
fixation.ivt,4060,4160,100
fixation.ivt,4240,4380,140
fixation.ivt,4660,4780,120
fixation.ivt,4880,4980,100
fixation.ivt,5080,5200,120
fixation.ivt,5320,5480,160
fixation.ivt,5780,5920,140
fixation.ivt,6020,6120,100
fixation.ivt,6820,6920,100
fixation.ivt,7020,7200,180
fixation.ivt,7300,7540,240
fixation.ivt,7620,7720,100
fixation.ivt,7840,7960,120
fixation.ivt,8080,8180,100
fixation.ivt,8260,8360,100
fixation.ivt,8460,8660,200
fixation.ivt,9360,9600,240
fixation.ivt,9660,10060,400
fixation.ivt,10160,10300,140
fixation.ivt,10440,10640,200
fixation.ivt,11280,11500,220
fixation.ivt,12420,12840,420
fixation.ivt,13280,13400,120
fixation.ivt,13840,14020,180
fixation.ivt,14600,14880,280
fixation.ivt,15280,15620,340
fixation.ivt,16120,16860,740
fixation.ivt,16960,17120,160
fixation.ivt,17340,17560,220
fixation.ivt,17640,17840,200
fixation.ivt,17940,18580,640
fixation.ivt,19100,19220,120
fixation.ivt,19620,19900,280
fixation.ivt,20000,20660,660
fixation.ivt,20820,20960,140
fixation.ivt,21100,21420,320
fixation.ivt,21920,22200,280
fixation.ivt,22680,22940,260
fixation.ivt,23300,23560,260
fixation.ivt,24360,24560,200
fixation.ivt,25000,25220,220
fixation.ivt,25620,25960,340
fixation.ivt,26840,27420,580
fixation.ivt,27500,28160,660
fixation.ivt,28560,28840,280
fixation.ivt,29260,29420,160
fixation.ivt,29560,29700,140
fixation.ivt,29860,30060,200
fixation.ivt,30220,30360,140
fixation.ivt,30520,30680,160
fixation.ivt,30820,31140,320
fixation.ivt,31300,31440,140
fixation.ivt,31580,31820,240
fixation.ivt,32280,32380,100
fixation.ivt,32540,32960,420
fixation.ivt,33180,33300,120
fixation.ivt,33460,33900,440
fixation.ivt,34040,34140,100
fixation.ivt,34240,34440,200
fixation.ivt,34920,35040,120
fixation.ivt,35140,35620,480
fixation.ivt,35740,35940,200
fixation.ivt,36340,36500,160
fixation.ivt,36560,36760,200
fixation.ivt,36820,37800,980
fixation.ivt,37860,39080,1220
fixation.ivt,39200,39940,740
fixation.ivt,40,760,720
fixation.ivt,900,1020,120
fixation.ivt,1300,1400,100
fixation.ivt,1700,1800,100
fixation.ivt,2060,2160,100
fixation.ivt,2680,2780,100
fixation.ivt,2900,3000,100
fixation.ivt,3520,3640,120
fixation.ivt,4060,4160,100
fixation.ivt,4240,4380,140
fixation.ivt,4660,4780,120
fixation.ivt,4880,4980,100
fixation.ivt,5080,5200,120
fixation.ivt,5320,5480,160
fixation.ivt,5780,5920,140
fixation.ivt,6020,6120,100
fixation.ivt,6820,6920,100
fixation.ivt,7020,7200,180
fixation.ivt,7300,7540,240
fixation.ivt,7620,7720,100
fixation.ivt,7840,7960,120
fixation.ivt,8080,8180,100
fixation.ivt,8260,8360,100
fixation.ivt,8460,8660,200
fixation.ivt,9360,9600,240
fixation.ivt,9660,10060,400
fixation.ivt,10160,10300,140
fixation.ivt,10440,10640,200
fixation.ivt,11280,11500,220
fixation.ivt,12420,12840,420
fixation.ivt,13280,13400,120
fixation.ivt,13840,14020,180
fixation.ivt,14600,14880,280
fixation.ivt,15280,15620,340
fixation.ivt,16120,16860,740
fixation.ivt,16960,17120,160
fixation.ivt,17340,17560,220
fixation.ivt,17640,17840,200
fixation.ivt,17940,18580,640
fixation.ivt,19100,19220,120
fixation.ivt,19620,19900,280
fixation.ivt,20000,20660,660
fixation.ivt,20820,20960,140
fixation.ivt,21100,21420,320
fixation.ivt,21920,22200,280
fixation.ivt,22680,22940,260
fixation.ivt,23300,23560,260
fixation.ivt,24360,24560,200
fixation.ivt,25000,25220,220
fixation.ivt,25620,25960,340
fixation.ivt,26840,27420,580
fixation.ivt,27500,28160,660
fixation.ivt,28560,28840,280
fixation.ivt,29260,29420,160
fixation.ivt,29560,29700,140
fixation.ivt,29860,30060,200
fixation.ivt,30220,30360,140
fixation.ivt,30520,30680,160
fixation.ivt,30820,31140,320
fixation.ivt,31300,31440,140
fixation.ivt,31580,31820,240
fixation.ivt,32280,32380,100
fixation.ivt,32540,32960,420
fixation.ivt,33180,33300,120
fixation.ivt,33460,33900,440
fixation.ivt,34040,34140,100
fixation.ivt,34240,34440,200
fixation.ivt,34920,35040,120
fixation.ivt,35140,35620,480
fixation.ivt,35740,35940,200
fixation.ivt,36340,36500,160
fixation.ivt,36560,36760,200
fixation.ivt,36820,37800,980
fixation.ivt,37860,39080,1220
fixation.ivt,39200,39940,740
fixation.ivt,40,760,720
fixation.ivt,900,1020,120
fixation.ivt,1300,1400,100
fixation.ivt,1700,1800,100
fixation.ivt,2060,2160,100
fixation.ivt,2680,2780,100
fixation.ivt,2900,3000,100
fixation.ivt,3520,3640,120
fixation.ivt,4060,4160,100
fixation.ivt,4240,4380,140
fixation.ivt,4660,4780,120
fixation.ivt,4880,4980,100
fixation.ivt,5080,5200,120
fixation.ivt,5320,5480,160
fixation.ivt,5780,5920,140
fixation.ivt,6020,6120,100
fixation.ivt,6820,6920,100
fixation.ivt,7020,7200,180
fixation.ivt,7300,7540,240
fixation.ivt,7620,7720,100
fixation.ivt,7840,7960,120
fixation.ivt,8080,8180,100
fixation.ivt,8260,8360,100
fixation.ivt,8460,8660,200
fixation.ivt,9360,9600,240
fixation.ivt,9660,10060,400
fixation.ivt,10160,10300,140
fixation.ivt,10440,10640,200
fixation.ivt,11280,11500,220
fixation.ivt,12420,12840,420
fixation.ivt,13280,13400,120
fixation.ivt,13840,14020,180
fixation.ivt,14600,14880,280
fixation.ivt,15280,15620,340
fixation.ivt,16120,16860,740
fixation.ivt,16960,17120,160
fixation.ivt,17340,17560,220
fixation.ivt,17640,17840,200
fixation.ivt,17940,18580,640
fixation.ivt,19100,19220,120
fixation.ivt,19620,19900,280
fixation.ivt,20000,20660,660
fixation.ivt,20820,20960,140
fixation.ivt,21100,21420,320
fixation.ivt,21920,22200,280
fixation.ivt,22680,22940,260
fixation.ivt,23300,23560,260
fixation.ivt,24360,24560,200
fixation.ivt,25000,25220,220
fixation.ivt,25620,25960,340
fixation.ivt,26840,27420,580
fixation.ivt,27500,28160,660
fixation.ivt,28560,28840,280
fixation.ivt,29260,29420,160
fixation.ivt,29560,29700,140
fixation.ivt,29860,30060,200
fixation.ivt,30220,30360,140
fixation.ivt,30520,30680,160
fixation.ivt,30820,31140,320
fixation.ivt,31300,31440,140
fixation.ivt,31580,31820,240
fixation.ivt,32280,32380,100
fixation.ivt,32540,32960,420
fixation.ivt,33180,33300,120
fixation.ivt,33460,33900,440
fixation.ivt,34040,34140,100
fixation.ivt,34240,34440,200
fixation.ivt,34920,35040,120
fixation.ivt,35140,35620,480
fixation.ivt,35740,35940,200
fixation.ivt,36340,36500,160
fixation.ivt,36560,36760,200
fixation.ivt,36820,37800,980
fixation.ivt,37860,39080,1220
fixation.ivt,39200,39940,740
fixation.ivt,40,760,720
fixation.ivt,900,1020,120
fixation.ivt,1300,1400,100
fixation.ivt,1700,1800,100
fixation.ivt,2060,2160,100
fixation.ivt,2680,2780,100
fixation.ivt,2900,3000,100
fixation.ivt,3520,3640,120
fixation.ivt,4060,4160,100
fixation.ivt,4240,4380,140
fixation.ivt,4660,4780,120
fixation.ivt,4880,4980,100
fixation.ivt,5080,5200,120
fixation.ivt,5320,5480,160
fixation.ivt,5780,5920,140
fixation.ivt,6020,6120,100
fixation.ivt,6820,6920,100
fixation.ivt,7020,7200,180
fixation.ivt,7300,7540,240
fixation.ivt,7620,7720,100
fixation.ivt,7840,7960,120
fixation.ivt,8080,8180,100
fixation.ivt,8260,8360,100
fixation.ivt,8460,8660,200
fixation.ivt,9360,9600,240
fixation.ivt,9660,10060,400
fixation.ivt,10160,10300,140
fixation.ivt,10440,10640,200
fixation.ivt,11280,11500,220
fixation.ivt,12420,12840,420
fixation.ivt,13280,13400,120
fixation.ivt,13840,14020,180
fixation.ivt,14600,14880,280
fixation.ivt,15280,15620,340
fixation.ivt,16120,16860,740
fixation.ivt,16960,17120,160
fixation.ivt,17340,17560,220
fixation.ivt,17640,17840,200
fixation.ivt,17940,18580,640
fixation.ivt,19100,19220,120
fixation.ivt,19620,19900,280
fixation.ivt,20000,20660,660
fixation.ivt,20820,20960,140
fixation.ivt,21100,21420,320
fixation.ivt,21920,22200,280
fixation.ivt,22680,22940,260
fixation.ivt,23300,23560,260
fixation.ivt,24360,24560,200
fixation.ivt,25000,25220,220
fixation.ivt,25620,25960,340
fixation.ivt,26840,27420,580
fixation.ivt,27500,28160,660
fixation.ivt,28560,28840,280
fixation.ivt,29260,29420,160
fixation.ivt,29560,29700,140
fixation.ivt,29860,30060,200
fixation.ivt,30220,30360,140
fixation.ivt,30520,30680,160
fixation.ivt,30820,31140,320
fixation.ivt,31300,31440,140
fixation.ivt,31580,31820,240
fixation.ivt,32280,32380,100
fixation.ivt,32540,32960,420
fixation.ivt,33180,33300,120
fixation.ivt,33460,33900,440
fixation.ivt,34040,34140,100
fixation.ivt,34240,34440,200
fixation.ivt,34920,35040,120
fixation.ivt,35140,35620,480
fixation.ivt,35740,35940,200
fixation.ivt,36340,36500,160
fixation.ivt,36560,36760,200
fixation.ivt,36820,37800,980
fixation.ivt,37860,39080,1220
fixation.ivt,39200,39940,740
fixation.ivt,40,760,720
fixation.ivt,900,1020,120
fixation.ivt,1300,1400,100
fixation.ivt,1700,1800,100
fixation.ivt,2060,2160,100
fixation.ivt,2680,2780,100
fixation.ivt,2900,3000,100
fixation.ivt,3520,3640,120
fixation.ivt,4060,4160,100
fixation.ivt,4240,4380,140
fixation.ivt,4660,4780,120
fixation.ivt,4880,4980,100
fixation.ivt,5080,5200,120
fixation.ivt,5320,5480,160
fixation.ivt,5780,5920,140
fixation.ivt,6020,6120,100
fixation.ivt,6820,6920,100
fixation.ivt,7020,7200,180
fixation.ivt,7300,7540,240
fixation.ivt,7620,7720,100
fixation.ivt,7840,7960,120
fixation.ivt,8080,8180,100
fixation.ivt,8260,8360,100
fixation.ivt,8460,8660,200
fixation.ivt,9360,9600,240
fixation.ivt,9660,10060,400
fixation.ivt,10160,10300,140
fixation.ivt,10440,10640,200
fixation.ivt,11280,11500,220
fixation.ivt,12420,12840,420
fixation.ivt,13280,13400,120
fixation.ivt,13840,14020,180
fixation.ivt,14600,14880,280
fixation.ivt,15280,15620,340
fixation.ivt,16120,16860,740
fixation.ivt,16960,17120,160
fixation.ivt,17340,17560,220
fixation.ivt,17640,17840,200
fixation.ivt,17940,18580,640
fixation.ivt,19100,19220,120
fixation.ivt,19620,19900,280
fixation.ivt,20000,20660,660
fixation.ivt,20820,20960,140
fixation.ivt,21100,21420,320
fixation.ivt,21920,22200,280
fixation.ivt,22680,22940,260
fixation.ivt,23300,23560,260
fixation.ivt,24360,24560,200
fixation.ivt,25000,25220,220
fixation.ivt,25620,25960,340
fixation.ivt,26840,27420,580
fixation.ivt,27500,28160,660
fixation.ivt,28560,28840,280
fixation.ivt,29260,29420,160
fixation.ivt,29560,29700,140
fixation.ivt,29860,30060,200
fixation.ivt,30220,30360,140
fixation.ivt,30520,30680,160
fixation.ivt,30820,31140,320
fixation.ivt,31300,31440,140
fixation.ivt,31580,31820,240
fixation.ivt,32280,32380,100
fixation.ivt,32540,32960,420
fixation.ivt,33180,33300,120
fixation.ivt,33460,33900,440
fixation.ivt,34040,34140,100
fixation.ivt,34240,34440,200
fixation.ivt,34920,35040,120
fixation.ivt,35140,35620,480
fixation.ivt,35740,35940,200
fixation.ivt,36340,36500,160
fixation.ivt,36560,36760,200
fixation.ivt,36820,37800,980
fixation.ivt,37860,39080,1220
fixation.ivt,39200,39940,740
fixation.ivt,40,760,720
fixation.ivt,900,1020,120
fixation.ivt,1300,1400,100
fixation.ivt,1700,1800,100
fixation.ivt,2060,2160,100
fixation.ivt,2680,2780,100
fixation.ivt,2900,3000,100
fixation.ivt,3520,3640,120
fixation.ivt,4060,4160,100
fixation.ivt,4240,4380,140
fixation.ivt,4660,4780,120
fixation.ivt,4880,4980,100
fixation.ivt,5080,5200,120
fixation.ivt,5320,5480,160
fixation.ivt,5780,5920,140
fixation.ivt,6020,6120,100
fixation.ivt,6820,6920,100
fixation.ivt,7020,7200,180
fixation.ivt,7300,7540,240
fixation.ivt,7620,7720,100
fixation.ivt,7840,7960,120
fixation.ivt,8080,8180,100
fixation.ivt,8260,8360,100
fixation.ivt,8460,8660,200
fixation.ivt,9360,9600,240
fixation.ivt,9660,10060,400
fixation.ivt,10160,10300,140
fixation.ivt,10440,10640,200
fixation.ivt,11280,11500,220
fixation.ivt,12420,12840,420
fixation.ivt,13280,13400,120
fixation.ivt,13840,14020,180
fixation.ivt,14600,14880,280
fixation.ivt,15280,15620,340
fixation.ivt,16120,16860,740
fixation.ivt,16960,17120,160
fixation.ivt,17340,17560,220
fixation.ivt,17640,17840,200
fixation.ivt,17940,18580,640
fixation.ivt,19100,19220,120
fixation.ivt,19620,19900,280
fixation.ivt,20000,20660,660
fixation.ivt,20820,20960,140
fixation.ivt,21100,21420,320
fixation.ivt,21920,22200,280
fixation.ivt,22680,22940,260
fixation.ivt,23300,23560,260
fixation.ivt,24360,24560,200
fixation.ivt,25000,25220,220
fixation.ivt,25620,25960,340
fixation.ivt,26840,27420,580
fixation.ivt,27500,28160,660
fixation.ivt,28560,28840,280
fixation.ivt,29260,29420,160
fixation.ivt,29560,29700,140
fixation.ivt,29860,30060,200
fixation.ivt,30220,30360,140
fixation.ivt,30520,30680,160
fixation.ivt,30820,31140,320
fixation.ivt,31300,31440,140
fixation.ivt,31580,31820,240
fixation.ivt,32280,32380,100
fixation.ivt,32540,32960,420
fixation.ivt,33180,33300,120
fixation.ivt,33460,33900,440
fixation.ivt,34040,34140,100
fixation.ivt,34240,34440,200
fixation.ivt,34920,35040,120
fixation.ivt,35140,35620,480
fixation.ivt,35740,35940,200
fixation.ivt,36340,36500,160
fixation.ivt,36560,36760,200
fixation.ivt,36820,37800,980
fixation.ivt,37860,39080,1220
fixation.ivt,39200,39940,740
fixation.ivt,40,760,720
fixation.ivt,900,1020,120
fixation.ivt,1300,1400,100
fixation.ivt,1700,1800,100
fixation.ivt,2060,2160,100
fixation.ivt,2680,2780,100
fixation.ivt,2900,3000,100
fixation.ivt,3520,3640,120
fixation.ivt,4060,4160,100
fixation.ivt,4240,4380,140
fixation.ivt,4660,4780,120
fixation.ivt,4880,4980,100
fixation.ivt,5080,5200,120
fixation.ivt,5320,5480,160
fixation.ivt,5780,5920,140
fixation.ivt,6020,6120,100
fixation.ivt,6820,6920,100
fixation.ivt,7020,7200,180
fixation.ivt,7300,7540,240
fixation.ivt,7620,7720,100
fixation.ivt,7840,7960,120
fixation.ivt,8080,8180,100
fixation.ivt,8260,8360,100
fixation.ivt,8460,8660,200
fixation.ivt,9360,9600,240
fixation.ivt,9660,10060,400
fixation.ivt,10160,10300,140
fixation.ivt,10440,10640,200
fixation.ivt,11280,11500,220
fixation.ivt,12420,12840,420
fixation.ivt,13280,13400,120
fixation.ivt,13840,14020,180
fixation.ivt,14600,14880,280
fixation.ivt,15280,15620,340
fixation.ivt,16120,16860,740
fixation.ivt,16960,17120,160
fixation.ivt,17340,17560,220
fixation.ivt,17640,17840,200
fixation.ivt,17940,18580,640
fixation.ivt,19100,19220,120
fixation.ivt,19620,19900,280
fixation.ivt,20000,20660,660
fixation.ivt,20820,20960,140
fixation.ivt,21100,21420,320
fixation.ivt,21920,22200,280
fixation.ivt,22680,22940,260
fixation.ivt,23300,23560,260
fixation.ivt,24360,24560,200
fixation.ivt,25000,25220,220
fixation.ivt,25620,25960,340
fixation.ivt,26840,27420,580
fixation.ivt,27500,28160,660
fixation.ivt,28560,28840,280
fixation.ivt,29260,29420,160
fixation.ivt,29560,29700,140
fixation.ivt,29860,30060,200
fixation.ivt,30220,30360,140
fixation.ivt,30520,30680,160
fixation.ivt,30820,31140,320
fixation.ivt,31300,31440,140
fixation.ivt,31580,31820,240
fixation.ivt,32280,32380,100
fixation.ivt,32540,32960,420
fixation.ivt,33180,33300,120
fixation.ivt,33460,33900,440
fixation.ivt,34040,34140,100
fixation.ivt,34240,34440,200
fixation.ivt,34920,35040,120
fixation.ivt,35140,35620,480
fixation.ivt,35740,35940,200
fixation.ivt,36340,36500,160
fixation.ivt,36560,36760,200
fixation.ivt,36820,37800,980
fixation.ivt,37860,39080,1220
fixation.ivt,39200,39940,740
fixation.ivt,40,760,720
fixation.ivt,900,1020,120
fixation.ivt,1300,1400,100
fixation.ivt,1700,1800,100
fixation.ivt,2060,2160,100
fixation.ivt,2680,2780,100
fixation.ivt,2900,3000,100
fixation.ivt,3520,3640,120
fixation.ivt,4060,4160,100
fixation.ivt,4240,4380,140
fixation.ivt,4660,4780,120
fixation.ivt,4880,4980,100
fixation.ivt,5080,5200,120
fixation.ivt,5320,5480,160
fixation.ivt,5780,5920,140
fixation.ivt,6020,6120,100
fixation.ivt,6820,6920,100
fixation.ivt,7020,7200,180
fixation.ivt,7300,7540,240
fixation.ivt,7620,7720,100
fixation.ivt,7840,7960,120
fixation.ivt,8080,8180,100
fixation.ivt,8260,8360,100
fixation.ivt,8460,8660,200
fixation.ivt,9360,9600,240
fixation.ivt,9660,10060,400
fixation.ivt,10160,10300,140
fixation.ivt,10440,10640,200
fixation.ivt,11280,11500,220
fixation.ivt,12420,12840,420
fixation.ivt,13280,13400,120
fixation.ivt,13840,14020,180
fixation.ivt,14600,14880,280
fixation.ivt,15280,15620,340
fixation.ivt,16120,16860,740
fixation.ivt,16960,17120,160
fixation.ivt,17340,17560,220
fixation.ivt,17640,17840,200
fixation.ivt,17940,18580,640
fixation.ivt,19100,19220,120
fixation.ivt,19620,19900,280
fixation.ivt,20000,20660,660
fixation.ivt,20820,20960,140
fixation.ivt,21100,21420,320
fixation.ivt,21920,22200,280
fixation.ivt,22680,22940,260
fixation.ivt,23300,23560,260
fixation.ivt,24360,24560,200
fixation.ivt,25000,25220,220
fixation.ivt,25620,25960,340
fixation.ivt,26840,27420,580
fixation.ivt,27500,28160,660
fixation.ivt,28560,28840,280
fixation.ivt,29260,29420,160
fixation.ivt,29560,29700,140
fixation.ivt,29860,30060,200
fixation.ivt,30220,30360,140
fixation.ivt,30520,30680,160
fixation.ivt,30820,31140,320
fixation.ivt,31300,31440,140
fixation.ivt,31580,31820,240
fixation.ivt,32280,32380,100
fixation.ivt,32540,32960,420
fixation.ivt,33180,33300,120
fixation.ivt,33460,33900,440
fixation.ivt,34040,34140,100
fixation.ivt,34240,34440,200
fixation.ivt,34920,35040,120
fixation.ivt,35140,35620,480
fixation.ivt,35740,35940,200
fixation.ivt,36340,36500,160
fixation.ivt,36560,36760,200
fixation.ivt,36820,37800,980
fixation.ivt,37860,39080,1220
