name,onset,offset,duration
fixation.ivt,40,840,800
fixation.ivt,940,1120,180
fixation.ivt,1200,1380,180
fixation.ivt,1440,1620,180
fixation.ivt,1700,1980,280
fixation.ivt,2080,2260,180
fixation.ivt,2480,2680,200
fixation.ivt,2720,2860,140
fixation.ivt,2920,3520,600
fixation.ivt,3620,3740,120
fixation.ivt,3780,3980,200
fixation.ivt,4300,4780,480
fixation.ivt,4880,5380,500
fixation.ivt,5480,5680,200
fixation.ivt,5780,6120,340
fixation.ivt,6200,6400,200
fixation.ivt,6460,6640,180
fixation.ivt,6700,6820,120
fixation.ivt,6880,7060,180
fixation.ivt,7140,7260,120
fixation.ivt,7540,7700,160
fixation.ivt,7780,8040,260
fixation.ivt,8140,8360,220
fixation.ivt,8480,8660,180
fixation.ivt,8780,9260,480
fixation.ivt,9620,10320,700
fixation.ivt,10400,10620,220
fixation.ivt,10700,10840,140
fixation.ivt,10920,11220,300
fixation.ivt,11320,11560,240
fixation.ivt,11880,11980,100
fixation.ivt,12200,12460,260
fixation.ivt,12560,12860,300
fixation.ivt,12960,13100,140
fixation.ivt,13200,13340,140
fixation.ivt,13420,13640,220
fixation.ivt,13740,13840,100
fixation.ivt,13920,14280,360
fixation.ivt,14340,14520,180
fixation.ivt,14580,15020,440
fixation.ivt,15080,15220,140
fixation.ivt,15340,16020,680
fixation.ivt,16080,16220,140
fixation.ivt,16340,16680,340
fixation.ivt,16900,17080,180
fixation.ivt,17160,17400,240
fixation.ivt,17540,17680,140
fixation.ivt,17740,17920,180
fixation.ivt,18000,18140,140
fixation.ivt,18220,18460,240
fixation.ivt,18540,18640,100
fixation.ivt,18740,19240,500
fixation.ivt,19360,19540,180
fixation.ivt,19640,20140,500
fixation.ivt,20220,20460,240
fixation.ivt,20540,20700,160
fixation.ivt,20860,21700,840
fixation.ivt,21780,21900,120
fixation.ivt,21980,22400,420
fixation.ivt,22480,22580,100
fixation.ivt,22680,23260,580
fixation.ivt,23340,23520,180
fixation.ivt,23660,24060,400
fixation.ivt,24160,24340,180
fixation.ivt,24500,24880,380
fixation.ivt,25180,25500,320
fixation.ivt,25720,25940,220
fixation.ivt,26040,26380,340
fixation.ivt,26460,26580,120
fixation.ivt,26660,27160,500
fixation.ivt,27240,27380,140
fixation.ivt,27460,27700,240
fixation.ivt,27820,27940,120
fixation.ivt,28060,28500,440
fixation.ivt,28600,28840,240
fixation.ivt,28940,29140,200
fixation.ivt,29380,30180,800
fixation.ivt,30300,30440,140
fixation.ivt,30760,30860,100
fixation.ivt,30980,31300,320
fixation.ivt,31420,31600,180
fixation.ivt,31640,31940,300
fixation.ivt,34180,34320,140
fixation.ivt,34440,34860,420
fixation.ivt,35040,35220,180
fixation.ivt,35340,35460,120
fixation.ivt,35600,35840,240
fixation.ivt,35940,36120,180
fixation.ivt,36240,36380,140
fixation.ivt,36520,36620,100
fixation.ivt,36740,36940,200
fixation.ivt,37060,37260,200
fixation.ivt,37360,37480,120
fixation.ivt,37560,37820,260
fixation.ivt,37940,38100,160
fixation.ivt,38280,38420,140
fixation.ivt,38520,39160,640
fixation.ivt,39280,39400,120
fixation.ivt,39520,39940,420
fixation.ivt,40,840,800
fixation.ivt,940,1120,180
fixation.ivt,1200,1380,180
fixation.ivt,1440,1620,180
fixation.ivt,1700,1980,280
fixation.ivt,2080,2260,180
fixation.ivt,2480,2680,200
fixation.ivt,2720,2860,140
fixation.ivt,2920,3520,600
fixation.ivt,3620,3740,120
fixation.ivt,3780,3980,200
fixation.ivt,4300,4780,480
fixation.ivt,4880,5380,500
fixation.ivt,5480,5680,200
fixation.ivt,5780,6120,340
fixation.ivt,6200,6400,200
fixation.ivt,6460,6640,180
fixation.ivt,6700,6820,120
fixation.ivt,6880,7060,180
fixation.ivt,7140,7260,120
fixation.ivt,7540,7700,160
fixation.ivt,7780,8040,260
fixation.ivt,8140,8360,220
fixation.ivt,8480,8660,180
fixation.ivt,8780,9260,480
fixation.ivt,9620,10320,700
fixation.ivt,10400,10620,220
fixation.ivt,10700,10840,140
fixation.ivt,10920,11220,300
fixation.ivt,11320,11560,240
fixation.ivt,11880,11980,100
fixation.ivt,12200,12460,260
fixation.ivt,12560,12860,300
fixation.ivt,12960,13100,140
fixation.ivt,13200,13340,140
fixation.ivt,13420,13640,220
fixation.ivt,13740,13840,100
fixation.ivt,13920,14280,360
fixation.ivt,14340,14520,180
fixation.ivt,14580,15020,440
fixation.ivt,15080,15220,140
fixation.ivt,15340,16020,680
fixation.ivt,16080,16220,140
fixation.ivt,16340,16680,340
fixation.ivt,16900,17080,180
fixation.ivt,17160,17400,240
fixation.ivt,17540,17680,140
fixation.ivt,17740,17920,180
fixation.ivt,18000,18140,140
fixation.ivt,18220,18460,240
fixation.ivt,18540,18640,100
fixation.ivt,18740,19240,500
fixation.ivt,19360,19540,180
fixation.ivt,19640,20140,500
fixation.ivt,20220,20460,240
fixation.ivt,20540,20700,160
fixation.ivt,20860,21700,840
fixation.ivt,21780,21900,120
fixation.ivt,21980,22400,420
fixation.ivt,22480,22580,100
fixation.ivt,22680,23260,580
fixation.ivt,23340,23520,180
fixation.ivt,23660,24060,400
fixation.ivt,24160,24340,180
fixation.ivt,24500,24880,380
fixation.ivt,25180,25500,320
fixation.ivt,25720,25940,220
fixation.ivt,26040,26380,340
fixation.ivt,26460,26580,120
fixation.ivt,26660,27160,500
fixation.ivt,27240,27380,140
fixation.ivt,27460,27700,240
fixation.ivt,27820,27940,120
fixation.ivt,28060,28500,440
fixation.ivt,28600,28840,240
fixation.ivt,28940,29140,200
fixation.ivt,29380,30180,800
fixation.ivt,30300,30440,140
fixation.ivt,30760,30860,100
fixation.ivt,30980,31300,320
fixation.ivt,31420,31600,180
fixation.ivt,31640,31940,300
fixation.ivt,34180,34320,140
fixation.ivt,34440,34860,420
fixation.ivt,35040,35220,180
fixation.ivt,35340,35460,120
fixation.ivt,35600,35840,240
fixation.ivt,35940,36120,180
fixation.ivt,36240,36380,140
fixation.ivt,36520,36620,100
fixation.ivt,36740,36940,200
fixation.ivt,37060,37260,200
fixation.ivt,37360,37480,120
fixation.ivt,37560,37820,260
fixation.ivt,37940,38100,160
fixation.ivt,38280,38420,140
fixation.ivt,38520,39160,640
fixation.ivt,39280,39400,120
fixation.ivt,39520,39940,420
fixation.ivt,40,840,800
fixation.ivt,940,1120,180
fixation.ivt,1200,1380,180
fixation.ivt,1440,1620,180
fixation.ivt,1700,1980,280
fixation.ivt,2080,2260,180
fixation.ivt,2480,2680,200
fixation.ivt,2720,2860,140
fixation.ivt,2920,3520,600
fixation.ivt,3620,3740,120
fixation.ivt,3780,3980,200
fixation.ivt,4300,4780,480
fixation.ivt,4880,5380,500
fixation.ivt,5480,5680,200
fixation.ivt,5780,6120,340
fixation.ivt,6200,6400,200
fixation.ivt,6460,6640,180
fixation.ivt,6700,6820,120
fixation.ivt,6880,7060,180
fixation.ivt,7140,7260,120
fixation.ivt,7540,7700,160
fixation.ivt,7780,8040,260
fixation.ivt,8140,8360,220
fixation.ivt,8480,8660,180
fixation.ivt,8780,9260,480
fixation.ivt,9620,10320,700
fixation.ivt,10400,10620,220
fixation.ivt,10700,10840,140
fixation.ivt,10920,11220,300
fixation.ivt,11320,11560,240
fixation.ivt,11880,11980,100
fixation.ivt,12200,12460,260
fixation.ivt,12560,12860,300
fixation.ivt,12960,13100,140
fixation.ivt,13200,13340,140
fixation.ivt,13420,13640,220
fixation.ivt,13740,13840,100
fixation.ivt,13920,14280,360
fixation.ivt,14340,14520,180
fixation.ivt,14580,15020,440
fixation.ivt,15080,15220,140
fixation.ivt,15340,16020,680
fixation.ivt,16080,16220,140
fixation.ivt,16340,16680,340
fixation.ivt,16900,17080,180
fixation.ivt,17160,17400,240
fixation.ivt,17540,17680,140
fixation.ivt,17740,17920,180
fixation.ivt,18000,18140,140
fixation.ivt,18220,18460,240
fixation.ivt,18540,18640,100
fixation.ivt,18740,19240,500
fixation.ivt,19360,19540,180
fixation.ivt,19640,20140,500
fixation.ivt,20220,20460,240
fixation.ivt,20540,20700,160
fixation.ivt,20860,21700,840
fixation.ivt,21780,21900,120
fixation.ivt,21980,22400,420
fixation.ivt,22480,22580,100
fixation.ivt,22680,23260,580
fixation.ivt,23340,23520,180
fixation.ivt,23660,24060,400
fixation.ivt,24160,24340,180
fixation.ivt,24500,24880,380
fixation.ivt,25180,25500,320
fixation.ivt,25720,25940,220
fixation.ivt,26040,26380,340
fixation.ivt,26460,26580,120
fixation.ivt,26660,27160,500
fixation.ivt,27240,27380,140
fixation.ivt,27460,27700,240
fixation.ivt,27820,27940,120
fixation.ivt,28060,28500,440
fixation.ivt,28600,28840,240
fixation.ivt,28940,29140,200
fixation.ivt,29380,30180,800
fixation.ivt,30300,30440,140
fixation.ivt,30760,30860,100
fixation.ivt,30980,31300,320
fixation.ivt,31420,31600,180
fixation.ivt,31640,31940,300
fixation.ivt,34180,34320,140
fixation.ivt,34440,34860,420
fixation.ivt,35040,35220,180
fixation.ivt,35340,35460,120
fixation.ivt,35600,35840,240
fixation.ivt,35940,36120,180
fixation.ivt,36240,36380,140
fixation.ivt,36520,36620,100
fixation.ivt,36740,36940,200
fixation.ivt,37060,37260,200
fixation.ivt,37360,37480,120
fixation.ivt,37560,37820,260
fixation.ivt,37940,38100,160
fixation.ivt,38280,38420,140
fixation.ivt,38520,39160,640
fixation.ivt,39280,39400,120
fixation.ivt,39520,39940,420
fixation.ivt,40,840,800
fixation.ivt,940,1120,180
fixation.ivt,1200,1380,180
fixation.ivt,1440,1620,180
fixation.ivt,1700,1980,280
fixation.ivt,2080,2260,180
fixation.ivt,2480,2680,200
fixation.ivt,2720,2860,140
fixation.ivt,2920,3520,600
fixation.ivt,3620,3740,120
fixation.ivt,3780,3980,200
fixation.ivt,4300,4780,480
fixation.ivt,4880,5380,500
fixation.ivt,5480,5680,200
fixation.ivt,5780,6120,340
fixation.ivt,6200,6400,200
fixation.ivt,6460,6640,180
fixation.ivt,6700,6820,120
fixation.ivt,6880,7060,180
fixation.ivt,7140,7260,120
fixation.ivt,7540,7700,160
fixation.ivt,7780,8040,260
fixation.ivt,8140,8360,220
fixation.ivt,8480,8660,180
fixation.ivt,8780,9260,480
fixation.ivt,9620,10320,700
fixation.ivt,10400,10620,220
fixation.ivt,10700,10840,140
fixation.ivt,10920,11220,300
fixation.ivt,11320,11560,240
fixation.ivt,11880,11980,100
fixation.ivt,12200,12460,260
fixation.ivt,12560,12860,300
fixation.ivt,12960,13100,140
fixation.ivt,13200,13340,140
fixation.ivt,13420,13640,220
fixation.ivt,13740,13840,100
fixation.ivt,13920,14280,360
fixation.ivt,14340,14520,180
fixation.ivt,14580,15020,440
fixation.ivt,15080,15220,140
fixation.ivt,15340,16020,680
fixation.ivt,16080,16220,140
fixation.ivt,16340,16680,340
fixation.ivt,16900,17080,180
fixation.ivt,17160,17400,240
fixation.ivt,17540,17680,140
fixation.ivt,17740,17920,180
fixation.ivt,18000,18140,140
fixation.ivt,18220,18460,240
fixation.ivt,18540,18640,100
fixation.ivt,18740,19240,500
fixation.ivt,19360,19540,180
fixation.ivt,19640,20140,500
fixation.ivt,20220,20460,240
fixation.ivt,20540,20700,160
fixation.ivt,20860,21700,840
fixation.ivt,21780,21900,120
fixation.ivt,21980,22400,420
fixation.ivt,22480,22580,100
fixation.ivt,22680,23260,580
fixation.ivt,23340,23520,180
fixation.ivt,23660,24060,400
fixation.ivt,24160,24340,180
fixation.ivt,24500,24880,380
fixation.ivt,25180,25500,320
fixation.ivt,25720,25940,220
fixation.ivt,26040,26380,340
fixation.ivt,26460,26580,120
fixation.ivt,26660,27160,500
fixation.ivt,27240,27380,140
fixation.ivt,27460,27700,240
fixation.ivt,27820,27940,120
fixation.ivt,28060,28500,440
fixation.ivt,28600,28840,240
fixation.ivt,28940,29140,200
fixation.ivt,29380,30180,800
fixation.ivt,30300,30440,140
fixation.ivt,30760,30860,100
fixation.ivt,30980,31300,320
fixation.ivt,31420,31600,180
fixation.ivt,31640,31940,300
fixation.ivt,34180,34320,140
fixation.ivt,34440,34860,420
fixation.ivt,35040,35220,180
fixation.ivt,35340,35460,120
fixation.ivt,35600,35840,240
fixation.ivt,35940,36120,180
fixation.ivt,36240,36380,140
fixation.ivt,36520,36620,100
fixation.ivt,36740,36940,200
fixation.ivt,37060,37260,200
fixation.ivt,37360,37480,120
fixation.ivt,37560,37820,260
fixation.ivt,37940,38100,160
fixation.ivt,38280,38420,140
fixation.ivt,38520,39160,640
fixation.ivt,39280,39400,120
fixation.ivt,39520,39940,420
fixation.ivt,40,840,800
fixation.ivt,940,1120,180
fixation.ivt,1200,1380,180
fixation.ivt,1440,1620,180
fixation.ivt,1700,1980,280
fixation.ivt,2080,2260,180
fixation.ivt,2480,2680,200
fixation.ivt,2720,2860,140
fixation.ivt,2920,3520,600
fixation.ivt,3620,3740,120
fixation.ivt,3780,3980,200
fixation.ivt,4300,4780,480
fixation.ivt,4880,5380,500
fixation.ivt,5480,5680,200
fixation.ivt,5780,6120,340
fixation.ivt,6200,6400,200
fixation.ivt,6460,6640,180
fixation.ivt,6700,6820,120
fixation.ivt,6880,7060,180
fixation.ivt,7140,7260,120
fixation.ivt,7540,7700,160
fixation.ivt,7780,8040,260
fixation.ivt,8140,8360,220
fixation.ivt,8480,8660,180
fixation.ivt,8780,9260,480
fixation.ivt,9620,10320,700
fixation.ivt,10400,10620,220
fixation.ivt,10700,10840,140
fixation.ivt,10920,11220,300
fixation.ivt,11320,11560,240
fixation.ivt,11880,11980,100
fixation.ivt,12200,12460,260
fixation.ivt,12560,12860,300
fixation.ivt,12960,13100,140
fixation.ivt,13200,13340,140
fixation.ivt,13420,13640,220
fixation.ivt,13740,13840,100
fixation.ivt,13920,14280,360
fixation.ivt,14340,14520,180
fixation.ivt,14580,15020,440
fixation.ivt,15080,15220,140
fixation.ivt,15340,16020,680
fixation.ivt,16080,16220,140
fixation.ivt,16340,16680,340
fixation.ivt,16900,17080,180
fixation.ivt,17160,17400,240
fixation.ivt,17540,17680,140
fixation.ivt,17740,17920,180
fixation.ivt,18000,18140,140
fixation.ivt,18220,18460,240
fixation.ivt,18540,18640,100
fixation.ivt,18740,19240,500
fixation.ivt,19360,19540,180
fixation.ivt,19640,20140,500
fixation.ivt,20220,20460,240
fixation.ivt,20540,20700,160
fixation.ivt,20860,21700,840
fixation.ivt,21780,21900,120
fixation.ivt,21980,22400,420
fixation.ivt,22480,22580,100
fixation.ivt,22680,23260,580
fixation.ivt,23340,23520,180
fixation.ivt,23660,24060,400
fixation.ivt,24160,24340,180
fixation.ivt,24500,24880,380
fixation.ivt,25180,25500,320
fixation.ivt,25720,25940,220
fixation.ivt,26040,26380,340
fixation.ivt,26460,26580,120
fixation.ivt,26660,27160,500
fixation.ivt,27240,27380,140
fixation.ivt,27460,27700,240
fixation.ivt,27820,27940,120
fixation.ivt,28060,28500,440
fixation.ivt,28600,28840,240
fixation.ivt,28940,29140,200
fixation.ivt,29380,30180,800
fixation.ivt,30300,30440,140
fixation.ivt,30760,30860,100
fixation.ivt,30980,31300,320
fixation.ivt,31420,31600,180
fixation.ivt,31640,31940,300
fixation.ivt,34180,34320,140
fixation.ivt,34440,34860,420
fixation.ivt,35040,35220,180
fixation.ivt,35340,35460,120
fixation.ivt,35600,35840,240
fixation.ivt,35940,36120,180
fixation.ivt,36240,36380,140
fixation.ivt,36520,36620,100
fixation.ivt,36740,36940,200
fixation.ivt,37060,37260,200
fixation.ivt,37360,37480,120
fixation.ivt,37560,37820,260
fixation.ivt,37940,38100,160
fixation.ivt,38280,38420,140
fixation.ivt,38520,39160,640
fixation.ivt,39280,39400,120
fixation.ivt,39520,39940,420
fixation.ivt,40,840,800
fixation.ivt,940,1120,180
fixation.ivt,1200,1380,180
fixation.ivt,1440,1620,180
fixation.ivt,1700,1980,280
fixation.ivt,2080,2260,180
fixation.ivt,2480,2680,200
fixation.ivt,2720,2860,140
fixation.ivt,2920,3520,600
fixation.ivt,3620,3740,120
fixation.ivt,3780,3980,200
fixation.ivt,4300,4780,480
fixation.ivt,4880,5380,500
fixation.ivt,5480,5680,200
fixation.ivt,5780,6120,340
fixation.ivt,6200,6400,200
fixation.ivt,6460,6640,180
fixation.ivt,6700,6820,120
fixation.ivt,6880,7060,180
fixation.ivt,7140,7260,120
fixation.ivt,7540,7700,160
fixation.ivt,7780,8040,260
fixation.ivt,8140,8360,220
fixation.ivt,8480,8660,180
fixation.ivt,8780,9260,480
fixation.ivt,9620,10320,700
fixation.ivt,10400,10620,220
fixation.ivt,10700,10840,140
fixation.ivt,10920,11220,300
fixation.ivt,11320,11560,240
fixation.ivt,11880,11980,100
fixation.ivt,12200,12460,260
fixation.ivt,12560,12860,300
fixation.ivt,12960,13100,140
fixation.ivt,13200,13340,140
fixation.ivt,13420,13640,220
fixation.ivt,13740,13840,100
fixation.ivt,13920,14280,360
fixation.ivt,14340,14520,180
fixation.ivt,14580,15020,440
fixation.ivt,15080,15220,140
fixation.ivt,15340,16020,680
fixation.ivt,16080,16220,140
fixation.ivt,16340,16680,340
fixation.ivt,16900,17080,180
fixation.ivt,17160,17400,240
fixation.ivt,17540,17680,140
fixation.ivt,17740,17920,180
fixation.ivt,18000,18140,140
fixation.ivt,18220,18460,240
fixation.ivt,18540,18640,100
fixation.ivt,18740,19240,500
fixation.ivt,19360,19540,180
fixation.ivt,19640,20140,500
fixation.ivt,20220,20460,240
fixation.ivt,20540,20700,160
fixation.ivt,20860,21700,840
fixation.ivt,21780,21900,120
fixation.ivt,21980,22400,420
fixation.ivt,22480,22580,100
fixation.ivt,22680,23260,580
fixation.ivt,23340,23520,180
fixation.ivt,23660,24060,400
fixation.ivt,24160,24340,180
fixation.ivt,24500,24880,380
fixation.ivt,25180,25500,320
fixation.ivt,25720,25940,220
fixation.ivt,26040,26380,340
fixation.ivt,26460,26580,120
fixation.ivt,26660,27160,500
fixation.ivt,27240,27380,140
fixation.ivt,27460,27700,240
fixation.ivt,27820,27940,120
fixation.ivt,28060,28500,440
fixation.ivt,28600,28840,240
fixation.ivt,28940,29140,200
fixation.ivt,29380,30180,800
fixation.ivt,30300,30440,140
fixation.ivt,30760,30860,100
fixation.ivt,30980,31300,320
fixation.ivt,31420,31600,180
fixation.ivt,31640,31940,300
fixation.ivt,34180,34320,140
fixation.ivt,34440,34860,420
fixation.ivt,35040,35220,180
fixation.ivt,35340,35460,120
fixation.ivt,35600,35840,240
fixation.ivt,35940,36120,180
fixation.ivt,36240,36380,140
fixation.ivt,36520,36620,100
fixation.ivt,36740,36940,200
fixation.ivt,37060,37260,200
fixation.ivt,37360,37480,120
fixation.ivt,37560,37820,260
fixation.ivt,37940,38100,160
fixation.ivt,38280,38420,140
fixation.ivt,38520,39160,640
fixation.ivt,39280,39400,120
