name,onset,offset,duration
fixation.ivt,40,740,700
fixation.ivt,860,1080,220
fixation.ivt,1160,1340,180
fixation.ivt,1400,2000,600
fixation.ivt,3520,3860,340
fixation.ivt,3940,4140,200
fixation.ivt,4380,4500,120
fixation.ivt,4660,4800,140
fixation.ivt,4860,5440,580
fixation.ivt,5540,5840,300
fixation.ivt,5940,6040,100
fixation.ivt,6140,6320,180
fixation.ivt,6440,6600,160
fixation.ivt,6720,6940,220
fixation.ivt,7920,8040,120
fixation.ivt,8200,8380,180
fixation.ivt,8580,8960,380
fixation.ivt,9120,9240,120
fixation.ivt,9440,9560,120
fixation.ivt,9680,9900,220
fixation.ivt,9960,10620,660
fixation.ivt,10900,11280,380
fixation.ivt,11360,12120,760
fixation.ivt,12220,12460,240
fixation.ivt,12800,12940,140
fixation.ivt,13120,13360,240
fixation.ivt,13500,13700,200
fixation.ivt,13780,14380,600
fixation.ivt,14480,14680,200
fixation.ivt,14780,16240,1460
fixation.ivt,16320,17000,680
fixation.ivt,17140,17460,320
fixation.ivt,18360,18500,140
fixation.ivt,18600,18920,320
fixation.ivt,19000,19800,800
fixation.ivt,19940,20120,180
fixation.ivt,20260,20660,400
fixation.ivt,20920,21100,180
fixation.ivt,21220,21460,240
fixation.ivt,21560,22040,480
fixation.ivt,22100,23000,900
fixation.ivt,23040,23400,360
fixation.ivt,23520,24400,880
fixation.ivt,24480,24640,160
fixation.ivt,26400,26660,260
fixation.ivt,26740,27060,320
fixation.ivt,27140,27400,260
fixation.ivt,27560,27760,200
fixation.ivt,28000,28220,220
fixation.ivt,28420,28620,200
fixation.ivt,28740,28840,100
fixation.ivt,29080,29180,100
fixation.ivt,29280,29640,360
fixation.ivt,29740,29960,220
fixation.ivt,30040,30460,420
fixation.ivt,30600,30920,320
fixation.ivt,31720,32680,960
fixation.ivt,32800,33120,320
fixation.ivt,33220,33900,680
fixation.ivt,34400,34640,240
fixation.ivt,34820,34980,160
fixation.ivt,35340,35620,280
fixation.ivt,35860,36180,320
fixation.ivt,36300,36580,280
fixation.ivt,36640,37040,400
fixation.ivt,37180,37500,320
fixation.ivt,37640,37920,280
fixation.ivt,38180,38440,260
fixation.ivt,38660,38960,300
fixation.ivt,39060,39240,180
fixation.ivt,39320,39920,600
fixation.ivt,40,740,700
fixation.ivt,860,1080,220
fixation.ivt,1160,1340,180
fixation.ivt,1400,2000,600
fixation.ivt,3520,3860,340
fixation.ivt,3940,4140,200
fixation.ivt,4380,4500,120
fixation.ivt,4660,4800,140
fixation.ivt,4860,5440,580
fixation.ivt,5540,5840,300
fixation.ivt,5940,6040,100
fixation.ivt,6140,6320,180
fixation.ivt,6440,6600,160
fixation.ivt,6720,6940,220
fixation.ivt,7920,8040,120
fixation.ivt,8200,8380,180
fixation.ivt,8580,8960,380
fixation.ivt,9120,9240,120
fixation.ivt,9440,9560,120
fixation.ivt,9680,9900,220
fixation.ivt,9960,10620,660
fixation.ivt,10900,11280,380
fixation.ivt,11360,12120,760
fixation.ivt,12220,12460,240
fixation.ivt,12800,12940,140
fixation.ivt,13120,13360,240
fixation.ivt,13500,13700,200
fixation.ivt,13780,14380,600
fixation.ivt,14480,14680,200
fixation.ivt,14780,16240,1460
fixation.ivt,16320,17000,680
fixation.ivt,17140,17460,320
fixation.ivt,18360,18500,140
fixation.ivt,18600,18920,320
fixation.ivt,19000,19800,800
fixation.ivt,19940,20120,180
fixation.ivt,20260,20660,400
fixation.ivt,20920,21100,180
fixation.ivt,21220,21460,240
fixation.ivt,21560,22040,480
fixation.ivt,22100,23000,900
fixation.ivt,23040,23400,360
fixation.ivt,23520,24400,880
fixation.ivt,24480,24640,160
fixation.ivt,26400,26660,260
fixation.ivt,26740,27060,320
fixation.ivt,27140,27400,260
fixation.ivt,27560,27760,200
fixation.ivt,28000,28220,220
fixation.ivt,28420,28620,200
fixation.ivt,28740,28840,100
fixation.ivt,29080,29180,100
fixation.ivt,29280,29640,360
fixation.ivt,29740,29960,220
fixation.ivt,30040,30460,420
fixation.ivt,30600,30920,320
fixation.ivt,31720,32680,960
fixation.ivt,32800,33120,320
fixation.ivt,33220,33900,680
fixation.ivt,34400,34640,240
fixation.ivt,34820,34980,160
fixation.ivt,35340,35620,280
fixation.ivt,35860,36180,320
fixation.ivt,36300,36580,280
fixation.ivt,36640,37040,400
fixation.ivt,37180,37500,320
fixation.ivt,37640,37920,280
fixation.ivt,38180,38440,260
fixation.ivt,38660,38960,300
fixation.ivt,39060,39240,180
fixation.ivt,39320,39920,600
fixation.ivt,40,740,700
fixation.ivt,860,1080,220
fixation.ivt,1160,1340,180
fixation.ivt,1400,2000,600
fixation.ivt,3520,3860,340
fixation.ivt,3940,4140,200
fixation.ivt,4380,4500,120
fixation.ivt,4660,4800,140
fixation.ivt,4860,5440,580
fixation.ivt,5540,5840,300
fixation.ivt,5940,6040,100
fixation.ivt,6140,6320,180
fixation.ivt,6440,6600,160
fixation.ivt,6720,6940,220
fixation.ivt,7920,8040,120
fixation.ivt,8200,8380,180
fixation.ivt,8580,8960,380
fixation.ivt,9120,9240,120
fixation.ivt,9440,9560,120
fixation.ivt,9680,9900,220
fixation.ivt,9960,10620,660
fixation.ivt,10900,11280,380
fixation.ivt,11360,12120,760
fixation.ivt,12220,12460,240
fixation.ivt,12800,12940,140
fixation.ivt,13120,13360,240
fixation.ivt,13500,13700,200
fixation.ivt,13780,14380,600
fixation.ivt,14480,14680,200
fixation.ivt,14780,16240,1460
fixation.ivt,16320,17000,680
fixation.ivt,17140,17460,320
fixation.ivt,18360,18500,140
fixation.ivt,18600,18920,320
fixation.ivt,19000,19800,800
fixation.ivt,19940,20120,180
fixation.ivt,20260,20660,400
fixation.ivt,20920,21100,180
fixation.ivt,21220,21460,240
fixation.ivt,21560,22040,480
fixation.ivt,22100,23000,900
fixation.ivt,23040,23400,360
fixation.ivt,23520,24400,880
fixation.ivt,24480,24640,160
fixation.ivt,26400,26660,260
fixation.ivt,26740,27060,320
fixation.ivt,27140,27400,260
fixation.ivt,27560,27760,200
fixation.ivt,28000,28220,220
fixation.ivt,28420,28620,200
fixation.ivt,28740,28840,100
fixation.ivt,29080,29180,100
fixation.ivt,29280,29640,360
fixation.ivt,29740,29960,220
fixation.ivt,30040,30460,420
fixation.ivt,30600,30920,320
fixation.ivt,31720,32680,960
fixation.ivt,32800,33120,320
fixation.ivt,33220,33900,680
fixation.ivt,34400,34640,240
fixation.ivt,34820,34980,160
fixation.ivt,35340,35620,280
fixation.ivt,35860,36180,320
fixation.ivt,36300,36580,280
fixation.ivt,36640,37040,400
fixation.ivt,37180,37500,320
fixation.ivt,37640,37920,280
fixation.ivt,38180,38440,260
fixation.ivt,38660,38960,300
fixation.ivt,39060,39240,180
fixation.ivt,39320,39920,600
fixation.ivt,40,740,700
fixation.ivt,860,1080,220
fixation.ivt,1160,1340,180
fixation.ivt,1400,2000,600
fixation.ivt,3520,3860,340
fixation.ivt,3940,4140,200
fixation.ivt,4380,4500,120
fixation.ivt,4660,4800,140
fixation.ivt,4860,5440,580
fixation.ivt,5540,5840,300
fixation.ivt,5940,6040,100
fixation.ivt,6140,6320,180
fixation.ivt,6440,6600,160
fixation.ivt,6720,6940,220
fixation.ivt,7920,8040,120
fixation.ivt,8200,8380,180
fixation.ivt,8580,8960,380
fixation.ivt,9120,9240,120
fixation.ivt,9440,9560,120
fixation.ivt,9680,9900,220
fixation.ivt,9960,10620,660
fixation.ivt,10900,11280,380
fixation.ivt,11360,12120,760
fixation.ivt,12220,12460,240
fixation.ivt,12800,12940,140
fixation.ivt,13120,13360,240
fixation.ivt,13500,13700,200
fixation.ivt,13780,14380,600
fixation.ivt,14480,14680,200
fixation.ivt,14780,16240,1460
fixation.ivt,16320,17000,680
fixation.ivt,17140,17460,320
fixation.ivt,18360,18500,140
fixation.ivt,18600,18920,320
fixation.ivt,19000,19800,800
fixation.ivt,19940,20120,180
fixation.ivt,20260,20660,400
fixation.ivt,20920,21100,180
fixation.ivt,21220,21460,240
fixation.ivt,21560,22040,480
fixation.ivt,22100,23000,900
fixation.ivt,23040,23400,360
fixation.ivt,23520,24400,880
fixation.ivt,24480,24640,160
fixation.ivt,26400,26660,260
fixation.ivt,26740,27060,320
fixation.ivt,27140,27400,260
fixation.ivt,27560,27760,200
fixation.ivt,28000,28220,220
fixation.ivt,28420,28620,200
fixation.ivt,28740,28840,100
fixation.ivt,29080,29180,100
fixation.ivt,29280,29640,360
fixation.ivt,29740,29960,220
fixation.ivt,30040,30460,420
fixation.ivt,30600,30920,320
fixation.ivt,31720,32680,960
fixation.ivt,32800,33120,320
fixation.ivt,33220,33900,680
fixation.ivt,34400,34640,240
fixation.ivt,34820,34980,160
fixation.ivt,35340,35620,280
fixation.ivt,35860,36180,320
fixation.ivt,36300,36580,280
fixation.ivt,36640,37040,400
fixation.ivt,37180,37500,320
fixation.ivt,37640,37920,280
fixation.ivt,38180,38440,260
fixation.ivt,38660,38960,300
fixation.ivt,39060,39240,180
fixation.ivt,39320,39920,600
fixation.ivt,40,740,700
fixation.ivt,860,1080,220
fixation.ivt,1160,1340,180
fixation.ivt,1400,2000,600
fixation.ivt,3520,3860,340
fixation.ivt,3940,4140,200
fixation.ivt,4380,4500,120
fixation.ivt,4660,4800,140
fixation.ivt,4860,5440,580
fixation.ivt,5540,5840,300
fixation.ivt,5940,6040,100
fixation.ivt,6140,6320,180
fixation.ivt,6440,6600,160
fixation.ivt,6720,6940,220
fixation.ivt,7920,8040,120
fixation.ivt,8200,8380,180
fixation.ivt,8580,8960,380
fixation.ivt,9120,9240,120
fixation.ivt,9440,9560,120
fixation.ivt,9680,9900,220
fixation.ivt,9960,10620,660
fixation.ivt,10900,11280,380
fixation.ivt,11360,12120,760
fixation.ivt,12220,12460,240
fixation.ivt,12800,12940,140
fixation.ivt,13120,13360,240
fixation.ivt,13500,13700,200
fixation.ivt,13780,14380,600
fixation.ivt,14480,14680,200
fixation.ivt,14780,16240,1460
fixation.ivt,16320,17000,680
fixation.ivt,17140,17460,320
fixation.ivt,18360,18500,140
fixation.ivt,18600,18920,320
fixation.ivt,19000,19800,800
fixation.ivt,19940,20120,180
fixation.ivt,20260,20660,400
fixation.ivt,20920,21100,180
fixation.ivt,21220,21460,240
fixation.ivt,21560,22040,480
fixation.ivt,22100,23000,900
fixation.ivt,23040,23400,360
fixation.ivt,23520,24400,880
fixation.ivt,24480,24640,160
fixation.ivt,26400,26660,260
fixation.ivt,26740,27060,320
fixation.ivt,27140,27400,260
fixation.ivt,27560,27760,200
fixation.ivt,28000,28220,220
fixation.ivt,28420,28620,200
fixation.ivt,28740,28840,100
fixation.ivt,29080,29180,100
fixation.ivt,29280,29640,360
fixation.ivt,29740,29960,220
fixation.ivt,30040,30460,420
fixation.ivt,30600,30920,320
fixation.ivt,31720,32680,960
fixation.ivt,32800,33120,320
fixation.ivt,33220,33900,680
fixation.ivt,34400,34640,240
fixation.ivt,34820,34980,160
fixation.ivt,35340,35620,280
fixation.ivt,35860,36180,320
fixation.ivt,36300,36580,280
fixation.ivt,36640,37040,400
fixation.ivt,37180,37500,320
fixation.ivt,37640,37920,280
fixation.ivt,38180,38440,260
fixation.ivt,38660,38960,300
fixation.ivt,39060,39240,180
fixation.ivt,39320,39920,600
fixation.ivt,40,740,700
fixation.ivt,860,1080,220
fixation.ivt,1160,1340,180
fixation.ivt,1400,2000,600
fixation.ivt,3520,3860,340
fixation.ivt,3940,4140,200
fixation.ivt,4380,4500,120
fixation.ivt,4660,4800,140
fixation.ivt,4860,5440,580
fixation.ivt,5540,5840,300
fixation.ivt,5940,6040,100
fixation.ivt,6140,6320,180
fixation.ivt,6440,6600,160
fixation.ivt,6720,6940,220
fixation.ivt,7920,8040,120
fixation.ivt,8200,8380,180
fixation.ivt,8580,8960,380
fixation.ivt,9120,9240,120
fixation.ivt,9440,9560,120
fixation.ivt,9680,9900,220
fixation.ivt,9960,10620,660
fixation.ivt,10900,11280,380
fixation.ivt,11360,12120,760
fixation.ivt,12220,12460,240
fixation.ivt,12800,12940,140
fixation.ivt,13120,13360,240
fixation.ivt,13500,13700,200
fixation.ivt,13780,14380,600
fixation.ivt,14480,14680,200
fixation.ivt,14780,16240,1460
fixation.ivt,16320,17000,680
fixation.ivt,17140,17460,320
fixation.ivt,18360,18500,140
fixation.ivt,18600,18920,320
fixation.ivt,19000,19800,800
fixation.ivt,19940,20120,180
fixation.ivt,20260,20660,400
fixation.ivt,20920,21100,180
fixation.ivt,21220,21460,240
fixation.ivt,21560,22040,480
fixation.ivt,22100,23000,900
fixation.ivt,23040,23400,360
fixation.ivt,23520,24400,880
fixation.ivt,24480,24640,160
fixation.ivt,26400,26660,260
fixation.ivt,26740,27060,320
fixation.ivt,27140,27400,260
fixation.ivt,27560,27760,200
fixation.ivt,28000,28220,220
fixation.ivt,28420,28620,200
fixation.ivt,28740,28840,100
fixation.ivt,29080,29180,100
fixation.ivt,29280,29640,360
fixation.ivt,29740,29960,220
fixation.ivt,30040,30460,420
fixation.ivt,30600,30920,320
fixation.ivt,31720,32680,960
fixation.ivt,32800,33120,320
fixation.ivt,33220,33900,680
fixation.ivt,34400,34640,240
fixation.ivt,34820,34980,160
fixation.ivt,35340,35620,280
fixation.ivt,35860,36180,320
fixation.ivt,36300,36580,280
fixation.ivt,36640,37040,400
fixation.ivt,37180,37500,320
fixation.ivt,37640,37920,280
fixation.ivt,38180,38440,260
fixation.ivt,38660,38960,300
fixation.ivt,39060,39240,180
fixation.ivt,39320,39920,600
fixation.ivt,40,740,700
fixation.ivt,860,1080,220
fixation.ivt,1160,1340,180
fixation.ivt,1400,2000,600
fixation.ivt,3520,3860,340
fixation.ivt,3940,4140,200
fixation.ivt,4380,4500,120
fixation.ivt,4660,4800,140
fixation.ivt,4860,5440,580
fixation.ivt,5540,5840,300
fixation.ivt,5940,6040,100
fixation.ivt,6140,6320,180
fixation.ivt,6440,6600,160
fixation.ivt,6720,6940,220
fixation.ivt,7920,8040,120
fixation.ivt,8200,8380,180
fixation.ivt,8580,8960,380
fixation.ivt,9120,9240,120
fixation.ivt,9440,9560,120
fixation.ivt,9680,9900,220
fixation.ivt,9960,10620,660
fixation.ivt,10900,11280,380
fixation.ivt,11360,12120,760
fixation.ivt,12220,12460,240
fixation.ivt,12800,12940,140
fixation.ivt,13120,13360,240
fixation.ivt,13500,13700,200
fixation.ivt,13780,14380,600
fixation.ivt,14480,14680,200
fixation.ivt,14780,16240,1460
fixation.ivt,16320,17000,680
fixation.ivt,17140,17460,320
fixation.ivt,18360,18500,140
fixation.ivt,18600,18920,320
fixation.ivt,19000,19800,800
fixation.ivt,19940,20120,180
fixation.ivt,20260,20660,400
fixation.ivt,20920,21100,180
fixation.ivt,21220,21460,240
fixation.ivt,21560,22040,480
fixation.ivt,22100,23000,900
fixation.ivt,23040,23400,360
fixation.ivt,23520,24400,880
fixation.ivt,24480,24640,160
fixation.ivt,26400,26660,260
fixation.ivt,26740,27060,320
fixation.ivt,27140,27400,260
fixation.ivt,27560,27760,200
fixation.ivt,28000,28220,220
fixation.ivt,28420,28620,200
fixation.ivt,28740,28840,100
fixation.ivt,29080,29180,100
fixation.ivt,29280,29640,360
fixation.ivt,29740,29960,220
fixation.ivt,30040,30460,420
fixation.ivt,30600,30920,320
fixation.ivt,31720,32680,960
fixation.ivt,32800,33120,320
fixation.ivt,33220,33900,680
fixation.ivt,34400,34640,240
fixation.ivt,34820,34980,160
fixation.ivt,35340,35620,280
fixation.ivt,35860,36180,320
fixation.ivt,36300,36580,280
fixation.ivt,36640,37040,400
fixation.ivt,37180,37500,320
fixation.ivt,37640,37920,280
fixation.ivt,38180,38440,260
fixation.ivt,38660,38960,300
fixation.ivt,39060,39240,180
fixation.ivt,39320,39920,600
fixation.ivt,40,740,700
fixation.ivt,860,1080,220
fixation.ivt,1160,1340,180
fixation.ivt,1400,2000,600
fixation.ivt,3520,3860,340
fixation.ivt,3940,4140,200
fixation.ivt,4380,4500,120
fixation.ivt,4660,4800,140
fixation.ivt,4860,5440,580
fixation.ivt,5540,5840,300
fixation.ivt,5940,6040,100
fixation.ivt,6140,6320,180
fixation.ivt,6440,6600,160
fixation.ivt,6720,6940,220
fixation.ivt,7920,8040,120
fixation.ivt,8200,8380,180
fixation.ivt,8580,8960,380
fixation.ivt,9120,9240,120
fixation.ivt,9440,9560,120
fixation.ivt,9680,9900,220
fixation.ivt,9960,10620,660
fixation.ivt,10900,11280,380
fixation.ivt,11360,12120,760
fixation.ivt,12220,12460,240
fixation.ivt,12800,12940,140
fixation.ivt,13120,13360,240
fixation.ivt,13500,13700,200
fixation.ivt,13780,14380,600
fixation.ivt,14480,14680,200
fixation.ivt,14780,16240,1460
fixation.ivt,16320,17000,680
fixation.ivt,17140,17460,320
fixation.ivt,18360,18500,140
fixation.ivt,18600,18920,320
fixation.ivt,19000,19800,800
fixation.ivt,19940,20120,180
fixation.ivt,20260,20660,400
fixation.ivt,20920,21100,180
fixation.ivt,21220,21460,240
fixation.ivt,21560,22040,480
fixation.ivt,22100,23000,900
fixation.ivt,23040,23400,360
fixation.ivt,23520,24400,880
fixation.ivt,24480,24640,160
fixation.ivt,26400,26660,260
fixation.ivt,26740,27060,320
fixation.ivt,27140,27400,260
fixation.ivt,27560,27760,200
fixation.ivt,28000,28220,220
fixation.ivt,28420,28620,200
fixation.ivt,28740,28840,100
fixation.ivt,29080,29180,100
fixation.ivt,29280,29640,360
fixation.ivt,29740,29960,220
fixation.ivt,30040,30460,420
fixation.ivt,30600,30920,320
fixation.ivt,31720,32680,960
fixation.ivt,32800,33120,320
fixation.ivt,33220,33900,680
fixation.ivt,34400,34640,240
fixation.ivt,34820,34980,160
fixation.ivt,35340,35620,280
fixation.ivt,35860,36180,320
fixation.ivt,36300,36580,280
fixation.ivt,36640,37040,400
fixation.ivt,37180,37500,320
fixation.ivt,37640,37920,280
fixation.ivt,38180,38440,260
fixation.ivt,38660,38960,300
fixation.ivt,39060,39240,180
fixation.ivt,39320,39920,600
fixation.ivt,40,740,700
fixation.ivt,860,1080,220
fixation.ivt,1160,1340,180
fixation.ivt,1400,2000,600
fixation.ivt,3520,3860,340
fixation.ivt,3940,4140,200
fixation.ivt,4380,4500,120
fixation.ivt,4660,4800,140
fixation.ivt,4860,5440,580
fixation.ivt,5540,5840,300
fixation.ivt,5940,6040,100
fixation.ivt,6140,6320,180
fixation.ivt,6440,6600,160
fixation.ivt,6720,6940,220
fixation.ivt,7920,8040,120
fixation.ivt,8200,8380,180
fixation.ivt,8580,8960,380
fixation.ivt,9120,9240,120
fixation.ivt,9440,9560,120
fixation.ivt,9680,9900,220
fixation.ivt,9960,10620,660
fixation.ivt,10900,11280,380
fixation.ivt,11360,12120,760
fixation.ivt,12220,12460,240
fixation.ivt,12800,12940,140
fixation.ivt,13120,13360,240
fixation.ivt,13500,13700,200
fixation.ivt,13780,14380,600
fixation.ivt,14480,14680,200
fixation.ivt,14780,16240,1460
fixation.ivt,16320,17000,680
fixation.ivt,17140,17460,320
fixation.ivt,18360,18500,140
fixation.ivt,18600,18920,320
fixation.ivt,19000,19800,800
fixation.ivt,19940,20120,180
fixation.ivt,20260,20660,400
fixation.ivt,20920,21100,180
fixation.ivt,21220,21460,240
fixation.ivt,21560,22040,480
fixation.ivt,22100,23000,900
fixation.ivt,23040,23400,360
fixation.ivt,23520,24400,880
fixation.ivt,24480,24640,160
fixation.ivt,26400,26660,260
fixation.ivt,26740,27060,320
fixation.ivt,27140,27400,260
fixation.ivt,27560,27760,200
fixation.ivt,28000,28220,220
fixation.ivt,28420,28620,200
fixation.ivt,28740,28840,100
fixation.ivt,29080,29180,100
fixation.ivt,29280,29640,360
fixation.ivt,29740,29960,220
fixation.ivt,30040,30460,420
fixation.ivt,30600,30920,320
fixation.ivt,31720,32680,960
fixation.ivt,32800,33120,320
fixation.ivt,33220,33900,680
fixation.ivt,34400,34640,240
fixation.ivt,34820,34980,160
fixation.ivt,35340,35620,280
fixation.ivt,35860,36180,320
fixation.ivt,36300,36580,280
fixation.ivt,36640,37040,400
fixation.ivt,37180,37500,320
fixation.ivt,37640,37920,280
fixation.ivt,38180,38440,260
fixation.ivt,38660,38960,300
fixation.ivt,39060,39240,180
