name,onset,offset,duration
fixation.ivt,40,400,360
fixation.ivt,840,1120,280
fixation.ivt,1400,1560,160
fixation.ivt,1660,1920,260
fixation.ivt,2180,2320,140
fixation.ivt,2420,2540,120
fixation.ivt,2640,2780,140
fixation.ivt,2900,3060,160
fixation.ivt,3160,3260,100
fixation.ivt,3360,3960,600
fixation.ivt,4060,4180,120
fixation.ivt,4260,4480,220
fixation.ivt,4860,5200,340
fixation.ivt,5480,5600,120
fixation.ivt,5700,5840,140
fixation.ivt,5900,6000,100
fixation.ivt,6100,6240,140
fixation.ivt,6340,6500,160
fixation.ivt,6600,6760,160
fixation.ivt,7080,7580,500
fixation.ivt,7700,7980,280
fixation.ivt,8240,8400,160
fixation.ivt,8500,8780,280
fixation.ivt,8980,9080,100
fixation.ivt,9140,9280,140
fixation.ivt,9420,9660,240
fixation.ivt,9940,10140,200
fixation.ivt,10260,10400,140
fixation.ivt,10480,10580,100
fixation.ivt,10640,10880,240
fixation.ivt,10980,11100,120
fixation.ivt,11200,11340,140
fixation.ivt,11600,11980,380
fixation.ivt,12100,12220,120
fixation.ivt,12260,12520,260
fixation.ivt,12620,12800,180
fixation.ivt,12880,13140,260
fixation.ivt,13240,13360,120
fixation.ivt,13480,13840,360
fixation.ivt,13920,14100,180
fixation.ivt,14200,14380,180
fixation.ivt,14700,14800,100
fixation.ivt,14920,15120,200
fixation.ivt,15240,15400,160
fixation.ivt,15520,15800,280
fixation.ivt,15920,16060,140
fixation.ivt,16160,16300,140
fixation.ivt,16880,16980,100
fixation.ivt,17080,17220,140
fixation.ivt,17440,17820,380
fixation.ivt,17940,18280,340
fixation.ivt,18320,18440,120
fixation.ivt,18680,18840,160
fixation.ivt,18980,19780,800
fixation.ivt,19900,20020,120
fixation.ivt,20160,20380,220
fixation.ivt,20480,20820,340
fixation.ivt,20920,21040,120
fixation.ivt,21380,21480,100
fixation.ivt,21600,21780,180
fixation.ivt,21840,21940,100
fixation.ivt,22040,22240,200
fixation.ivt,22440,22540,100
fixation.ivt,22640,22780,140
fixation.ivt,22880,23020,140
fixation.ivt,23440,23560,120
fixation.ivt,23800,24000,200
fixation.ivt,24120,24320,200
fixation.ivt,24420,24640,220
fixation.ivt,25260,25640,380
fixation.ivt,26000,26680,680
fixation.ivt,26780,26980,200
fixation.ivt,27020,27160,140
fixation.ivt,27280,27440,160
fixation.ivt,27560,27780,220
fixation.ivt,27900,28260,360
fixation.ivt,28340,28720,380
fixation.ivt,28840,29140,300
fixation.ivt,29220,29440,220
fixation.ivt,29540,29720,180
fixation.ivt,29800,29900,100
fixation.ivt,30000,30120,120
fixation.ivt,30580,31460,880
fixation.ivt,31620,31820,200
fixation.ivt,31900,32040,140
fixation.ivt,32160,32320,160
fixation.ivt,32460,32560,100
fixation.ivt,32620,32780,160
fixation.ivt,32820,33280,460
fixation.ivt,33360,33500,140
fixation.ivt,33620,34320,700
fixation.ivt,34480,35680,1200
fixation.ivt,35820,36060,240
fixation.ivt,36140,36400,260
fixation.ivt,36520,36700,180
fixation.ivt,36960,37120,160
fixation.ivt,37220,37460,240
fixation.ivt,37580,37800,220
fixation.ivt,37880,38200,320
fixation.ivt,38320,38500,180
fixation.ivt,38560,39780,1220
fixation.ivt,40,400,360
fixation.ivt,840,1120,280
fixation.ivt,1400,1560,160
fixation.ivt,1660,1920,260
fixation.ivt,2180,2320,140
fixation.ivt,2420,2540,120
fixation.ivt,2640,2780,140
fixation.ivt,2900,3060,160
fixation.ivt,3160,3260,100
fixation.ivt,3360,3960,600
fixation.ivt,4060,4180,120
fixation.ivt,4260,4480,220
fixation.ivt,4860,5200,340
fixation.ivt,5480,5600,120
fixation.ivt,5700,5840,140
fixation.ivt,5900,6000,100
fixation.ivt,6100,6240,140
fixation.ivt,6340,6500,160
fixation.ivt,6600,6760,160
fixation.ivt,7080,7580,500
fixation.ivt,7700,7980,280
fixation.ivt,8240,8400,160
fixation.ivt,8500,8780,280
fixation.ivt,8980,9080,100
fixation.ivt,9140,9280,140
fixation.ivt,9420,9660,240
fixation.ivt,9940,10140,200
fixation.ivt,10260,10400,140
fixation.ivt,10480,10580,100
fixation.ivt,10640,10880,240
fixation.ivt,10980,11100,120
fixation.ivt,11200,11340,140
fixation.ivt,11600,11980,380
fixation.ivt,12100,12220,120
fixation.ivt,12260,12520,260
fixation.ivt,12620,12800,180
fixation.ivt,12880,13140,260
fixation.ivt,13240,13360,120
fixation.ivt,13480,13840,360
fixation.ivt,13920,14100,180
fixation.ivt,14200,14380,180
fixation.ivt,14700,14800,100
fixation.ivt,14920,15120,200
fixation.ivt,15240,15400,160
fixation.ivt,15520,15800,280
fixation.ivt,15920,16060,140
fixation.ivt,16160,16300,140
fixation.ivt,16880,16980,100
fixation.ivt,17080,17220,140
fixation.ivt,17440,17820,380
fixation.ivt,17940,18280,340
fixation.ivt,18320,18440,120
fixation.ivt,18680,18840,160
fixation.ivt,18980,19780,800
fixation.ivt,19900,20020,120
fixation.ivt,20160,20380,220
fixation.ivt,20480,20820,340
fixation.ivt,20920,21040,120
fixation.ivt,21380,21480,100
fixation.ivt,21600,21780,180
fixation.ivt,21840,21940,100
fixation.ivt,22040,22240,200
fixation.ivt,22440,22540,100
fixation.ivt,22640,22780,140
fixation.ivt,22880,23020,140
fixation.ivt,23440,23560,120
fixation.ivt,23800,24000,200
fixation.ivt,24120,24320,200
fixation.ivt,24420,24640,220
fixation.ivt,25260,25640,380
fixation.ivt,26000,26680,680
fixation.ivt,26780,26980,200
fixation.ivt,27020,27160,140
fixation.ivt,27280,27440,160
fixation.ivt,27560,27780,220
fixation.ivt,27900,28260,360
fixation.ivt,28340,28720,380
fixation.ivt,28840,29140,300
fixation.ivt,29220,29440,220
fixation.ivt,29540,29720,180
fixation.ivt,29800,29900,100
fixation.ivt,30000,30120,120
fixation.ivt,30580,31460,880
fixation.ivt,31620,31820,200
fixation.ivt,31900,32040,140
fixation.ivt,32160,32320,160
fixation.ivt,32460,32560,100
fixation.ivt,32620,32780,160
fixation.ivt,32820,33280,460
fixation.ivt,33360,33500,140
fixation.ivt,33620,34320,700
fixation.ivt,34480,35680,1200
fixation.ivt,35820,36060,240
fixation.ivt,36140,36400,260
fixation.ivt,36520,36700,180
fixation.ivt,36960,37120,160
fixation.ivt,37220,37460,240
fixation.ivt,37580,37800,220
fixation.ivt,37880,38200,320
fixation.ivt,38320,38500,180
fixation.ivt,38560,39780,1220
fixation.ivt,40,400,360
fixation.ivt,840,1120,280
fixation.ivt,1400,1560,160
fixation.ivt,1660,1920,260
fixation.ivt,2180,2320,140
fixation.ivt,2420,2540,120
fixation.ivt,2640,2780,140
fixation.ivt,2900,3060,160
fixation.ivt,3160,3260,100
fixation.ivt,3360,3960,600
fixation.ivt,4060,4180,120
fixation.ivt,4260,4480,220
fixation.ivt,4860,5200,340
fixation.ivt,5480,5600,120
fixation.ivt,5700,5840,140
fixation.ivt,5900,6000,100
fixation.ivt,6100,6240,140
fixation.ivt,6340,6500,160
fixation.ivt,6600,6760,160
fixation.ivt,7080,7580,500
fixation.ivt,7700,7980,280
fixation.ivt,8240,8400,160
fixation.ivt,8500,8780,280
fixation.ivt,8980,9080,100
fixation.ivt,9140,9280,140
fixation.ivt,9420,9660,240
fixation.ivt,9940,10140,200
fixation.ivt,10260,10400,140
fixation.ivt,10480,10580,100
fixation.ivt,10640,10880,240
fixation.ivt,10980,11100,120
fixation.ivt,11200,11340,140
fixation.ivt,11600,11980,380
fixation.ivt,12100,12220,120
fixation.ivt,12260,12520,260
fixation.ivt,12620,12800,180
fixation.ivt,12880,13140,260
fixation.ivt,13240,13360,120
fixation.ivt,13480,13840,360
fixation.ivt,13920,14100,180
fixation.ivt,14200,14380,180
fixation.ivt,14700,14800,100
fixation.ivt,14920,15120,200
fixation.ivt,15240,15400,160
fixation.ivt,15520,15800,280
fixation.ivt,15920,16060,140
fixation.ivt,16160,16300,140
fixation.ivt,16880,16980,100
fixation.ivt,17080,17220,140
fixation.ivt,17440,17820,380
fixation.ivt,17940,18280,340
fixation.ivt,18320,18440,120
fixation.ivt,18680,18840,160
fixation.ivt,18980,19780,800
fixation.ivt,19900,20020,120
fixation.ivt,20160,20380,220
fixation.ivt,20480,20820,340
fixation.ivt,20920,21040,120
fixation.ivt,21380,21480,100
fixation.ivt,21600,21780,180
fixation.ivt,21840,21940,100
fixation.ivt,22040,22240,200
fixation.ivt,22440,22540,100
fixation.ivt,22640,22780,140
fixation.ivt,22880,23020,140
fixation.ivt,23440,23560,120
fixation.ivt,23800,24000,200
fixation.ivt,24120,24320,200
fixation.ivt,24420,24640,220
fixation.ivt,25260,25640,380
fixation.ivt,26000,26680,680
fixation.ivt,26780,26980,200
fixation.ivt,27020,27160,140
fixation.ivt,27280,27440,160
fixation.ivt,27560,27780,220
fixation.ivt,27900,28260,360
fixation.ivt,28340,28720,380
fixation.ivt,28840,29140,300
fixation.ivt,29220,29440,220
fixation.ivt,29540,29720,180
fixation.ivt,29800,29900,100
fixation.ivt,30000,30120,120
fixation.ivt,30580,31460,880
fixation.ivt,31620,31820,200
fixation.ivt,31900,32040,140
fixation.ivt,32160,32320,160
fixation.ivt,32460,32560,100
fixation.ivt,32620,32780,160
fixation.ivt,32820,33280,460
fixation.ivt,33360,33500,140
fixation.ivt,33620,34320,700
fixation.ivt,34480,35680,1200
fixation.ivt,35820,36060,240
fixation.ivt,36140,36400,260
fixation.ivt,36520,36700,180
fixation.ivt,36960,37120,160
fixation.ivt,37220,37460,240
fixation.ivt,37580,37800,220
fixation.ivt,37880,38200,320
fixation.ivt,38320,38500,180
fixation.ivt,38560,39780,1220
fixation.ivt,40,400,360
fixation.ivt,840,1120,280
fixation.ivt,1400,1560,160
fixation.ivt,1660,1920,260
fixation.ivt,2180,2320,140
fixation.ivt,2420,2540,120
fixation.ivt,2640,2780,140
fixation.ivt,2900,3060,160
fixation.ivt,3160,3260,100
fixation.ivt,3360,3960,600
fixation.ivt,4060,4180,120
fixation.ivt,4260,4480,220
fixation.ivt,4860,5200,340
fixation.ivt,5480,5600,120
fixation.ivt,5700,5840,140
fixation.ivt,5900,6000,100
fixation.ivt,6100,6240,140
fixation.ivt,6340,6500,160
fixation.ivt,6600,6760,160
fixation.ivt,7080,7580,500
fixation.ivt,7700,7980,280
fixation.ivt,8240,8400,160
fixation.ivt,8500,8780,280
fixation.ivt,8980,9080,100
fixation.ivt,9140,9280,140
fixation.ivt,9420,9660,240
fixation.ivt,9940,10140,200
fixation.ivt,10260,10400,140
fixation.ivt,10480,10580,100
fixation.ivt,10640,10880,240
fixation.ivt,10980,11100,120
fixation.ivt,11200,11340,140
fixation.ivt,11600,11980,380
fixation.ivt,12100,12220,120
fixation.ivt,12260,12520,260
fixation.ivt,12620,12800,180
fixation.ivt,12880,13140,260
fixation.ivt,13240,13360,120
fixation.ivt,13480,13840,360
fixation.ivt,13920,14100,180
fixation.ivt,14200,14380,180
fixation.ivt,14700,14800,100
fixation.ivt,14920,15120,200
fixation.ivt,15240,15400,160
fixation.ivt,15520,15800,280
fixation.ivt,15920,16060,140
fixation.ivt,16160,16300,140
fixation.ivt,16880,16980,100
fixation.ivt,17080,17220,140
fixation.ivt,17440,17820,380
fixation.ivt,17940,18280,340
fixation.ivt,18320,18440,120
fixation.ivt,18680,18840,160
fixation.ivt,18980,19780,800
fixation.ivt,19900,20020,120
fixation.ivt,20160,20380,220
fixation.ivt,20480,20820,340
fixation.ivt,20920,21040,120
fixation.ivt,21380,21480,100
fixation.ivt,21600,21780,180
fixation.ivt,21840,21940,100
fixation.ivt,22040,22240,200
fixation.ivt,22440,22540,100
fixation.ivt,22640,22780,140
fixation.ivt,22880,23020,140
fixation.ivt,23440,23560,120
fixation.ivt,23800,24000,200
fixation.ivt,24120,24320,200
fixation.ivt,24420,24640,220
fixation.ivt,25260,25640,380
fixation.ivt,26000,26680,680
fixation.ivt,26780,26980,200
fixation.ivt,27020,27160,140
fixation.ivt,27280,27440,160
fixation.ivt,27560,27780,220
fixation.ivt,27900,28260,360
fixation.ivt,28340,28720,380
fixation.ivt,28840,29140,300
fixation.ivt,29220,29440,220
fixation.ivt,29540,29720,180
fixation.ivt,29800,29900,100
fixation.ivt,30000,30120,120
fixation.ivt,30580,31460,880
fixation.ivt,31620,31820,200
fixation.ivt,31900,32040,140
fixation.ivt,32160,32320,160
fixation.ivt,32460,32560,100
fixation.ivt,32620,32780,160
fixation.ivt,32820,33280,460
fixation.ivt,33360,33500,140
fixation.ivt,33620,34320,700
fixation.ivt,34480,35680,1200
fixation.ivt,35820,36060,240
fixation.ivt,36140,36400,260
fixation.ivt,36520,36700,180
fixation.ivt,36960,37120,160
fixation.ivt,37220,37460,240
fixation.ivt,37580,37800,220
fixation.ivt,37880,38200,320
fixation.ivt,38320,38500,180
fixation.ivt,38560,39780,1220
fixation.ivt,40,400,360
fixation.ivt,840,1120,280
fixation.ivt,1400,1560,160
fixation.ivt,1660,1920,260
fixation.ivt,2180,2320,140
fixation.ivt,2420,2540,120
fixation.ivt,2640,2780,140
fixation.ivt,2900,3060,160
fixation.ivt,3160,3260,100
fixation.ivt,3360,3960,600
fixation.ivt,4060,4180,120
fixation.ivt,4260,4480,220
fixation.ivt,4860,5200,340
fixation.ivt,5480,5600,120
fixation.ivt,5700,5840,140
fixation.ivt,5900,6000,100
fixation.ivt,6100,6240,140
fixation.ivt,6340,6500,160
fixation.ivt,6600,6760,160
fixation.ivt,7080,7580,500
fixation.ivt,7700,7980,280
fixation.ivt,8240,8400,160
fixation.ivt,8500,8780,280
fixation.ivt,8980,9080,100
fixation.ivt,9140,9280,140
fixation.ivt,9420,9660,240
fixation.ivt,9940,10140,200
fixation.ivt,10260,10400,140
fixation.ivt,10480,10580,100
fixation.ivt,10640,10880,240
fixation.ivt,10980,11100,120
fixation.ivt,11200,11340,140
fixation.ivt,11600,11980,380
fixation.ivt,12100,12220,120
fixation.ivt,12260,12520,260
fixation.ivt,12620,12800,180
fixation.ivt,12880,13140,260
fixation.ivt,13240,13360,120
fixation.ivt,13480,13840,360
fixation.ivt,13920,14100,180
fixation.ivt,14200,14380,180
fixation.ivt,14700,14800,100
fixation.ivt,14920,15120,200
fixation.ivt,15240,15400,160
fixation.ivt,15520,15800,280
fixation.ivt,15920,16060,140
fixation.ivt,16160,16300,140
fixation.ivt,16880,16980,100
fixation.ivt,17080,17220,140
fixation.ivt,17440,17820,380
fixation.ivt,17940,18280,340
fixation.ivt,18320,18440,120
fixation.ivt,18680,18840,160
fixation.ivt,18980,19780,800
fixation.ivt,19900,20020,120
fixation.ivt,20160,20380,220
fixation.ivt,20480,20820,340
fixation.ivt,20920,21040,120
fixation.ivt,21380,21480,100
fixation.ivt,21600,21780,180
fixation.ivt,21840,21940,100
fixation.ivt,22040,22240,200
fixation.ivt,22440,22540,100
fixation.ivt,22640,22780,140
fixation.ivt,22880,23020,140
fixation.ivt,23440,23560,120
fixation.ivt,23800,24000,200
fixation.ivt,24120,24320,200
fixation.ivt,24420,24640,220
fixation.ivt,25260,25640,380
fixation.ivt,26000,26680,680
fixation.ivt,26780,26980,200
fixation.ivt,27020,27160,140
fixation.ivt,27280,27440,160
fixation.ivt,27560,27780,220
fixation.ivt,27900,28260,360
fixation.ivt,28340,28720,380
fixation.ivt,28840,29140,300
fixation.ivt,29220,29440,220
fixation.ivt,29540,29720,180
fixation.ivt,29800,29900,100
fixation.ivt,30000,30120,120
fixation.ivt,30580,31460,880
fixation.ivt,31620,31820,200
fixation.ivt,31900,32040,140
fixation.ivt,32160,32320,160
fixation.ivt,32460,32560,100
fixation.ivt,32620,32780,160
fixation.ivt,32820,33280,460
fixation.ivt,33360,33500,140
fixation.ivt,33620,34320,700
fixation.ivt,34480,35680,1200
fixation.ivt,35820,36060,240
fixation.ivt,36140,36400,260
fixation.ivt,36520,36700,180
fixation.ivt,36960,37120,160
fixation.ivt,37220,37460,240
fixation.ivt,37580,37800,220
fixation.ivt,37880,38200,320
fixation.ivt,38320,38500,180
fixation.ivt,38560,39780,1220
fixation.ivt,40,400,360
fixation.ivt,840,1120,280
fixation.ivt,1400,1560,160
fixation.ivt,1660,1920,260
fixation.ivt,2180,2320,140
fixation.ivt,2420,2540,120
fixation.ivt,2640,2780,140
fixation.ivt,2900,3060,160
fixation.ivt,3160,3260,100
fixation.ivt,3360,3960,600
fixation.ivt,4060,4180,120
fixation.ivt,4260,4480,220
fixation.ivt,4860,5200,340
fixation.ivt,5480,5600,120
fixation.ivt,5700,5840,140
fixation.ivt,5900,6000,100
fixation.ivt,6100,6240,140
fixation.ivt,6340,6500,160
fixation.ivt,6600,6760,160
fixation.ivt,7080,7580,500
fixation.ivt,7700,7980,280
fixation.ivt,8240,8400,160
fixation.ivt,8500,8780,280
fixation.ivt,8980,9080,100
fixation.ivt,9140,9280,140
fixation.ivt,9420,9660,240
fixation.ivt,9940,10140,200
fixation.ivt,10260,10400,140
fixation.ivt,10480,10580,100
fixation.ivt,10640,10880,240
fixation.ivt,10980,11100,120
fixation.ivt,11200,11340,140
fixation.ivt,11600,11980,380
fixation.ivt,12100,12220,120
fixation.ivt,12260,12520,260
fixation.ivt,12620,12800,180
fixation.ivt,12880,13140,260
fixation.ivt,13240,13360,120
fixation.ivt,13480,13840,360
fixation.ivt,13920,14100,180
fixation.ivt,14200,14380,180
fixation.ivt,14700,14800,100
fixation.ivt,14920,15120,200
fixation.ivt,15240,15400,160
fixation.ivt,15520,15800,280
fixation.ivt,15920,16060,140
fixation.ivt,16160,16300,140
fixation.ivt,16880,16980,100
fixation.ivt,17080,17220,140
fixation.ivt,17440,17820,380
fixation.ivt,17940,18280,340
fixation.ivt,18320,18440,120
fixation.ivt,18680,18840,160
fixation.ivt,18980,19780,800
fixation.ivt,19900,20020,120
fixation.ivt,20160,20380,220
fixation.ivt,20480,20820,340
fixation.ivt,20920,21040,120
fixation.ivt,21380,21480,100
fixation.ivt,21600,21780,180
fixation.ivt,21840,21940,100
fixation.ivt,22040,22240,200
fixation.ivt,22440,22540,100
fixation.ivt,22640,22780,140
fixation.ivt,22880,23020,140
fixation.ivt,23440,23560,120
fixation.ivt,23800,24000,200
fixation.ivt,24120,24320,200
fixation.ivt,24420,24640,220
fixation.ivt,25260,25640,380
fixation.ivt,26000,26680,680
fixation.ivt,26780,26980,200
fixation.ivt,27020,27160,140
fixation.ivt,27280,27440,160
fixation.ivt,27560,27780,220
fixation.ivt,27900,28260,360
fixation.ivt,28340,28720,380
fixation.ivt,28840,29140,300
fixation.ivt,29220,29440,220
fixation.ivt,29540,29720,180
fixation.ivt,29800,29900,100
fixation.ivt,30000,30120,120
fixation.ivt,30580,31460,880
fixation.ivt,31620,31820,200
fixation.ivt,31900,32040,140
fixation.ivt,32160,32320,160
fixation.ivt,32460,32560,100
fixation.ivt,32620,32780,160
fixation.ivt,32820,33280,460
fixation.ivt,33360,33500,140
fixation.ivt,33620,34320,700
fixation.ivt,34480,35680,1200
fixation.ivt,35820,36060,240
fixation.ivt,36140,36400,260
fixation.ivt,36520,36700,180
fixation.ivt,36960,37120,160
fixation.ivt,37220,37460,240
fixation.ivt,37580,37800,220
fixation.ivt,37880,38200,320
fixation.ivt,38320,38500,180
