name,onset,offset,duration
fixation.ivt,760,880,120
fixation.ivt,920,1020,100
fixation.ivt,1280,1780,500
fixation.ivt,1860,2040,180
fixation.ivt,2160,2360,200
fixation.ivt,2540,3040,500
fixation.ivt,3260,3700,440
fixation.ivt,3800,4060,260
fixation.ivt,4200,4840,640
fixation.ivt,4940,5460,520
fixation.ivt,5540,5820,280
fixation.ivt,5920,6100,180
fixation.ivt,6180,6280,100
fixation.ivt,6380,6620,240
fixation.ivt,6700,7000,300
fixation.ivt,7120,7220,100
fixation.ivt,7340,7640,300
fixation.ivt,7780,7980,200
fixation.ivt,8100,8220,120
fixation.ivt,8300,8900,600
fixation.ivt,8960,9160,200
fixation.ivt,9260,9640,380
fixation.ivt,9740,11040,1300
fixation.ivt,11100,11380,280
fixation.ivt,11460,11740,280
fixation.ivt,11800,11960,160
fixation.ivt,12020,12980,960
fixation.ivt,13220,13960,740
fixation.ivt,14060,14480,420
fixation.ivt,14580,14780,200
fixation.ivt,14880,15060,180
fixation.ivt,15160,15600,440
fixation.ivt,15700,16120,420
fixation.ivt,16200,16320,120
fixation.ivt,16440,17120,680
fixation.ivt,17160,17840,680
fixation.ivt,18040,18200,160
fixation.ivt,18260,18500,240
fixation.ivt,18600,19160,560
fixation.ivt,19280,20540,1260
fixation.ivt,20600,20980,380
fixation.ivt,21060,21520,460
fixation.ivt,21640,21740,100
fixation.ivt,21820,22380,560
fixation.ivt,23180,23340,160
fixation.ivt,23400,23980,580
fixation.ivt,24060,24700,640
fixation.ivt,24780,25120,340
fixation.ivt,25200,26300,1100
fixation.ivt,26440,26580,140
fixation.ivt,26780,26980,200
fixation.ivt,27040,27140,100
fixation.ivt,27240,27420,180
fixation.ivt,27500,27760,260
fixation.ivt,27860,28300,440
fixation.ivt,28520,28700,180
fixation.ivt,29020,29120,100
fixation.ivt,29220,29540,320
fixation.ivt,29640,29860,220
fixation.ivt,30040,30180,140
fixation.ivt,30280,30740,460
fixation.ivt,31040,31160,120
fixation.ivt,31260,31600,340
fixation.ivt,31700,31960,260
fixation.ivt,32080,32280,200
fixation.ivt,32460,32760,300
fixation.ivt,32840,33180,340
fixation.ivt,33280,33420,140
fixation.ivt,33500,33720,220
fixation.ivt,33840,34240,400
fixation.ivt,34340,34680,340
fixation.ivt,34740,35260,520
fixation.ivt,35360,35600,240
fixation.ivt,36160,36380,220
fixation.ivt,36500,36600,100
fixation.ivt,36700,36800,100
fixation.ivt,37560,37720,160
fixation.ivt,38000,38220,220
fixation.ivt,38500,38680,180
fixation.ivt,38800,39000,200
fixation.ivt,39640,39940,300
fixation.ivt,760,880,120
fixation.ivt,920,1020,100
fixation.ivt,1280,1780,500
fixation.ivt,1860,2040,180
fixation.ivt,2160,2360,200
fixation.ivt,2540,3040,500
fixation.ivt,3260,3700,440
fixation.ivt,3800,4060,260
fixation.ivt,4200,4840,640
fixation.ivt,4940,5460,520
fixation.ivt,5540,5820,280
fixation.ivt,5920,6100,180
fixation.ivt,6180,6280,100
fixation.ivt,6380,6620,240
fixation.ivt,6700,7000,300
fixation.ivt,7120,7220,100
fixation.ivt,7340,7640,300
fixation.ivt,7780,7980,200
fixation.ivt,8100,8220,120
fixation.ivt,8300,8900,600
fixation.ivt,8960,9160,200
fixation.ivt,9260,9640,380
fixation.ivt,9740,11040,1300
fixation.ivt,11100,11380,280
fixation.ivt,11460,11740,280
fixation.ivt,11800,11960,160
fixation.ivt,12020,12980,960
fixation.ivt,13220,13960,740
fixation.ivt,14060,14480,420
fixation.ivt,14580,14780,200
fixation.ivt,14880,15060,180
fixation.ivt,15160,15600,440
fixation.ivt,15700,16120,420
fixation.ivt,16200,16320,120
fixation.ivt,16440,17120,680
fixation.ivt,17160,17840,680
fixation.ivt,18040,18200,160
fixation.ivt,18260,18500,240
fixation.ivt,18600,19160,560
fixation.ivt,19280,20540,1260
fixation.ivt,20600,20980,380
fixation.ivt,21060,21520,460
fixation.ivt,21640,21740,100
fixation.ivt,21820,22380,560
fixation.ivt,23180,23340,160
fixation.ivt,23400,23980,580
fixation.ivt,24060,24700,640
fixation.ivt,24780,25120,340
fixation.ivt,25200,26300,1100
fixation.ivt,26440,26580,140
fixation.ivt,26780,26980,200
fixation.ivt,27040,27140,100
fixation.ivt,27240,27420,180
fixation.ivt,27500,27760,260
fixation.ivt,27860,28300,440
fixation.ivt,28520,28700,180
fixation.ivt,29020,29120,100
fixation.ivt,29220,29540,320
fixation.ivt,29640,29860,220
fixation.ivt,30040,30180,140
fixation.ivt,30280,30740,460
fixation.ivt,31040,31160,120
fixation.ivt,31260,31600,340
fixation.ivt,31700,31960,260
fixation.ivt,32080,32280,200
fixation.ivt,32460,32760,300
fixation.ivt,32840,33180,340
fixation.ivt,33280,33420,140
fixation.ivt,33500,33720,220
fixation.ivt,33840,34240,400
fixation.ivt,34340,34680,340
fixation.ivt,34740,35260,520
fixation.ivt,35360,35600,240
fixation.ivt,36160,36380,220
fixation.ivt,36500,36600,100
fixation.ivt,36700,36800,100
fixation.ivt,37560,37720,160
fixation.ivt,38000,38220,220
fixation.ivt,38500,38680,180
fixation.ivt,38800,39000,200
fixation.ivt,39640,39940,300
fixation.ivt,760,880,120
fixation.ivt,920,1020,100
fixation.ivt,1280,1780,500
fixation.ivt,1860,2040,180
fixation.ivt,2160,2360,200
fixation.ivt,2540,3040,500
fixation.ivt,3260,3700,440
fixation.ivt,3800,4060,260
fixation.ivt,4200,4840,640
fixation.ivt,4940,5460,520
fixation.ivt,5540,5820,280
fixation.ivt,5920,6100,180
fixation.ivt,6180,6280,100
fixation.ivt,6380,6620,240
fixation.ivt,6700,7000,300
fixation.ivt,7120,7220,100
fixation.ivt,7340,7640,300
fixation.ivt,7780,7980,200
fixation.ivt,8100,8220,120
fixation.ivt,8300,8900,600
fixation.ivt,8960,9160,200
fixation.ivt,9260,9640,380
fixation.ivt,9740,11040,1300
fixation.ivt,11100,11380,280
fixation.ivt,11460,11740,280
fixation.ivt,11800,11960,160
fixation.ivt,12020,12980,960
fixation.ivt,13220,13960,740
fixation.ivt,14060,14480,420
fixation.ivt,14580,14780,200
fixation.ivt,14880,15060,180
fixation.ivt,15160,15600,440
fixation.ivt,15700,16120,420
fixation.ivt,16200,16320,120
fixation.ivt,16440,17120,680
fixation.ivt,17160,17840,680
fixation.ivt,18040,18200,160
fixation.ivt,18260,18500,240
fixation.ivt,18600,19160,560
fixation.ivt,19280,20540,1260
fixation.ivt,20600,20980,380
fixation.ivt,21060,21520,460
fixation.ivt,21640,21740,100
fixation.ivt,21820,22380,560
fixation.ivt,23180,23340,160
fixation.ivt,23400,23980,580
fixation.ivt,24060,24700,640
fixation.ivt,24780,25120,340
fixation.ivt,25200,26300,1100
fixation.ivt,26440,26580,140
fixation.ivt,26780,26980,200
fixation.ivt,27040,27140,100
fixation.ivt,27240,27420,180
fixation.ivt,27500,27760,260
fixation.ivt,27860,28300,440
fixation.ivt,28520,28700,180
fixation.ivt,29020,29120,100
fixation.ivt,29220,29540,320
fixation.ivt,29640,29860,220
fixation.ivt,30040,30180,140
fixation.ivt,30280,30740,460
fixation.ivt,31040,31160,120
fixation.ivt,31260,31600,340
fixation.ivt,31700,31960,260
fixation.ivt,32080,32280,200
fixation.ivt,32460,32760,300
fixation.ivt,32840,33180,340
fixation.ivt,33280,33420,140
fixation.ivt,33500,33720,220
fixation.ivt,33840,34240,400
fixation.ivt,34340,34680,340
fixation.ivt,34740,35260,520
fixation.ivt,35360,35600,240
fixation.ivt,36160,36380,220
fixation.ivt,36500,36600,100
fixation.ivt,36700,36800,100
fixation.ivt,37560,37720,160
fixation.ivt,38000,38220,220
fixation.ivt,38500,38680,180
fixation.ivt,38800,39000,200
fixation.ivt,39640,39940,300
fixation.ivt,760,880,120
fixation.ivt,920,1020,100
fixation.ivt,1280,1780,500
fixation.ivt,1860,2040,180
fixation.ivt,2160,2360,200
fixation.ivt,2540,3040,500
fixation.ivt,3260,3700,440
fixation.ivt,3800,4060,260
fixation.ivt,4200,4840,640
fixation.ivt,4940,5460,520
fixation.ivt,5540,5820,280
fixation.ivt,5920,6100,180
fixation.ivt,6180,6280,100
fixation.ivt,6380,6620,240
fixation.ivt,6700,7000,300
fixation.ivt,7120,7220,100
fixation.ivt,7340,7640,300
fixation.ivt,7780,7980,200
fixation.ivt,8100,8220,120
fixation.ivt,8300,8900,600
fixation.ivt,8960,9160,200
fixation.ivt,9260,9640,380
fixation.ivt,9740,11040,1300
fixation.ivt,11100,11380,280
fixation.ivt,11460,11740,280
fixation.ivt,11800,11960,160
fixation.ivt,12020,12980,960
fixation.ivt,13220,13960,740
fixation.ivt,14060,14480,420
fixation.ivt,14580,14780,200
fixation.ivt,14880,15060,180
fixation.ivt,15160,15600,440
fixation.ivt,15700,16120,420
fixation.ivt,16200,16320,120
fixation.ivt,16440,17120,680
fixation.ivt,17160,17840,680
fixation.ivt,18040,18200,160
fixation.ivt,18260,18500,240
fixation.ivt,18600,19160,560
fixation.ivt,19280,20540,1260
fixation.ivt,20600,20980,380
fixation.ivt,21060,21520,460
fixation.ivt,21640,21740,100
fixation.ivt,21820,22380,560
fixation.ivt,23180,23340,160
fixation.ivt,23400,23980,580
fixation.ivt,24060,24700,640
fixation.ivt,24780,25120,340
fixation.ivt,25200,26300,1100
fixation.ivt,26440,26580,140
fixation.ivt,26780,26980,200
fixation.ivt,27040,27140,100
fixation.ivt,27240,27420,180
fixation.ivt,27500,27760,260
fixation.ivt,27860,28300,440
fixation.ivt,28520,28700,180
fixation.ivt,29020,29120,100
fixation.ivt,29220,29540,320
fixation.ivt,29640,29860,220
fixation.ivt,30040,30180,140
fixation.ivt,30280,30740,460
fixation.ivt,31040,31160,120
fixation.ivt,31260,31600,340
fixation.ivt,31700,31960,260
fixation.ivt,32080,32280,200
fixation.ivt,32460,32760,300
fixation.ivt,32840,33180,340
fixation.ivt,33280,33420,140
fixation.ivt,33500,33720,220
fixation.ivt,33840,34240,400
fixation.ivt,34340,34680,340
fixation.ivt,34740,35260,520
fixation.ivt,35360,35600,240
fixation.ivt,36160,36380,220
fixation.ivt,36500,36600,100
fixation.ivt,36700,36800,100
fixation.ivt,37560,37720,160
fixation.ivt,38000,38220,220
fixation.ivt,38500,38680,180
fixation.ivt,38800,39000,200
fixation.ivt,39640,39940,300
fixation.ivt,760,880,120
fixation.ivt,920,1020,100
fixation.ivt,1280,1780,500
fixation.ivt,1860,2040,180
fixation.ivt,2160,2360,200
fixation.ivt,2540,3040,500
fixation.ivt,3260,3700,440
fixation.ivt,3800,4060,260
fixation.ivt,4200,4840,640
fixation.ivt,4940,5460,520
fixation.ivt,5540,5820,280
fixation.ivt,5920,6100,180
fixation.ivt,6180,6280,100
fixation.ivt,6380,6620,240
fixation.ivt,6700,7000,300
fixation.ivt,7120,7220,100
fixation.ivt,7340,7640,300
fixation.ivt,7780,7980,200
fixation.ivt,8100,8220,120
fixation.ivt,8300,8900,600
fixation.ivt,8960,9160,200
fixation.ivt,9260,9640,380
fixation.ivt,9740,11040,1300
fixation.ivt,11100,11380,280
fixation.ivt,11460,11740,280
fixation.ivt,11800,11960,160
fixation.ivt,12020,12980,960
fixation.ivt,13220,13960,740
fixation.ivt,14060,14480,420
fixation.ivt,14580,14780,200
fixation.ivt,14880,15060,180
fixation.ivt,15160,15600,440
fixation.ivt,15700,16120,420
fixation.ivt,16200,16320,120
fixation.ivt,16440,17120,680
fixation.ivt,17160,17840,680
fixation.ivt,18040,18200,160
fixation.ivt,18260,18500,240
fixation.ivt,18600,19160,560
fixation.ivt,19280,20540,1260
fixation.ivt,20600,20980,380
fixation.ivt,21060,21520,460
fixation.ivt,21640,21740,100
fixation.ivt,21820,22380,560
fixation.ivt,23180,23340,160
fixation.ivt,23400,23980,580
fixation.ivt,24060,24700,640
fixation.ivt,24780,25120,340
fixation.ivt,25200,26300,1100
fixation.ivt,26440,26580,140
fixation.ivt,26780,26980,200
fixation.ivt,27040,27140,100
fixation.ivt,27240,27420,180
fixation.ivt,27500,27760,260
fixation.ivt,27860,28300,440
fixation.ivt,28520,28700,180
fixation.ivt,29020,29120,100
fixation.ivt,29220,29540,320
fixation.ivt,29640,29860,220
fixation.ivt,30040,30180,140
fixation.ivt,30280,30740,460
fixation.ivt,31040,31160,120
fixation.ivt,31260,31600,340
fixation.ivt,31700,31960,260
fixation.ivt,32080,32280,200
fixation.ivt,32460,32760,300
fixation.ivt,32840,33180,340
fixation.ivt,33280,33420,140
fixation.ivt,33500,33720,220
fixation.ivt,33840,34240,400
fixation.ivt,34340,34680,340
fixation.ivt,34740,35260,520
fixation.ivt,35360,35600,240
fixation.ivt,36160,36380,220
fixation.ivt,36500,36600,100
fixation.ivt,36700,36800,100
fixation.ivt,37560,37720,160
fixation.ivt,38000,38220,220
fixation.ivt,38500,38680,180
fixation.ivt,38800,39000,200
fixation.ivt,39640,39940,300
fixation.ivt,760,880,120
fixation.ivt,920,1020,100
fixation.ivt,1280,1780,500
fixation.ivt,1860,2040,180
fixation.ivt,2160,2360,200
fixation.ivt,2540,3040,500
fixation.ivt,3260,3700,440
fixation.ivt,3800,4060,260
fixation.ivt,4200,4840,640
fixation.ivt,4940,5460,520
fixation.ivt,5540,5820,280
fixation.ivt,5920,6100,180
fixation.ivt,6180,6280,100
fixation.ivt,6380,6620,240
fixation.ivt,6700,7000,300
fixation.ivt,7120,7220,100
fixation.ivt,7340,7640,300
fixation.ivt,7780,7980,200
fixation.ivt,8100,8220,120
fixation.ivt,8300,8900,600
fixation.ivt,8960,9160,200
fixation.ivt,9260,9640,380
fixation.ivt,9740,11040,1300
fixation.ivt,11100,11380,280
fixation.ivt,11460,11740,280
fixation.ivt,11800,11960,160
fixation.ivt,12020,12980,960
fixation.ivt,13220,13960,740
fixation.ivt,14060,14480,420
fixation.ivt,14580,14780,200
fixation.ivt,14880,15060,180
fixation.ivt,15160,15600,440
fixation.ivt,15700,16120,420
fixation.ivt,16200,16320,120
fixation.ivt,16440,17120,680
fixation.ivt,17160,17840,680
fixation.ivt,18040,18200,160
fixation.ivt,18260,18500,240
fixation.ivt,18600,19160,560
fixation.ivt,19280,20540,1260
fixation.ivt,20600,20980,380
fixation.ivt,21060,21520,460
fixation.ivt,21640,21740,100
fixation.ivt,21820,22380,560
fixation.ivt,23180,23340,160
fixation.ivt,23400,23980,580
fixation.ivt,24060,24700,640
fixation.ivt,24780,25120,340
fixation.ivt,25200,26300,1100
fixation.ivt,26440,26580,140
fixation.ivt,26780,26980,200
fixation.ivt,27040,27140,100
fixation.ivt,27240,27420,180
fixation.ivt,27500,27760,260
fixation.ivt,27860,28300,440
fixation.ivt,28520,28700,180
fixation.ivt,29020,29120,100
fixation.ivt,29220,29540,320
fixation.ivt,29640,29860,220
fixation.ivt,30040,30180,140
fixation.ivt,30280,30740,460
fixation.ivt,31040,31160,120
fixation.ivt,31260,31600,340
fixation.ivt,31700,31960,260
fixation.ivt,32080,32280,200
fixation.ivt,32460,32760,300
fixation.ivt,32840,33180,340
fixation.ivt,33280,33420,140
fixation.ivt,33500,33720,220
fixation.ivt,33840,34240,400
fixation.ivt,34340,34680,340
fixation.ivt,34740,35260,520
fixation.ivt,35360,35600,240
fixation.ivt,36160,36380,220
fixation.ivt,36500,36600,100
fixation.ivt,36700,36800,100
fixation.ivt,37560,37720,160
fixation.ivt,38000,38220,220
fixation.ivt,38500,38680,180
fixation.ivt,38800,39000,200
fixation.ivt,39640,39940,300
fixation.ivt,760,880,120
fixation.ivt,920,1020,100
fixation.ivt,1280,1780,500
fixation.ivt,1860,2040,180
fixation.ivt,2160,2360,200
fixation.ivt,2540,3040,500
fixation.ivt,3260,3700,440
fixation.ivt,3800,4060,260
fixation.ivt,4200,4840,640
fixation.ivt,4940,5460,520
fixation.ivt,5540,5820,280
fixation.ivt,5920,6100,180
fixation.ivt,6180,6280,100
fixation.ivt,6380,6620,240
fixation.ivt,6700,7000,300
fixation.ivt,7120,7220,100
fixation.ivt,7340,7640,300
fixation.ivt,7780,7980,200
fixation.ivt,8100,8220,120
fixation.ivt,8300,8900,600
fixation.ivt,8960,9160,200
fixation.ivt,9260,9640,380
fixation.ivt,9740,11040,1300
fixation.ivt,11100,11380,280
fixation.ivt,11460,11740,280
fixation.ivt,11800,11960,160
fixation.ivt,12020,12980,960
fixation.ivt,13220,13960,740
fixation.ivt,14060,14480,420
fixation.ivt,14580,14780,200
fixation.ivt,14880,15060,180
fixation.ivt,15160,15600,440
fixation.ivt,15700,16120,420
fixation.ivt,16200,16320,120
fixation.ivt,16440,17120,680
fixation.ivt,17160,17840,680
fixation.ivt,18040,18200,160
fixation.ivt,18260,18500,240
fixation.ivt,18600,19160,560
fixation.ivt,19280,20540,1260
fixation.ivt,20600,20980,380
fixation.ivt,21060,21520,460
fixation.ivt,21640,21740,100
fixation.ivt,21820,22380,560
fixation.ivt,23180,23340,160
fixation.ivt,23400,23980,580
fixation.ivt,24060,24700,640
fixation.ivt,24780,25120,340
fixation.ivt,25200,26300,1100
fixation.ivt,26440,26580,140
fixation.ivt,26780,26980,200
fixation.ivt,27040,27140,100
fixation.ivt,27240,27420,180
fixation.ivt,27500,27760,260
fixation.ivt,27860,28300,440
fixation.ivt,28520,28700,180
fixation.ivt,29020,29120,100
fixation.ivt,29220,29540,320
fixation.ivt,29640,29860,220
fixation.ivt,30040,30180,140
fixation.ivt,30280,30740,460
fixation.ivt,31040,31160,120
fixation.ivt,31260,31600,340
fixation.ivt,31700,31960,260
fixation.ivt,32080,32280,200
fixation.ivt,32460,32760,300
fixation.ivt,32840,33180,340
fixation.ivt,33280,33420,140
fixation.ivt,33500,33720,220
fixation.ivt,33840,34240,400
fixation.ivt,34340,34680,340
fixation.ivt,34740,35260,520
fixation.ivt,35360,35600,240
fixation.ivt,36160,36380,220
fixation.ivt,36500,36600,100
fixation.ivt,36700,36800,100
fixation.ivt,37560,37720,160
fixation.ivt,38000,38220,220
fixation.ivt,38500,38680,180
fixation.ivt,38800,39000,200
fixation.ivt,39640,39940,300
fixation.ivt,760,880,120
fixation.ivt,920,1020,100
fixation.ivt,1280,1780,500
fixation.ivt,1860,2040,180
fixation.ivt,2160,2360,200
fixation.ivt,2540,3040,500
fixation.ivt,3260,3700,440
fixation.ivt,3800,4060,260
fixation.ivt,4200,4840,640
fixation.ivt,4940,5460,520
fixation.ivt,5540,5820,280
fixation.ivt,5920,6100,180
fixation.ivt,6180,6280,100
fixation.ivt,6380,6620,240
fixation.ivt,6700,7000,300
fixation.ivt,7120,7220,100
fixation.ivt,7340,7640,300
fixation.ivt,7780,7980,200
fixation.ivt,8100,8220,120
fixation.ivt,8300,8900,600
fixation.ivt,8960,9160,200
fixation.ivt,9260,9640,380
fixation.ivt,9740,11040,1300
fixation.ivt,11100,11380,280
fixation.ivt,11460,11740,280
fixation.ivt,11800,11960,160
fixation.ivt,12020,12980,960
fixation.ivt,13220,13960,740
fixation.ivt,14060,14480,420
fixation.ivt,14580,14780,200
fixation.ivt,14880,15060,180
fixation.ivt,15160,15600,440
fixation.ivt,15700,16120,420
fixation.ivt,16200,16320,120
fixation.ivt,16440,17120,680
fixation.ivt,17160,17840,680
fixation.ivt,18040,18200,160
fixation.ivt,18260,18500,240
fixation.ivt,18600,19160,560
fixation.ivt,19280,20540,1260
fixation.ivt,20600,20980,380
fixation.ivt,21060,21520,460
fixation.ivt,21640,21740,100
fixation.ivt,21820,22380,560
fixation.ivt,23180,23340,160
fixation.ivt,23400,23980,580
fixation.ivt,24060,24700,640
fixation.ivt,24780,25120,340
fixation.ivt,25200,26300,1100
fixation.ivt,26440,26580,140
fixation.ivt,26780,26980,200
fixation.ivt,27040,27140,100
fixation.ivt,27240,27420,180
fixation.ivt,27500,27760,260
fixation.ivt,27860,28300,440
fixation.ivt,28520,28700,180
fixation.ivt,29020,29120,100
fixation.ivt,29220,29540,320
fixation.ivt,29640,29860,220
fixation.ivt,30040,30180,140
fixation.ivt,30280,30740,460
fixation.ivt,31040,31160,120
fixation.ivt,31260,31600,340
fixation.ivt,31700,31960,260
fixation.ivt,32080,32280,200
fixation.ivt,32460,32760,300
fixation.ivt,32840,33180,340
fixation.ivt,33280,33420,140
fixation.ivt,33500,33720,220
fixation.ivt,33840,34240,400
fixation.ivt,34340,34680,340
fixation.ivt,34740,35260,520
fixation.ivt,35360,35600,240
fixation.ivt,36160,36380,220
fixation.ivt,36500,36600,100
fixation.ivt,36700,36800,100
fixation.ivt,37560,37720,160
fixation.ivt,38000,38220,220
fixation.ivt,38500,38680,180
fixation.ivt,38800,39000,200
fixation.ivt,39640,39940,300
fixation.ivt,760,880,120
fixation.ivt,920,1020,100
fixation.ivt,1280,1780,500
fixation.ivt,1860,2040,180
fixation.ivt,2160,2360,200
fixation.ivt,2540,3040,500
fixation.ivt,3260,3700,440
fixation.ivt,3800,4060,260
fixation.ivt,4200,4840,640
fixation.ivt,4940,5460,520
fixation.ivt,5540,5820,280
fixation.ivt,5920,6100,180
fixation.ivt,6180,6280,100
fixation.ivt,6380,6620,240
fixation.ivt,6700,7000,300
fixation.ivt,7120,7220,100
fixation.ivt,7340,7640,300
fixation.ivt,7780,7980,200
fixation.ivt,8100,8220,120
fixation.ivt,8300,8900,600
fixation.ivt,8960,9160,200
fixation.ivt,9260,9640,380
fixation.ivt,9740,11040,1300
fixation.ivt,11100,11380,280
fixation.ivt,11460,11740,280
fixation.ivt,11800,11960,160
fixation.ivt,12020,12980,960
fixation.ivt,13220,13960,740
fixation.ivt,14060,14480,420
fixation.ivt,14580,14780,200
fixation.ivt,14880,15060,180
fixation.ivt,15160,15600,440
fixation.ivt,15700,16120,420
fixation.ivt,16200,16320,120
fixation.ivt,16440,17120,680
fixation.ivt,17160,17840,680
fixation.ivt,18040,18200,160
fixation.ivt,18260,18500,240
fixation.ivt,18600,19160,560
fixation.ivt,19280,20540,1260
fixation.ivt,20600,20980,380
fixation.ivt,21060,21520,460
fixation.ivt,21640,21740,100
fixation.ivt,21820,22380,560
fixation.ivt,23180,23340,160
fixation.ivt,23400,23980,580
fixation.ivt,24060,24700,640
fixation.ivt,24780,25120,340
fixation.ivt,25200,26300,1100
fixation.ivt,26440,26580,140
fixation.ivt,26780,26980,200
fixation.ivt,27040,27140,100
fixation.ivt,27240,27420,180
fixation.ivt,27500,27760,260
fixation.ivt,27860,28300,440
fixation.ivt,28520,28700,180
fixation.ivt,29020,29120,100
fixation.ivt,29220,29540,320
fixation.ivt,29640,29860,220
fixation.ivt,30040,30180,140
fixation.ivt,30280,30740,460
fixation.ivt,31040,31160,120
fixation.ivt,31260,31600,340
fixation.ivt,31700,31960,260
fixation.ivt,32080,32280,200
fixation.ivt,32460,32760,300
fixation.ivt,32840,33180,340
fixation.ivt,33280,33420,140
fixation.ivt,33500,33720,220
fixation.ivt,33840,34240,400
fixation.ivt,34340,34680,340
fixation.ivt,34740,35260,520
fixation.ivt,35360,35600,240
fixation.ivt,36160,36380,220
fixation.ivt,36500,36600,100
fixation.ivt,36700,36800,100
fixation.ivt,37560,37720,160
fixation.ivt,38000,38220,220
fixation.ivt,38500,38680,180
fixation.ivt,38800,39000,200
