name,onset,offset,duration
fixation.ivt,120,440,320
fixation.ivt,580,1700,1120
fixation.ivt,2040,2500,460
fixation.ivt,2700,2840,140
fixation.ivt,3000,3180,180
fixation.ivt,3280,3720,440
fixation.ivt,3840,4020,180
fixation.ivt,4160,5140,980
fixation.ivt,5240,5360,120
fixation.ivt,5520,6040,520
fixation.ivt,6160,6280,120
fixation.ivt,6400,7000,600
fixation.ivt,7060,7200,140
fixation.ivt,7280,7440,160
fixation.ivt,7540,7780,240
fixation.ivt,7880,8120,240
fixation.ivt,8200,8420,220
fixation.ivt,8540,9480,940
fixation.ivt,9560,9940,380
fixation.ivt,10040,10300,260
fixation.ivt,10400,10700,300
fixation.ivt,10800,11140,340
fixation.ivt,11220,11400,180
fixation.ivt,11520,12360,840
fixation.ivt,12400,12800,400
fixation.ivt,12900,13740,840
fixation.ivt,13820,13920,100
fixation.ivt,14000,14100,100
fixation.ivt,14200,14300,100
fixation.ivt,14420,15340,920
fixation.ivt,15440,15740,300
fixation.ivt,15840,15960,120
fixation.ivt,16020,16460,440
fixation.ivt,16700,16960,260
fixation.ivt,17360,18060,700
fixation.ivt,18180,18360,180
fixation.ivt,18440,18860,420
fixation.ivt,18940,19260,320
fixation.ivt,20160,20280,120
fixation.ivt,20360,20500,140
fixation.ivt,20580,20680,100
fixation.ivt,20840,21140,300
fixation.ivt,21260,22020,760
fixation.ivt,22080,22260,180
fixation.ivt,22340,22440,100
fixation.ivt,22540,23020,480
fixation.ivt,23080,23540,460
fixation.ivt,24220,24700,480
fixation.ivt,24820,25000,180
fixation.ivt,25600,25740,140
fixation.ivt,26220,26320,100
fixation.ivt,26680,27280,600
fixation.ivt,27780,28380,600
fixation.ivt,28700,28800,100
fixation.ivt,29040,29220,180
fixation.ivt,29860,29980,120
fixation.ivt,30060,30260,200
fixation.ivt,30440,30580,140
fixation.ivt,30620,30780,160
fixation.ivt,30880,31480,600
fixation.ivt,31560,31880,320
fixation.ivt,31920,32060,140
fixation.ivt,32460,32700,240
fixation.ivt,32820,33000,180
fixation.ivt,33400,33720,320
fixation.ivt,33840,34020,180
fixation.ivt,34700,34940,240
fixation.ivt,35060,35780,720
fixation.ivt,36100,37040,940
fixation.ivt,37080,37180,100
fixation.ivt,37500,37700,200
fixation.ivt,38180,38280,100
fixation.ivt,38620,38880,260
fixation.ivt,39240,39940,700
fixation.ivt,120,440,320
fixation.ivt,580,1700,1120
fixation.ivt,2040,2500,460
fixation.ivt,2700,2840,140
fixation.ivt,3000,3180,180
fixation.ivt,3280,3720,440
fixation.ivt,3840,4020,180
fixation.ivt,4160,5140,980
fixation.ivt,5240,5360,120
fixation.ivt,5520,6040,520
fixation.ivt,6160,6280,120
fixation.ivt,6400,7000,600
fixation.ivt,7060,7200,140
fixation.ivt,7280,7440,160
fixation.ivt,7540,7780,240
fixation.ivt,7880,8120,240
fixation.ivt,8200,8420,220
fixation.ivt,8540,9480,940
fixation.ivt,9560,9940,380
fixation.ivt,10040,10300,260
fixation.ivt,10400,10700,300
fixation.ivt,10800,11140,340
fixation.ivt,11220,11400,180
fixation.ivt,11520,12360,840
fixation.ivt,12400,12800,400
fixation.ivt,12900,13740,840
fixation.ivt,13820,13920,100
fixation.ivt,14000,14100,100
fixation.ivt,14200,14300,100
fixation.ivt,14420,15340,920
fixation.ivt,15440,15740,300
fixation.ivt,15840,15960,120
fixation.ivt,16020,16460,440
fixation.ivt,16700,16960,260
fixation.ivt,17360,18060,700
fixation.ivt,18180,18360,180
fixation.ivt,18440,18860,420
fixation.ivt,18940,19260,320
fixation.ivt,20160,20280,120
fixation.ivt,20360,20500,140
fixation.ivt,20580,20680,100
fixation.ivt,20840,21140,300
fixation.ivt,21260,22020,760
fixation.ivt,22080,22260,180
fixation.ivt,22340,22440,100
fixation.ivt,22540,23020,480
fixation.ivt,23080,23540,460
fixation.ivt,24220,24700,480
fixation.ivt,24820,25000,180
fixation.ivt,25600,25740,140
fixation.ivt,26220,26320,100
fixation.ivt,26680,27280,600
fixation.ivt,27780,28380,600
fixation.ivt,28700,28800,100
fixation.ivt,29040,29220,180
fixation.ivt,29860,29980,120
fixation.ivt,30060,30260,200
fixation.ivt,30440,30580,140
fixation.ivt,30620,30780,160
fixation.ivt,30880,31480,600
fixation.ivt,31560,31880,320
fixation.ivt,31920,32060,140
fixation.ivt,32460,32700,240
fixation.ivt,32820,33000,180
fixation.ivt,33400,33720,320
fixation.ivt,33840,34020,180
fixation.ivt,34700,34940,240
fixation.ivt,35060,35780,720
fixation.ivt,36100,37040,940
fixation.ivt,37080,37180,100
fixation.ivt,37500,37700,200
fixation.ivt,38180,38280,100
fixation.ivt,38620,38880,260
fixation.ivt,39240,39940,700
fixation.ivt,120,440,320
fixation.ivt,580,1700,1120
fixation.ivt,2040,2500,460
fixation.ivt,2700,2840,140
fixation.ivt,3000,3180,180
fixation.ivt,3280,3720,440
fixation.ivt,3840,4020,180
fixation.ivt,4160,5140,980
fixation.ivt,5240,5360,120
fixation.ivt,5520,6040,520
fixation.ivt,6160,6280,120
fixation.ivt,6400,7000,600
fixation.ivt,7060,7200,140
fixation.ivt,7280,7440,160
fixation.ivt,7540,7780,240
fixation.ivt,7880,8120,240
fixation.ivt,8200,8420,220
fixation.ivt,8540,9480,940
fixation.ivt,9560,9940,380
fixation.ivt,10040,10300,260
fixation.ivt,10400,10700,300
fixation.ivt,10800,11140,340
fixation.ivt,11220,11400,180
fixation.ivt,11520,12360,840
fixation.ivt,12400,12800,400
fixation.ivt,12900,13740,840
fixation.ivt,13820,13920,100
fixation.ivt,14000,14100,100
fixation.ivt,14200,14300,100
fixation.ivt,14420,15340,920
fixation.ivt,15440,15740,300
fixation.ivt,15840,15960,120
fixation.ivt,16020,16460,440
fixation.ivt,16700,16960,260
fixation.ivt,17360,18060,700
fixation.ivt,18180,18360,180
fixation.ivt,18440,18860,420
fixation.ivt,18940,19260,320
fixation.ivt,20160,20280,120
fixation.ivt,20360,20500,140
fixation.ivt,20580,20680,100
fixation.ivt,20840,21140,300
fixation.ivt,21260,22020,760
fixation.ivt,22080,22260,180
fixation.ivt,22340,22440,100
fixation.ivt,22540,23020,480
fixation.ivt,23080,23540,460
fixation.ivt,24220,24700,480
fixation.ivt,24820,25000,180
fixation.ivt,25600,25740,140
fixation.ivt,26220,26320,100
fixation.ivt,26680,27280,600
fixation.ivt,27780,28380,600
fixation.ivt,28700,28800,100
fixation.ivt,29040,29220,180
fixation.ivt,29860,29980,120
fixation.ivt,30060,30260,200
fixation.ivt,30440,30580,140
fixation.ivt,30620,30780,160
fixation.ivt,30880,31480,600
fixation.ivt,31560,31880,320
fixation.ivt,31920,32060,140
fixation.ivt,32460,32700,240
fixation.ivt,32820,33000,180
fixation.ivt,33400,33720,320
fixation.ivt,33840,34020,180
fixation.ivt,34700,34940,240
fixation.ivt,35060,35780,720
fixation.ivt,36100,37040,940
fixation.ivt,37080,37180,100
fixation.ivt,37500,37700,200
fixation.ivt,38180,38280,100
fixation.ivt,38620,38880,260
fixation.ivt,39240,39940,700
fixation.ivt,120,440,320
fixation.ivt,580,1700,1120
fixation.ivt,2040,2500,460
fixation.ivt,2700,2840,140
fixation.ivt,3000,3180,180
fixation.ivt,3280,3720,440
fixation.ivt,3840,4020,180
fixation.ivt,4160,5140,980
fixation.ivt,5240,5360,120
fixation.ivt,5520,6040,520
fixation.ivt,6160,6280,120
fixation.ivt,6400,7000,600
fixation.ivt,7060,7200,140
fixation.ivt,7280,7440,160
fixation.ivt,7540,7780,240
fixation.ivt,7880,8120,240
fixation.ivt,8200,8420,220
fixation.ivt,8540,9480,940
fixation.ivt,9560,9940,380
fixation.ivt,10040,10300,260
fixation.ivt,10400,10700,300
fixation.ivt,10800,11140,340
fixation.ivt,11220,11400,180
fixation.ivt,11520,12360,840
fixation.ivt,12400,12800,400
fixation.ivt,12900,13740,840
fixation.ivt,13820,13920,100
fixation.ivt,14000,14100,100
fixation.ivt,14200,14300,100
fixation.ivt,14420,15340,920
fixation.ivt,15440,15740,300
fixation.ivt,15840,15960,120
fixation.ivt,16020,16460,440
fixation.ivt,16700,16960,260
fixation.ivt,17360,18060,700
fixation.ivt,18180,18360,180
fixation.ivt,18440,18860,420
fixation.ivt,18940,19260,320
fixation.ivt,20160,20280,120
fixation.ivt,20360,20500,140
fixation.ivt,20580,20680,100
fixation.ivt,20840,21140,300
fixation.ivt,21260,22020,760
fixation.ivt,22080,22260,180
fixation.ivt,22340,22440,100
fixation.ivt,22540,23020,480
fixation.ivt,23080,23540,460
fixation.ivt,24220,24700,480
fixation.ivt,24820,25000,180
fixation.ivt,25600,25740,140
fixation.ivt,26220,26320,100
fixation.ivt,26680,27280,600
fixation.ivt,27780,28380,600
fixation.ivt,28700,28800,100
fixation.ivt,29040,29220,180
fixation.ivt,29860,29980,120
fixation.ivt,30060,30260,200
fixation.ivt,30440,30580,140
fixation.ivt,30620,30780,160
fixation.ivt,30880,31480,600
fixation.ivt,31560,31880,320
fixation.ivt,31920,32060,140
fixation.ivt,32460,32700,240
fixation.ivt,32820,33000,180
fixation.ivt,33400,33720,320
fixation.ivt,33840,34020,180
fixation.ivt,34700,34940,240
fixation.ivt,35060,35780,720
fixation.ivt,36100,37040,940
fixation.ivt,37080,37180,100
fixation.ivt,37500,37700,200
fixation.ivt,38180,38280,100
fixation.ivt,38620,38880,260
fixation.ivt,39240,39940,700
fixation.ivt,120,440,320
fixation.ivt,580,1700,1120
fixation.ivt,2040,2500,460
fixation.ivt,2700,2840,140
fixation.ivt,3000,3180,180
fixation.ivt,3280,3720,440
fixation.ivt,3840,4020,180
fixation.ivt,4160,5140,980
fixation.ivt,5240,5360,120
fixation.ivt,5520,6040,520
fixation.ivt,6160,6280,120
fixation.ivt,6400,7000,600
fixation.ivt,7060,7200,140
fixation.ivt,7280,7440,160
fixation.ivt,7540,7780,240
fixation.ivt,7880,8120,240
fixation.ivt,8200,8420,220
fixation.ivt,8540,9480,940
fixation.ivt,9560,9940,380
fixation.ivt,10040,10300,260
fixation.ivt,10400,10700,300
fixation.ivt,10800,11140,340
fixation.ivt,11220,11400,180
fixation.ivt,11520,12360,840
fixation.ivt,12400,12800,400
fixation.ivt,12900,13740,840
fixation.ivt,13820,13920,100
fixation.ivt,14000,14100,100
fixation.ivt,14200,14300,100
fixation.ivt,14420,15340,920
fixation.ivt,15440,15740,300
fixation.ivt,15840,15960,120
fixation.ivt,16020,16460,440
fixation.ivt,16700,16960,260
fixation.ivt,17360,18060,700
fixation.ivt,18180,18360,180
fixation.ivt,18440,18860,420
fixation.ivt,18940,19260,320
fixation.ivt,20160,20280,120
fixation.ivt,20360,20500,140
fixation.ivt,20580,20680,100
fixation.ivt,20840,21140,300
fixation.ivt,21260,22020,760
fixation.ivt,22080,22260,180
fixation.ivt,22340,22440,100
fixation.ivt,22540,23020,480
fixation.ivt,23080,23540,460
fixation.ivt,24220,24700,480
fixation.ivt,24820,25000,180
fixation.ivt,25600,25740,140
fixation.ivt,26220,26320,100
fixation.ivt,26680,27280,600
fixation.ivt,27780,28380,600
fixation.ivt,28700,28800,100
fixation.ivt,29040,29220,180
fixation.ivt,29860,29980,120
fixation.ivt,30060,30260,200
fixation.ivt,30440,30580,140
fixation.ivt,30620,30780,160
fixation.ivt,30880,31480,600
fixation.ivt,31560,31880,320
fixation.ivt,31920,32060,140
fixation.ivt,32460,32700,240
fixation.ivt,32820,33000,180
fixation.ivt,33400,33720,320
fixation.ivt,33840,34020,180
fixation.ivt,34700,34940,240
fixation.ivt,35060,35780,720
fixation.ivt,36100,37040,940
fixation.ivt,37080,37180,100
fixation.ivt,37500,37700,200
fixation.ivt,38180,38280,100
fixation.ivt,38620,38880,260
fixation.ivt,39240,39940,700
fixation.ivt,120,440,320
fixation.ivt,580,1700,1120
fixation.ivt,2040,2500,460
fixation.ivt,2700,2840,140
fixation.ivt,3000,3180,180
fixation.ivt,3280,3720,440
fixation.ivt,3840,4020,180
fixation.ivt,4160,5140,980
fixation.ivt,5240,5360,120
fixation.ivt,5520,6040,520
fixation.ivt,6160,6280,120
fixation.ivt,6400,7000,600
fixation.ivt,7060,7200,140
fixation.ivt,7280,7440,160
fixation.ivt,7540,7780,240
fixation.ivt,7880,8120,240
fixation.ivt,8200,8420,220
fixation.ivt,8540,9480,940
fixation.ivt,9560,9940,380
fixation.ivt,10040,10300,260
fixation.ivt,10400,10700,300
fixation.ivt,10800,11140,340
fixation.ivt,11220,11400,180
fixation.ivt,11520,12360,840
fixation.ivt,12400,12800,400
fixation.ivt,12900,13740,840
fixation.ivt,13820,13920,100
fixation.ivt,14000,14100,100
fixation.ivt,14200,14300,100
fixation.ivt,14420,15340,920
fixation.ivt,15440,15740,300
fixation.ivt,15840,15960,120
fixation.ivt,16020,16460,440
fixation.ivt,16700,16960,260
fixation.ivt,17360,18060,700
fixation.ivt,18180,18360,180
fixation.ivt,18440,18860,420
fixation.ivt,18940,19260,320
fixation.ivt,20160,20280,120
fixation.ivt,20360,20500,140
fixation.ivt,20580,20680,100
fixation.ivt,20840,21140,300
fixation.ivt,21260,22020,760
fixation.ivt,22080,22260,180
fixation.ivt,22340,22440,100
fixation.ivt,22540,23020,480
fixation.ivt,23080,23540,460
fixation.ivt,24220,24700,480
fixation.ivt,24820,25000,180
fixation.ivt,25600,25740,140
fixation.ivt,26220,26320,100
fixation.ivt,26680,27280,600
fixation.ivt,27780,28380,600
fixation.ivt,28700,28800,100
fixation.ivt,29040,29220,180
fixation.ivt,29860,29980,120
fixation.ivt,30060,30260,200
fixation.ivt,30440,30580,140
fixation.ivt,30620,30780,160
fixation.ivt,30880,31480,600
fixation.ivt,31560,31880,320
fixation.ivt,31920,32060,140
fixation.ivt,32460,32700,240
fixation.ivt,32820,33000,180
fixation.ivt,33400,33720,320
fixation.ivt,33840,34020,180
fixation.ivt,34700,34940,240
fixation.ivt,35060,35780,720
fixation.ivt,36100,37040,940
fixation.ivt,37080,37180,100
fixation.ivt,37500,37700,200
fixation.ivt,38180,38280,100
fixation.ivt,38620,38880,260
fixation.ivt,39240,39940,700
fixation.ivt,120,440,320
fixation.ivt,580,1700,1120
fixation.ivt,2040,2500,460
fixation.ivt,2700,2840,140
fixation.ivt,3000,3180,180
fixation.ivt,3280,3720,440
fixation.ivt,3840,4020,180
fixation.ivt,4160,5140,980
fixation.ivt,5240,5360,120
fixation.ivt,5520,6040,520
fixation.ivt,6160,6280,120
fixation.ivt,6400,7000,600
fixation.ivt,7060,7200,140
fixation.ivt,7280,7440,160
fixation.ivt,7540,7780,240
fixation.ivt,7880,8120,240
fixation.ivt,8200,8420,220
fixation.ivt,8540,9480,940
fixation.ivt,9560,9940,380
fixation.ivt,10040,10300,260
fixation.ivt,10400,10700,300
fixation.ivt,10800,11140,340
fixation.ivt,11220,11400,180
fixation.ivt,11520,12360,840
fixation.ivt,12400,12800,400
fixation.ivt,12900,13740,840
fixation.ivt,13820,13920,100
fixation.ivt,14000,14100,100
fixation.ivt,14200,14300,100
fixation.ivt,14420,15340,920
fixation.ivt,15440,15740,300
fixation.ivt,15840,15960,120
fixation.ivt,16020,16460,440
fixation.ivt,16700,16960,260
fixation.ivt,17360,18060,700
fixation.ivt,18180,18360,180
fixation.ivt,18440,18860,420
fixation.ivt,18940,19260,320
fixation.ivt,20160,20280,120
fixation.ivt,20360,20500,140
fixation.ivt,20580,20680,100
fixation.ivt,20840,21140,300
fixation.ivt,21260,22020,760
fixation.ivt,22080,22260,180
fixation.ivt,22340,22440,100
fixation.ivt,22540,23020,480
fixation.ivt,23080,23540,460
fixation.ivt,24220,24700,480
fixation.ivt,24820,25000,180
fixation.ivt,25600,25740,140
fixation.ivt,26220,26320,100
fixation.ivt,26680,27280,600
fixation.ivt,27780,28380,600
fixation.ivt,28700,28800,100
fixation.ivt,29040,29220,180
fixation.ivt,29860,29980,120
fixation.ivt,30060,30260,200
fixation.ivt,30440,30580,140
fixation.ivt,30620,30780,160
fixation.ivt,30880,31480,600
fixation.ivt,31560,31880,320
fixation.ivt,31920,32060,140
fixation.ivt,32460,32700,240
fixation.ivt,32820,33000,180
fixation.ivt,33400,33720,320
fixation.ivt,33840,34020,180
fixation.ivt,34700,34940,240
fixation.ivt,35060,35780,720
fixation.ivt,36100,37040,940
fixation.ivt,37080,37180,100
fixation.ivt,37500,37700,200
fixation.ivt,38180,38280,100
fixation.ivt,38620,38880,260
fixation.ivt,39240,39940,700
fixation.ivt,120,440,320
fixation.ivt,580,1700,1120
fixation.ivt,2040,2500,460
fixation.ivt,2700,2840,140
fixation.ivt,3000,3180,180
fixation.ivt,3280,3720,440
fixation.ivt,3840,4020,180
fixation.ivt,4160,5140,980
fixation.ivt,5240,5360,120
fixation.ivt,5520,6040,520
fixation.ivt,6160,6280,120
fixation.ivt,6400,7000,600
fixation.ivt,7060,7200,140
fixation.ivt,7280,7440,160
fixation.ivt,7540,7780,240
fixation.ivt,7880,8120,240
fixation.ivt,8200,8420,220
fixation.ivt,8540,9480,940
fixation.ivt,9560,9940,380
fixation.ivt,10040,10300,260
fixation.ivt,10400,10700,300
fixation.ivt,10800,11140,340
fixation.ivt,11220,11400,180
fixation.ivt,11520,12360,840
fixation.ivt,12400,12800,400
fixation.ivt,12900,13740,840
fixation.ivt,13820,13920,100
fixation.ivt,14000,14100,100
fixation.ivt,14200,14300,100
fixation.ivt,14420,15340,920
fixation.ivt,15440,15740,300
fixation.ivt,15840,15960,120
fixation.ivt,16020,16460,440
fixation.ivt,16700,16960,260
fixation.ivt,17360,18060,700
fixation.ivt,18180,18360,180
fixation.ivt,18440,18860,420
fixation.ivt,18940,19260,320
fixation.ivt,20160,20280,120
fixation.ivt,20360,20500,140
fixation.ivt,20580,20680,100
fixation.ivt,20840,21140,300
fixation.ivt,21260,22020,760
fixation.ivt,22080,22260,180
fixation.ivt,22340,22440,100
fixation.ivt,22540,23020,480
fixation.ivt,23080,23540,460
fixation.ivt,24220,24700,480
fixation.ivt,24820,25000,180
fixation.ivt,25600,25740,140
fixation.ivt,26220,26320,100
fixation.ivt,26680,27280,600
fixation.ivt,27780,28380,600
fixation.ivt,28700,28800,100
fixation.ivt,29040,29220,180
fixation.ivt,29860,29980,120
fixation.ivt,30060,30260,200
fixation.ivt,30440,30580,140
fixation.ivt,30620,30780,160
fixation.ivt,30880,31480,600
fixation.ivt,31560,31880,320
fixation.ivt,31920,32060,140
fixation.ivt,32460,32700,240
fixation.ivt,32820,33000,180
fixation.ivt,33400,33720,320
fixation.ivt,33840,34020,180
fixation.ivt,34700,34940,240
fixation.ivt,35060,35780,720
fixation.ivt,36100,37040,940
fixation.ivt,37080,37180,100
fixation.ivt,37500,37700,200
fixation.ivt,38180,38280,100
fixation.ivt,38620,38880,260
fixation.ivt,39240,39940,700
fixation.ivt,120,440,320
fixation.ivt,580,1700,1120
fixation.ivt,2040,2500,460
fixation.ivt,2700,2840,140
fixation.ivt,3000,3180,180
fixation.ivt,3280,3720,440
fixation.ivt,3840,4020,180
fixation.ivt,4160,5140,980
fixation.ivt,5240,5360,120
fixation.ivt,5520,6040,520
fixation.ivt,6160,6280,120
fixation.ivt,6400,7000,600
fixation.ivt,7060,7200,140
fixation.ivt,7280,7440,160
fixation.ivt,7540,7780,240
fixation.ivt,7880,8120,240
fixation.ivt,8200,8420,220
fixation.ivt,8540,9480,940
fixation.ivt,9560,9940,380
fixation.ivt,10040,10300,260
fixation.ivt,10400,10700,300
fixation.ivt,10800,11140,340
fixation.ivt,11220,11400,180
fixation.ivt,11520,12360,840
fixation.ivt,12400,12800,400
fixation.ivt,12900,13740,840
fixation.ivt,13820,13920,100
fixation.ivt,14000,14100,100
fixation.ivt,14200,14300,100
fixation.ivt,14420,15340,920
fixation.ivt,15440,15740,300
fixation.ivt,15840,15960,120
fixation.ivt,16020,16460,440
fixation.ivt,16700,16960,260
fixation.ivt,17360,18060,700
fixation.ivt,18180,18360,180
fixation.ivt,18440,18860,420
fixation.ivt,18940,19260,320
fixation.ivt,20160,20280,120
fixation.ivt,20360,20500,140
fixation.ivt,20580,20680,100
fixation.ivt,20840,21140,300
fixation.ivt,21260,22020,760
fixation.ivt,22080,22260,180
fixation.ivt,22340,22440,100
fixation.ivt,22540,23020,480
fixation.ivt,23080,23540,460
fixation.ivt,24220,24700,480
fixation.ivt,24820,25000,180
fixation.ivt,25600,25740,140
fixation.ivt,26220,26320,100
fixation.ivt,26680,27280,600
fixation.ivt,27780,28380,600
fixation.ivt,28700,28800,100
fixation.ivt,29040,29220,180
fixation.ivt,29860,29980,120
fixation.ivt,30060,30260,200
fixation.ivt,30440,30580,140
fixation.ivt,30620,30780,160
fixation.ivt,30880,31480,600
fixation.ivt,31560,31880,320
fixation.ivt,31920,32060,140
fixation.ivt,32460,32700,240
fixation.ivt,32820,33000,180
fixation.ivt,33400,33720,320
fixation.ivt,33840,34020,180
fixation.ivt,34700,34940,240
fixation.ivt,35060,35780,720
fixation.ivt,36100,37040,940
fixation.ivt,37080,37180,100
fixation.ivt,37500,37700,200
fixation.ivt,38180,38280,100
fixation.ivt,38620,38880,260
