name,onset,offset,duration
fixation.ivt,60,460,400
fixation.ivt,500,1160,660
fixation.ivt,1360,1500,140
fixation.ivt,1600,1800,200
fixation.ivt,2100,2280,180
fixation.ivt,2380,2640,260
fixation.ivt,2780,3160,380
fixation.ivt,3240,3380,140
fixation.ivt,3500,3640,140
fixation.ivt,3720,4060,340
fixation.ivt,4160,4300,140
fixation.ivt,4520,4620,100
fixation.ivt,4880,5100,220
fixation.ivt,5200,5300,100
fixation.ivt,5400,5540,140
fixation.ivt,5660,5900,240
fixation.ivt,6120,6240,120
fixation.ivt,6300,6420,120
fixation.ivt,6700,7000,300
fixation.ivt,7100,7300,200
fixation.ivt,7400,7540,140
fixation.ivt,7640,7780,140
fixation.ivt,7880,8040,160
fixation.ivt,8160,8340,180
fixation.ivt,8440,8540,100
fixation.ivt,8800,9040,240
fixation.ivt,9300,9500,200
fixation.ivt,9600,9800,200
fixation.ivt,10260,10360,100
fixation.ivt,10620,10740,120
fixation.ivt,11040,11140,100
fixation.ivt,11180,11360,180
fixation.ivt,11460,11720,260
fixation.ivt,11840,12080,240
fixation.ivt,12220,12640,420
fixation.ivt,12900,13160,260
fixation.ivt,13340,13580,240
fixation.ivt,13660,13760,100
fixation.ivt,13860,14120,260
fixation.ivt,14220,14360,140
fixation.ivt,14460,14960,500
fixation.ivt,15260,15360,100
fixation.ivt,15480,15760,280
fixation.ivt,15860,16000,140
fixation.ivt,16120,16220,100
fixation.ivt,16340,16580,240
fixation.ivt,16680,16940,260
fixation.ivt,17140,17620,480
fixation.ivt,17720,17880,160
fixation.ivt,17980,18160,180
fixation.ivt,18240,18340,100
fixation.ivt,18440,18560,120
fixation.ivt,18800,19000,200
fixation.ivt,19620,19800,180
fixation.ivt,20760,20880,120
fixation.ivt,20960,21620,660
fixation.ivt,21720,21980,260
fixation.ivt,22120,22520,400
fixation.ivt,22660,23060,400
fixation.ivt,23180,23560,380
fixation.ivt,23900,25920,2020
fixation.ivt,26140,26660,520
fixation.ivt,26920,27180,260
fixation.ivt,27740,27860,120
fixation.ivt,28240,28420,180
fixation.ivt,28580,28900,320
fixation.ivt,29000,29100,100
fixation.ivt,29500,29600,100
fixation.ivt,29720,29940,220
fixation.ivt,60,460,400
fixation.ivt,500,1160,660
fixation.ivt,1360,1500,140
fixation.ivt,1600,1800,200
fixation.ivt,2100,2280,180
fixation.ivt,2380,2640,260
fixation.ivt,2780,3160,380
fixation.ivt,3240,3380,140
fixation.ivt,3500,3640,140
fixation.ivt,3720,4060,340
fixation.ivt,4160,4300,140
fixation.ivt,4520,4620,100
fixation.ivt,4880,5100,220
fixation.ivt,5200,5300,100
fixation.ivt,5400,5540,140
fixation.ivt,5660,5900,240
fixation.ivt,6120,6240,120
fixation.ivt,6300,6420,120
fixation.ivt,6700,7000,300
fixation.ivt,7100,7300,200
fixation.ivt,7400,7540,140
fixation.ivt,7640,7780,140
fixation.ivt,7880,8040,160
fixation.ivt,8160,8340,180
fixation.ivt,8440,8540,100
fixation.ivt,8800,9040,240
fixation.ivt,9300,9500,200
fixation.ivt,9600,9800,200
fixation.ivt,10260,10360,100
fixation.ivt,10620,10740,120
fixation.ivt,11040,11140,100
fixation.ivt,11180,11360,180
fixation.ivt,11460,11720,260
fixation.ivt,11840,12080,240
fixation.ivt,12220,12640,420
fixation.ivt,12900,13160,260
fixation.ivt,13340,13580,240
fixation.ivt,13660,13760,100
fixation.ivt,13860,14120,260
fixation.ivt,14220,14360,140
fixation.ivt,14460,14960,500
fixation.ivt,15260,15360,100
fixation.ivt,15480,15760,280
fixation.ivt,15860,16000,140
fixation.ivt,16120,16220,100
fixation.ivt,16340,16580,240
fixation.ivt,16680,16940,260
fixation.ivt,17140,17620,480
fixation.ivt,17720,17880,160
fixation.ivt,17980,18160,180
fixation.ivt,18240,18340,100
fixation.ivt,18440,18560,120
fixation.ivt,18800,19000,200
fixation.ivt,19620,19800,180
fixation.ivt,20760,20880,120
fixation.ivt,20960,21620,660
fixation.ivt,21720,21980,260
fixation.ivt,22120,22520,400
fixation.ivt,22660,23060,400
fixation.ivt,23180,23560,380
fixation.ivt,23900,25920,2020
fixation.ivt,26140,26660,520
fixation.ivt,26920,27180,260
fixation.ivt,27740,27860,120
fixation.ivt,28240,28420,180
fixation.ivt,28580,28900,320
fixation.ivt,29000,29100,100
fixation.ivt,29500,29600,100
fixation.ivt,29720,29940,220
fixation.ivt,60,460,400
fixation.ivt,500,1160,660
fixation.ivt,1360,1500,140
fixation.ivt,1600,1800,200
fixation.ivt,2100,2280,180
fixation.ivt,2380,2640,260
fixation.ivt,2780,3160,380
fixation.ivt,3240,3380,140
fixation.ivt,3500,3640,140
fixation.ivt,3720,4060,340
fixation.ivt,4160,4300,140
fixation.ivt,4520,4620,100
fixation.ivt,4880,5100,220
fixation.ivt,5200,5300,100
fixation.ivt,5400,5540,140
fixation.ivt,5660,5900,240
fixation.ivt,6120,6240,120
fixation.ivt,6300,6420,120
fixation.ivt,6700,7000,300
fixation.ivt,7100,7300,200
fixation.ivt,7400,7540,140
fixation.ivt,7640,7780,140
fixation.ivt,7880,8040,160
fixation.ivt,8160,8340,180
fixation.ivt,8440,8540,100
fixation.ivt,8800,9040,240
fixation.ivt,9300,9500,200
fixation.ivt,9600,9800,200
fixation.ivt,10260,10360,100
fixation.ivt,10620,10740,120
fixation.ivt,11040,11140,100
fixation.ivt,11180,11360,180
fixation.ivt,11460,11720,260
fixation.ivt,11840,12080,240
fixation.ivt,12220,12640,420
fixation.ivt,12900,13160,260
fixation.ivt,13340,13580,240
fixation.ivt,13660,13760,100
fixation.ivt,13860,14120,260
fixation.ivt,14220,14360,140
fixation.ivt,14460,14960,500
fixation.ivt,15260,15360,100
fixation.ivt,15480,15760,280
fixation.ivt,15860,16000,140
fixation.ivt,16120,16220,100
fixation.ivt,16340,16580,240
fixation.ivt,16680,16940,260
fixation.ivt,17140,17620,480
fixation.ivt,17720,17880,160
fixation.ivt,17980,18160,180
fixation.ivt,18240,18340,100
fixation.ivt,18440,18560,120
fixation.ivt,18800,19000,200
fixation.ivt,19620,19800,180
fixation.ivt,20760,20880,120
fixation.ivt,20960,21620,660
fixation.ivt,21720,21980,260
fixation.ivt,22120,22520,400
fixation.ivt,22660,23060,400
fixation.ivt,23180,23560,380
fixation.ivt,23900,25920,2020
fixation.ivt,26140,26660,520
fixation.ivt,26920,27180,260
fixation.ivt,27740,27860,120
fixation.ivt,28240,28420,180
fixation.ivt,28580,28900,320
fixation.ivt,29000,29100,100
fixation.ivt,29500,29600,100
fixation.ivt,29720,29940,220
fixation.ivt,60,460,400
fixation.ivt,500,1160,660
fixation.ivt,1360,1500,140
fixation.ivt,1600,1800,200
fixation.ivt,2100,2280,180
fixation.ivt,2380,2640,260
fixation.ivt,2780,3160,380
fixation.ivt,3240,3380,140
fixation.ivt,3500,3640,140
fixation.ivt,3720,4060,340
fixation.ivt,4160,4300,140
fixation.ivt,4520,4620,100
fixation.ivt,4880,5100,220
fixation.ivt,5200,5300,100
fixation.ivt,5400,5540,140
fixation.ivt,5660,5900,240
fixation.ivt,6120,6240,120
fixation.ivt,6300,6420,120
fixation.ivt,6700,7000,300
fixation.ivt,7100,7300,200
fixation.ivt,7400,7540,140
fixation.ivt,7640,7780,140
fixation.ivt,7880,8040,160
fixation.ivt,8160,8340,180
fixation.ivt,8440,8540,100
fixation.ivt,8800,9040,240
fixation.ivt,9300,9500,200
fixation.ivt,9600,9800,200
fixation.ivt,10260,10360,100
fixation.ivt,10620,10740,120
fixation.ivt,11040,11140,100
fixation.ivt,11180,11360,180
fixation.ivt,11460,11720,260
fixation.ivt,11840,12080,240
fixation.ivt,12220,12640,420
fixation.ivt,12900,13160,260
fixation.ivt,13340,13580,240
fixation.ivt,13660,13760,100
fixation.ivt,13860,14120,260
fixation.ivt,14220,14360,140
fixation.ivt,14460,14960,500
fixation.ivt,15260,15360,100
fixation.ivt,15480,15760,280
fixation.ivt,15860,16000,140
fixation.ivt,16120,16220,100
fixation.ivt,16340,16580,240
fixation.ivt,16680,16940,260
fixation.ivt,17140,17620,480
fixation.ivt,17720,17880,160
fixation.ivt,17980,18160,180
fixation.ivt,18240,18340,100
fixation.ivt,18440,18560,120
fixation.ivt,18800,19000,200
fixation.ivt,19620,19800,180
fixation.ivt,20760,20880,120
fixation.ivt,20960,21620,660
fixation.ivt,21720,21980,260
fixation.ivt,22120,22520,400
fixation.ivt,22660,23060,400
fixation.ivt,23180,23560,380
fixation.ivt,23900,25920,2020
fixation.ivt,26140,26660,520
fixation.ivt,26920,27180,260
fixation.ivt,27740,27860,120
fixation.ivt,28240,28420,180
fixation.ivt,28580,28900,320
fixation.ivt,29000,29100,100
fixation.ivt,29500,29600,100
fixation.ivt,29720,29940,220
fixation.ivt,60,460,400
fixation.ivt,500,1160,660
fixation.ivt,1360,1500,140
fixation.ivt,1600,1800,200
fixation.ivt,2100,2280,180
fixation.ivt,2380,2640,260
fixation.ivt,2780,3160,380
fixation.ivt,3240,3380,140
fixation.ivt,3500,3640,140
fixation.ivt,3720,4060,340
fixation.ivt,4160,4300,140
fixation.ivt,4520,4620,100
fixation.ivt,4880,5100,220
fixation.ivt,5200,5300,100
fixation.ivt,5400,5540,140
fixation.ivt,5660,5900,240
fixation.ivt,6120,6240,120
fixation.ivt,6300,6420,120
fixation.ivt,6700,7000,300
fixation.ivt,7100,7300,200
fixation.ivt,7400,7540,140
fixation.ivt,7640,7780,140
fixation.ivt,7880,8040,160
fixation.ivt,8160,8340,180
fixation.ivt,8440,8540,100
fixation.ivt,8800,9040,240
fixation.ivt,9300,9500,200
fixation.ivt,9600,9800,200
fixation.ivt,10260,10360,100
fixation.ivt,10620,10740,120
fixation.ivt,11040,11140,100
fixation.ivt,11180,11360,180
fixation.ivt,11460,11720,260
fixation.ivt,11840,12080,240
fixation.ivt,12220,12640,420
fixation.ivt,12900,13160,260
fixation.ivt,13340,13580,240
fixation.ivt,13660,13760,100
fixation.ivt,13860,14120,260
fixation.ivt,14220,14360,140
fixation.ivt,14460,14960,500
fixation.ivt,15260,15360,100
fixation.ivt,15480,15760,280
fixation.ivt,15860,16000,140
fixation.ivt,16120,16220,100
fixation.ivt,16340,16580,240
fixation.ivt,16680,16940,260
fixation.ivt,17140,17620,480
fixation.ivt,17720,17880,160
fixation.ivt,17980,18160,180
fixation.ivt,18240,18340,100
fixation.ivt,18440,18560,120
fixation.ivt,18800,19000,200
fixation.ivt,19620,19800,180
fixation.ivt,20760,20880,120
fixation.ivt,20960,21620,660
fixation.ivt,21720,21980,260
fixation.ivt,22120,22520,400
fixation.ivt,22660,23060,400
fixation.ivt,23180,23560,380
fixation.ivt,23900,25920,2020
fixation.ivt,26140,26660,520
fixation.ivt,26920,27180,260
fixation.ivt,27740,27860,120
fixation.ivt,28240,28420,180
fixation.ivt,28580,28900,320
fixation.ivt,29000,29100,100
fixation.ivt,29500,29600,100
fixation.ivt,29720,29940,220
fixation.ivt,60,460,400
fixation.ivt,500,1160,660
fixation.ivt,1360,1500,140
fixation.ivt,1600,1800,200
fixation.ivt,2100,2280,180
fixation.ivt,2380,2640,260
fixation.ivt,2780,3160,380
fixation.ivt,3240,3380,140
fixation.ivt,3500,3640,140
fixation.ivt,3720,4060,340
fixation.ivt,4160,4300,140
fixation.ivt,4520,4620,100
fixation.ivt,4880,5100,220
fixation.ivt,5200,5300,100
fixation.ivt,5400,5540,140
fixation.ivt,5660,5900,240
fixation.ivt,6120,6240,120
fixation.ivt,6300,6420,120
fixation.ivt,6700,7000,300
fixation.ivt,7100,7300,200
fixation.ivt,7400,7540,140
fixation.ivt,7640,7780,140
fixation.ivt,7880,8040,160
fixation.ivt,8160,8340,180
fixation.ivt,8440,8540,100
fixation.ivt,8800,9040,240
fixation.ivt,9300,9500,200
fixation.ivt,9600,9800,200
fixation.ivt,10260,10360,100
fixation.ivt,10620,10740,120
fixation.ivt,11040,11140,100
fixation.ivt,11180,11360,180
fixation.ivt,11460,11720,260
fixation.ivt,11840,12080,240
fixation.ivt,12220,12640,420
fixation.ivt,12900,13160,260
fixation.ivt,13340,13580,240
fixation.ivt,13660,13760,100
fixation.ivt,13860,14120,260
fixation.ivt,14220,14360,140
fixation.ivt,14460,14960,500
fixation.ivt,15260,15360,100
fixation.ivt,15480,15760,280
fixation.ivt,15860,16000,140
fixation.ivt,16120,16220,100
fixation.ivt,16340,16580,240
fixation.ivt,16680,16940,260
fixation.ivt,17140,17620,480
fixation.ivt,17720,17880,160
fixation.ivt,17980,18160,180
fixation.ivt,18240,18340,100
fixation.ivt,18440,18560,120
fixation.ivt,18800,19000,200
fixation.ivt,19620,19800,180
fixation.ivt,20760,20880,120
fixation.ivt,20960,21620,660
fixation.ivt,21720,21980,260
fixation.ivt,22120,22520,400
fixation.ivt,22660,23060,400
fixation.ivt,23180,23560,380
fixation.ivt,23900,25920,2020
fixation.ivt,26140,26660,520
fixation.ivt,26920,27180,260
fixation.ivt,27740,27860,120
fixation.ivt,28240,28420,180
fixation.ivt,28580,28900,320
fixation.ivt,29000,29100,100
fixation.ivt,29500,29600,100
fixation.ivt,29720,29940,220
fixation.ivt,60,460,400
fixation.ivt,500,1160,660
fixation.ivt,1360,1500,140
fixation.ivt,1600,1800,200
fixation.ivt,2100,2280,180
fixation.ivt,2380,2640,260
fixation.ivt,2780,3160,380
fixation.ivt,3240,3380,140
fixation.ivt,3500,3640,140
fixation.ivt,3720,4060,340
fixation.ivt,4160,4300,140
fixation.ivt,4520,4620,100
fixation.ivt,4880,5100,220
fixation.ivt,5200,5300,100
fixation.ivt,5400,5540,140
fixation.ivt,5660,5900,240
fixation.ivt,6120,6240,120
fixation.ivt,6300,6420,120
fixation.ivt,6700,7000,300
fixation.ivt,7100,7300,200
fixation.ivt,7400,7540,140
fixation.ivt,7640,7780,140
fixation.ivt,7880,8040,160
fixation.ivt,8160,8340,180
fixation.ivt,8440,8540,100
fixation.ivt,8800,9040,240
fixation.ivt,9300,9500,200
fixation.ivt,9600,9800,200
fixation.ivt,10260,10360,100
fixation.ivt,10620,10740,120
fixation.ivt,11040,11140,100
fixation.ivt,11180,11360,180
fixation.ivt,11460,11720,260
fixation.ivt,11840,12080,240
fixation.ivt,12220,12640,420
fixation.ivt,12900,13160,260
fixation.ivt,13340,13580,240
fixation.ivt,13660,13760,100
fixation.ivt,13860,14120,260
fixation.ivt,14220,14360,140
fixation.ivt,14460,14960,500
fixation.ivt,15260,15360,100
fixation.ivt,15480,15760,280
fixation.ivt,15860,16000,140
fixation.ivt,16120,16220,100
fixation.ivt,16340,16580,240
fixation.ivt,16680,16940,260
fixation.ivt,17140,17620,480
fixation.ivt,17720,17880,160
fixation.ivt,17980,18160,180
fixation.ivt,18240,18340,100
fixation.ivt,18440,18560,120
fixation.ivt,18800,19000,200
fixation.ivt,19620,19800,180
fixation.ivt,20760,20880,120
fixation.ivt,20960,21620,660
fixation.ivt,21720,21980,260
fixation.ivt,22120,22520,400
fixation.ivt,22660,23060,400
fixation.ivt,23180,23560,380
fixation.ivt,23900,25920,2020
fixation.ivt,26140,26660,520
fixation.ivt,26920,27180,260
fixation.ivt,27740,27860,120
fixation.ivt,28240,28420,180
fixation.ivt,28580,28900,320
fixation.ivt,29000,29100,100
fixation.ivt,29500,29600,100
fixation.ivt,29720,29940,220
fixation.ivt,60,460,400
fixation.ivt,500,1160,660
fixation.ivt,1360,1500,140
fixation.ivt,1600,1800,200
fixation.ivt,2100,2280,180
fixation.ivt,2380,2640,260
fixation.ivt,2780,3160,380
fixation.ivt,3240,3380,140
fixation.ivt,3500,3640,140
fixation.ivt,3720,4060,340
fixation.ivt,4160,4300,140
fixation.ivt,4520,4620,100
fixation.ivt,4880,5100,220
fixation.ivt,5200,5300,100
fixation.ivt,5400,5540,140
fixation.ivt,5660,5900,240
fixation.ivt,6120,6240,120
fixation.ivt,6300,6420,120
fixation.ivt,6700,7000,300
fixation.ivt,7100,7300,200
fixation.ivt,7400,7540,140
fixation.ivt,7640,7780,140
fixation.ivt,7880,8040,160
fixation.ivt,8160,8340,180
fixation.ivt,8440,8540,100
fixation.ivt,8800,9040,240
fixation.ivt,9300,9500,200
fixation.ivt,9600,9800,200
fixation.ivt,10260,10360,100
fixation.ivt,10620,10740,120
fixation.ivt,11040,11140,100
fixation.ivt,11180,11360,180
fixation.ivt,11460,11720,260
fixation.ivt,11840,12080,240
fixation.ivt,12220,12640,420
fixation.ivt,12900,13160,260
fixation.ivt,13340,13580,240
fixation.ivt,13660,13760,100
fixation.ivt,13860,14120,260
fixation.ivt,14220,14360,140
fixation.ivt,14460,14960,500
fixation.ivt,15260,15360,100
fixation.ivt,15480,15760,280
fixation.ivt,15860,16000,140
fixation.ivt,16120,16220,100
fixation.ivt,16340,16580,240
fixation.ivt,16680,16940,260
fixation.ivt,17140,17620,480
fixation.ivt,17720,17880,160
fixation.ivt,17980,18160,180
fixation.ivt,18240,18340,100
fixation.ivt,18440,18560,120
fixation.ivt,18800,19000,200
fixation.ivt,19620,19800,180
fixation.ivt,20760,20880,120
fixation.ivt,20960,21620,660
fixation.ivt,21720,21980,260
fixation.ivt,22120,22520,400
fixation.ivt,22660,23060,400
fixation.ivt,23180,23560,380
fixation.ivt,23900,25920,2020
fixation.ivt,26140,26660,520
fixation.ivt,26920,27180,260
fixation.ivt,27740,27860,120
fixation.ivt,28240,28420,180
fixation.ivt,28580,28900,320
fixation.ivt,29000,29100,100
fixation.ivt,29500,29600,100
fixation.ivt,29720,29940,220
fixation.ivt,60,460,400
fixation.ivt,500,1160,660
fixation.ivt,1360,1500,140
fixation.ivt,1600,1800,200
fixation.ivt,2100,2280,180
fixation.ivt,2380,2640,260
fixation.ivt,2780,3160,380
fixation.ivt,3240,3380,140
fixation.ivt,3500,3640,140
fixation.ivt,3720,4060,340
fixation.ivt,4160,4300,140
fixation.ivt,4520,4620,100
fixation.ivt,4880,5100,220
fixation.ivt,5200,5300,100
fixation.ivt,5400,5540,140
fixation.ivt,5660,5900,240
fixation.ivt,6120,6240,120
fixation.ivt,6300,6420,120
fixation.ivt,6700,7000,300
fixation.ivt,7100,7300,200
fixation.ivt,7400,7540,140
fixation.ivt,7640,7780,140
fixation.ivt,7880,8040,160
fixation.ivt,8160,8340,180
fixation.ivt,8440,8540,100
fixation.ivt,8800,9040,240
fixation.ivt,9300,9500,200
fixation.ivt,9600,9800,200
fixation.ivt,10260,10360,100
fixation.ivt,10620,10740,120
fixation.ivt,11040,11140,100
fixation.ivt,11180,11360,180
fixation.ivt,11460,11720,260
fixation.ivt,11840,12080,240
fixation.ivt,12220,12640,420
fixation.ivt,12900,13160,260
fixation.ivt,13340,13580,240
fixation.ivt,13660,13760,100
fixation.ivt,13860,14120,260
fixation.ivt,14220,14360,140
fixation.ivt,14460,14960,500
fixation.ivt,15260,15360,100
fixation.ivt,15480,15760,280
fixation.ivt,15860,16000,140
fixation.ivt,16120,16220,100
fixation.ivt,16340,16580,240
fixation.ivt,16680,16940,260
fixation.ivt,17140,17620,480
fixation.ivt,17720,17880,160
fixation.ivt,17980,18160,180
fixation.ivt,18240,18340,100
fixation.ivt,18440,18560,120
fixation.ivt,18800,19000,200
fixation.ivt,19620,19800,180
fixation.ivt,20760,20880,120
fixation.ivt,20960,21620,660
fixation.ivt,21720,21980,260
fixation.ivt,22120,22520,400
fixation.ivt,22660,23060,400
fixation.ivt,23180,23560,380
fixation.ivt,23900,25920,2020
fixation.ivt,26140,26660,520
fixation.ivt,26920,27180,260
fixation.ivt,27740,27860,120
fixation.ivt,28240,28420,180
fixation.ivt,28580,28900,320
fixation.ivt,29000,29100,100
fixation.ivt,29500,29600,100
