name,onset,offset,duration
fixation.ivt,40,460,420
fixation.ivt,680,1020,340
fixation.ivt,1980,2260,280
fixation.ivt,2360,2620,260
fixation.ivt,3200,3320,120
fixation.ivt,3500,3660,160
fixation.ivt,3760,3940,180
fixation.ivt,4080,4240,160
fixation.ivt,4560,4680,120
fixation.ivt,4780,4920,140
fixation.ivt,5020,5160,140
fixation.ivt,5820,5920,100
fixation.ivt,6040,6200,160
fixation.ivt,6300,6440,140
fixation.ivt,6560,6840,280
fixation.ivt,6880,7340,460
fixation.ivt,7440,7600,160
fixation.ivt,7700,7880,180
fixation.ivt,7980,8240,260
fixation.ivt,8360,8460,100
fixation.ivt,8760,8980,220
fixation.ivt,9080,9200,120
fixation.ivt,9380,9520,140
fixation.ivt,10040,10200,160
fixation.ivt,11120,11420,300
fixation.ivt,12020,12520,500
fixation.ivt,12620,12840,220
fixation.ivt,13520,14020,500
fixation.ivt,14140,14400,260
fixation.ivt,14540,14780,240
fixation.ivt,15440,15540,100
fixation.ivt,15960,16580,620
fixation.ivt,16700,16940,240
fixation.ivt,17080,17460,380
fixation.ivt,17560,17680,120
fixation.ivt,17820,18240,420
fixation.ivt,18340,18660,320
fixation.ivt,18780,19060,280
fixation.ivt,19400,19940,540
fixation.ivt,40,460,420
fixation.ivt,680,1020,340
fixation.ivt,1980,2260,280
fixation.ivt,2360,2620,260
fixation.ivt,3200,3320,120
fixation.ivt,3500,3660,160
fixation.ivt,3760,3940,180
fixation.ivt,4080,4240,160
fixation.ivt,4560,4680,120
fixation.ivt,4780,4920,140
fixation.ivt,5020,5160,140
fixation.ivt,5820,5920,100
fixation.ivt,6040,6200,160
fixation.ivt,6300,6440,140
fixation.ivt,6560,6840,280
fixation.ivt,6880,7340,460
fixation.ivt,7440,7600,160
fixation.ivt,7700,7880,180
fixation.ivt,7980,8240,260
fixation.ivt,8360,8460,100
fixation.ivt,8760,8980,220
fixation.ivt,9080,9200,120
fixation.ivt,9380,9520,140
fixation.ivt,10040,10200,160
fixation.ivt,11120,11420,300
fixation.ivt,12020,12520,500
fixation.ivt,12620,12840,220
fixation.ivt,13520,14020,500
fixation.ivt,14140,14400,260
fixation.ivt,14540,14780,240
fixation.ivt,15440,15540,100
fixation.ivt,15960,16580,620
fixation.ivt,16700,16940,240
fixation.ivt,17080,17460,380
fixation.ivt,17560,17680,120
fixation.ivt,17820,18240,420
fixation.ivt,18340,18660,320
fixation.ivt,18780,19060,280
fixation.ivt,19400,19940,540
fixation.ivt,40,460,420
fixation.ivt,680,1020,340
fixation.ivt,1980,2260,280
fixation.ivt,2360,2620,260
fixation.ivt,3200,3320,120
fixation.ivt,3500,3660,160
fixation.ivt,3760,3940,180
fixation.ivt,4080,4240,160
fixation.ivt,4560,4680,120
fixation.ivt,4780,4920,140
fixation.ivt,5020,5160,140
fixation.ivt,5820,5920,100
fixation.ivt,6040,6200,160
fixation.ivt,6300,6440,140
fixation.ivt,6560,6840,280
fixation.ivt,6880,7340,460
fixation.ivt,7440,7600,160
fixation.ivt,7700,7880,180
fixation.ivt,7980,8240,260
fixation.ivt,8360,8460,100
fixation.ivt,8760,8980,220
fixation.ivt,9080,9200,120
fixation.ivt,9380,9520,140
fixation.ivt,10040,10200,160
fixation.ivt,11120,11420,300
fixation.ivt,12020,12520,500
fixation.ivt,12620,12840,220
fixation.ivt,13520,14020,500
fixation.ivt,14140,14400,260
fixation.ivt,14540,14780,240
fixation.ivt,15440,15540,100
fixation.ivt,15960,16580,620
fixation.ivt,16700,16940,240
fixation.ivt,17080,17460,380
fixation.ivt,17560,17680,120
fixation.ivt,17820,18240,420
fixation.ivt,18340,18660,320
fixation.ivt,18780,19060,280
fixation.ivt,19400,19940,540
fixation.ivt,40,460,420
fixation.ivt,680,1020,340
fixation.ivt,1980,2260,280
fixation.ivt,2360,2620,260
fixation.ivt,3200,3320,120
fixation.ivt,3500,3660,160
fixation.ivt,3760,3940,180
fixation.ivt,4080,4240,160
fixation.ivt,4560,4680,120
fixation.ivt,4780,4920,140
fixation.ivt,5020,5160,140
fixation.ivt,5820,5920,100
fixation.ivt,6040,6200,160
fixation.ivt,6300,6440,140
fixation.ivt,6560,6840,280
fixation.ivt,6880,7340,460
fixation.ivt,7440,7600,160
fixation.ivt,7700,7880,180
fixation.ivt,7980,8240,260
fixation.ivt,8360,8460,100
fixation.ivt,8760,8980,220
fixation.ivt,9080,9200,120
fixation.ivt,9380,9520,140
fixation.ivt,10040,10200,160
fixation.ivt,11120,11420,300
fixation.ivt,12020,12520,500
fixation.ivt,12620,12840,220
fixation.ivt,13520,14020,500
fixation.ivt,14140,14400,260
fixation.ivt,14540,14780,240
fixation.ivt,15440,15540,100
fixation.ivt,15960,16580,620
fixation.ivt,16700,16940,240
fixation.ivt,17080,17460,380
fixation.ivt,17560,17680,120
fixation.ivt,17820,18240,420
fixation.ivt,18340,18660,320
fixation.ivt,18780,19060,280
fixation.ivt,19400,19940,540
fixation.ivt,40,460,420
fixation.ivt,680,1020,340
fixation.ivt,1980,2260,280
fixation.ivt,2360,2620,260
fixation.ivt,3200,3320,120
fixation.ivt,3500,3660,160
fixation.ivt,3760,3940,180
fixation.ivt,4080,4240,160
fixation.ivt,4560,4680,120
fixation.ivt,4780,4920,140
fixation.ivt,5020,5160,140
fixation.ivt,5820,5920,100
fixation.ivt,6040,6200,160
fixation.ivt,6300,6440,140
fixation.ivt,6560,6840,280
fixation.ivt,6880,7340,460
fixation.ivt,7440,7600,160
fixation.ivt,7700,7880,180
fixation.ivt,7980,8240,260
fixation.ivt,8360,8460,100
fixation.ivt,8760,8980,220
fixation.ivt,9080,9200,120
fixation.ivt,9380,9520,140
fixation.ivt,10040,10200,160
fixation.ivt,11120,11420,300
fixation.ivt,12020,12520,500
fixation.ivt,12620,12840,220
fixation.ivt,13520,14020,500
fixation.ivt,14140,14400,260
fixation.ivt,14540,14780,240
fixation.ivt,15440,15540,100
fixation.ivt,15960,16580,620
fixation.ivt,16700,16940,240
fixation.ivt,17080,17460,380
fixation.ivt,17560,17680,120
fixation.ivt,17820,18240,420
fixation.ivt,18340,18660,320
fixation.ivt,18780,19060,280
fixation.ivt,19400,19940,540
fixation.ivt,40,460,420
fixation.ivt,680,1020,340
fixation.ivt,1980,2260,280
fixation.ivt,2360,2620,260
fixation.ivt,3200,3320,120
fixation.ivt,3500,3660,160
fixation.ivt,3760,3940,180
fixation.ivt,4080,4240,160
fixation.ivt,4560,4680,120
fixation.ivt,4780,4920,140
fixation.ivt,5020,5160,140
fixation.ivt,5820,5920,100
fixation.ivt,6040,6200,160
fixation.ivt,6300,6440,140
fixation.ivt,6560,6840,280
fixation.ivt,6880,7340,460
fixation.ivt,7440,7600,160
fixation.ivt,7700,7880,180
fixation.ivt,7980,8240,260
fixation.ivt,8360,8460,100
fixation.ivt,8760,8980,220
fixation.ivt,9080,9200,120
fixation.ivt,9380,9520,140
fixation.ivt,10040,10200,160
fixation.ivt,11120,11420,300
fixation.ivt,12020,12520,500
fixation.ivt,12620,12840,220
fixation.ivt,13520,14020,500
fixation.ivt,14140,14400,260
fixation.ivt,14540,14780,240
fixation.ivt,15440,15540,100
fixation.ivt,15960,16580,620
fixation.ivt,16700,16940,240
fixation.ivt,17080,17460,380
fixation.ivt,17560,17680,120
fixation.ivt,17820,18240,420
fixation.ivt,18340,18660,320
fixation.ivt,18780,19060,280
fixation.ivt,19400,19940,540
fixation.ivt,40,460,420
fixation.ivt,680,1020,340
fixation.ivt,1980,2260,280
fixation.ivt,2360,2620,260
fixation.ivt,3200,3320,120
fixation.ivt,3500,3660,160
fixation.ivt,3760,3940,180
fixation.ivt,4080,4240,160
fixation.ivt,4560,4680,120
fixation.ivt,4780,4920,140
fixation.ivt,5020,5160,140
fixation.ivt,5820,5920,100
fixation.ivt,6040,6200,160
fixation.ivt,6300,6440,140
fixation.ivt,6560,6840,280
fixation.ivt,6880,7340,460
fixation.ivt,7440,7600,160
fixation.ivt,7700,7880,180
fixation.ivt,7980,8240,260
fixation.ivt,8360,8460,100
fixation.ivt,8760,8980,220
fixation.ivt,9080,9200,120
fixation.ivt,9380,9520,140
fixation.ivt,10040,10200,160
fixation.ivt,11120,11420,300
fixation.ivt,12020,12520,500
fixation.ivt,12620,12840,220
fixation.ivt,13520,14020,500
fixation.ivt,14140,14400,260
fixation.ivt,14540,14780,240
fixation.ivt,15440,15540,100
fixation.ivt,15960,16580,620
fixation.ivt,16700,16940,240
fixation.ivt,17080,17460,380
fixation.ivt,17560,17680,120
fixation.ivt,17820,18240,420
fixation.ivt,18340,18660,320
fixation.ivt,18780,19060,280
fixation.ivt,19400,19940,540
fixation.ivt,40,460,420
fixation.ivt,680,1020,340
fixation.ivt,1980,2260,280
fixation.ivt,2360,2620,260
fixation.ivt,3200,3320,120
fixation.ivt,3500,3660,160
fixation.ivt,3760,3940,180
fixation.ivt,4080,4240,160
fixation.ivt,4560,4680,120
fixation.ivt,4780,4920,140
fixation.ivt,5020,5160,140
fixation.ivt,5820,5920,100
fixation.ivt,6040,6200,160
fixation.ivt,6300,6440,140
fixation.ivt,6560,6840,280
fixation.ivt,6880,7340,460
fixation.ivt,7440,7600,160
fixation.ivt,7700,7880,180
fixation.ivt,7980,8240,260
fixation.ivt,8360,8460,100
fixation.ivt,8760,8980,220
fixation.ivt,9080,9200,120
fixation.ivt,9380,9520,140
fixation.ivt,10040,10200,160
fixation.ivt,11120,11420,300
fixation.ivt,12020,12520,500
fixation.ivt,12620,12840,220
fixation.ivt,13520,14020,500
fixation.ivt,14140,14400,260
fixation.ivt,14540,14780,240
fixation.ivt,15440,15540,100
fixation.ivt,15960,16580,620
fixation.ivt,16700,16940,240
fixation.ivt,17080,17460,380
fixation.ivt,17560,17680,120
fixation.ivt,17820,18240,420
fixation.ivt,18340,18660,320
fixation.ivt,18780,19060,280
fixation.ivt,19400,19940,540
fixation.ivt,40,460,420
fixation.ivt,680,1020,340
fixation.ivt,1980,2260,280
fixation.ivt,2360,2620,260
fixation.ivt,3200,3320,120
fixation.ivt,3500,3660,160
fixation.ivt,3760,3940,180
fixation.ivt,4080,4240,160
fixation.ivt,4560,4680,120
fixation.ivt,4780,4920,140
fixation.ivt,5020,5160,140
fixation.ivt,5820,5920,100
fixation.ivt,6040,6200,160
fixation.ivt,6300,6440,140
fixation.ivt,6560,6840,280
fixation.ivt,6880,7340,460
fixation.ivt,7440,7600,160
fixation.ivt,7700,7880,180
fixation.ivt,7980,8240,260
fixation.ivt,8360,8460,100
fixation.ivt,8760,8980,220
fixation.ivt,9080,9200,120
fixation.ivt,9380,9520,140
fixation.ivt,10040,10200,160
fixation.ivt,11120,11420,300
fixation.ivt,12020,12520,500
fixation.ivt,12620,12840,220
fixation.ivt,13520,14020,500
fixation.ivt,14140,14400,260
fixation.ivt,14540,14780,240
fixation.ivt,15440,15540,100
fixation.ivt,15960,16580,620
fixation.ivt,16700,16940,240
fixation.ivt,17080,17460,380
fixation.ivt,17560,17680,120
fixation.ivt,17820,18240,420
fixation.ivt,18340,18660,320
fixation.ivt,18780,19060,280
fixation.ivt,19400,19940,540
fixation.ivt,40,460,420
fixation.ivt,680,1020,340
fixation.ivt,1980,2260,280
fixation.ivt,2360,2620,260
fixation.ivt,3200,3320,120
fixation.ivt,3500,3660,160
fixation.ivt,3760,3940,180
fixation.ivt,4080,4240,160
fixation.ivt,4560,4680,120
fixation.ivt,4780,4920,140
fixation.ivt,5020,5160,140
fixation.ivt,5820,5920,100
fixation.ivt,6040,6200,160
fixation.ivt,6300,6440,140
fixation.ivt,6560,6840,280
fixation.ivt,6880,7340,460
fixation.ivt,7440,7600,160
fixation.ivt,7700,7880,180
fixation.ivt,7980,8240,260
fixation.ivt,8360,8460,100
fixation.ivt,8760,8980,220
fixation.ivt,9080,9200,120
fixation.ivt,9380,9520,140
fixation.ivt,10040,10200,160
fixation.ivt,11120,11420,300
fixation.ivt,12020,12520,500
fixation.ivt,12620,12840,220
fixation.ivt,13520,14020,500
fixation.ivt,14140,14400,260
fixation.ivt,14540,14780,240
fixation.ivt,15440,15540,100
fixation.ivt,15960,16580,620
fixation.ivt,16700,16940,240
fixation.ivt,17080,17460,380
fixation.ivt,17560,17680,120
fixation.ivt,17820,18240,420
fixation.ivt,18340,18660,320
fixation.ivt,18780,19060,280
fixation.ivt,19400,19940,540
fixation.ivt,40,460,420
fixation.ivt,680,1020,340
fixation.ivt,1980,2260,280
fixation.ivt,2360,2620,260
fixation.ivt,3200,3320,120
fixation.ivt,3500,3660,160
fixation.ivt,3760,3940,180
fixation.ivt,4080,4240,160
fixation.ivt,4560,4680,120
fixation.ivt,4780,4920,140
fixation.ivt,5020,5160,140
fixation.ivt,5820,5920,100
fixation.ivt,6040,6200,160
fixation.ivt,6300,6440,140
fixation.ivt,6560,6840,280
fixation.ivt,6880,7340,460
fixation.ivt,7440,7600,160
fixation.ivt,7700,7880,180
fixation.ivt,7980,8240,260
fixation.ivt,8360,8460,100
fixation.ivt,8760,8980,220
fixation.ivt,9080,9200,120
fixation.ivt,9380,9520,140
fixation.ivt,10040,10200,160
fixation.ivt,11120,11420,300
fixation.ivt,12020,12520,500
fixation.ivt,12620,12840,220
fixation.ivt,13520,14020,500
fixation.ivt,14140,14400,260
fixation.ivt,14540,14780,240
fixation.ivt,15440,15540,100
fixation.ivt,15960,16580,620
fixation.ivt,16700,16940,240
fixation.ivt,17080,17460,380
fixation.ivt,17560,17680,120
fixation.ivt,17820,18240,420
fixation.ivt,18340,18660,320
fixation.ivt,18780,19060,280
fixation.ivt,19400,19940,540
fixation.ivt,40,460,420
fixation.ivt,680,1020,340
fixation.ivt,1980,2260,280
fixation.ivt,2360,2620,260
fixation.ivt,3200,3320,120
fixation.ivt,3500,3660,160
fixation.ivt,3760,3940,180
fixation.ivt,4080,4240,160
fixation.ivt,4560,4680,120
fixation.ivt,4780,4920,140
fixation.ivt,5020,5160,140
fixation.ivt,5820,5920,100
fixation.ivt,6040,6200,160
fixation.ivt,6300,6440,140
fixation.ivt,6560,6840,280
fixation.ivt,6880,7340,460
fixation.ivt,7440,7600,160
fixation.ivt,7700,7880,180
fixation.ivt,7980,8240,260
fixation.ivt,8360,8460,100
fixation.ivt,8760,8980,220
fixation.ivt,9080,9200,120
fixation.ivt,9380,9520,140
fixation.ivt,10040,10200,160
fixation.ivt,11120,11420,300
fixation.ivt,12020,12520,500
fixation.ivt,12620,12840,220
fixation.ivt,13520,14020,500
fixation.ivt,14140,14400,260
fixation.ivt,14540,14780,240
fixation.ivt,15440,15540,100
fixation.ivt,15960,16580,620
fixation.ivt,16700,16940,240
fixation.ivt,17080,17460,380
fixation.ivt,17560,17680,120
fixation.ivt,17820,18240,420
fixation.ivt,18340,18660,320
fixation.ivt,18780,19060,280
fixation.ivt,19400,19940,540
fixation.ivt,40,460,420
fixation.ivt,680,1020,340
fixation.ivt,1980,2260,280
fixation.ivt,2360,2620,260
fixation.ivt,3200,3320,120
fixation.ivt,3500,3660,160
fixation.ivt,3760,3940,180
fixation.ivt,4080,4240,160
fixation.ivt,4560,4680,120
fixation.ivt,4780,4920,140
fixation.ivt,5020,5160,140
fixation.ivt,5820,5920,100
fixation.ivt,6040,6200,160
fixation.ivt,6300,6440,140
fixation.ivt,6560,6840,280
fixation.ivt,6880,7340,460
fixation.ivt,7440,7600,160
fixation.ivt,7700,7880,180
fixation.ivt,7980,8240,260
fixation.ivt,8360,8460,100
fixation.ivt,8760,8980,220
fixation.ivt,9080,9200,120
fixation.ivt,9380,9520,140
fixation.ivt,10040,10200,160
fixation.ivt,11120,11420,300
fixation.ivt,12020,12520,500
fixation.ivt,12620,12840,220
fixation.ivt,13520,14020,500
fixation.ivt,14140,14400,260
fixation.ivt,14540,14780,240
fixation.ivt,15440,15540,100
fixation.ivt,15960,16580,620
fixation.ivt,16700,16940,240
fixation.ivt,17080,17460,380
fixation.ivt,17560,17680,120
fixation.ivt,17820,18240,420
fixation.ivt,18340,18660,320
fixation.ivt,18780,19060,280
fixation.ivt,19400,19940,540
fixation.ivt,40,460,420
fixation.ivt,680,1020,340
fixation.ivt,1980,2260,280
fixation.ivt,2360,2620,260
fixation.ivt,3200,3320,120
fixation.ivt,3500,3660,160
fixation.ivt,3760,3940,180
fixation.ivt,4080,4240,160
fixation.ivt,4560,4680,120
fixation.ivt,4780,4920,140
fixation.ivt,5020,5160,140
fixation.ivt,5820,5920,100
fixation.ivt,6040,6200,160
fixation.ivt,6300,6440,140
fixation.ivt,6560,6840,280
fixation.ivt,6880,7340,460
fixation.ivt,7440,7600,160
fixation.ivt,7700,7880,180
fixation.ivt,7980,8240,260
fixation.ivt,8360,8460,100
fixation.ivt,8760,8980,220
fixation.ivt,9080,9200,120
fixation.ivt,9380,9520,140
fixation.ivt,10040,10200,160
fixation.ivt,11120,11420,300
fixation.ivt,12020,12520,500
fixation.ivt,12620,12840,220
fixation.ivt,13520,14020,500
fixation.ivt,14140,14400,260
fixation.ivt,14540,14780,240
fixation.ivt,15440,15540,100
fixation.ivt,15960,16580,620
fixation.ivt,16700,16940,240
fixation.ivt,17080,17460,380
fixation.ivt,17560,17680,120
fixation.ivt,17820,18240,420
fixation.ivt,18340,18660,320
fixation.ivt,18780,19060,280
fixation.ivt,19400,19940,540
fixation.ivt,40,460,420
fixation.ivt,680,1020,340
fixation.ivt,1980,2260,280
fixation.ivt,2360,2620,260
fixation.ivt,3200,3320,120
fixation.ivt,3500,3660,160
fixation.ivt,3760,3940,180
fixation.ivt,4080,4240,160
fixation.ivt,4560,4680,120
fixation.ivt,4780,4920,140
fixation.ivt,5020,5160,140
fixation.ivt,5820,5920,100
fixation.ivt,6040,6200,160
fixation.ivt,6300,6440,140
fixation.ivt,6560,6840,280
fixation.ivt,6880,7340,460
fixation.ivt,7440,7600,160
fixation.ivt,7700,7880,180
fixation.ivt,7980,8240,260
fixation.ivt,8360,8460,100
fixation.ivt,8760,8980,220
fixation.ivt,9080,9200,120
fixation.ivt,9380,9520,140
fixation.ivt,10040,10200,160
fixation.ivt,11120,11420,300
fixation.ivt,12020,12520,500
fixation.ivt,12620,12840,220
fixation.ivt,13520,14020,500
fixation.ivt,14140,14400,260
fixation.ivt,14540,14780,240
fixation.ivt,15440,15540,100
fixation.ivt,15960,16580,620
fixation.ivt,16700,16940,240
fixation.ivt,17080,17460,380
fixation.ivt,17560,17680,120
fixation.ivt,17820,18240,420
fixation.ivt,18340,18660,320
fixation.ivt,18780,19060,280
fixation.ivt,19400,19940,540
fixation.ivt,40,460,420
fixation.ivt,680,1020,340
fixation.ivt,1980,2260,280
fixation.ivt,2360,2620,260
fixation.ivt,3200,3320,120
fixation.ivt,3500,3660,160
fixation.ivt,3760,3940,180
fixation.ivt,4080,4240,160
fixation.ivt,4560,4680,120
fixation.ivt,4780,4920,140
fixation.ivt,5020,5160,140
fixation.ivt,5820,5920,100
fixation.ivt,6040,6200,160
fixation.ivt,6300,6440,140
fixation.ivt,6560,6840,280
fixation.ivt,6880,7340,460
fixation.ivt,7440,7600,160
fixation.ivt,7700,7880,180
fixation.ivt,7980,8240,260
fixation.ivt,8360,8460,100
fixation.ivt,8760,8980,220
fixation.ivt,9080,9200,120
fixation.ivt,9380,9520,140
fixation.ivt,10040,10200,160
fixation.ivt,11120,11420,300
fixation.ivt,12020,12520,500
fixation.ivt,12620,12840,220
fixation.ivt,13520,14020,500
fixation.ivt,14140,14400,260
fixation.ivt,14540,14780,240
fixation.ivt,15440,15540,100
fixation.ivt,15960,16580,620
fixation.ivt,16700,16940,240
fixation.ivt,17080,17460,380
fixation.ivt,17560,17680,120
fixation.ivt,17820,18240,420
fixation.ivt,18340,18660,320
fixation.ivt,18780,19060,280
fixation.ivt,19400,19940,540
fixation.ivt,40,460,420
fixation.ivt,680,1020,340
fixation.ivt,1980,2260,280
fixation.ivt,2360,2620,260
fixation.ivt,3200,3320,120
fixation.ivt,3500,3660,160
fixation.ivt,3760,3940,180
fixation.ivt,4080,4240,160
fixation.ivt,4560,4680,120
fixation.ivt,4780,4920,140
fixation.ivt,5020,5160,140
fixation.ivt,5820,5920,100
fixation.ivt,6040,6200,160
fixation.ivt,6300,6440,140
fixation.ivt,6560,6840,280
fixation.ivt,6880,7340,460
fixation.ivt,7440,7600,160
fixation.ivt,7700,7880,180
fixation.ivt,7980,8240,260
fixation.ivt,8360,8460,100
fixation.ivt,8760,8980,220
fixation.ivt,9080,9200,120
fixation.ivt,9380,9520,140
fixation.ivt,10040,10200,160
fixation.ivt,11120,11420,300
fixation.ivt,12020,12520,500
fixation.ivt,12620,12840,220
fixation.ivt,13520,14020,500
fixation.ivt,14140,14400,260
fixation.ivt,14540,14780,240
fixation.ivt,15440,15540,100
fixation.ivt,15960,16580,620
fixation.ivt,16700,16940,240
fixation.ivt,17080,17460,380
fixation.ivt,17560,17680,120
fixation.ivt,17820,18240,420
fixation.ivt,18340,18660,320
fixation.ivt,18780,19060,280
fixation.ivt,19400,19940,540
fixation.ivt,40,460,420
fixation.ivt,680,1020,340
fixation.ivt,1980,2260,280
fixation.ivt,2360,2620,260
fixation.ivt,3200,3320,120
fixation.ivt,3500,3660,160
fixation.ivt,3760,3940,180
fixation.ivt,4080,4240,160
fixation.ivt,4560,4680,120
fixation.ivt,4780,4920,140
fixation.ivt,5020,5160,140
fixation.ivt,5820,5920,100
fixation.ivt,6040,6200,160
fixation.ivt,6300,6440,140
fixation.ivt,6560,6840,280
fixation.ivt,6880,7340,460
fixation.ivt,7440,7600,160
fixation.ivt,7700,7880,180
fixation.ivt,7980,8240,260
fixation.ivt,8360,8460,100
fixation.ivt,8760,8980,220
fixation.ivt,9080,9200,120
fixation.ivt,9380,9520,140
fixation.ivt,10040,10200,160
fixation.ivt,11120,11420,300
fixation.ivt,12020,12520,500
fixation.ivt,12620,12840,220
fixation.ivt,13520,14020,500
fixation.ivt,14140,14400,260
fixation.ivt,14540,14780,240
fixation.ivt,15440,15540,100
fixation.ivt,15960,16580,620
fixation.ivt,16700,16940,240
fixation.ivt,17080,17460,380
fixation.ivt,17560,17680,120
fixation.ivt,17820,18240,420
fixation.ivt,18340,18660,320
fixation.ivt,18780,19060,280
fixation.ivt,19400,19940,540
