name,onset,offset,duration
fixation.ivt,29360,29840,480
fixation.ivt,40,640,600
fixation.ivt,1320,1640,320
fixation.ivt,1740,1940,200
fixation.ivt,2040,2240,200
fixation.ivt,2300,2460,160
fixation.ivt,2560,3180,620
fixation.ivt,3280,4020,740
fixation.ivt,4500,4600,100
fixation.ivt,4640,5020,380
fixation.ivt,5120,6100,980
fixation.ivt,6360,6660,300
fixation.ivt,6700,6820,120
fixation.ivt,7140,7900,760
fixation.ivt,8100,8560,460
fixation.ivt,8660,8880,220
fixation.ivt,8940,9080,140
fixation.ivt,9200,9300,100
fixation.ivt,9380,9740,360
fixation.ivt,9860,10660,800
fixation.ivt,10920,11140,220
fixation.ivt,11240,11400,160
fixation.ivt,11460,11780,320
fixation.ivt,11880,12060,180
fixation.ivt,12160,12420,260
fixation.ivt,12540,13000,460
fixation.ivt,13140,13780,640
fixation.ivt,13860,14120,260
fixation.ivt,14180,14300,120
fixation.ivt,14460,14800,340
fixation.ivt,14900,15080,180
fixation.ivt,15180,15660,480
fixation.ivt,15720,15820,100
fixation.ivt,15920,16080,160
fixation.ivt,16140,16400,260
fixation.ivt,16460,16560,100
fixation.ivt,16640,16760,120
fixation.ivt,17200,17440,240
fixation.ivt,17500,18040,540
fixation.ivt,18140,18260,120
fixation.ivt,18480,18920,440
fixation.ivt,19240,19400,160
fixation.ivt,19720,19820,100
fixation.ivt,19920,20080,160
fixation.ivt,20140,20640,500
fixation.ivt,21000,21260,260
fixation.ivt,21320,22280,960
fixation.ivt,22460,22800,340
fixation.ivt,22880,23060,180
fixation.ivt,23300,23440,140
fixation.ivt,23520,23940,420
fixation.ivt,24000,24980,980
fixation.ivt,25080,25700,620
fixation.ivt,25780,26240,460
fixation.ivt,26340,26600,260
fixation.ivt,26700,26980,280
fixation.ivt,27020,27140,120
fixation.ivt,27220,27420,200
fixation.ivt,27480,27960,480
fixation.ivt,28000,28440,440
fixation.ivt,29360,29840,480
fixation.ivt,40,640,600
fixation.ivt,1320,1640,320
fixation.ivt,1740,1940,200
fixation.ivt,2040,2240,200
fixation.ivt,2300,2460,160
fixation.ivt,2560,3180,620
fixation.ivt,3280,4020,740
fixation.ivt,4500,4600,100
fixation.ivt,4640,5020,380
fixation.ivt,5120,6100,980
fixation.ivt,6360,6660,300
fixation.ivt,6700,6820,120
fixation.ivt,7140,7900,760
fixation.ivt,8100,8560,460
fixation.ivt,8660,8880,220
fixation.ivt,8940,9080,140
fixation.ivt,9200,9300,100
fixation.ivt,9380,9740,360
fixation.ivt,9860,10660,800
fixation.ivt,10920,11140,220
fixation.ivt,11240,11400,160
fixation.ivt,11460,11780,320
fixation.ivt,11880,12060,180
fixation.ivt,12160,12420,260
fixation.ivt,12540,13000,460
fixation.ivt,13140,13780,640
fixation.ivt,13860,14120,260
fixation.ivt,14180,14300,120
fixation.ivt,14460,14800,340
fixation.ivt,14900,15080,180
fixation.ivt,15180,15660,480
fixation.ivt,15720,15820,100
fixation.ivt,15920,16080,160
fixation.ivt,16140,16400,260
fixation.ivt,16460,16560,100
fixation.ivt,16640,16760,120
fixation.ivt,17200,17440,240
fixation.ivt,17500,18040,540
fixation.ivt,18140,18260,120
fixation.ivt,18480,18920,440
fixation.ivt,19240,19400,160
fixation.ivt,19720,19820,100
fixation.ivt,19920,20080,160
fixation.ivt,20140,20640,500
fixation.ivt,21000,21260,260
fixation.ivt,21320,22280,960
fixation.ivt,22460,22800,340
fixation.ivt,22880,23060,180
fixation.ivt,23300,23440,140
fixation.ivt,23520,23940,420
fixation.ivt,24000,24980,980
fixation.ivt,25080,25700,620
fixation.ivt,25780,26240,460
fixation.ivt,26340,26600,260
fixation.ivt,26700,26980,280
fixation.ivt,27020,27140,120
fixation.ivt,27220,27420,200
fixation.ivt,27480,27960,480
fixation.ivt,28000,28440,440
fixation.ivt,29360,29840,480
fixation.ivt,40,640,600
fixation.ivt,1320,1640,320
fixation.ivt,1740,1940,200
fixation.ivt,2040,2240,200
fixation.ivt,2300,2460,160
fixation.ivt,2560,3180,620
fixation.ivt,3280,4020,740
fixation.ivt,4500,4600,100
fixation.ivt,4640,5020,380
fixation.ivt,5120,6100,980
fixation.ivt,6360,6660,300
fixation.ivt,6700,6820,120
fixation.ivt,7140,7900,760
fixation.ivt,8100,8560,460
fixation.ivt,8660,8880,220
fixation.ivt,8940,9080,140
fixation.ivt,9200,9300,100
fixation.ivt,9380,9740,360
fixation.ivt,9860,10660,800
fixation.ivt,10920,11140,220
fixation.ivt,11240,11400,160
fixation.ivt,11460,11780,320
fixation.ivt,11880,12060,180
fixation.ivt,12160,12420,260
fixation.ivt,12540,13000,460
fixation.ivt,13140,13780,640
fixation.ivt,13860,14120,260
fixation.ivt,14180,14300,120
fixation.ivt,14460,14800,340
fixation.ivt,14900,15080,180
fixation.ivt,15180,15660,480
fixation.ivt,15720,15820,100
fixation.ivt,15920,16080,160
fixation.ivt,16140,16400,260
fixation.ivt,16460,16560,100
fixation.ivt,16640,16760,120
fixation.ivt,17200,17440,240
fixation.ivt,17500,18040,540
fixation.ivt,18140,18260,120
fixation.ivt,18480,18920,440
fixation.ivt,19240,19400,160
fixation.ivt,19720,19820,100
fixation.ivt,19920,20080,160
fixation.ivt,20140,20640,500
fixation.ivt,21000,21260,260
fixation.ivt,21320,22280,960
fixation.ivt,22460,22800,340
fixation.ivt,22880,23060,180
fixation.ivt,23300,23440,140
fixation.ivt,23520,23940,420
fixation.ivt,24000,24980,980
fixation.ivt,25080,25700,620
fixation.ivt,25780,26240,460
fixation.ivt,26340,26600,260
fixation.ivt,26700,26980,280
fixation.ivt,27020,27140,120
fixation.ivt,27220,27420,200
fixation.ivt,27480,27960,480
fixation.ivt,28000,28440,440
fixation.ivt,29360,29840,480
fixation.ivt,40,640,600
fixation.ivt,1320,1640,320
fixation.ivt,1740,1940,200
fixation.ivt,2040,2240,200
fixation.ivt,2300,2460,160
fixation.ivt,2560,3180,620
fixation.ivt,3280,4020,740
fixation.ivt,4500,4600,100
fixation.ivt,4640,5020,380
fixation.ivt,5120,6100,980
fixation.ivt,6360,6660,300
fixation.ivt,6700,6820,120
fixation.ivt,7140,7900,760
fixation.ivt,8100,8560,460
fixation.ivt,8660,8880,220
fixation.ivt,8940,9080,140
fixation.ivt,9200,9300,100
fixation.ivt,9380,9740,360
fixation.ivt,9860,10660,800
fixation.ivt,10920,11140,220
fixation.ivt,11240,11400,160
fixation.ivt,11460,11780,320
fixation.ivt,11880,12060,180
fixation.ivt,12160,12420,260
fixation.ivt,12540,13000,460
fixation.ivt,13140,13780,640
fixation.ivt,13860,14120,260
fixation.ivt,14180,14300,120
fixation.ivt,14460,14800,340
fixation.ivt,14900,15080,180
fixation.ivt,15180,15660,480
fixation.ivt,15720,15820,100
fixation.ivt,15920,16080,160
fixation.ivt,16140,16400,260
fixation.ivt,16460,16560,100
fixation.ivt,16640,16760,120
fixation.ivt,17200,17440,240
fixation.ivt,17500,18040,540
fixation.ivt,18140,18260,120
fixation.ivt,18480,18920,440
fixation.ivt,19240,19400,160
fixation.ivt,19720,19820,100
fixation.ivt,19920,20080,160
fixation.ivt,20140,20640,500
fixation.ivt,21000,21260,260
fixation.ivt,21320,22280,960
fixation.ivt,22460,22800,340
fixation.ivt,22880,23060,180
fixation.ivt,23300,23440,140
fixation.ivt,23520,23940,420
fixation.ivt,24000,24980,980
fixation.ivt,25080,25700,620
fixation.ivt,25780,26240,460
fixation.ivt,26340,26600,260
fixation.ivt,26700,26980,280
fixation.ivt,27020,27140,120
fixation.ivt,27220,27420,200
fixation.ivt,27480,27960,480
fixation.ivt,28000,28440,440
fixation.ivt,29360,29840,480
fixation.ivt,40,640,600
fixation.ivt,1320,1640,320
fixation.ivt,1740,1940,200
fixation.ivt,2040,2240,200
fixation.ivt,2300,2460,160
fixation.ivt,2560,3180,620
fixation.ivt,3280,4020,740
fixation.ivt,4500,4600,100
fixation.ivt,4640,5020,380
fixation.ivt,5120,6100,980
fixation.ivt,6360,6660,300
fixation.ivt,6700,6820,120
fixation.ivt,7140,7900,760
fixation.ivt,8100,8560,460
fixation.ivt,8660,8880,220
fixation.ivt,8940,9080,140
fixation.ivt,9200,9300,100
fixation.ivt,9380,9740,360
fixation.ivt,9860,10660,800
fixation.ivt,10920,11140,220
fixation.ivt,11240,11400,160
fixation.ivt,11460,11780,320
fixation.ivt,11880,12060,180
fixation.ivt,12160,12420,260
fixation.ivt,12540,13000,460
fixation.ivt,13140,13780,640
fixation.ivt,13860,14120,260
fixation.ivt,14180,14300,120
fixation.ivt,14460,14800,340
fixation.ivt,14900,15080,180
fixation.ivt,15180,15660,480
fixation.ivt,15720,15820,100
fixation.ivt,15920,16080,160
fixation.ivt,16140,16400,260
fixation.ivt,16460,16560,100
fixation.ivt,16640,16760,120
fixation.ivt,17200,17440,240
fixation.ivt,17500,18040,540
fixation.ivt,18140,18260,120
fixation.ivt,18480,18920,440
fixation.ivt,19240,19400,160
fixation.ivt,19720,19820,100
fixation.ivt,19920,20080,160
fixation.ivt,20140,20640,500
fixation.ivt,21000,21260,260
fixation.ivt,21320,22280,960
fixation.ivt,22460,22800,340
fixation.ivt,22880,23060,180
fixation.ivt,23300,23440,140
fixation.ivt,23520,23940,420
fixation.ivt,24000,24980,980
fixation.ivt,25080,25700,620
fixation.ivt,25780,26240,460
fixation.ivt,26340,26600,260
fixation.ivt,26700,26980,280
fixation.ivt,27020,27140,120
fixation.ivt,27220,27420,200
fixation.ivt,27480,27960,480
fixation.ivt,28000,28440,440
fixation.ivt,29360,29840,480
fixation.ivt,40,640,600
fixation.ivt,1320,1640,320
fixation.ivt,1740,1940,200
fixation.ivt,2040,2240,200
fixation.ivt,2300,2460,160
fixation.ivt,2560,3180,620
fixation.ivt,3280,4020,740
fixation.ivt,4500,4600,100
fixation.ivt,4640,5020,380
fixation.ivt,5120,6100,980
fixation.ivt,6360,6660,300
fixation.ivt,6700,6820,120
fixation.ivt,7140,7900,760
fixation.ivt,8100,8560,460
fixation.ivt,8660,8880,220
fixation.ivt,8940,9080,140
fixation.ivt,9200,9300,100
fixation.ivt,9380,9740,360
fixation.ivt,9860,10660,800
fixation.ivt,10920,11140,220
fixation.ivt,11240,11400,160
fixation.ivt,11460,11780,320
fixation.ivt,11880,12060,180
fixation.ivt,12160,12420,260
fixation.ivt,12540,13000,460
fixation.ivt,13140,13780,640
fixation.ivt,13860,14120,260
fixation.ivt,14180,14300,120
fixation.ivt,14460,14800,340
fixation.ivt,14900,15080,180
fixation.ivt,15180,15660,480
fixation.ivt,15720,15820,100
fixation.ivt,15920,16080,160
fixation.ivt,16140,16400,260
fixation.ivt,16460,16560,100
fixation.ivt,16640,16760,120
fixation.ivt,17200,17440,240
fixation.ivt,17500,18040,540
fixation.ivt,18140,18260,120
fixation.ivt,18480,18920,440
fixation.ivt,19240,19400,160
fixation.ivt,19720,19820,100
fixation.ivt,19920,20080,160
fixation.ivt,20140,20640,500
fixation.ivt,21000,21260,260
fixation.ivt,21320,22280,960
fixation.ivt,22460,22800,340
fixation.ivt,22880,23060,180
fixation.ivt,23300,23440,140
fixation.ivt,23520,23940,420
fixation.ivt,24000,24980,980
fixation.ivt,25080,25700,620
fixation.ivt,25780,26240,460
fixation.ivt,26340,26600,260
fixation.ivt,26700,26980,280
fixation.ivt,27020,27140,120
fixation.ivt,27220,27420,200
fixation.ivt,27480,27960,480
fixation.ivt,28000,28440,440
fixation.ivt,29360,29840,480
fixation.ivt,40,640,600
fixation.ivt,1320,1640,320
fixation.ivt,1740,1940,200
fixation.ivt,2040,2240,200
fixation.ivt,2300,2460,160
fixation.ivt,2560,3180,620
fixation.ivt,3280,4020,740
fixation.ivt,4500,4600,100
fixation.ivt,4640,5020,380
fixation.ivt,5120,6100,980
fixation.ivt,6360,6660,300
fixation.ivt,6700,6820,120
fixation.ivt,7140,7900,760
fixation.ivt,8100,8560,460
fixation.ivt,8660,8880,220
fixation.ivt,8940,9080,140
fixation.ivt,9200,9300,100
fixation.ivt,9380,9740,360
fixation.ivt,9860,10660,800
fixation.ivt,10920,11140,220
fixation.ivt,11240,11400,160
fixation.ivt,11460,11780,320
fixation.ivt,11880,12060,180
fixation.ivt,12160,12420,260
fixation.ivt,12540,13000,460
fixation.ivt,13140,13780,640
fixation.ivt,13860,14120,260
fixation.ivt,14180,14300,120
fixation.ivt,14460,14800,340
fixation.ivt,14900,15080,180
fixation.ivt,15180,15660,480
fixation.ivt,15720,15820,100
fixation.ivt,15920,16080,160
fixation.ivt,16140,16400,260
fixation.ivt,16460,16560,100
fixation.ivt,16640,16760,120
fixation.ivt,17200,17440,240
fixation.ivt,17500,18040,540
fixation.ivt,18140,18260,120
fixation.ivt,18480,18920,440
fixation.ivt,19240,19400,160
fixation.ivt,19720,19820,100
fixation.ivt,19920,20080,160
fixation.ivt,20140,20640,500
fixation.ivt,21000,21260,260
fixation.ivt,21320,22280,960
fixation.ivt,22460,22800,340
fixation.ivt,22880,23060,180
fixation.ivt,23300,23440,140
fixation.ivt,23520,23940,420
fixation.ivt,24000,24980,980
fixation.ivt,25080,25700,620
fixation.ivt,25780,26240,460
fixation.ivt,26340,26600,260
fixation.ivt,26700,26980,280
fixation.ivt,27020,27140,120
fixation.ivt,27220,27420,200
fixation.ivt,27480,27960,480
fixation.ivt,28000,28440,440
fixation.ivt,29360,29840,480
fixation.ivt,40,640,600
fixation.ivt,1320,1640,320
fixation.ivt,1740,1940,200
fixation.ivt,2040,2240,200
fixation.ivt,2300,2460,160
fixation.ivt,2560,3180,620
fixation.ivt,3280,4020,740
fixation.ivt,4500,4600,100
fixation.ivt,4640,5020,380
fixation.ivt,5120,6100,980
fixation.ivt,6360,6660,300
fixation.ivt,6700,6820,120
fixation.ivt,7140,7900,760
fixation.ivt,8100,8560,460
fixation.ivt,8660,8880,220
fixation.ivt,8940,9080,140
fixation.ivt,9200,9300,100
fixation.ivt,9380,9740,360
fixation.ivt,9860,10660,800
fixation.ivt,10920,11140,220
fixation.ivt,11240,11400,160
fixation.ivt,11460,11780,320
fixation.ivt,11880,12060,180
fixation.ivt,12160,12420,260
fixation.ivt,12540,13000,460
fixation.ivt,13140,13780,640
fixation.ivt,13860,14120,260
fixation.ivt,14180,14300,120
fixation.ivt,14460,14800,340
fixation.ivt,14900,15080,180
fixation.ivt,15180,15660,480
fixation.ivt,15720,15820,100
fixation.ivt,15920,16080,160
fixation.ivt,16140,16400,260
fixation.ivt,16460,16560,100
fixation.ivt,16640,16760,120
fixation.ivt,17200,17440,240
fixation.ivt,17500,18040,540
fixation.ivt,18140,18260,120
fixation.ivt,18480,18920,440
fixation.ivt,19240,19400,160
fixation.ivt,19720,19820,100
fixation.ivt,19920,20080,160
fixation.ivt,20140,20640,500
fixation.ivt,21000,21260,260
fixation.ivt,21320,22280,960
fixation.ivt,22460,22800,340
fixation.ivt,22880,23060,180
fixation.ivt,23300,23440,140
fixation.ivt,23520,23940,420
fixation.ivt,24000,24980,980
fixation.ivt,25080,25700,620
fixation.ivt,25780,26240,460
fixation.ivt,26340,26600,260
fixation.ivt,26700,26980,280
fixation.ivt,27020,27140,120
fixation.ivt,27220,27420,200
fixation.ivt,27480,27960,480
fixation.ivt,28000,28440,440
fixation.ivt,29360,29840,480
fixation.ivt,40,640,600
fixation.ivt,1320,1640,320
fixation.ivt,1740,1940,200
fixation.ivt,2040,2240,200
fixation.ivt,2300,2460,160
fixation.ivt,2560,3180,620
fixation.ivt,3280,4020,740
fixation.ivt,4500,4600,100
fixation.ivt,4640,5020,380
fixation.ivt,5120,6100,980
fixation.ivt,6360,6660,300
fixation.ivt,6700,6820,120
fixation.ivt,7140,7900,760
fixation.ivt,8100,8560,460
fixation.ivt,8660,8880,220
fixation.ivt,8940,9080,140
fixation.ivt,9200,9300,100
fixation.ivt,9380,9740,360
fixation.ivt,9860,10660,800
fixation.ivt,10920,11140,220
fixation.ivt,11240,11400,160
fixation.ivt,11460,11780,320
fixation.ivt,11880,12060,180
fixation.ivt,12160,12420,260
fixation.ivt,12540,13000,460
fixation.ivt,13140,13780,640
fixation.ivt,13860,14120,260
fixation.ivt,14180,14300,120
fixation.ivt,14460,14800,340
fixation.ivt,14900,15080,180
fixation.ivt,15180,15660,480
fixation.ivt,15720,15820,100
fixation.ivt,15920,16080,160
fixation.ivt,16140,16400,260
fixation.ivt,16460,16560,100
fixation.ivt,16640,16760,120
fixation.ivt,17200,17440,240
fixation.ivt,17500,18040,540
fixation.ivt,18140,18260,120
fixation.ivt,18480,18920,440
fixation.ivt,19240,19400,160
fixation.ivt,19720,19820,100
fixation.ivt,19920,20080,160
fixation.ivt,20140,20640,500
fixation.ivt,21000,21260,260
fixation.ivt,21320,22280,960
fixation.ivt,22460,22800,340
fixation.ivt,22880,23060,180
fixation.ivt,23300,23440,140
fixation.ivt,23520,23940,420
fixation.ivt,24000,24980,980
fixation.ivt,25080,25700,620
fixation.ivt,25780,26240,460
fixation.ivt,26340,26600,260
fixation.ivt,26700,26980,280
fixation.ivt,27020,27140,120
fixation.ivt,27220,27420,200
fixation.ivt,27480,27960,480
fixation.ivt,28000,28440,440
fixation.ivt,29360,29840,480
