name,onset,offset,duration
fixation.ivt,28140,28400,260
fixation.ivt,40,680,640
fixation.ivt,940,1080,140
fixation.ivt,1320,1440,120
fixation.ivt,1860,1960,100
fixation.ivt,2520,2640,120
fixation.ivt,2680,2780,100
fixation.ivt,2900,3000,100
fixation.ivt,3120,3260,140
fixation.ivt,3380,3500,120
fixation.ivt,3580,3680,100
fixation.ivt,3780,4080,300
fixation.ivt,4540,4760,220
fixation.ivt,5140,5240,100
fixation.ivt,5480,5680,200
fixation.ivt,5980,6340,360
fixation.ivt,6420,6620,200
fixation.ivt,7020,7240,220
fixation.ivt,7340,7560,220
fixation.ivt,7660,7880,220
fixation.ivt,7960,8060,100
fixation.ivt,8160,8280,120
fixation.ivt,8420,8560,140
fixation.ivt,8660,8800,140
fixation.ivt,8880,8980,100
fixation.ivt,9120,9500,380
fixation.ivt,9620,9840,220
fixation.ivt,10260,10600,340
fixation.ivt,10720,10840,120
fixation.ivt,11280,11560,280
fixation.ivt,11660,11840,180
fixation.ivt,11940,12080,140
fixation.ivt,12140,12280,140
fixation.ivt,12400,12580,180
fixation.ivt,13000,13120,120
fixation.ivt,13240,13380,140
fixation.ivt,13700,14100,400
fixation.ivt,14360,14500,140
fixation.ivt,14600,14900,300
fixation.ivt,15000,15100,100
fixation.ivt,15180,15280,100
fixation.ivt,15380,15640,260
fixation.ivt,15740,15840,100
fixation.ivt,16120,16420,300
fixation.ivt,16680,16820,140
fixation.ivt,16940,17060,120
fixation.ivt,17160,17320,160
fixation.ivt,17440,18000,560
fixation.ivt,18460,18680,220
fixation.ivt,19200,19320,120
fixation.ivt,19440,19580,140
fixation.ivt,19680,19800,120
fixation.ivt,20080,20340,260
fixation.ivt,20660,20760,100
fixation.ivt,20860,21000,140
fixation.ivt,21300,21480,180
fixation.ivt,21560,21680,120
fixation.ivt,21980,22220,240
fixation.ivt,22560,22660,100
fixation.ivt,22780,22940,160
fixation.ivt,23060,23500,440
fixation.ivt,23640,24040,400
fixation.ivt,24140,24320,180
fixation.ivt,24440,24600,160
fixation.ivt,24700,24920,220
fixation.ivt,25040,25400,360
fixation.ivt,25540,25680,140
fixation.ivt,25740,26020,280
fixation.ivt,26140,26380,240
fixation.ivt,26500,26920,420
fixation.ivt,28140,28400,260
fixation.ivt,40,680,640
fixation.ivt,940,1080,140
fixation.ivt,1320,1440,120
fixation.ivt,1860,1960,100
fixation.ivt,2520,2640,120
fixation.ivt,2680,2780,100
fixation.ivt,2900,3000,100
fixation.ivt,3120,3260,140
fixation.ivt,3380,3500,120
fixation.ivt,3580,3680,100
fixation.ivt,3780,4080,300
fixation.ivt,4540,4760,220
fixation.ivt,5140,5240,100
fixation.ivt,5480,5680,200
fixation.ivt,5980,6340,360
fixation.ivt,6420,6620,200
fixation.ivt,7020,7240,220
fixation.ivt,7340,7560,220
fixation.ivt,7660,7880,220
fixation.ivt,7960,8060,100
fixation.ivt,8160,8280,120
fixation.ivt,8420,8560,140
fixation.ivt,8660,8800,140
fixation.ivt,8880,8980,100
fixation.ivt,9120,9500,380
fixation.ivt,9620,9840,220
fixation.ivt,10260,10600,340
fixation.ivt,10720,10840,120
fixation.ivt,11280,11560,280
fixation.ivt,11660,11840,180
fixation.ivt,11940,12080,140
fixation.ivt,12140,12280,140
fixation.ivt,12400,12580,180
fixation.ivt,13000,13120,120
fixation.ivt,13240,13380,140
fixation.ivt,13700,14100,400
fixation.ivt,14360,14500,140
fixation.ivt,14600,14900,300
fixation.ivt,15000,15100,100
fixation.ivt,15180,15280,100
fixation.ivt,15380,15640,260
fixation.ivt,15740,15840,100
fixation.ivt,16120,16420,300
fixation.ivt,16680,16820,140
fixation.ivt,16940,17060,120
fixation.ivt,17160,17320,160
fixation.ivt,17440,18000,560
fixation.ivt,18460,18680,220
fixation.ivt,19200,19320,120
fixation.ivt,19440,19580,140
fixation.ivt,19680,19800,120
fixation.ivt,20080,20340,260
fixation.ivt,20660,20760,100
fixation.ivt,20860,21000,140
fixation.ivt,21300,21480,180
fixation.ivt,21560,21680,120
fixation.ivt,21980,22220,240
fixation.ivt,22560,22660,100
fixation.ivt,22780,22940,160
fixation.ivt,23060,23500,440
fixation.ivt,23640,24040,400
fixation.ivt,24140,24320,180
fixation.ivt,24440,24600,160
fixation.ivt,24700,24920,220
fixation.ivt,25040,25400,360
fixation.ivt,25540,25680,140
fixation.ivt,25740,26020,280
fixation.ivt,26140,26380,240
fixation.ivt,26500,26920,420
fixation.ivt,28140,28400,260
fixation.ivt,40,680,640
fixation.ivt,940,1080,140
fixation.ivt,1320,1440,120
fixation.ivt,1860,1960,100
fixation.ivt,2520,2640,120
fixation.ivt,2680,2780,100
fixation.ivt,2900,3000,100
fixation.ivt,3120,3260,140
fixation.ivt,3380,3500,120
fixation.ivt,3580,3680,100
fixation.ivt,3780,4080,300
fixation.ivt,4540,4760,220
fixation.ivt,5140,5240,100
fixation.ivt,5480,5680,200
fixation.ivt,5980,6340,360
fixation.ivt,6420,6620,200
fixation.ivt,7020,7240,220
fixation.ivt,7340,7560,220
fixation.ivt,7660,7880,220
fixation.ivt,7960,8060,100
fixation.ivt,8160,8280,120
fixation.ivt,8420,8560,140
fixation.ivt,8660,8800,140
fixation.ivt,8880,8980,100
fixation.ivt,9120,9500,380
fixation.ivt,9620,9840,220
fixation.ivt,10260,10600,340
fixation.ivt,10720,10840,120
fixation.ivt,11280,11560,280
fixation.ivt,11660,11840,180
fixation.ivt,11940,12080,140
fixation.ivt,12140,12280,140
fixation.ivt,12400,12580,180
fixation.ivt,13000,13120,120
fixation.ivt,13240,13380,140
fixation.ivt,13700,14100,400
fixation.ivt,14360,14500,140
fixation.ivt,14600,14900,300
fixation.ivt,15000,15100,100
fixation.ivt,15180,15280,100
fixation.ivt,15380,15640,260
fixation.ivt,15740,15840,100
fixation.ivt,16120,16420,300
fixation.ivt,16680,16820,140
fixation.ivt,16940,17060,120
fixation.ivt,17160,17320,160
fixation.ivt,17440,18000,560
fixation.ivt,18460,18680,220
fixation.ivt,19200,19320,120
fixation.ivt,19440,19580,140
fixation.ivt,19680,19800,120
fixation.ivt,20080,20340,260
fixation.ivt,20660,20760,100
fixation.ivt,20860,21000,140
fixation.ivt,21300,21480,180
fixation.ivt,21560,21680,120
fixation.ivt,21980,22220,240
fixation.ivt,22560,22660,100
fixation.ivt,22780,22940,160
fixation.ivt,23060,23500,440
fixation.ivt,23640,24040,400
fixation.ivt,24140,24320,180
fixation.ivt,24440,24600,160
fixation.ivt,24700,24920,220
fixation.ivt,25040,25400,360
fixation.ivt,25540,25680,140
fixation.ivt,25740,26020,280
fixation.ivt,26140,26380,240
fixation.ivt,26500,26920,420
fixation.ivt,28140,28400,260
fixation.ivt,40,680,640
fixation.ivt,940,1080,140
fixation.ivt,1320,1440,120
fixation.ivt,1860,1960,100
fixation.ivt,2520,2640,120
fixation.ivt,2680,2780,100
fixation.ivt,2900,3000,100
fixation.ivt,3120,3260,140
fixation.ivt,3380,3500,120
fixation.ivt,3580,3680,100
fixation.ivt,3780,4080,300
fixation.ivt,4540,4760,220
fixation.ivt,5140,5240,100
fixation.ivt,5480,5680,200
fixation.ivt,5980,6340,360
fixation.ivt,6420,6620,200
fixation.ivt,7020,7240,220
fixation.ivt,7340,7560,220
fixation.ivt,7660,7880,220
fixation.ivt,7960,8060,100
fixation.ivt,8160,8280,120
fixation.ivt,8420,8560,140
fixation.ivt,8660,8800,140
fixation.ivt,8880,8980,100
fixation.ivt,9120,9500,380
fixation.ivt,9620,9840,220
fixation.ivt,10260,10600,340
fixation.ivt,10720,10840,120
fixation.ivt,11280,11560,280
fixation.ivt,11660,11840,180
fixation.ivt,11940,12080,140
fixation.ivt,12140,12280,140
fixation.ivt,12400,12580,180
fixation.ivt,13000,13120,120
fixation.ivt,13240,13380,140
fixation.ivt,13700,14100,400
fixation.ivt,14360,14500,140
fixation.ivt,14600,14900,300
fixation.ivt,15000,15100,100
fixation.ivt,15180,15280,100
fixation.ivt,15380,15640,260
fixation.ivt,15740,15840,100
fixation.ivt,16120,16420,300
fixation.ivt,16680,16820,140
fixation.ivt,16940,17060,120
fixation.ivt,17160,17320,160
fixation.ivt,17440,18000,560
fixation.ivt,18460,18680,220
fixation.ivt,19200,19320,120
fixation.ivt,19440,19580,140
fixation.ivt,19680,19800,120
fixation.ivt,20080,20340,260
fixation.ivt,20660,20760,100
fixation.ivt,20860,21000,140
fixation.ivt,21300,21480,180
fixation.ivt,21560,21680,120
fixation.ivt,21980,22220,240
fixation.ivt,22560,22660,100
fixation.ivt,22780,22940,160
fixation.ivt,23060,23500,440
fixation.ivt,23640,24040,400
fixation.ivt,24140,24320,180
fixation.ivt,24440,24600,160
fixation.ivt,24700,24920,220
fixation.ivt,25040,25400,360
fixation.ivt,25540,25680,140
fixation.ivt,25740,26020,280
fixation.ivt,26140,26380,240
fixation.ivt,26500,26920,420
fixation.ivt,28140,28400,260
fixation.ivt,40,680,640
fixation.ivt,940,1080,140
fixation.ivt,1320,1440,120
fixation.ivt,1860,1960,100
fixation.ivt,2520,2640,120
fixation.ivt,2680,2780,100
fixation.ivt,2900,3000,100
fixation.ivt,3120,3260,140
fixation.ivt,3380,3500,120
fixation.ivt,3580,3680,100
fixation.ivt,3780,4080,300
fixation.ivt,4540,4760,220
fixation.ivt,5140,5240,100
fixation.ivt,5480,5680,200
fixation.ivt,5980,6340,360
fixation.ivt,6420,6620,200
fixation.ivt,7020,7240,220
fixation.ivt,7340,7560,220
fixation.ivt,7660,7880,220
fixation.ivt,7960,8060,100
fixation.ivt,8160,8280,120
fixation.ivt,8420,8560,140
fixation.ivt,8660,8800,140
fixation.ivt,8880,8980,100
fixation.ivt,9120,9500,380
fixation.ivt,9620,9840,220
fixation.ivt,10260,10600,340
fixation.ivt,10720,10840,120
fixation.ivt,11280,11560,280
fixation.ivt,11660,11840,180
fixation.ivt,11940,12080,140
fixation.ivt,12140,12280,140
fixation.ivt,12400,12580,180
fixation.ivt,13000,13120,120
fixation.ivt,13240,13380,140
fixation.ivt,13700,14100,400
fixation.ivt,14360,14500,140
fixation.ivt,14600,14900,300
fixation.ivt,15000,15100,100
fixation.ivt,15180,15280,100
fixation.ivt,15380,15640,260
fixation.ivt,15740,15840,100
fixation.ivt,16120,16420,300
fixation.ivt,16680,16820,140
fixation.ivt,16940,17060,120
fixation.ivt,17160,17320,160
fixation.ivt,17440,18000,560
fixation.ivt,18460,18680,220
fixation.ivt,19200,19320,120
fixation.ivt,19440,19580,140
fixation.ivt,19680,19800,120
fixation.ivt,20080,20340,260
fixation.ivt,20660,20760,100
fixation.ivt,20860,21000,140
fixation.ivt,21300,21480,180
fixation.ivt,21560,21680,120
fixation.ivt,21980,22220,240
fixation.ivt,22560,22660,100
fixation.ivt,22780,22940,160
fixation.ivt,23060,23500,440
fixation.ivt,23640,24040,400
fixation.ivt,24140,24320,180
fixation.ivt,24440,24600,160
fixation.ivt,24700,24920,220
fixation.ivt,25040,25400,360
fixation.ivt,25540,25680,140
fixation.ivt,25740,26020,280
fixation.ivt,26140,26380,240
fixation.ivt,26500,26920,420
fixation.ivt,28140,28400,260
fixation.ivt,40,680,640
fixation.ivt,940,1080,140
fixation.ivt,1320,1440,120
fixation.ivt,1860,1960,100
fixation.ivt,2520,2640,120
fixation.ivt,2680,2780,100
fixation.ivt,2900,3000,100
fixation.ivt,3120,3260,140
fixation.ivt,3380,3500,120
fixation.ivt,3580,3680,100
fixation.ivt,3780,4080,300
fixation.ivt,4540,4760,220
fixation.ivt,5140,5240,100
fixation.ivt,5480,5680,200
fixation.ivt,5980,6340,360
fixation.ivt,6420,6620,200
fixation.ivt,7020,7240,220
fixation.ivt,7340,7560,220
fixation.ivt,7660,7880,220
fixation.ivt,7960,8060,100
fixation.ivt,8160,8280,120
fixation.ivt,8420,8560,140
fixation.ivt,8660,8800,140
fixation.ivt,8880,8980,100
fixation.ivt,9120,9500,380
fixation.ivt,9620,9840,220
fixation.ivt,10260,10600,340
fixation.ivt,10720,10840,120
fixation.ivt,11280,11560,280
fixation.ivt,11660,11840,180
fixation.ivt,11940,12080,140
fixation.ivt,12140,12280,140
fixation.ivt,12400,12580,180
fixation.ivt,13000,13120,120
fixation.ivt,13240,13380,140
fixation.ivt,13700,14100,400
fixation.ivt,14360,14500,140
fixation.ivt,14600,14900,300
fixation.ivt,15000,15100,100
fixation.ivt,15180,15280,100
fixation.ivt,15380,15640,260
fixation.ivt,15740,15840,100
fixation.ivt,16120,16420,300
fixation.ivt,16680,16820,140
fixation.ivt,16940,17060,120
fixation.ivt,17160,17320,160
fixation.ivt,17440,18000,560
fixation.ivt,18460,18680,220
fixation.ivt,19200,19320,120
fixation.ivt,19440,19580,140
fixation.ivt,19680,19800,120
fixation.ivt,20080,20340,260
fixation.ivt,20660,20760,100
fixation.ivt,20860,21000,140
fixation.ivt,21300,21480,180
fixation.ivt,21560,21680,120
fixation.ivt,21980,22220,240
fixation.ivt,22560,22660,100
fixation.ivt,22780,22940,160
fixation.ivt,23060,23500,440
fixation.ivt,23640,24040,400
fixation.ivt,24140,24320,180
fixation.ivt,24440,24600,160
fixation.ivt,24700,24920,220
fixation.ivt,25040,25400,360
fixation.ivt,25540,25680,140
fixation.ivt,25740,26020,280
fixation.ivt,26140,26380,240
fixation.ivt,26500,26920,420
fixation.ivt,28140,28400,260
fixation.ivt,40,680,640
fixation.ivt,940,1080,140
fixation.ivt,1320,1440,120
fixation.ivt,1860,1960,100
fixation.ivt,2520,2640,120
fixation.ivt,2680,2780,100
fixation.ivt,2900,3000,100
fixation.ivt,3120,3260,140
fixation.ivt,3380,3500,120
fixation.ivt,3580,3680,100
fixation.ivt,3780,4080,300
fixation.ivt,4540,4760,220
fixation.ivt,5140,5240,100
fixation.ivt,5480,5680,200
fixation.ivt,5980,6340,360
fixation.ivt,6420,6620,200
fixation.ivt,7020,7240,220
fixation.ivt,7340,7560,220
fixation.ivt,7660,7880,220
fixation.ivt,7960,8060,100
fixation.ivt,8160,8280,120
fixation.ivt,8420,8560,140
fixation.ivt,8660,8800,140
fixation.ivt,8880,8980,100
fixation.ivt,9120,9500,380
fixation.ivt,9620,9840,220
fixation.ivt,10260,10600,340
fixation.ivt,10720,10840,120
fixation.ivt,11280,11560,280
fixation.ivt,11660,11840,180
fixation.ivt,11940,12080,140
fixation.ivt,12140,12280,140
fixation.ivt,12400,12580,180
fixation.ivt,13000,13120,120
fixation.ivt,13240,13380,140
fixation.ivt,13700,14100,400
fixation.ivt,14360,14500,140
fixation.ivt,14600,14900,300
fixation.ivt,15000,15100,100
fixation.ivt,15180,15280,100
fixation.ivt,15380,15640,260
fixation.ivt,15740,15840,100
fixation.ivt,16120,16420,300
fixation.ivt,16680,16820,140
fixation.ivt,16940,17060,120
fixation.ivt,17160,17320,160
fixation.ivt,17440,18000,560
fixation.ivt,18460,18680,220
fixation.ivt,19200,19320,120
fixation.ivt,19440,19580,140
fixation.ivt,19680,19800,120
fixation.ivt,20080,20340,260
fixation.ivt,20660,20760,100
fixation.ivt,20860,21000,140
fixation.ivt,21300,21480,180
fixation.ivt,21560,21680,120
fixation.ivt,21980,22220,240
fixation.ivt,22560,22660,100
fixation.ivt,22780,22940,160
fixation.ivt,23060,23500,440
fixation.ivt,23640,24040,400
fixation.ivt,24140,24320,180
fixation.ivt,24440,24600,160
fixation.ivt,24700,24920,220
fixation.ivt,25040,25400,360
fixation.ivt,25540,25680,140
fixation.ivt,25740,26020,280
fixation.ivt,26140,26380,240
fixation.ivt,26500,26920,420
fixation.ivt,28140,28400,260
fixation.ivt,40,680,640
fixation.ivt,940,1080,140
fixation.ivt,1320,1440,120
fixation.ivt,1860,1960,100
fixation.ivt,2520,2640,120
fixation.ivt,2680,2780,100
fixation.ivt,2900,3000,100
fixation.ivt,3120,3260,140
fixation.ivt,3380,3500,120
fixation.ivt,3580,3680,100
fixation.ivt,3780,4080,300
fixation.ivt,4540,4760,220
fixation.ivt,5140,5240,100
fixation.ivt,5480,5680,200
fixation.ivt,5980,6340,360
fixation.ivt,6420,6620,200
fixation.ivt,7020,7240,220
fixation.ivt,7340,7560,220
fixation.ivt,7660,7880,220
fixation.ivt,7960,8060,100
fixation.ivt,8160,8280,120
fixation.ivt,8420,8560,140
fixation.ivt,8660,8800,140
fixation.ivt,8880,8980,100
fixation.ivt,9120,9500,380
fixation.ivt,9620,9840,220
fixation.ivt,10260,10600,340
fixation.ivt,10720,10840,120
fixation.ivt,11280,11560,280
fixation.ivt,11660,11840,180
fixation.ivt,11940,12080,140
fixation.ivt,12140,12280,140
fixation.ivt,12400,12580,180
fixation.ivt,13000,13120,120
fixation.ivt,13240,13380,140
fixation.ivt,13700,14100,400
fixation.ivt,14360,14500,140
fixation.ivt,14600,14900,300
fixation.ivt,15000,15100,100
fixation.ivt,15180,15280,100
fixation.ivt,15380,15640,260
fixation.ivt,15740,15840,100
fixation.ivt,16120,16420,300
fixation.ivt,16680,16820,140
fixation.ivt,16940,17060,120
fixation.ivt,17160,17320,160
fixation.ivt,17440,18000,560
fixation.ivt,18460,18680,220
fixation.ivt,19200,19320,120
fixation.ivt,19440,19580,140
fixation.ivt,19680,19800,120
fixation.ivt,20080,20340,260
fixation.ivt,20660,20760,100
fixation.ivt,20860,21000,140
fixation.ivt,21300,21480,180
fixation.ivt,21560,21680,120
fixation.ivt,21980,22220,240
fixation.ivt,22560,22660,100
fixation.ivt,22780,22940,160
fixation.ivt,23060,23500,440
fixation.ivt,23640,24040,400
fixation.ivt,24140,24320,180
fixation.ivt,24440,24600,160
fixation.ivt,24700,24920,220
fixation.ivt,25040,25400,360
fixation.ivt,25540,25680,140
fixation.ivt,25740,26020,280
fixation.ivt,26140,26380,240
fixation.ivt,26500,26920,420
fixation.ivt,28140,28400,260
fixation.ivt,40,680,640
fixation.ivt,940,1080,140
fixation.ivt,1320,1440,120
fixation.ivt,1860,1960,100
fixation.ivt,2520,2640,120
fixation.ivt,2680,2780,100
fixation.ivt,2900,3000,100
fixation.ivt,3120,3260,140
fixation.ivt,3380,3500,120
fixation.ivt,3580,3680,100
fixation.ivt,3780,4080,300
fixation.ivt,4540,4760,220
fixation.ivt,5140,5240,100
fixation.ivt,5480,5680,200
fixation.ivt,5980,6340,360
fixation.ivt,6420,6620,200
fixation.ivt,7020,7240,220
fixation.ivt,7340,7560,220
fixation.ivt,7660,7880,220
fixation.ivt,7960,8060,100
fixation.ivt,8160,8280,120
fixation.ivt,8420,8560,140
fixation.ivt,8660,8800,140
fixation.ivt,8880,8980,100
fixation.ivt,9120,9500,380
fixation.ivt,9620,9840,220
fixation.ivt,10260,10600,340
fixation.ivt,10720,10840,120
fixation.ivt,11280,11560,280
fixation.ivt,11660,11840,180
fixation.ivt,11940,12080,140
fixation.ivt,12140,12280,140
fixation.ivt,12400,12580,180
fixation.ivt,13000,13120,120
fixation.ivt,13240,13380,140
fixation.ivt,13700,14100,400
fixation.ivt,14360,14500,140
fixation.ivt,14600,14900,300
fixation.ivt,15000,15100,100
fixation.ivt,15180,15280,100
fixation.ivt,15380,15640,260
fixation.ivt,15740,15840,100
fixation.ivt,16120,16420,300
fixation.ivt,16680,16820,140
fixation.ivt,16940,17060,120
fixation.ivt,17160,17320,160
fixation.ivt,17440,18000,560
fixation.ivt,18460,18680,220
fixation.ivt,19200,19320,120
fixation.ivt,19440,19580,140
fixation.ivt,19680,19800,120
fixation.ivt,20080,20340,260
fixation.ivt,20660,20760,100
fixation.ivt,20860,21000,140
fixation.ivt,21300,21480,180
fixation.ivt,21560,21680,120
fixation.ivt,21980,22220,240
fixation.ivt,22560,22660,100
fixation.ivt,22780,22940,160
fixation.ivt,23060,23500,440
fixation.ivt,23640,24040,400
fixation.ivt,24140,24320,180
fixation.ivt,24440,24600,160
fixation.ivt,24700,24920,220
fixation.ivt,25040,25400,360
fixation.ivt,25540,25680,140
fixation.ivt,25740,26020,280
fixation.ivt,26140,26380,240
fixation.ivt,26500,26920,420
fixation.ivt,28140,28400,260
