name,onset,offset,duration
fixation.ivt,40,380,340
fixation.ivt,600,780,180
fixation.ivt,860,1000,140
fixation.ivt,1080,1260,180
fixation.ivt,1360,1760,400
fixation.ivt,1840,1960,120
fixation.ivt,2120,2260,140
fixation.ivt,2500,2700,200
fixation.ivt,2820,2920,100
fixation.ivt,2960,3080,120
fixation.ivt,3600,3820,220
fixation.ivt,4100,4200,100
fixation.ivt,4280,4440,160
fixation.ivt,4720,4820,100
fixation.ivt,4920,5020,100
fixation.ivt,5620,5900,280
fixation.ivt,6000,6180,180
fixation.ivt,6280,6420,140
fixation.ivt,6520,6780,260
fixation.ivt,6880,7000,120
fixation.ivt,7120,7260,140
fixation.ivt,8100,8240,140
fixation.ivt,8840,9080,240
fixation.ivt,9320,9440,120
fixation.ivt,9580,9780,200
fixation.ivt,10720,10920,200
fixation.ivt,11020,11400,380
fixation.ivt,11480,11640,160
fixation.ivt,11760,12000,240
fixation.ivt,12120,12380,260
fixation.ivt,12480,12640,160
fixation.ivt,13000,13140,140
fixation.ivt,13220,13380,160
fixation.ivt,13480,13740,260
fixation.ivt,13820,14000,180
fixation.ivt,14100,14300,200
fixation.ivt,14540,14820,280
fixation.ivt,14940,15240,300
fixation.ivt,15360,15680,320
fixation.ivt,15760,15920,160
fixation.ivt,16020,16320,300
fixation.ivt,16600,16700,100
fixation.ivt,16920,17180,260
fixation.ivt,17460,17580,120
fixation.ivt,17940,18100,160
fixation.ivt,18220,18420,200
fixation.ivt,18520,18720,200
fixation.ivt,19020,19280,260
fixation.ivt,19380,19480,100
fixation.ivt,19740,20100,360
fixation.ivt,20800,20940,140
fixation.ivt,21220,21520,300
fixation.ivt,22760,22900,140
fixation.ivt,22980,23180,200
fixation.ivt,23320,23580,260
fixation.ivt,23740,24440,700
fixation.ivt,25020,25220,200
fixation.ivt,25600,25780,180
fixation.ivt,25900,26080,180
fixation.ivt,26140,26340,200
fixation.ivt,27000,27100,100
fixation.ivt,27440,28860,1420
fixation.ivt,29640,29800,160
fixation.ivt,40,380,340
fixation.ivt,600,780,180
fixation.ivt,860,1000,140
fixation.ivt,1080,1260,180
fixation.ivt,1360,1760,400
fixation.ivt,1840,1960,120
fixation.ivt,2120,2260,140
fixation.ivt,2500,2700,200
fixation.ivt,2820,2920,100
fixation.ivt,2960,3080,120
fixation.ivt,3600,3820,220
fixation.ivt,4100,4200,100
fixation.ivt,4280,4440,160
fixation.ivt,4720,4820,100
fixation.ivt,4920,5020,100
fixation.ivt,5620,5900,280
fixation.ivt,6000,6180,180
fixation.ivt,6280,6420,140
fixation.ivt,6520,6780,260
fixation.ivt,6880,7000,120
fixation.ivt,7120,7260,140
fixation.ivt,8100,8240,140
fixation.ivt,8840,9080,240
fixation.ivt,9320,9440,120
fixation.ivt,9580,9780,200
fixation.ivt,10720,10920,200
fixation.ivt,11020,11400,380
fixation.ivt,11480,11640,160
fixation.ivt,11760,12000,240
fixation.ivt,12120,12380,260
fixation.ivt,12480,12640,160
fixation.ivt,13000,13140,140
fixation.ivt,13220,13380,160
fixation.ivt,13480,13740,260
fixation.ivt,13820,14000,180
fixation.ivt,14100,14300,200
fixation.ivt,14540,14820,280
fixation.ivt,14940,15240,300
fixation.ivt,15360,15680,320
fixation.ivt,15760,15920,160
fixation.ivt,16020,16320,300
fixation.ivt,16600,16700,100
fixation.ivt,16920,17180,260
fixation.ivt,17460,17580,120
fixation.ivt,17940,18100,160
fixation.ivt,18220,18420,200
fixation.ivt,18520,18720,200
fixation.ivt,19020,19280,260
fixation.ivt,19380,19480,100
fixation.ivt,19740,20100,360
fixation.ivt,20800,20940,140
fixation.ivt,21220,21520,300
fixation.ivt,22760,22900,140
fixation.ivt,22980,23180,200
fixation.ivt,23320,23580,260
fixation.ivt,23740,24440,700
fixation.ivt,25020,25220,200
fixation.ivt,25600,25780,180
fixation.ivt,25900,26080,180
fixation.ivt,26140,26340,200
fixation.ivt,27000,27100,100
fixation.ivt,27440,28860,1420
fixation.ivt,29640,29800,160
fixation.ivt,40,380,340
fixation.ivt,600,780,180
fixation.ivt,860,1000,140
fixation.ivt,1080,1260,180
fixation.ivt,1360,1760,400
fixation.ivt,1840,1960,120
fixation.ivt,2120,2260,140
fixation.ivt,2500,2700,200
fixation.ivt,2820,2920,100
fixation.ivt,2960,3080,120
fixation.ivt,3600,3820,220
fixation.ivt,4100,4200,100
fixation.ivt,4280,4440,160
fixation.ivt,4720,4820,100
fixation.ivt,4920,5020,100
fixation.ivt,5620,5900,280
fixation.ivt,6000,6180,180
fixation.ivt,6280,6420,140
fixation.ivt,6520,6780,260
fixation.ivt,6880,7000,120
fixation.ivt,7120,7260,140
fixation.ivt,8100,8240,140
fixation.ivt,8840,9080,240
fixation.ivt,9320,9440,120
fixation.ivt,9580,9780,200
fixation.ivt,10720,10920,200
fixation.ivt,11020,11400,380
fixation.ivt,11480,11640,160
fixation.ivt,11760,12000,240
fixation.ivt,12120,12380,260
fixation.ivt,12480,12640,160
fixation.ivt,13000,13140,140
fixation.ivt,13220,13380,160
fixation.ivt,13480,13740,260
fixation.ivt,13820,14000,180
fixation.ivt,14100,14300,200
fixation.ivt,14540,14820,280
fixation.ivt,14940,15240,300
fixation.ivt,15360,15680,320
fixation.ivt,15760,15920,160
fixation.ivt,16020,16320,300
fixation.ivt,16600,16700,100
fixation.ivt,16920,17180,260
fixation.ivt,17460,17580,120
fixation.ivt,17940,18100,160
fixation.ivt,18220,18420,200
fixation.ivt,18520,18720,200
fixation.ivt,19020,19280,260
fixation.ivt,19380,19480,100
fixation.ivt,19740,20100,360
fixation.ivt,20800,20940,140
fixation.ivt,21220,21520,300
fixation.ivt,22760,22900,140
fixation.ivt,22980,23180,200
fixation.ivt,23320,23580,260
fixation.ivt,23740,24440,700
fixation.ivt,25020,25220,200
fixation.ivt,25600,25780,180
fixation.ivt,25900,26080,180
fixation.ivt,26140,26340,200
fixation.ivt,27000,27100,100
fixation.ivt,27440,28860,1420
fixation.ivt,29640,29800,160
fixation.ivt,40,380,340
fixation.ivt,600,780,180
fixation.ivt,860,1000,140
fixation.ivt,1080,1260,180
fixation.ivt,1360,1760,400
fixation.ivt,1840,1960,120
fixation.ivt,2120,2260,140
fixation.ivt,2500,2700,200
fixation.ivt,2820,2920,100
fixation.ivt,2960,3080,120
fixation.ivt,3600,3820,220
fixation.ivt,4100,4200,100
fixation.ivt,4280,4440,160
fixation.ivt,4720,4820,100
fixation.ivt,4920,5020,100
fixation.ivt,5620,5900,280
fixation.ivt,6000,6180,180
fixation.ivt,6280,6420,140
fixation.ivt,6520,6780,260
fixation.ivt,6880,7000,120
fixation.ivt,7120,7260,140
fixation.ivt,8100,8240,140
fixation.ivt,8840,9080,240
fixation.ivt,9320,9440,120
fixation.ivt,9580,9780,200
fixation.ivt,10720,10920,200
fixation.ivt,11020,11400,380
fixation.ivt,11480,11640,160
fixation.ivt,11760,12000,240
fixation.ivt,12120,12380,260
fixation.ivt,12480,12640,160
fixation.ivt,13000,13140,140
fixation.ivt,13220,13380,160
fixation.ivt,13480,13740,260
fixation.ivt,13820,14000,180
fixation.ivt,14100,14300,200
fixation.ivt,14540,14820,280
fixation.ivt,14940,15240,300
fixation.ivt,15360,15680,320
fixation.ivt,15760,15920,160
fixation.ivt,16020,16320,300
fixation.ivt,16600,16700,100
fixation.ivt,16920,17180,260
fixation.ivt,17460,17580,120
fixation.ivt,17940,18100,160
fixation.ivt,18220,18420,200
fixation.ivt,18520,18720,200
fixation.ivt,19020,19280,260
fixation.ivt,19380,19480,100
fixation.ivt,19740,20100,360
fixation.ivt,20800,20940,140
fixation.ivt,21220,21520,300
fixation.ivt,22760,22900,140
fixation.ivt,22980,23180,200
fixation.ivt,23320,23580,260
fixation.ivt,23740,24440,700
fixation.ivt,25020,25220,200
fixation.ivt,25600,25780,180
fixation.ivt,25900,26080,180
fixation.ivt,26140,26340,200
fixation.ivt,27000,27100,100
fixation.ivt,27440,28860,1420
fixation.ivt,29640,29800,160
fixation.ivt,40,380,340
fixation.ivt,600,780,180
fixation.ivt,860,1000,140
fixation.ivt,1080,1260,180
fixation.ivt,1360,1760,400
fixation.ivt,1840,1960,120
fixation.ivt,2120,2260,140
fixation.ivt,2500,2700,200
fixation.ivt,2820,2920,100
fixation.ivt,2960,3080,120
fixation.ivt,3600,3820,220
fixation.ivt,4100,4200,100
fixation.ivt,4280,4440,160
fixation.ivt,4720,4820,100
fixation.ivt,4920,5020,100
fixation.ivt,5620,5900,280
fixation.ivt,6000,6180,180
fixation.ivt,6280,6420,140
fixation.ivt,6520,6780,260
fixation.ivt,6880,7000,120
fixation.ivt,7120,7260,140
fixation.ivt,8100,8240,140
fixation.ivt,8840,9080,240
fixation.ivt,9320,9440,120
fixation.ivt,9580,9780,200
fixation.ivt,10720,10920,200
fixation.ivt,11020,11400,380
fixation.ivt,11480,11640,160
fixation.ivt,11760,12000,240
fixation.ivt,12120,12380,260
fixation.ivt,12480,12640,160
fixation.ivt,13000,13140,140
fixation.ivt,13220,13380,160
fixation.ivt,13480,13740,260
fixation.ivt,13820,14000,180
fixation.ivt,14100,14300,200
fixation.ivt,14540,14820,280
fixation.ivt,14940,15240,300
fixation.ivt,15360,15680,320
fixation.ivt,15760,15920,160
fixation.ivt,16020,16320,300
fixation.ivt,16600,16700,100
fixation.ivt,16920,17180,260
fixation.ivt,17460,17580,120
fixation.ivt,17940,18100,160
fixation.ivt,18220,18420,200
fixation.ivt,18520,18720,200
fixation.ivt,19020,19280,260
fixation.ivt,19380,19480,100
fixation.ivt,19740,20100,360
fixation.ivt,20800,20940,140
fixation.ivt,21220,21520,300
fixation.ivt,22760,22900,140
fixation.ivt,22980,23180,200
fixation.ivt,23320,23580,260
fixation.ivt,23740,24440,700
fixation.ivt,25020,25220,200
fixation.ivt,25600,25780,180
fixation.ivt,25900,26080,180
fixation.ivt,26140,26340,200
fixation.ivt,27000,27100,100
fixation.ivt,27440,28860,1420
fixation.ivt,29640,29800,160
fixation.ivt,40,380,340
fixation.ivt,600,780,180
fixation.ivt,860,1000,140
fixation.ivt,1080,1260,180
fixation.ivt,1360,1760,400
fixation.ivt,1840,1960,120
fixation.ivt,2120,2260,140
fixation.ivt,2500,2700,200
fixation.ivt,2820,2920,100
fixation.ivt,2960,3080,120
fixation.ivt,3600,3820,220
fixation.ivt,4100,4200,100
fixation.ivt,4280,4440,160
fixation.ivt,4720,4820,100
fixation.ivt,4920,5020,100
fixation.ivt,5620,5900,280
fixation.ivt,6000,6180,180
fixation.ivt,6280,6420,140
fixation.ivt,6520,6780,260
fixation.ivt,6880,7000,120
fixation.ivt,7120,7260,140
fixation.ivt,8100,8240,140
fixation.ivt,8840,9080,240
fixation.ivt,9320,9440,120
fixation.ivt,9580,9780,200
fixation.ivt,10720,10920,200
fixation.ivt,11020,11400,380
fixation.ivt,11480,11640,160
fixation.ivt,11760,12000,240
fixation.ivt,12120,12380,260
fixation.ivt,12480,12640,160
fixation.ivt,13000,13140,140
fixation.ivt,13220,13380,160
fixation.ivt,13480,13740,260
fixation.ivt,13820,14000,180
fixation.ivt,14100,14300,200
fixation.ivt,14540,14820,280
fixation.ivt,14940,15240,300
fixation.ivt,15360,15680,320
fixation.ivt,15760,15920,160
fixation.ivt,16020,16320,300
fixation.ivt,16600,16700,100
fixation.ivt,16920,17180,260
fixation.ivt,17460,17580,120
fixation.ivt,17940,18100,160
fixation.ivt,18220,18420,200
fixation.ivt,18520,18720,200
fixation.ivt,19020,19280,260
fixation.ivt,19380,19480,100
fixation.ivt,19740,20100,360
fixation.ivt,20800,20940,140
fixation.ivt,21220,21520,300
fixation.ivt,22760,22900,140
fixation.ivt,22980,23180,200
fixation.ivt,23320,23580,260
fixation.ivt,23740,24440,700
fixation.ivt,25020,25220,200
fixation.ivt,25600,25780,180
fixation.ivt,25900,26080,180
fixation.ivt,26140,26340,200
fixation.ivt,27000,27100,100
fixation.ivt,27440,28860,1420
fixation.ivt,29640,29800,160
fixation.ivt,40,380,340
fixation.ivt,600,780,180
fixation.ivt,860,1000,140
fixation.ivt,1080,1260,180
fixation.ivt,1360,1760,400
fixation.ivt,1840,1960,120
fixation.ivt,2120,2260,140
fixation.ivt,2500,2700,200
fixation.ivt,2820,2920,100
fixation.ivt,2960,3080,120
fixation.ivt,3600,3820,220
fixation.ivt,4100,4200,100
fixation.ivt,4280,4440,160
fixation.ivt,4720,4820,100
fixation.ivt,4920,5020,100
fixation.ivt,5620,5900,280
fixation.ivt,6000,6180,180
fixation.ivt,6280,6420,140
fixation.ivt,6520,6780,260
fixation.ivt,6880,7000,120
fixation.ivt,7120,7260,140
fixation.ivt,8100,8240,140
fixation.ivt,8840,9080,240
fixation.ivt,9320,9440,120
fixation.ivt,9580,9780,200
fixation.ivt,10720,10920,200
fixation.ivt,11020,11400,380
fixation.ivt,11480,11640,160
fixation.ivt,11760,12000,240
fixation.ivt,12120,12380,260
fixation.ivt,12480,12640,160
fixation.ivt,13000,13140,140
fixation.ivt,13220,13380,160
fixation.ivt,13480,13740,260
fixation.ivt,13820,14000,180
fixation.ivt,14100,14300,200
fixation.ivt,14540,14820,280
fixation.ivt,14940,15240,300
fixation.ivt,15360,15680,320
fixation.ivt,15760,15920,160
fixation.ivt,16020,16320,300
fixation.ivt,16600,16700,100
fixation.ivt,16920,17180,260
fixation.ivt,17460,17580,120
fixation.ivt,17940,18100,160
fixation.ivt,18220,18420,200
fixation.ivt,18520,18720,200
fixation.ivt,19020,19280,260
fixation.ivt,19380,19480,100
fixation.ivt,19740,20100,360
fixation.ivt,20800,20940,140
fixation.ivt,21220,21520,300
fixation.ivt,22760,22900,140
fixation.ivt,22980,23180,200
fixation.ivt,23320,23580,260
fixation.ivt,23740,24440,700
fixation.ivt,25020,25220,200
fixation.ivt,25600,25780,180
fixation.ivt,25900,26080,180
fixation.ivt,26140,26340,200
fixation.ivt,27000,27100,100
fixation.ivt,27440,28860,1420
fixation.ivt,29640,29800,160
fixation.ivt,40,380,340
fixation.ivt,600,780,180
fixation.ivt,860,1000,140
fixation.ivt,1080,1260,180
fixation.ivt,1360,1760,400
fixation.ivt,1840,1960,120
fixation.ivt,2120,2260,140
fixation.ivt,2500,2700,200
fixation.ivt,2820,2920,100
fixation.ivt,2960,3080,120
fixation.ivt,3600,3820,220
fixation.ivt,4100,4200,100
fixation.ivt,4280,4440,160
fixation.ivt,4720,4820,100
fixation.ivt,4920,5020,100
fixation.ivt,5620,5900,280
fixation.ivt,6000,6180,180
fixation.ivt,6280,6420,140
fixation.ivt,6520,6780,260
fixation.ivt,6880,7000,120
fixation.ivt,7120,7260,140
fixation.ivt,8100,8240,140
fixation.ivt,8840,9080,240
fixation.ivt,9320,9440,120
fixation.ivt,9580,9780,200
fixation.ivt,10720,10920,200
fixation.ivt,11020,11400,380
fixation.ivt,11480,11640,160
fixation.ivt,11760,12000,240
fixation.ivt,12120,12380,260
fixation.ivt,12480,12640,160
fixation.ivt,13000,13140,140
fixation.ivt,13220,13380,160
fixation.ivt,13480,13740,260
fixation.ivt,13820,14000,180
fixation.ivt,14100,14300,200
fixation.ivt,14540,14820,280
fixation.ivt,14940,15240,300
fixation.ivt,15360,15680,320
fixation.ivt,15760,15920,160
fixation.ivt,16020,16320,300
fixation.ivt,16600,16700,100
fixation.ivt,16920,17180,260
fixation.ivt,17460,17580,120
fixation.ivt,17940,18100,160
fixation.ivt,18220,18420,200
fixation.ivt,18520,18720,200
fixation.ivt,19020,19280,260
fixation.ivt,19380,19480,100
fixation.ivt,19740,20100,360
fixation.ivt,20800,20940,140
fixation.ivt,21220,21520,300
fixation.ivt,22760,22900,140
fixation.ivt,22980,23180,200
fixation.ivt,23320,23580,260
fixation.ivt,23740,24440,700
fixation.ivt,25020,25220,200
fixation.ivt,25600,25780,180
fixation.ivt,25900,26080,180
fixation.ivt,26140,26340,200
fixation.ivt,27000,27100,100
fixation.ivt,27440,28860,1420
fixation.ivt,29640,29800,160
fixation.ivt,40,380,340
fixation.ivt,600,780,180
fixation.ivt,860,1000,140
fixation.ivt,1080,1260,180
fixation.ivt,1360,1760,400
fixation.ivt,1840,1960,120
fixation.ivt,2120,2260,140
fixation.ivt,2500,2700,200
fixation.ivt,2820,2920,100
fixation.ivt,2960,3080,120
fixation.ivt,3600,3820,220
fixation.ivt,4100,4200,100
fixation.ivt,4280,4440,160
fixation.ivt,4720,4820,100
fixation.ivt,4920,5020,100
fixation.ivt,5620,5900,280
fixation.ivt,6000,6180,180
fixation.ivt,6280,6420,140
fixation.ivt,6520,6780,260
fixation.ivt,6880,7000,120
fixation.ivt,7120,7260,140
fixation.ivt,8100,8240,140
fixation.ivt,8840,9080,240
fixation.ivt,9320,9440,120
fixation.ivt,9580,9780,200
fixation.ivt,10720,10920,200
fixation.ivt,11020,11400,380
fixation.ivt,11480,11640,160
fixation.ivt,11760,12000,240
fixation.ivt,12120,12380,260
fixation.ivt,12480,12640,160
fixation.ivt,13000,13140,140
fixation.ivt,13220,13380,160
fixation.ivt,13480,13740,260
fixation.ivt,13820,14000,180
fixation.ivt,14100,14300,200
fixation.ivt,14540,14820,280
fixation.ivt,14940,15240,300
fixation.ivt,15360,15680,320
fixation.ivt,15760,15920,160
fixation.ivt,16020,16320,300
fixation.ivt,16600,16700,100
fixation.ivt,16920,17180,260
fixation.ivt,17460,17580,120
fixation.ivt,17940,18100,160
fixation.ivt,18220,18420,200
fixation.ivt,18520,18720,200
fixation.ivt,19020,19280,260
fixation.ivt,19380,19480,100
fixation.ivt,19740,20100,360
fixation.ivt,20800,20940,140
fixation.ivt,21220,21520,300
fixation.ivt,22760,22900,140
fixation.ivt,22980,23180,200
fixation.ivt,23320,23580,260
fixation.ivt,23740,24440,700
fixation.ivt,25020,25220,200
fixation.ivt,25600,25780,180
fixation.ivt,25900,26080,180
fixation.ivt,26140,26340,200
fixation.ivt,27000,27100,100
fixation.ivt,27440,28860,1420
