name,onset,offset,duration
fixation.ivt,29400,29620,220
fixation.ivt,40,780,740
fixation.ivt,860,1080,220
fixation.ivt,1140,1280,140
fixation.ivt,2600,2780,180
fixation.ivt,2920,3080,160
fixation.ivt,3160,3300,140
fixation.ivt,3400,3680,280
fixation.ivt,3840,3940,100
fixation.ivt,4040,4140,100
fixation.ivt,4280,4500,220
fixation.ivt,4800,4920,120
fixation.ivt,5140,5240,100
fixation.ivt,5340,5540,200
fixation.ivt,5580,5860,280
fixation.ivt,5960,6100,140
fixation.ivt,6200,6400,200
fixation.ivt,6480,6600,120
fixation.ivt,6740,7220,480
fixation.ivt,7300,7420,120
fixation.ivt,7520,7700,180
fixation.ivt,7820,7960,140
fixation.ivt,8420,8900,480
fixation.ivt,9020,9140,120
fixation.ivt,9220,9360,140
fixation.ivt,9460,9640,180
fixation.ivt,9680,9800,120
fixation.ivt,9900,10100,200
fixation.ivt,10200,10340,140
fixation.ivt,10420,10620,200
fixation.ivt,10780,11000,220
fixation.ivt,12060,12440,380
fixation.ivt,12540,12680,140
fixation.ivt,12760,12860,100
fixation.ivt,12940,13180,240
fixation.ivt,13280,13580,300
fixation.ivt,13700,14000,300
fixation.ivt,14100,14320,220
fixation.ivt,14420,14540,120
fixation.ivt,14640,14740,100
fixation.ivt,14840,14940,100
fixation.ivt,15040,15240,200
fixation.ivt,15340,15500,160
fixation.ivt,15620,15940,320
fixation.ivt,16040,16140,100
fixation.ivt,16260,16540,280
fixation.ivt,16720,17120,400
fixation.ivt,18540,18840,300
fixation.ivt,18980,19080,100
fixation.ivt,19320,19560,240
fixation.ivt,19700,19860,160
fixation.ivt,20680,20820,140
fixation.ivt,20940,21280,340
fixation.ivt,21420,21660,240
fixation.ivt,22300,22720,420
fixation.ivt,22840,23320,480
fixation.ivt,23480,23800,320
fixation.ivt,25460,25760,300
fixation.ivt,26020,26960,940
fixation.ivt,27460,27700,240
fixation.ivt,27920,28240,320
fixation.ivt,28560,28860,300
fixation.ivt,29400,29620,220
fixation.ivt,40,780,740
fixation.ivt,860,1080,220
fixation.ivt,1140,1280,140
fixation.ivt,2600,2780,180
fixation.ivt,2920,3080,160
fixation.ivt,3160,3300,140
fixation.ivt,3400,3680,280
fixation.ivt,3840,3940,100
fixation.ivt,4040,4140,100
fixation.ivt,4280,4500,220
fixation.ivt,4800,4920,120
fixation.ivt,5140,5240,100
fixation.ivt,5340,5540,200
fixation.ivt,5580,5860,280
fixation.ivt,5960,6100,140
fixation.ivt,6200,6400,200
fixation.ivt,6480,6600,120
fixation.ivt,6740,7220,480
fixation.ivt,7300,7420,120
fixation.ivt,7520,7700,180
fixation.ivt,7820,7960,140
fixation.ivt,8420,8900,480
fixation.ivt,9020,9140,120
fixation.ivt,9220,9360,140
fixation.ivt,9460,9640,180
fixation.ivt,9680,9800,120
fixation.ivt,9900,10100,200
fixation.ivt,10200,10340,140
fixation.ivt,10420,10620,200
fixation.ivt,10780,11000,220
fixation.ivt,12060,12440,380
fixation.ivt,12540,12680,140
fixation.ivt,12760,12860,100
fixation.ivt,12940,13180,240
fixation.ivt,13280,13580,300
fixation.ivt,13700,14000,300
fixation.ivt,14100,14320,220
fixation.ivt,14420,14540,120
fixation.ivt,14640,14740,100
fixation.ivt,14840,14940,100
fixation.ivt,15040,15240,200
fixation.ivt,15340,15500,160
fixation.ivt,15620,15940,320
fixation.ivt,16040,16140,100
fixation.ivt,16260,16540,280
fixation.ivt,16720,17120,400
fixation.ivt,18540,18840,300
fixation.ivt,18980,19080,100
fixation.ivt,19320,19560,240
fixation.ivt,19700,19860,160
fixation.ivt,20680,20820,140
fixation.ivt,20940,21280,340
fixation.ivt,21420,21660,240
fixation.ivt,22300,22720,420
fixation.ivt,22840,23320,480
fixation.ivt,23480,23800,320
fixation.ivt,25460,25760,300
fixation.ivt,26020,26960,940
fixation.ivt,27460,27700,240
fixation.ivt,27920,28240,320
fixation.ivt,28560,28860,300
fixation.ivt,29400,29620,220
fixation.ivt,40,780,740
fixation.ivt,860,1080,220
fixation.ivt,1140,1280,140
fixation.ivt,2600,2780,180
fixation.ivt,2920,3080,160
fixation.ivt,3160,3300,140
fixation.ivt,3400,3680,280
fixation.ivt,3840,3940,100
fixation.ivt,4040,4140,100
fixation.ivt,4280,4500,220
fixation.ivt,4800,4920,120
fixation.ivt,5140,5240,100
fixation.ivt,5340,5540,200
fixation.ivt,5580,5860,280
fixation.ivt,5960,6100,140
fixation.ivt,6200,6400,200
fixation.ivt,6480,6600,120
fixation.ivt,6740,7220,480
fixation.ivt,7300,7420,120
fixation.ivt,7520,7700,180
fixation.ivt,7820,7960,140
fixation.ivt,8420,8900,480
fixation.ivt,9020,9140,120
fixation.ivt,9220,9360,140
fixation.ivt,9460,9640,180
fixation.ivt,9680,9800,120
fixation.ivt,9900,10100,200
fixation.ivt,10200,10340,140
fixation.ivt,10420,10620,200
fixation.ivt,10780,11000,220
fixation.ivt,12060,12440,380
fixation.ivt,12540,12680,140
fixation.ivt,12760,12860,100
fixation.ivt,12940,13180,240
fixation.ivt,13280,13580,300
fixation.ivt,13700,14000,300
fixation.ivt,14100,14320,220
fixation.ivt,14420,14540,120
fixation.ivt,14640,14740,100
fixation.ivt,14840,14940,100
fixation.ivt,15040,15240,200
fixation.ivt,15340,15500,160
fixation.ivt,15620,15940,320
fixation.ivt,16040,16140,100
fixation.ivt,16260,16540,280
fixation.ivt,16720,17120,400
fixation.ivt,18540,18840,300
fixation.ivt,18980,19080,100
fixation.ivt,19320,19560,240
fixation.ivt,19700,19860,160
fixation.ivt,20680,20820,140
fixation.ivt,20940,21280,340
fixation.ivt,21420,21660,240
fixation.ivt,22300,22720,420
fixation.ivt,22840,23320,480
fixation.ivt,23480,23800,320
fixation.ivt,25460,25760,300
fixation.ivt,26020,26960,940
fixation.ivt,27460,27700,240
fixation.ivt,27920,28240,320
fixation.ivt,28560,28860,300
fixation.ivt,29400,29620,220
fixation.ivt,40,780,740
fixation.ivt,860,1080,220
fixation.ivt,1140,1280,140
fixation.ivt,2600,2780,180
fixation.ivt,2920,3080,160
fixation.ivt,3160,3300,140
fixation.ivt,3400,3680,280
fixation.ivt,3840,3940,100
fixation.ivt,4040,4140,100
fixation.ivt,4280,4500,220
fixation.ivt,4800,4920,120
fixation.ivt,5140,5240,100
fixation.ivt,5340,5540,200
fixation.ivt,5580,5860,280
fixation.ivt,5960,6100,140
fixation.ivt,6200,6400,200
fixation.ivt,6480,6600,120
fixation.ivt,6740,7220,480
fixation.ivt,7300,7420,120
fixation.ivt,7520,7700,180
fixation.ivt,7820,7960,140
fixation.ivt,8420,8900,480
fixation.ivt,9020,9140,120
fixation.ivt,9220,9360,140
fixation.ivt,9460,9640,180
fixation.ivt,9680,9800,120
fixation.ivt,9900,10100,200
fixation.ivt,10200,10340,140
fixation.ivt,10420,10620,200
fixation.ivt,10780,11000,220
fixation.ivt,12060,12440,380
fixation.ivt,12540,12680,140
fixation.ivt,12760,12860,100
fixation.ivt,12940,13180,240
fixation.ivt,13280,13580,300
fixation.ivt,13700,14000,300
fixation.ivt,14100,14320,220
fixation.ivt,14420,14540,120
fixation.ivt,14640,14740,100
fixation.ivt,14840,14940,100
fixation.ivt,15040,15240,200
fixation.ivt,15340,15500,160
fixation.ivt,15620,15940,320
fixation.ivt,16040,16140,100
fixation.ivt,16260,16540,280
fixation.ivt,16720,17120,400
fixation.ivt,18540,18840,300
fixation.ivt,18980,19080,100
fixation.ivt,19320,19560,240
fixation.ivt,19700,19860,160
fixation.ivt,20680,20820,140
fixation.ivt,20940,21280,340
fixation.ivt,21420,21660,240
fixation.ivt,22300,22720,420
fixation.ivt,22840,23320,480
fixation.ivt,23480,23800,320
fixation.ivt,25460,25760,300
fixation.ivt,26020,26960,940
fixation.ivt,27460,27700,240
fixation.ivt,27920,28240,320
fixation.ivt,28560,28860,300
fixation.ivt,29400,29620,220
fixation.ivt,40,780,740
fixation.ivt,860,1080,220
fixation.ivt,1140,1280,140
fixation.ivt,2600,2780,180
fixation.ivt,2920,3080,160
fixation.ivt,3160,3300,140
fixation.ivt,3400,3680,280
fixation.ivt,3840,3940,100
fixation.ivt,4040,4140,100
fixation.ivt,4280,4500,220
fixation.ivt,4800,4920,120
fixation.ivt,5140,5240,100
fixation.ivt,5340,5540,200
fixation.ivt,5580,5860,280
fixation.ivt,5960,6100,140
fixation.ivt,6200,6400,200
fixation.ivt,6480,6600,120
fixation.ivt,6740,7220,480
fixation.ivt,7300,7420,120
fixation.ivt,7520,7700,180
fixation.ivt,7820,7960,140
fixation.ivt,8420,8900,480
fixation.ivt,9020,9140,120
fixation.ivt,9220,9360,140
fixation.ivt,9460,9640,180
fixation.ivt,9680,9800,120
fixation.ivt,9900,10100,200
fixation.ivt,10200,10340,140
fixation.ivt,10420,10620,200
fixation.ivt,10780,11000,220
fixation.ivt,12060,12440,380
fixation.ivt,12540,12680,140
fixation.ivt,12760,12860,100
fixation.ivt,12940,13180,240
fixation.ivt,13280,13580,300
fixation.ivt,13700,14000,300
fixation.ivt,14100,14320,220
fixation.ivt,14420,14540,120
fixation.ivt,14640,14740,100
fixation.ivt,14840,14940,100
fixation.ivt,15040,15240,200
fixation.ivt,15340,15500,160
fixation.ivt,15620,15940,320
fixation.ivt,16040,16140,100
fixation.ivt,16260,16540,280
fixation.ivt,16720,17120,400
fixation.ivt,18540,18840,300
fixation.ivt,18980,19080,100
fixation.ivt,19320,19560,240
fixation.ivt,19700,19860,160
fixation.ivt,20680,20820,140
fixation.ivt,20940,21280,340
fixation.ivt,21420,21660,240
fixation.ivt,22300,22720,420
fixation.ivt,22840,23320,480
fixation.ivt,23480,23800,320
fixation.ivt,25460,25760,300
fixation.ivt,26020,26960,940
fixation.ivt,27460,27700,240
fixation.ivt,27920,28240,320
fixation.ivt,28560,28860,300
fixation.ivt,29400,29620,220
fixation.ivt,40,780,740
fixation.ivt,860,1080,220
fixation.ivt,1140,1280,140
fixation.ivt,2600,2780,180
fixation.ivt,2920,3080,160
fixation.ivt,3160,3300,140
fixation.ivt,3400,3680,280
fixation.ivt,3840,3940,100
fixation.ivt,4040,4140,100
fixation.ivt,4280,4500,220
fixation.ivt,4800,4920,120
fixation.ivt,5140,5240,100
fixation.ivt,5340,5540,200
fixation.ivt,5580,5860,280
fixation.ivt,5960,6100,140
fixation.ivt,6200,6400,200
fixation.ivt,6480,6600,120
fixation.ivt,6740,7220,480
fixation.ivt,7300,7420,120
fixation.ivt,7520,7700,180
fixation.ivt,7820,7960,140
fixation.ivt,8420,8900,480
fixation.ivt,9020,9140,120
fixation.ivt,9220,9360,140
fixation.ivt,9460,9640,180
fixation.ivt,9680,9800,120
fixation.ivt,9900,10100,200
fixation.ivt,10200,10340,140
fixation.ivt,10420,10620,200
fixation.ivt,10780,11000,220
fixation.ivt,12060,12440,380
fixation.ivt,12540,12680,140
fixation.ivt,12760,12860,100
fixation.ivt,12940,13180,240
fixation.ivt,13280,13580,300
fixation.ivt,13700,14000,300
fixation.ivt,14100,14320,220
fixation.ivt,14420,14540,120
fixation.ivt,14640,14740,100
fixation.ivt,14840,14940,100
fixation.ivt,15040,15240,200
fixation.ivt,15340,15500,160
fixation.ivt,15620,15940,320
fixation.ivt,16040,16140,100
fixation.ivt,16260,16540,280
fixation.ivt,16720,17120,400
fixation.ivt,18540,18840,300
fixation.ivt,18980,19080,100
fixation.ivt,19320,19560,240
fixation.ivt,19700,19860,160
fixation.ivt,20680,20820,140
fixation.ivt,20940,21280,340
fixation.ivt,21420,21660,240
fixation.ivt,22300,22720,420
fixation.ivt,22840,23320,480
fixation.ivt,23480,23800,320
fixation.ivt,25460,25760,300
fixation.ivt,26020,26960,940
fixation.ivt,27460,27700,240
fixation.ivt,27920,28240,320
fixation.ivt,28560,28860,300
fixation.ivt,29400,29620,220
fixation.ivt,40,780,740
fixation.ivt,860,1080,220
fixation.ivt,1140,1280,140
fixation.ivt,2600,2780,180
fixation.ivt,2920,3080,160
fixation.ivt,3160,3300,140
fixation.ivt,3400,3680,280
fixation.ivt,3840,3940,100
fixation.ivt,4040,4140,100
fixation.ivt,4280,4500,220
fixation.ivt,4800,4920,120
fixation.ivt,5140,5240,100
fixation.ivt,5340,5540,200
fixation.ivt,5580,5860,280
fixation.ivt,5960,6100,140
fixation.ivt,6200,6400,200
fixation.ivt,6480,6600,120
fixation.ivt,6740,7220,480
fixation.ivt,7300,7420,120
fixation.ivt,7520,7700,180
fixation.ivt,7820,7960,140
fixation.ivt,8420,8900,480
fixation.ivt,9020,9140,120
fixation.ivt,9220,9360,140
fixation.ivt,9460,9640,180
fixation.ivt,9680,9800,120
fixation.ivt,9900,10100,200
fixation.ivt,10200,10340,140
fixation.ivt,10420,10620,200
fixation.ivt,10780,11000,220
fixation.ivt,12060,12440,380
fixation.ivt,12540,12680,140
fixation.ivt,12760,12860,100
fixation.ivt,12940,13180,240
fixation.ivt,13280,13580,300
fixation.ivt,13700,14000,300
fixation.ivt,14100,14320,220
fixation.ivt,14420,14540,120
fixation.ivt,14640,14740,100
fixation.ivt,14840,14940,100
fixation.ivt,15040,15240,200
fixation.ivt,15340,15500,160
fixation.ivt,15620,15940,320
fixation.ivt,16040,16140,100
fixation.ivt,16260,16540,280
fixation.ivt,16720,17120,400
fixation.ivt,18540,18840,300
fixation.ivt,18980,19080,100
fixation.ivt,19320,19560,240
fixation.ivt,19700,19860,160
fixation.ivt,20680,20820,140
fixation.ivt,20940,21280,340
fixation.ivt,21420,21660,240
fixation.ivt,22300,22720,420
fixation.ivt,22840,23320,480
fixation.ivt,23480,23800,320
fixation.ivt,25460,25760,300
fixation.ivt,26020,26960,940
fixation.ivt,27460,27700,240
fixation.ivt,27920,28240,320
fixation.ivt,28560,28860,300
fixation.ivt,29400,29620,220
fixation.ivt,40,780,740
fixation.ivt,860,1080,220
fixation.ivt,1140,1280,140
fixation.ivt,2600,2780,180
fixation.ivt,2920,3080,160
fixation.ivt,3160,3300,140
fixation.ivt,3400,3680,280
fixation.ivt,3840,3940,100
fixation.ivt,4040,4140,100
fixation.ivt,4280,4500,220
fixation.ivt,4800,4920,120
fixation.ivt,5140,5240,100
fixation.ivt,5340,5540,200
fixation.ivt,5580,5860,280
fixation.ivt,5960,6100,140
fixation.ivt,6200,6400,200
fixation.ivt,6480,6600,120
fixation.ivt,6740,7220,480
fixation.ivt,7300,7420,120
fixation.ivt,7520,7700,180
fixation.ivt,7820,7960,140
fixation.ivt,8420,8900,480
fixation.ivt,9020,9140,120
fixation.ivt,9220,9360,140
fixation.ivt,9460,9640,180
fixation.ivt,9680,9800,120
fixation.ivt,9900,10100,200
fixation.ivt,10200,10340,140
fixation.ivt,10420,10620,200
fixation.ivt,10780,11000,220
fixation.ivt,12060,12440,380
fixation.ivt,12540,12680,140
fixation.ivt,12760,12860,100
fixation.ivt,12940,13180,240
fixation.ivt,13280,13580,300
fixation.ivt,13700,14000,300
fixation.ivt,14100,14320,220
fixation.ivt,14420,14540,120
fixation.ivt,14640,14740,100
fixation.ivt,14840,14940,100
fixation.ivt,15040,15240,200
fixation.ivt,15340,15500,160
fixation.ivt,15620,15940,320
fixation.ivt,16040,16140,100
fixation.ivt,16260,16540,280
fixation.ivt,16720,17120,400
fixation.ivt,18540,18840,300
fixation.ivt,18980,19080,100
fixation.ivt,19320,19560,240
fixation.ivt,19700,19860,160
fixation.ivt,20680,20820,140
fixation.ivt,20940,21280,340
fixation.ivt,21420,21660,240
fixation.ivt,22300,22720,420
fixation.ivt,22840,23320,480
fixation.ivt,23480,23800,320
fixation.ivt,25460,25760,300
fixation.ivt,26020,26960,940
fixation.ivt,27460,27700,240
fixation.ivt,27920,28240,320
fixation.ivt,28560,28860,300
fixation.ivt,29400,29620,220
fixation.ivt,40,780,740
fixation.ivt,860,1080,220
fixation.ivt,1140,1280,140
fixation.ivt,2600,2780,180
fixation.ivt,2920,3080,160
fixation.ivt,3160,3300,140
fixation.ivt,3400,3680,280
fixation.ivt,3840,3940,100
fixation.ivt,4040,4140,100
fixation.ivt,4280,4500,220
fixation.ivt,4800,4920,120
fixation.ivt,5140,5240,100
fixation.ivt,5340,5540,200
fixation.ivt,5580,5860,280
fixation.ivt,5960,6100,140
fixation.ivt,6200,6400,200
fixation.ivt,6480,6600,120
fixation.ivt,6740,7220,480
fixation.ivt,7300,7420,120
fixation.ivt,7520,7700,180
fixation.ivt,7820,7960,140
fixation.ivt,8420,8900,480
fixation.ivt,9020,9140,120
fixation.ivt,9220,9360,140
fixation.ivt,9460,9640,180
fixation.ivt,9680,9800,120
fixation.ivt,9900,10100,200
fixation.ivt,10200,10340,140
fixation.ivt,10420,10620,200
fixation.ivt,10780,11000,220
fixation.ivt,12060,12440,380
fixation.ivt,12540,12680,140
fixation.ivt,12760,12860,100
fixation.ivt,12940,13180,240
fixation.ivt,13280,13580,300
fixation.ivt,13700,14000,300
fixation.ivt,14100,14320,220
fixation.ivt,14420,14540,120
fixation.ivt,14640,14740,100
fixation.ivt,14840,14940,100
fixation.ivt,15040,15240,200
fixation.ivt,15340,15500,160
fixation.ivt,15620,15940,320
fixation.ivt,16040,16140,100
fixation.ivt,16260,16540,280
fixation.ivt,16720,17120,400
fixation.ivt,18540,18840,300
fixation.ivt,18980,19080,100
fixation.ivt,19320,19560,240
fixation.ivt,19700,19860,160
fixation.ivt,20680,20820,140
fixation.ivt,20940,21280,340
fixation.ivt,21420,21660,240
fixation.ivt,22300,22720,420
fixation.ivt,22840,23320,480
fixation.ivt,23480,23800,320
fixation.ivt,25460,25760,300
fixation.ivt,26020,26960,940
fixation.ivt,27460,27700,240
fixation.ivt,27920,28240,320
fixation.ivt,28560,28860,300
fixation.ivt,29400,29620,220
