name,onset,offset,duration
fixation.ivt,120,360,240
fixation.ivt,1200,1520,320
fixation.ivt,1680,1820,140
fixation.ivt,1900,2160,260
fixation.ivt,2280,2620,340
fixation.ivt,2700,2920,220
fixation.ivt,3020,3220,200
fixation.ivt,3320,3580,260
fixation.ivt,3640,3900,260
fixation.ivt,4020,4500,480
fixation.ivt,4540,4740,200
fixation.ivt,4820,5940,1120
fixation.ivt,6040,6580,540
fixation.ivt,6880,7640,760
fixation.ivt,7860,8480,620
fixation.ivt,8720,9240,520
fixation.ivt,9480,9800,320
fixation.ivt,9840,10480,640
fixation.ivt,10620,11960,1340
fixation.ivt,12060,12460,400
fixation.ivt,12760,12920,160
fixation.ivt,13000,13380,380
fixation.ivt,13480,13580,100
fixation.ivt,13640,14300,660
fixation.ivt,14360,14580,220
fixation.ivt,14660,14780,120
fixation.ivt,14860,15200,340
fixation.ivt,15300,16280,980
fixation.ivt,16380,17020,640
fixation.ivt,17280,17580,300
fixation.ivt,17700,18360,660
fixation.ivt,18480,18720,240
fixation.ivt,18840,19360,520
fixation.ivt,19660,20080,420
fixation.ivt,20180,20420,240
fixation.ivt,20680,21200,520
fixation.ivt,21300,21540,240
fixation.ivt,21640,21980,340
fixation.ivt,22020,22500,480
fixation.ivt,22780,22940,160
fixation.ivt,23360,23900,540
fixation.ivt,24020,24340,320
fixation.ivt,24460,24640,180
fixation.ivt,24720,24960,240
fixation.ivt,25260,25740,480
fixation.ivt,25840,26020,180
fixation.ivt,26060,26280,220
fixation.ivt,26320,26460,140
fixation.ivt,26540,27060,520
fixation.ivt,27120,27360,240
fixation.ivt,27420,27520,100
fixation.ivt,27600,27900,300
fixation.ivt,27960,28100,140
fixation.ivt,28160,28440,280
fixation.ivt,28560,28680,120
fixation.ivt,29100,29380,280
fixation.ivt,29720,29960,240
fixation.ivt,30020,30560,540
fixation.ivt,30640,31100,460
fixation.ivt,31220,31400,180
fixation.ivt,31440,31740,300
fixation.ivt,31780,31880,100
fixation.ivt,31960,32680,720
fixation.ivt,32760,32940,180
fixation.ivt,33000,33120,120
fixation.ivt,33200,33360,160
fixation.ivt,33460,35020,1560
fixation.ivt,35540,36840,1300
fixation.ivt,36960,37320,360
fixation.ivt,37420,37600,180
fixation.ivt,37680,38020,340
fixation.ivt,38100,38280,180
fixation.ivt,38380,38480,100
fixation.ivt,38560,38760,200
fixation.ivt,38860,39020,160
fixation.ivt,39140,39560,420
fixation.ivt,39700,39920,220
fixation.ivt,120,360,240
fixation.ivt,1200,1520,320
fixation.ivt,1680,1820,140
fixation.ivt,1900,2160,260
fixation.ivt,2280,2620,340
fixation.ivt,2700,2920,220
fixation.ivt,3020,3220,200
fixation.ivt,3320,3580,260
fixation.ivt,3640,3900,260
fixation.ivt,4020,4500,480
fixation.ivt,4540,4740,200
fixation.ivt,4820,5940,1120
fixation.ivt,6040,6580,540
fixation.ivt,6880,7640,760
fixation.ivt,7860,8480,620
fixation.ivt,8720,9240,520
fixation.ivt,9480,9800,320
fixation.ivt,9840,10480,640
fixation.ivt,10620,11960,1340
fixation.ivt,12060,12460,400
fixation.ivt,12760,12920,160
fixation.ivt,13000,13380,380
fixation.ivt,13480,13580,100
fixation.ivt,13640,14300,660
fixation.ivt,14360,14580,220
fixation.ivt,14660,14780,120
fixation.ivt,14860,15200,340
fixation.ivt,15300,16280,980
fixation.ivt,16380,17020,640
fixation.ivt,17280,17580,300
fixation.ivt,17700,18360,660
fixation.ivt,18480,18720,240
fixation.ivt,18840,19360,520
fixation.ivt,19660,20080,420
fixation.ivt,20180,20420,240
fixation.ivt,20680,21200,520
fixation.ivt,21300,21540,240
fixation.ivt,21640,21980,340
fixation.ivt,22020,22500,480
fixation.ivt,22780,22940,160
fixation.ivt,23360,23900,540
fixation.ivt,24020,24340,320
fixation.ivt,24460,24640,180
fixation.ivt,24720,24960,240
fixation.ivt,25260,25740,480
fixation.ivt,25840,26020,180
fixation.ivt,26060,26280,220
fixation.ivt,26320,26460,140
fixation.ivt,26540,27060,520
fixation.ivt,27120,27360,240
fixation.ivt,27420,27520,100
fixation.ivt,27600,27900,300
fixation.ivt,27960,28100,140
fixation.ivt,28160,28440,280
fixation.ivt,28560,28680,120
fixation.ivt,29100,29380,280
fixation.ivt,29720,29960,240
fixation.ivt,30020,30560,540
fixation.ivt,30640,31100,460
fixation.ivt,31220,31400,180
fixation.ivt,31440,31740,300
fixation.ivt,31780,31880,100
fixation.ivt,31960,32680,720
fixation.ivt,32760,32940,180
fixation.ivt,33000,33120,120
fixation.ivt,33200,33360,160
fixation.ivt,33460,35020,1560
fixation.ivt,35540,36840,1300
fixation.ivt,36960,37320,360
fixation.ivt,37420,37600,180
fixation.ivt,37680,38020,340
fixation.ivt,38100,38280,180
fixation.ivt,38380,38480,100
fixation.ivt,38560,38760,200
fixation.ivt,38860,39020,160
fixation.ivt,39140,39560,420
fixation.ivt,39700,39920,220
fixation.ivt,120,360,240
fixation.ivt,1200,1520,320
fixation.ivt,1680,1820,140
fixation.ivt,1900,2160,260
fixation.ivt,2280,2620,340
fixation.ivt,2700,2920,220
fixation.ivt,3020,3220,200
fixation.ivt,3320,3580,260
fixation.ivt,3640,3900,260
fixation.ivt,4020,4500,480
fixation.ivt,4540,4740,200
fixation.ivt,4820,5940,1120
fixation.ivt,6040,6580,540
fixation.ivt,6880,7640,760
fixation.ivt,7860,8480,620
fixation.ivt,8720,9240,520
fixation.ivt,9480,9800,320
fixation.ivt,9840,10480,640
fixation.ivt,10620,11960,1340
fixation.ivt,12060,12460,400
fixation.ivt,12760,12920,160
fixation.ivt,13000,13380,380
fixation.ivt,13480,13580,100
fixation.ivt,13640,14300,660
fixation.ivt,14360,14580,220
fixation.ivt,14660,14780,120
fixation.ivt,14860,15200,340
fixation.ivt,15300,16280,980
fixation.ivt,16380,17020,640
fixation.ivt,17280,17580,300
fixation.ivt,17700,18360,660
fixation.ivt,18480,18720,240
fixation.ivt,18840,19360,520
fixation.ivt,19660,20080,420
fixation.ivt,20180,20420,240
fixation.ivt,20680,21200,520
fixation.ivt,21300,21540,240
fixation.ivt,21640,21980,340
fixation.ivt,22020,22500,480
fixation.ivt,22780,22940,160
fixation.ivt,23360,23900,540
fixation.ivt,24020,24340,320
fixation.ivt,24460,24640,180
fixation.ivt,24720,24960,240
fixation.ivt,25260,25740,480
fixation.ivt,25840,26020,180
fixation.ivt,26060,26280,220
fixation.ivt,26320,26460,140
fixation.ivt,26540,27060,520
fixation.ivt,27120,27360,240
fixation.ivt,27420,27520,100
fixation.ivt,27600,27900,300
fixation.ivt,27960,28100,140
fixation.ivt,28160,28440,280
fixation.ivt,28560,28680,120
fixation.ivt,29100,29380,280
fixation.ivt,29720,29960,240
fixation.ivt,30020,30560,540
fixation.ivt,30640,31100,460
fixation.ivt,31220,31400,180
fixation.ivt,31440,31740,300
fixation.ivt,31780,31880,100
fixation.ivt,31960,32680,720
fixation.ivt,32760,32940,180
fixation.ivt,33000,33120,120
fixation.ivt,33200,33360,160
fixation.ivt,33460,35020,1560
fixation.ivt,35540,36840,1300
fixation.ivt,36960,37320,360
fixation.ivt,37420,37600,180
fixation.ivt,37680,38020,340
fixation.ivt,38100,38280,180
fixation.ivt,38380,38480,100
fixation.ivt,38560,38760,200
fixation.ivt,38860,39020,160
fixation.ivt,39140,39560,420
fixation.ivt,39700,39920,220
fixation.ivt,120,360,240
fixation.ivt,1200,1520,320
fixation.ivt,1680,1820,140
fixation.ivt,1900,2160,260
fixation.ivt,2280,2620,340
fixation.ivt,2700,2920,220
fixation.ivt,3020,3220,200
fixation.ivt,3320,3580,260
fixation.ivt,3640,3900,260
fixation.ivt,4020,4500,480
fixation.ivt,4540,4740,200
fixation.ivt,4820,5940,1120
fixation.ivt,6040,6580,540
fixation.ivt,6880,7640,760
fixation.ivt,7860,8480,620
fixation.ivt,8720,9240,520
fixation.ivt,9480,9800,320
fixation.ivt,9840,10480,640
fixation.ivt,10620,11960,1340
fixation.ivt,12060,12460,400
fixation.ivt,12760,12920,160
fixation.ivt,13000,13380,380
fixation.ivt,13480,13580,100
fixation.ivt,13640,14300,660
fixation.ivt,14360,14580,220
fixation.ivt,14660,14780,120
fixation.ivt,14860,15200,340
fixation.ivt,15300,16280,980
fixation.ivt,16380,17020,640
fixation.ivt,17280,17580,300
fixation.ivt,17700,18360,660
fixation.ivt,18480,18720,240
fixation.ivt,18840,19360,520
fixation.ivt,19660,20080,420
fixation.ivt,20180,20420,240
fixation.ivt,20680,21200,520
fixation.ivt,21300,21540,240
fixation.ivt,21640,21980,340
fixation.ivt,22020,22500,480
fixation.ivt,22780,22940,160
fixation.ivt,23360,23900,540
fixation.ivt,24020,24340,320
fixation.ivt,24460,24640,180
fixation.ivt,24720,24960,240
fixation.ivt,25260,25740,480
fixation.ivt,25840,26020,180
fixation.ivt,26060,26280,220
fixation.ivt,26320,26460,140
fixation.ivt,26540,27060,520
fixation.ivt,27120,27360,240
fixation.ivt,27420,27520,100
fixation.ivt,27600,27900,300
fixation.ivt,27960,28100,140
fixation.ivt,28160,28440,280
fixation.ivt,28560,28680,120
fixation.ivt,29100,29380,280
fixation.ivt,29720,29960,240
fixation.ivt,30020,30560,540
fixation.ivt,30640,31100,460
fixation.ivt,31220,31400,180
fixation.ivt,31440,31740,300
fixation.ivt,31780,31880,100
fixation.ivt,31960,32680,720
fixation.ivt,32760,32940,180
fixation.ivt,33000,33120,120
fixation.ivt,33200,33360,160
fixation.ivt,33460,35020,1560
fixation.ivt,35540,36840,1300
fixation.ivt,36960,37320,360
fixation.ivt,37420,37600,180
fixation.ivt,37680,38020,340
fixation.ivt,38100,38280,180
fixation.ivt,38380,38480,100
fixation.ivt,38560,38760,200
fixation.ivt,38860,39020,160
fixation.ivt,39140,39560,420
fixation.ivt,39700,39920,220
fixation.ivt,120,360,240
fixation.ivt,1200,1520,320
fixation.ivt,1680,1820,140
fixation.ivt,1900,2160,260
fixation.ivt,2280,2620,340
fixation.ivt,2700,2920,220
fixation.ivt,3020,3220,200
fixation.ivt,3320,3580,260
fixation.ivt,3640,3900,260
fixation.ivt,4020,4500,480
fixation.ivt,4540,4740,200
fixation.ivt,4820,5940,1120
fixation.ivt,6040,6580,540
fixation.ivt,6880,7640,760
fixation.ivt,7860,8480,620
fixation.ivt,8720,9240,520
fixation.ivt,9480,9800,320
fixation.ivt,9840,10480,640
fixation.ivt,10620,11960,1340
fixation.ivt,12060,12460,400
fixation.ivt,12760,12920,160
fixation.ivt,13000,13380,380
fixation.ivt,13480,13580,100
fixation.ivt,13640,14300,660
fixation.ivt,14360,14580,220
fixation.ivt,14660,14780,120
fixation.ivt,14860,15200,340
fixation.ivt,15300,16280,980
fixation.ivt,16380,17020,640
fixation.ivt,17280,17580,300
fixation.ivt,17700,18360,660
fixation.ivt,18480,18720,240
fixation.ivt,18840,19360,520
fixation.ivt,19660,20080,420
fixation.ivt,20180,20420,240
fixation.ivt,20680,21200,520
fixation.ivt,21300,21540,240
fixation.ivt,21640,21980,340
fixation.ivt,22020,22500,480
fixation.ivt,22780,22940,160
fixation.ivt,23360,23900,540
fixation.ivt,24020,24340,320
fixation.ivt,24460,24640,180
fixation.ivt,24720,24960,240
fixation.ivt,25260,25740,480
fixation.ivt,25840,26020,180
fixation.ivt,26060,26280,220
fixation.ivt,26320,26460,140
fixation.ivt,26540,27060,520
fixation.ivt,27120,27360,240
fixation.ivt,27420,27520,100
fixation.ivt,27600,27900,300
fixation.ivt,27960,28100,140
fixation.ivt,28160,28440,280
fixation.ivt,28560,28680,120
fixation.ivt,29100,29380,280
fixation.ivt,29720,29960,240
fixation.ivt,30020,30560,540
fixation.ivt,30640,31100,460
fixation.ivt,31220,31400,180
fixation.ivt,31440,31740,300
fixation.ivt,31780,31880,100
fixation.ivt,31960,32680,720
fixation.ivt,32760,32940,180
fixation.ivt,33000,33120,120
fixation.ivt,33200,33360,160
fixation.ivt,33460,35020,1560
fixation.ivt,35540,36840,1300
fixation.ivt,36960,37320,360
fixation.ivt,37420,37600,180
fixation.ivt,37680,38020,340
fixation.ivt,38100,38280,180
fixation.ivt,38380,38480,100
fixation.ivt,38560,38760,200
fixation.ivt,38860,39020,160
fixation.ivt,39140,39560,420
fixation.ivt,39700,39920,220
fixation.ivt,120,360,240
fixation.ivt,1200,1520,320
fixation.ivt,1680,1820,140
fixation.ivt,1900,2160,260
fixation.ivt,2280,2620,340
fixation.ivt,2700,2920,220
fixation.ivt,3020,3220,200
fixation.ivt,3320,3580,260
fixation.ivt,3640,3900,260
fixation.ivt,4020,4500,480
fixation.ivt,4540,4740,200
fixation.ivt,4820,5940,1120
fixation.ivt,6040,6580,540
fixation.ivt,6880,7640,760
fixation.ivt,7860,8480,620
fixation.ivt,8720,9240,520
fixation.ivt,9480,9800,320
fixation.ivt,9840,10480,640
fixation.ivt,10620,11960,1340
fixation.ivt,12060,12460,400
fixation.ivt,12760,12920,160
fixation.ivt,13000,13380,380
fixation.ivt,13480,13580,100
fixation.ivt,13640,14300,660
fixation.ivt,14360,14580,220
fixation.ivt,14660,14780,120
fixation.ivt,14860,15200,340
fixation.ivt,15300,16280,980
fixation.ivt,16380,17020,640
fixation.ivt,17280,17580,300
fixation.ivt,17700,18360,660
fixation.ivt,18480,18720,240
fixation.ivt,18840,19360,520
fixation.ivt,19660,20080,420
fixation.ivt,20180,20420,240
fixation.ivt,20680,21200,520
fixation.ivt,21300,21540,240
fixation.ivt,21640,21980,340
fixation.ivt,22020,22500,480
fixation.ivt,22780,22940,160
fixation.ivt,23360,23900,540
fixation.ivt,24020,24340,320
fixation.ivt,24460,24640,180
fixation.ivt,24720,24960,240
fixation.ivt,25260,25740,480
fixation.ivt,25840,26020,180
fixation.ivt,26060,26280,220
fixation.ivt,26320,26460,140
fixation.ivt,26540,27060,520
fixation.ivt,27120,27360,240
fixation.ivt,27420,27520,100
fixation.ivt,27600,27900,300
fixation.ivt,27960,28100,140
fixation.ivt,28160,28440,280
fixation.ivt,28560,28680,120
fixation.ivt,29100,29380,280
fixation.ivt,29720,29960,240
fixation.ivt,30020,30560,540
fixation.ivt,30640,31100,460
fixation.ivt,31220,31400,180
fixation.ivt,31440,31740,300
fixation.ivt,31780,31880,100
fixation.ivt,31960,32680,720
fixation.ivt,32760,32940,180
fixation.ivt,33000,33120,120
fixation.ivt,33200,33360,160
fixation.ivt,33460,35020,1560
fixation.ivt,35540,36840,1300
fixation.ivt,36960,37320,360
fixation.ivt,37420,37600,180
fixation.ivt,37680,38020,340
fixation.ivt,38100,38280,180
fixation.ivt,38380,38480,100
fixation.ivt,38560,38760,200
fixation.ivt,38860,39020,160
fixation.ivt,39140,39560,420
fixation.ivt,39700,39920,220
fixation.ivt,120,360,240
fixation.ivt,1200,1520,320
fixation.ivt,1680,1820,140
fixation.ivt,1900,2160,260
fixation.ivt,2280,2620,340
fixation.ivt,2700,2920,220
fixation.ivt,3020,3220,200
fixation.ivt,3320,3580,260
fixation.ivt,3640,3900,260
fixation.ivt,4020,4500,480
fixation.ivt,4540,4740,200
fixation.ivt,4820,5940,1120
fixation.ivt,6040,6580,540
fixation.ivt,6880,7640,760
fixation.ivt,7860,8480,620
fixation.ivt,8720,9240,520
fixation.ivt,9480,9800,320
fixation.ivt,9840,10480,640
fixation.ivt,10620,11960,1340
fixation.ivt,12060,12460,400
fixation.ivt,12760,12920,160
fixation.ivt,13000,13380,380
fixation.ivt,13480,13580,100
fixation.ivt,13640,14300,660
fixation.ivt,14360,14580,220
fixation.ivt,14660,14780,120
fixation.ivt,14860,15200,340
fixation.ivt,15300,16280,980
fixation.ivt,16380,17020,640
fixation.ivt,17280,17580,300
fixation.ivt,17700,18360,660
fixation.ivt,18480,18720,240
fixation.ivt,18840,19360,520
fixation.ivt,19660,20080,420
fixation.ivt,20180,20420,240
fixation.ivt,20680,21200,520
fixation.ivt,21300,21540,240
fixation.ivt,21640,21980,340
fixation.ivt,22020,22500,480
fixation.ivt,22780,22940,160
fixation.ivt,23360,23900,540
fixation.ivt,24020,24340,320
fixation.ivt,24460,24640,180
fixation.ivt,24720,24960,240
fixation.ivt,25260,25740,480
fixation.ivt,25840,26020,180
fixation.ivt,26060,26280,220
fixation.ivt,26320,26460,140
fixation.ivt,26540,27060,520
fixation.ivt,27120,27360,240
fixation.ivt,27420,27520,100
fixation.ivt,27600,27900,300
fixation.ivt,27960,28100,140
fixation.ivt,28160,28440,280
fixation.ivt,28560,28680,120
fixation.ivt,29100,29380,280
fixation.ivt,29720,29960,240
fixation.ivt,30020,30560,540
fixation.ivt,30640,31100,460
fixation.ivt,31220,31400,180
fixation.ivt,31440,31740,300
fixation.ivt,31780,31880,100
fixation.ivt,31960,32680,720
fixation.ivt,32760,32940,180
fixation.ivt,33000,33120,120
fixation.ivt,33200,33360,160
fixation.ivt,33460,35020,1560
fixation.ivt,35540,36840,1300
fixation.ivt,36960,37320,360
fixation.ivt,37420,37600,180
fixation.ivt,37680,38020,340
fixation.ivt,38100,38280,180
fixation.ivt,38380,38480,100
fixation.ivt,38560,38760,200
fixation.ivt,38860,39020,160
fixation.ivt,39140,39560,420
fixation.ivt,39700,39920,220
fixation.ivt,120,360,240
fixation.ivt,1200,1520,320
fixation.ivt,1680,1820,140
fixation.ivt,1900,2160,260
fixation.ivt,2280,2620,340
fixation.ivt,2700,2920,220
fixation.ivt,3020,3220,200
fixation.ivt,3320,3580,260
fixation.ivt,3640,3900,260
fixation.ivt,4020,4500,480
fixation.ivt,4540,4740,200
fixation.ivt,4820,5940,1120
fixation.ivt,6040,6580,540
fixation.ivt,6880,7640,760
fixation.ivt,7860,8480,620
fixation.ivt,8720,9240,520
fixation.ivt,9480,9800,320
fixation.ivt,9840,10480,640
fixation.ivt,10620,11960,1340
fixation.ivt,12060,12460,400
fixation.ivt,12760,12920,160
fixation.ivt,13000,13380,380
fixation.ivt,13480,13580,100
fixation.ivt,13640,14300,660
fixation.ivt,14360,14580,220
fixation.ivt,14660,14780,120
fixation.ivt,14860,15200,340
fixation.ivt,15300,16280,980
fixation.ivt,16380,17020,640
fixation.ivt,17280,17580,300
fixation.ivt,17700,18360,660
fixation.ivt,18480,18720,240
fixation.ivt,18840,19360,520
fixation.ivt,19660,20080,420
fixation.ivt,20180,20420,240
fixation.ivt,20680,21200,520
fixation.ivt,21300,21540,240
fixation.ivt,21640,21980,340
fixation.ivt,22020,22500,480
fixation.ivt,22780,22940,160
fixation.ivt,23360,23900,540
fixation.ivt,24020,24340,320
fixation.ivt,24460,24640,180
fixation.ivt,24720,24960,240
fixation.ivt,25260,25740,480
fixation.ivt,25840,26020,180
fixation.ivt,26060,26280,220
fixation.ivt,26320,26460,140
fixation.ivt,26540,27060,520
fixation.ivt,27120,27360,240
fixation.ivt,27420,27520,100
fixation.ivt,27600,27900,300
fixation.ivt,27960,28100,140
fixation.ivt,28160,28440,280
fixation.ivt,28560,28680,120
fixation.ivt,29100,29380,280
fixation.ivt,29720,29960,240
fixation.ivt,30020,30560,540
fixation.ivt,30640,31100,460
fixation.ivt,31220,31400,180
fixation.ivt,31440,31740,300
fixation.ivt,31780,31880,100
fixation.ivt,31960,32680,720
fixation.ivt,32760,32940,180
fixation.ivt,33000,33120,120
fixation.ivt,33200,33360,160
fixation.ivt,33460,35020,1560
fixation.ivt,35540,36840,1300
fixation.ivt,36960,37320,360
fixation.ivt,37420,37600,180
fixation.ivt,37680,38020,340
fixation.ivt,38100,38280,180
fixation.ivt,38380,38480,100
fixation.ivt,38560,38760,200
fixation.ivt,38860,39020,160
fixation.ivt,39140,39560,420
fixation.ivt,39700,39920,220
fixation.ivt,120,360,240
fixation.ivt,1200,1520,320
fixation.ivt,1680,1820,140
fixation.ivt,1900,2160,260
fixation.ivt,2280,2620,340
fixation.ivt,2700,2920,220
fixation.ivt,3020,3220,200
fixation.ivt,3320,3580,260
fixation.ivt,3640,3900,260
fixation.ivt,4020,4500,480
fixation.ivt,4540,4740,200
fixation.ivt,4820,5940,1120
fixation.ivt,6040,6580,540
fixation.ivt,6880,7640,760
fixation.ivt,7860,8480,620
fixation.ivt,8720,9240,520
fixation.ivt,9480,9800,320
fixation.ivt,9840,10480,640
fixation.ivt,10620,11960,1340
fixation.ivt,12060,12460,400
fixation.ivt,12760,12920,160
fixation.ivt,13000,13380,380
fixation.ivt,13480,13580,100
fixation.ivt,13640,14300,660
fixation.ivt,14360,14580,220
fixation.ivt,14660,14780,120
fixation.ivt,14860,15200,340
fixation.ivt,15300,16280,980
fixation.ivt,16380,17020,640
fixation.ivt,17280,17580,300
fixation.ivt,17700,18360,660
fixation.ivt,18480,18720,240
fixation.ivt,18840,19360,520
fixation.ivt,19660,20080,420
fixation.ivt,20180,20420,240
fixation.ivt,20680,21200,520
fixation.ivt,21300,21540,240
fixation.ivt,21640,21980,340
fixation.ivt,22020,22500,480
fixation.ivt,22780,22940,160
fixation.ivt,23360,23900,540
fixation.ivt,24020,24340,320
fixation.ivt,24460,24640,180
fixation.ivt,24720,24960,240
fixation.ivt,25260,25740,480
fixation.ivt,25840,26020,180
fixation.ivt,26060,26280,220
fixation.ivt,26320,26460,140
fixation.ivt,26540,27060,520
fixation.ivt,27120,27360,240
fixation.ivt,27420,27520,100
fixation.ivt,27600,27900,300
fixation.ivt,27960,28100,140
fixation.ivt,28160,28440,280
fixation.ivt,28560,28680,120
fixation.ivt,29100,29380,280
fixation.ivt,29720,29960,240
fixation.ivt,30020,30560,540
fixation.ivt,30640,31100,460
fixation.ivt,31220,31400,180
fixation.ivt,31440,31740,300
fixation.ivt,31780,31880,100
fixation.ivt,31960,32680,720
fixation.ivt,32760,32940,180
fixation.ivt,33000,33120,120
fixation.ivt,33200,33360,160
fixation.ivt,33460,35020,1560
fixation.ivt,35540,36840,1300
fixation.ivt,36960,37320,360
fixation.ivt,37420,37600,180
fixation.ivt,37680,38020,340
fixation.ivt,38100,38280,180
fixation.ivt,38380,38480,100
fixation.ivt,38560,38760,200
fixation.ivt,38860,39020,160
fixation.ivt,39140,39560,420
